DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1644816325299,1644816309924,4,1644816309924,739,73,5,0,38062,0,DKU006#
DEVICE,1644816325330,1644816309955,4,1644816309955,745,74,5,0,38062,0,DKU006#
DEVICE,1644816325362,1644816309987,4,1644816309987,726,72,5,0,38062,0,DKU006#
DEVICE,1644816325394,1644816310019,4,1644816310019,732,73,5,0,38062,0,DKU006#
DEVICE,1644816325426,1644816310051,4,1644816310051,736,73,5,0,38062,0,DKU006#
DEVICE,1644816325458,1644816310083,4,1644816310083,722,72,5,0,38062,0,DKU006#
DEVICE,1644816325490,1644816310115,4,1644816310115,734,73,5,0,38062,0,DKU006#
DEVICE,1644816325522,1644816310147,4,1644816310147,722,72,5,0,38062,0,DKU006#
DEVICE,1644816325554,1644816310179,4,1644816310179,713,71,5,0,38062,0,DKU006#
DEVICE,1644816325586,1644816310211,4,1644816310211,698,69,5,0,38062,0,DKU006#
DEVICE,1644816325618,1644816310243,4,1644816310243,709,70,5,0,38062,0,DKU006#
DEVICE,1644816325650,1644816310275,4,1644816310275,706,70,5,0,38062,0,DKU006#
DEVICE,1644816325682,1644816310307,4,1644816310307,697,69,5,0,38062,0,DKU006#
DEVICE,1644816325714,1644816310339,4,1644816310339,680,68,5,0,38062,0,DKU006#
DEVICE,1644816325746,1644816310371,4,1644816310371,690,69,5,0,38062,0,DKU006#
DEVICE,1644816325778,1644816310403,4,1644816310403,696,69,5,0,38062,0,DKU006#
DEVICE,1644816325810,1644816310435,4,1644816310435,673,67,5,0,38062,0,DKU006#
DEVICE,1644816325842,1644816310467,4,1644816310467,672,67,5,0,38062,0,DKU006#
DEVICE,1644816325874,1644816310499,4,1644816310499,664,66,5,0,38062,0,DKU006#
DEVICE,1644816325906,1644816310531,4,1644816310531,669,66,5,0,38062,0,DKU006#
DEVICE,1644816325938,1644816310563,4,1644816310563,655,65,5,0,38062,0,DKU006#
DEVICE,1644816325970,1644816310595,4,1644816310595,655,65,5,0,38062,0,DKU006#
DEVICE,1644816326002,1644816310627,4,1644816310627,653,65,5,0,38062,0,DKU006#
DEVICE,1644816326034,1644816310659,4,1644816310659,636,63,5,0,38062,0,DKU006#
DEVICE,1644816326050,1644816310675,4,1644816310675,635,63,5,0,38062,0,DKU006#
DEVICE,1644816326098,1644816310723,4,1644816310723,625,62,5,0,38062,0,DKU006#
DEVICE,1644816326114,1644816310739,4,1644816310739,635,63,5,0,38062,0,DKU006#
DEVICE,1644816326146,1644816310771,4,1644816310771,625,62,5,0,38062,0,DKU006#
