Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
AIRPOT,1644816304299,1644816302311,4,1644816302311,0.131,-0.433,-0.892,0.008,-0.009,0.001
AIRPOT,1644816304304,1644816302316,4,1644816302316,0.132,-0.434,-0.891,0.005,-0.005,0.002
AIRPOT,1644816304307,1644816302319,4,1644816302319,0.134,-0.434,-0.891,0.008,-0.010,0.003
AIRPOT,1644816304326,1644816302338,4,1644816302338,0.135,-0.435,-0.890,0.008,-0.009,0.002
AIRPOT,1644816304379,1644816302391,4,1644816302391,0.137,-0.435,-0.890,0.006,-0.009,-0.001
AIRPOT,1644816304381,1644816302393,4,1644816302393,0.138,-0.435,-0.890,0.006,-0.009,-0.004
AIRPOT,1644816304430,1644816302442,4,1644816302442,0.138,-0.435,-0.890,0.003,-0.001,-0.005
AIRPOT,1644816304540,1644816302552,4,1644816302552,0.139,-0.433,-0.891,-0.001,0.002,-0.003
AIRPOT,1644816304540,1644816302552,4,1644816302552,0.139,-0.431,-0.892,-0.001,0.004,-0.006
AIRPOT,1644816304544,1644816302556,4,1644816302556,0.139,-0.429,-0.892,0.003,0.024,-0.007
AIRPOT,1644816304600,1644816302612,4,1644816302612,0.141,-0.428,-0.893,0.008,0.040,-0.026
AIRPOT,1644816304673,1644816302685,4,1644816302685,0.143,-0.424,-0.895,0.020,0.057,-0.022
AIRPOT,1644816304756,1644816302768,4,1644816302768,0.145,-0.416,-0.897,0.019,0.047,-0.036
AIRPOT,1644816304857,1644816302869,4,1644816302869,0.146,-0.408,-0.901,0.037,0.052,-0.024
AIRPOT,1644816304857,1644816302869,4,1644816302869,0.147,-0.402,-0.904,0.061,0.105,-0.041
AIRPOT,1644816304861,1644816302873,4,1644816302873,0.147,-0.400,-0.905,0.076,0.111,-0.046
AIRPOT,1644816304968,1644816302980,4,1644816302980,0.146,-0.407,-0.902,0.097,0.114,-0.037
AIRPOT,1644816304974,1644816302986,4,1644816302986,0.144,-0.424,-0.894,0.103,0.088,-0.022
AIRPOT,1644816305090,1644816303102,4,1644816303102,0.141,-0.449,-0.882,0.110,0.042,0.044
AIRPOT,1644816305158,1644816303170,4,1644816303170,0.147,-0.480,-0.865,0.079,-0.039,0.100
AIRPOT,1644816305159,1644816303171,4,1644816303171,0.165,-0.512,-0.843,0.022,-0.131,0.118
AIRPOT,1644816305160,1644816303172,4,1644816303172,0.185,-0.540,-0.821,-0.008,-0.208,0.136
AIRPOT,1644816305160,1644816303172,4,1644816303172,0.202,-0.566,-0.799,-0.010,-0.210,0.090
AIRPOT,1644816305211,1644816303223,4,1644816303223,0.209,-0.619,-0.757,0.015,-0.033,-0.009
AIRPOT,1644816305211,1644816303223,4,1644816303223,0.204,-0.642,-0.739,0.018,-0.044,-0.011
AIRPOT,1644816305263,1644816303275,4,1644816303275,0.191,-0.652,-0.733,0.099,-0.212,0.163
AIRPOT,1644816305263,1644816303275,4,1644816303275,0.178,-0.654,-0.736,-0.019,0.030,-0.046
AIRPOT,1644816305325,1644816303337,4,1644816303337,0.163,-0.659,-0.734,-0.008,0.131,-0.069
AIRPOT,1644816305442,1644816303454,4,1644816303454,0.151,-0.667,-0.729,-0.001,0.128,-0.064
AIRPOT,1644816305446,1644816303458,4,1644816303458,0.140,-0.674,-0.726,0.032,-0.308,0.161
AIRPOT,1644816305447,1644816303459,4,1644816303459,0.130,-0.673,-0.729,0.024,0.171,-0.074
AIRPOT,1644816305517,1644816303529,4,1644816303529,0.126,-0.671,-0.731,-0.003,0.003,-0.037
AIRPOT,1644816305517,1644816303529,4,1644816303529,0.120,-0.670,-0.733,-0.005,-0.035,0.053
AIRPOT,1644816305567,1644816303579,4,1644816303579,0.118,-0.666,-0.736,-0.008,0.025,-0.015
AIRPOT,1644816305620,1644816303632,4,1644816303632,0.118,-0.666,-0.737,-0.001,-0.011,0.015
AIRPOT,1644816305671,1644816303683,4,1644816303683,0.120,-0.662,-0.740,0.003,0.018,-0.003
AIRPOT,1644816305671,1644816303683,4,1644816303683,0.123,-0.658,-0.743,-0.001,-0.008,0.003
AIRPOT,1644816305730,1644816303742,4,1644816303742,0.126,-0.655,-0.745,0.001,-0.005,-0.001
AIRPOT,1644816305792,1644816303804,4,1644816303804,0.128,-0.650,-0.749,0.006,-0.016,0.004
AIRPOT,1644816305797,1644816303809,4,1644816303809,0.130,-0.646,-0.752,-0.005,0.019,-0.006
AIRPOT,1644816305911,1644816303923,4,1644816303923,0.137,-0.639,-0.757,0.006,-0.014,0.008
AIRPOT,1644816305911,1644816303923,4,1644816303923,0.144,-0.631,-0.762,0.007,-0.010,-0.005
AIRPOT,1644816306008,1644816304020,4,1644816304020,0.145,-0.623,-0.769,0.005,-0.027,-0.021
AIRPOT,1644816306009,1644816304021,4,1644816304021,0.137,-0.615,-0.776,0.009,-0.012,-0.004
AIRPOT,1644816306014,1644816304026,4,1644816304026,0.129,-0.606,-0.785,0.009,-0.028,0.023
AIRPOT,1644816306071,1644816304083,4,1644816304083,0.126,-0.600,-0.790,-0.002,-0.009,0.013
AIRPOT,1644816306071,1644816304083,4,1644816304083,0.130,-0.603,-0.788,0.015,-0.027,0.014
AIRPOT,1644816306184,1644816304196,4,1644816304196,0.129,-0.608,-0.783,0.040,-0.017,-0.002
AIRPOT,1644816306185,1644816304197,4,1644816304197,0.124,-0.612,-0.781,0.022,0.010,-0.034
AIRPOT,1644816306297,1644816304309,4,1644816304309,0.111,-0.615,-0.781,0.020,0.020,-0.011
AIRPOT,1644816306297,1644816304309,4,1644816304309,0.101,-0.617,-0.780,0.002,-0.003,0.024
AIRPOT,1644816306346,1644816304358,4,1644816304357,0.095,-0.618,-0.780,-0.007,0.020,-0.003
AIRPOT,1644816306346,1644816304358,4,1644816304358,0.092,-0.618,-0.781,-0.006,0.013,-0.005
AIRPOT,1644816306388,1644816304400,4,1644816304400,0.089,-0.618,-0.781,-0.007,0.013,-0.010
AIRPOT,1644816306500,1644816304512,4,1644816304512,0.088,-0.618,-0.781,-0.008,0.006,0.004
AIRPOT,1644816306500,1644816304512,4,1644816304512,0.091,-0.619,-0.780,-0.010,0.030,-0.007
AIRPOT,1644816306504,1644816304516,4,1644816304516,0.097,-0.621,-0.777,-0.011,0.033,-0.002
AIRPOT,1644816306594,1644816304606,4,1644816304606,0.109,-0.625,-0.773,-0.024,-0.006,0.016
AIRPOT,1644816306597,1644816304609,4,1644816304609,0.122,-0.631,-0.766,-0.014,-0.003,0.004
AIRPOT,1644816306597,1644816304609,4,1644816304609,0.135,-0.638,-0.758,-0.005,-0.009,0.001
AIRPOT,1644816306648,1644816304660,4,1644816304660,0.147,-0.641,-0.753,0.001,-0.009,-0.009
AIRPOT,1644816306682,1644816304694,4,1644816304694,0.155,-0.641,-0.752,0.014,-0.007,-0.014
AIRPOT,1644816306750,1644816304762,4,1644816304762,0.161,-0.637,-0.754,0.017,-0.021,-0.014
AIRPOT,1644816306764,1644816304776,4,1644816304776,0.166,-0.636,-0.754,0.026,-0.020,0.006
AIRPOT,1644816306858,1644816304870,4,1644816304870,0.171,-0.635,-0.753,0.020,0.000,-0.005
AIRPOT,1644816306858,1644816304870,4,1644816304870,0.175,-0.636,-0.752,0.017,-0.012,0.004
AIRPOT,1644816306930,1644816304942,4,1644816304942,0.178,-0.635,-0.752,0.013,-0.010,-0.000
AIRPOT,1644816306930,1644816304942,4,1644816304942,0.178,-0.635,-0.752,0.004,-0.015,-0.013
AIRPOT,1644816306975,1644816304987,4,1644816304987,0.175,-0.634,-0.753,0.016,-0.002,0.009
AIRPOT,1644816307039,1644816305051,4,1644816305051,0.174,-0.633,-0.754,0.004,-0.004,-0.003
AIRPOT,1644816307039,1644816305051,4,1644816305051,0.172,-0.633,-0.755,0.002,-0.001,-0.002
AIRPOT,1644816307100,1644816305112,4,1644816305112,0.170,-0.633,-0.756,-0.000,-0.005,-0.000
AIRPOT,1644816307163,1644816305175,4,1644816305175,0.167,-0.632,-0.756,0.002,-0.001,-0.000
AIRPOT,1644816307164,1644816305176,4,1644816305176,0.165,-0.633,-0.757,0.004,-0.002,0.004
AIRPOT,1644816307237,1644816305249,4,1644816305249,0.164,-0.633,-0.757,0.005,0.003,0.003
AIRPOT,1644816307300,1644816305312,4,1644816305312,0.163,-0.633,-0.757,0.005,0.000,0.002
AIRPOT,1644816307300,1644816305312,4,1644816305312,0.163,-0.633,-0.757,0.007,-0.002,0.002
AIRPOT,1644816307372,1644816305384,4,1644816305384,0.163,-0.633,-0.757,0.002,-0.008,-0.003
AIRPOT,1644816307377,1644816305389,4,1644816305389,0.162,-0.633,-0.757,0.001,-0.003,-0.001
AIRPOT,1644816307428,1644816305440,4,1644816305440,0.159,-0.634,-0.757,0.002,-0.005,-0.004
AIRPOT,1644816307488,1644816305500,4,1644816305500,0.157,-0.635,-0.757,0.001,-0.003,-0.003
AIRPOT,1644816307488,1644816305500,4,1644816305500,0.154,-0.635,-0.757,0.000,-0.001,-0.001
AIRPOT,1644816307551,1644816305563,4,1644816305563,0.151,-0.636,-0.757,-0.001,0.001,-0.003
AIRPOT,1644816307608,1644816305620,4,1644816305620,0.150,-0.636,-0.757,0.004,0.008,0.005
AIRPOT,1644816307612,1644816305624,4,1644816305624,0.151,-0.636,-0.757,-0.006,0.003,-0.006
AIRPOT,1644816307668,1644816305680,4,1644816305680,0.152,-0.635,-0.757,-0.009,0.022,-0.010
AIRPOT,1644816307736,1644816305748,4,1644816305748,0.156,-0.635,-0.757,-0.017,0.010,0.004
AIRPOT,1644816307736,1644816305748,4,1644816305748,0.163,-0.634,-0.756,0.002,0.026,0.021
AIRPOT,1644816307787,1644816305799,4,1644816305799,0.177,-0.632,-0.755,0.024,0.018,0.031
AIRPOT,1644816307851,1644816305863,4,1644816305863,0.196,-0.629,-0.752,0.017,-0.021,0.001
AIRPOT,1644816307851,1644816305863,4,1644816305863,0.211,-0.627,-0.750,0.012,-0.035,-0.030
AIRPOT,1644816307910,1644816305922,4,1644816305922,0.218,-0.627,-0.748,0.004,-0.038,-0.021
AIRPOT,1644816307969,1644816305981,4,1644816305981,0.219,-0.628,-0.747,-0.006,-0.033,-0.016
AIRPOT,1644816307970,1644816305982,4,1644816305982,0.215,-0.630,-0.746,-0.005,-0.023,0.000
AIRPOT,1644816308039,1644816306051,4,1644816306051,0.210,-0.632,-0.746,0.005,0.002,0.004
AIRPOT,1644816308087,1644816306099,4,1644816306099,0.207,-0.634,-0.745,0.025,0.015,-0.005
AIRPOT,1644816308089,1644816306101,4,1644816306101,0.206,-0.634,-0.745,0.029,0.000,0.009
AIRPOT,1644816308152,1644816306164,4,1644816306164,0.205,-0.635,-0.745,0.025,-0.017,-0.012
