DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1645769598095,1645769599029,4,1645769599029,51,5,10,0,0,0,ELT003#
DEVICE,1645769601491,1645769602425,4,1645769602425,50,5,10,0,0,0,ELT003#
DEVICE,1645769601522,1645769602456,4,1645769602456,50,5,10,0,0,0,ELT003#
DEVICE,1645769601554,1645769602488,4,1645769602488,49,4,10,0,0,0,ELT003#
DEVICE,1645769601586,1645769602520,4,1645769602520,50,5,10,0,0,0,ELT003#
DEVICE,1645769601618,1645769602552,4,1645769602552,51,5,10,0,0,0,ELT003#
DEVICE,1645769601650,1645769602584,4,1645769602584,52,5,10,0,0,0,ELT003#
DEVICE,1645769601682,1645769602616,4,1645769602616,51,5,10,0,0,0,ELT003#
DEVICE,1645769601713,1645769602647,4,1645769602647,50,5,10,0,0,0,ELT003#
DEVICE,1645769601746,1645769602680,4,1645769602680,50,5,10,0,0,0,ELT003#
DEVICE,1645769601778,1645769602712,4,1645769602712,52,5,10,0,0,0,ELT003#
DEVICE,1645769601810,1645769602744,4,1645769602744,50,5,10,0,0,0,ELT003#
DEVICE,1645769601841,1645769602775,4,1645769602775,51,5,10,0,0,0,ELT003#
DEVICE,1645769601857,1645769602791,4,1645769602791,50,5,10,0,0,0,ELT003#
DEVICE,1645769601889,1645769602823,4,1645769602823,50,5,10,0,0,0,ELT003#
DEVICE,1645769601921,1645769602855,4,1645769602855,50,5,10,0,0,0,ELT003#
DEVICE,1645769601954,1645769602888,4,1645769602888,50,5,10,0,0,0,ELT003#
DEVICE,1645769601985,1645769602919,4,1645769602919,51,5,10,0,0,0,ELT003#
DEVICE,1645769602017,1645769602951,4,1645769602951,51,5,10,0,0,0,ELT003#
DEVICE,1645769602049,1645769602983,4,1645769602983,49,4,10,0,0,0,ELT003#
DEVICE,1645769602081,1645769603015,4,1645769603015,52,5,10,0,0,0,ELT003#
DEVICE,1645769602113,1645769603047,4,1645769603047,51,5,10,0,0,0,ELT003#
DEVICE,1645769602145,1645769603079,4,1645769603079,49,4,10,0,0,0,ELT003#
DEVICE,1645769602177,1645769603111,4,1645769603111,49,4,10,0,0,0,ELT003#
DEVICE,1645769602209,1645769603143,4,1645769603143,50,5,10,0,0,0,ELT003#
DEVICE,1645769602241,1645769603175,4,1645769603175,52,5,10,0,0,0,ELT003#
DEVICE,1645769602274,1645769603208,4,1645769603208,49,4,10,0,0,0,ELT003#
DEVICE,1645769602305,1645769603239,4,1645769603239,50,5,10,0,0,0,ELT003#
DEVICE,1645769602337,1645769603271,4,1645769603271,48,4,10,0,0,0,ELT003#
DEVICE,1645769602369,1645769603303,4,1645769603303,48,4,10,0,0,0,ELT003#
DEVICE,1645769602401,1645769603335,4,1645769603335,49,4,10,0,0,0,ELT003#
DEVICE,1645769602433,1645769603367,4,1645769603367,52,5,10,0,0,0,ELT003#
DEVICE,1645769602465,1645769603399,4,1645769603399,50,5,10,0,0,0,ELT003#
DEVICE,1645769602497,1645769603431,4,1645769603431,49,4,10,0,0,0,ELT003#
DEVICE,1645769602530,1645769603464,4,1645769603464,50,5,10,0,0,0,ELT003#
DEVICE,1645769602561,1645769603495,4,1645769603495,50,5,10,0,0,0,ELT003#
DEVICE,1645769602593,1645769603527,4,1645769603527,49,4,10,0,0,0,ELT003#
DEVICE,1645769602625,1645769603559,4,1645769603559,49,4,10,0,0,0,ELT003#
DEVICE,1645769602657,1645769603591,4,1645769603591,51,5,10,0,0,0,ELT003#
DEVICE,1645769602689,1645769603623,4,1645769603623,52,5,10,0,0,0,ELT003#
DEVICE,1645769602721,1645769603655,4,1645769603655,51,5,10,0,0,0,ELT003#
