DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1646993107050,1646993107583,4,1646993107583,51,5,10,0,0,0,ELT003#
DEVICE,1646993107081,1646993107614,4,1646993107614,51,5,10,0,0,0,ELT003#
DEVICE,1646993107113,1646993107646,4,1646993107646,51,5,10,0,0,0,ELT003#
DEVICE,1646993107161,1646993107694,4,1646993107694,51,5,10,0,0,0,ELT003#
DEVICE,1646993107194,1646993107727,4,1646993107727,50,5,10,0,0,0,ELT003#
DEVICE,1646993107226,1646993107759,4,1646993107759,50,5,10,0,0,0,ELT003#
DEVICE,1646993107258,1646993107791,4,1646993107791,49,4,10,0,0,0,ELT003#
DEVICE,1646993107322,1646993107855,4,1646993107855,49,4,10,0,0,0,ELT003#
DEVICE,1646993107369,1646993107902,4,1646993107902,51,5,10,0,0,0,ELT003#
DEVICE,1646993107401,1646993107934,4,1646993107934,49,4,10,0,0,0,ELT003#
DEVICE,1646993107433,1646993107966,4,1646993107966,52,5,10,0,0,0,ELT003#
DEVICE,1646993107466,1646993107999,4,1646993107999,52,5,10,0,0,0,ELT003#
DEVICE,1646993107498,1646993108031,4,1646993108031,49,4,10,0,0,0,ELT003#
DEVICE,1646993107529,1646993108062,4,1646993108062,50,5,10,0,0,0,ELT003#
DEVICE,1646993107561,1646993108094,4,1646993108094,50,5,10,0,0,0,ELT003#
DEVICE,1646993107609,1646993108142,4,1646993108142,52,5,10,0,0,0,ELT003#
DEVICE,1646993107641,1646993108174,4,1646993108174,51,5,10,0,0,0,ELT003#
DEVICE,1646993107673,1646993108206,4,1646993108206,50,5,10,0,0,0,ELT003#
DEVICE,1646993107705,1646993108238,4,1646993108238,50,5,10,0,0,0,ELT003#
DEVICE,1646993107736,1646993108269,4,1646993108269,50,5,10,0,0,0,ELT003#
DEVICE,1646993107768,1646993108301,4,1646993108301,49,4,10,0,0,0,ELT003#
DEVICE,1646993107816,1646993108349,4,1646993108349,52,5,10,0,0,0,ELT003#
DEVICE,1646993107849,1646993108382,4,1646993108382,50,5,10,0,0,0,ELT003#
DEVICE,1646993107880,1646993108413,4,1646993108413,51,5,10,0,0,0,ELT003#
DEVICE,1646993107912,1646993108445,4,1646993108445,49,4,10,0,0,0,ELT003#
DEVICE,1646993107944,1646993108477,4,1646993108477,50,5,10,0,0,0,ELT003#
DEVICE,1646993107976,1646993108509,4,1646993108509,49,4,10,0,0,0,ELT003#
DEVICE,1646993108008,1646993108541,4,1646993108541,50,5,10,0,0,0,ELT003#
DEVICE,1646993108057,1646993108590,4,1646993108590,51,5,10,0,0,0,ELT003#
DEVICE,1646993108089,1646993108622,4,1646993108622,51,5,10,0,0,0,ELT003#
