Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1646993186823,1646993187131,4,1646993186966,0.087,-0.018,0.020,-0.000,0.016,-0.026,83
WATCH,1646993186823,1646993187131,4,1646993186976,0.076,-0.028,0.013,0.001,0.010,-0.019,83
WATCH,1646993186823,1646993187131,4,1646993186986,0.068,-0.034,0.011,0.002,0.006,-0.014,83
WATCH,1646993186823,1646993187131,4,1646993186996,0.073,-0.038,0.008,-0.002,0.001,-0.014,83
WATCH,1646993186853,1646993187161,4,1646993187006,0.082,-0.041,0.008,-0.003,-0.003,-0.014,83
WATCH,1646993186853,1646993187161,4,1646993187015,0.080,-0.036,0.015,0.002,-0.005,-0.012,83
WATCH,1646993186853,1646993187161,4,1646993187025,0.065,-0.034,0.013,-0.002,-0.009,0.001,83
WATCH,1646993186853,1646993187161,4,1646993187035,0.046,-0.037,0.013,-0.002,-0.014,0.008,83
WATCH,1646993186853,1646993187161,4,1646993187045,0.027,-0.036,0.017,0.000,-0.008,0.012,83
WATCH,1646993186975,1646993187283,4,1646993187055,0.001,-0.032,0.010,-0.000,-0.001,0.012,83
WATCH,1646993186975,1646993187283,4,1646993187065,-0.025,-0.034,0.008,0.002,0.001,0.007,83
WATCH,1646993186975,1646993187283,4,1646993187075,-0.036,-0.028,0.005,0.004,0.003,0.005,83
WATCH,1646993186975,1646993187283,4,1646993187085,-0.039,-0.026,-0.006,0.006,0.009,-0.001,83
WATCH,1646993186976,1646993187284,4,1646993187095,-0.040,-0.022,-0.009,0.009,0.014,-0.000,83
WATCH,1646993186977,1646993187285,4,1646993187105,-0.043,-0.013,-0.007,0.008,0.011,0.006,83
WATCH,1646993186977,1646993187285,4,1646993187115,-0.050,-0.007,-0.009,0.006,0.001,0.010,83
WATCH,1646993186977,1646993187285,4,1646993187125,-0.054,0.008,-0.011,0.004,0.002,0.012,83
WATCH,1646993186978,1646993187286,4,1646993187135,-0.040,0.019,-0.013,0.004,0.005,0.010,83
WATCH,1646993186978,1646993187286,4,1646993187145,-0.029,0.027,-0.008,0.003,0.004,0.013,83
WATCH,1646993187065,1646993187373,4,1646993187155,-0.023,0.032,-0.007,0.001,-0.000,0.015,83
WATCH,1646993187066,1646993187374,4,1646993187165,-0.018,0.036,-0.001,-0.001,-0.007,0.018,83
WATCH,1646993187066,1646993187374,4,1646993187175,-0.007,0.043,-0.003,-0.002,-0.004,0.019,83
WATCH,1646993187066,1646993187374,4,1646993187185,0.014,0.038,-0.020,-0.006,0.005,0.016,83
WATCH,1646993187066,1646993187374,4,1646993187195,0.025,0.039,-0.018,-0.003,0.004,0.013,83
WATCH,1646993187067,1646993187375,4,1646993187204,0.032,0.037,-0.016,-0.006,-0.001,0.005,83
WATCH,1646993187067,1646993187375,4,1646993187214,0.042,0.039,-0.020,-0.005,-0.001,-0.005,83
WATCH,1646993187067,1646993187375,4,1646993187224,0.053,0.031,-0.024,-0.004,0.003,-0.012,83
WATCH,1646993187067,1646993187375,4,1646993187234,0.049,0.031,-0.022,-0.000,0.008,-0.014,83
WATCH,1646993187067,1646993187375,4,1646993187244,0.040,0.028,-0.026,0.001,0.005,-0.015,83
WATCH,1646993187156,1646993187464,4,1646993187254,0.019,0.027,-0.024,0.004,0.002,-0.011,83
WATCH,1646993187156,1646993187464,4,1646993187264,0.020,0.023,-0.025,0.006,0.002,-0.011,83
WATCH,1646993187156,1646993187464,4,1646993187274,0.044,0.029,-0.012,0.007,0.005,-0.012,83
WATCH,1646993187156,1646993187464,4,1646993187284,0.072,0.024,-0.015,0.003,0.009,-0.014,83
WATCH,1646993187156,1646993187464,4,1646993187294,0.074,0.019,-0.010,0.005,-0.001,-0.013,83
WATCH,1646993187158,1646993187466,4,1646993187304,0.068,0.005,0.000,0.006,-0.012,-0.012,83
WATCH,1646993187158,1646993187466,4,1646993187314,0.035,-0.012,-0.018,0.011,-0.025,-0.013,83
