Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
AIRPOT,1646993415288 ,1646993415600 ,4 ,0 ,0.085,-0.372,-0.924,-0.004,-0.012,-0.004
AIRPOT,1646993415329 ,1646993415641 ,4 ,0 ,0.086,-0.369,-0.926,-0.02,-0.008,0.014
AIRPOT,1646993415367 ,1646993415679 ,4 ,0 ,0.084,-0.368,-0.926,-0.017,0,0.019
AIRPOT,1646993415406 ,1646993415718 ,4 ,0 ,0.081,-0.365,-0.927,-0.024,0.001,0.016
AIRPOT,1646993415448 ,1646993415760 ,4 ,0 ,0.077,-0.363,-0.928,-0.017,0.005,-0.003
AIRPOT,1646993415487 ,1646993415799 ,4 ,0 ,0.076,-0.361,-0.929,-0.007,0.008,-0.011
AIRPOT,1646993415526 ,1646993415838 ,4 ,0 ,0.076,-0.358,-0.931,-0.008,0.006,0.002
AIRPOT,1646993415571 ,1646993415883 ,4 ,0 ,0.076,-0.354,-0.932,-0.012,0.009,0.011
AIRPOT,1646993415606 ,1646993415918 ,4 ,0 ,0.074,-0.351,-0.933,-0.009,0.018,0
AIRPOT,1646993415648 ,1646993415960 ,4 ,0 ,0.071,-0.349,-0.934,-0.006,0.013,-0.009
AIRPOT,1646993415689 ,1646993416001 ,4 ,0 ,0.068,-0.347,-0.936,-0.011,0.016,-0.007
AIRPOT,1646993415729 ,1646993416041 ,4 ,0 ,0.067,-0.345,-0.936,-0.013,0.022,-0.013
AIRPOT,1646993415767 ,1646993416079 ,4 ,0 ,0.066,-0.345,-0.936,-0.011,0.018,-0.016
AIRPOT,1646993415811 ,1646993416123 ,4 ,0 ,0.066,-0.346,-0.936,-0.012,0.021,-0.012
AIRPOT,1646993415847 ,1646993416159 ,4 ,0 ,0.067,-0.347,-0.935,-0.012,0.01,-0.002
AIRPOT,1646993415887 ,1646993416199 ,4 ,0 ,0.067,-0.348,-0.935,-0.01,0.01,0.006
AIRPOT,1646993415930 ,1646993416242 ,4 ,0 ,0.065,-0.348,-0.935,-0.005,0.018,0.003
AIRPOT,1646993415969 ,1646993416281 ,4 ,0 ,0.063,-0.348,-0.935,-0.003,0.008,-0.009
AIRPOT,1646993416006 ,1646993416318 ,4 ,0 ,0.062,-0.348,-0.935,-0.002,0.012,-0.007
AIRPOT,1646993416047 ,1646993416359 ,4 ,0 ,0.063,-0.347,-0.936,-0.001,0.003,0
AIRPOT,1646993416087 ,1646993416399 ,4 ,0 ,0.064,-0.347,-0.936,-0.005,0.01,0.011
AIRPOT,1646993416128 ,1646993416440 ,4 ,0 ,0.063,-0.347,-0.936,0.009,0.015,-0.01
AIRPOT,1646993416172 ,1646993416484 ,4 ,0 ,0.061,-0.347,-0.936,0.009,0.019,-0.012
AIRPOT,1646993416208 ,1646993416520 ,4 ,0 ,0.061,-0.346,-0.936,0.006,0.013,-0.01
AIRPOT,1646993416247 ,1646993416559 ,4 ,0 ,0.062,-0.346,-0.936,0,0.007,0.002
AIRPOT,1646993416291 ,1646993416603 ,4 ,0 ,0.062,-0.347,-0.936,-0.004,0.006,0.003
AIRPOT,1646993416327 ,1646993416639 ,4 ,0 ,0.061,-0.348,-0.936,0,0,0.001
AIRPOT,1646993416370 ,1646993416682 ,4 ,0 ,0.061,-0.348,-0.935,-0.001,-0.003,0.006
AIRPOT,1646993416409 ,1646993416721 ,4 ,0 ,0.06,-0.349,-0.935,0.003,-0.002,0.003
