DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1646993190987,1646993191511,4,1646993191511,52,5,10,0,0,0,ELT003#
DEVICE,1646993414343,1646993414867,4,1646993414867,51,5,10,0,0,0,ELT003#
DEVICE,1646993414374,1646993414898,4,1646993414898,52,5,10,0,0,0,ELT003#
DEVICE,1646993414406,1646993414930,4,1646993414930,50,5,10,0,0,0,ELT003#
DEVICE,1646993414438,1646993414962,4,1646993414962,51,5,10,0,0,0,ELT003#
DEVICE,1646993414486,1646993415010,4,1646993415010,52,5,10,0,0,0,ELT003#
DEVICE,1646993414518,1646993415042,4,1646993415042,51,5,10,0,0,0,ELT003#
DEVICE,1646993414551,1646993415075,4,1646993415075,49,4,10,0,0,0,ELT003#
DEVICE,1646993414583,1646993415107,4,1646993415107,53,5,10,0,0,0,ELT003#
DEVICE,1646993414614,1646993415138,4,1646993415138,51,5,10,0,0,0,ELT003#
DEVICE,1646993414646,1646993415170,4,1646993415170,51,5,10,0,0,0,ELT003#
DEVICE,1646993414694,1646993415218,4,1646993415218,50,5,10,0,0,0,ELT003#
DEVICE,1646993414726,1646993415250,4,1646993415250,48,4,10,0,0,0,ELT003#
DEVICE,1646993414758,1646993415282,4,1646993415282,50,5,10,0,0,0,ELT003#
DEVICE,1646993414790,1646993415314,4,1646993415314,50,5,10,0,0,0,ELT003#
DEVICE,1646993414822,1646993415346,4,1646993415346,51,5,10,0,0,0,ELT003#
DEVICE,1646993414854,1646993415378,4,1646993415378,49,4,10,0,0,0,ELT003#
DEVICE,1646993414886,1646993415410,4,1646993415410,50,5,10,0,0,0,ELT003#
DEVICE,1646993414934,1646993415458,4,1646993415458,51,5,10,0,0,0,ELT003#
DEVICE,1646993414966,1646993415490,4,1646993415490,50,5,10,0,0,0,ELT003#
DEVICE,1646993414999,1646993415523,4,1646993415523,51,5,10,0,0,0,ELT003#
DEVICE,1646993415030,1646993415554,4,1646993415554,50,5,10,0,0,0,ELT003#
DEVICE,1646993415062,1646993415586,4,1646993415586,50,5,10,0,0,0,ELT003#
DEVICE,1646993415094,1646993415618,4,1646993415618,50,5,10,0,0,0,ELT003#
DEVICE,1646993415142,1646993415666,4,1646993415666,51,5,10,0,0,0,ELT003#
DEVICE,1646993415174,1646993415698,4,1646993415698,50,5,10,0,0,0,ELT003#
DEVICE,1646993415206,1646993415730,4,1646993415730,49,4,10,0,0,0,ELT003#
DEVICE,1646993415238,1646993415762,4,1646993415762,51,5,10,0,0,0,ELT003#
DEVICE,1646993415270,1646993415794,4,1646993415794,50,5,10,0,0,0,ELT003#
DEVICE,1646993415302,1646993415826,4,1646993415826,52,5,10,0,0,0,ELT003#
DEVICE,1646993415334,1646993415858,4,1646993415858,51,5,10,0,0,0,ELT003#
DEVICE,1646993415382,1646993415906,4,1646993415906,50,5,10,0,0,0,ELT003#
DEVICE,1646993415414,1646993415938,4,1646993415938,51,5,10,0,0,0,ELT003#
DEVICE,1646993415446,1646993415970,4,1646993415970,50,5,10,0,0,0,ELT003#
DEVICE,1646993415478,1646993416002,4,1646993416002,51,5,10,0,0,0,ELT003#
DEVICE,1646993415510,1646993416034,4,1646993416034,52,5,10,0,0,0,ELT003#
DEVICE,1646993415542,1646993416066,4,1646993416066,49,4,10,0,0,0,ELT003#
DEVICE,1646993415590,1646993416114,4,1646993416114,51,5,10,0,0,0,ELT003#
DEVICE,1646993415622,1646993416146,4,1646993416146,49,4,10,0,0,0,ELT003#
DEVICE,1646993415654,1646993416178,4,1646993416178,50,5,10,0,0,0,ELT003#
DEVICE,1646993415686,1646993416210,4,1646993416210,50,5,10,0,0,0,ELT003#
DEVICE,1646993415718,1646993416242,4,1646993416242,51,5,10,0,0,0,ELT003#
DEVICE,1646993415750,1646993416274,4,1646993416274,51,5,10,0,0,0,ELT003#
DEVICE,1646993415783,1646993416307,4,1646993416307,50,5,10,0,0,0,ELT003#
DEVICE,1646993415830,1646993416354,4,1646993416354,52,5,10,0,0,0,ELT003#
DEVICE,1646993415862,1646993416386,4,1646993416386,51,5,10,0,0,0,ELT003#
DEVICE,1646993415894,1646993416418,4,1646993416418,50,5,10,0,0,0,ELT003#
