Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1646993414251,1646993414563,4,1646993414398,-0.001,-0.017,0.038,-0.001,-0.005,0.007,80
WATCH,1646993414251,1646993414563,4,1646993414408,0.003,-0.020,0.035,0.003,-0.002,-0.006,80
WATCH,1646993414251,1646993414563,4,1646993414418,0.014,-0.020,0.028,0.002,0.006,-0.015,80
WATCH,1646993414251,1646993414563,4,1646993414429,0.014,-0.021,0.022,-0.000,0.011,-0.018,80
WATCH,1646993414251,1646993414563,4,1646993414437,0.006,-0.020,0.015,0.004,0.014,-0.015,80
WATCH,1646993414251,1646993414563,4,1646993414448,-0.007,-0.022,0.012,0.002,0.012,-0.010,80
WATCH,1646993414251,1646993414563,4,1646993414457,-0.009,-0.023,0.004,0.001,0.011,0.000,80
WATCH,1646993414251,1646993414563,4,1646993414467,-0.035,-0.020,-0.005,-0.003,0.017,0.006,80
WATCH,1646993414251,1646993414563,4,1646993414477,-0.059,-0.018,-0.013,-0.004,0.020,0.013,80
WATCH,1646993414310,1646993414622,4,1646993414488,-0.057,-0.010,-0.010,-0.002,0.006,0.009,80
WATCH,1646993414310,1646993414622,4,1646993414497,-0.066,-0.011,-0.017,-0.003,0.004,0.006,80
WATCH,1646993414310,1646993414622,4,1646993414507,-0.046,-0.003,-0.020,-0.004,0.005,0.007,80
WATCH,1646993414310,1646993414622,4,1646993414517,-0.031,-0.000,-0.019,-0.004,-0.001,0.002,80
WATCH,1646993414310,1646993414622,4,1646993414527,-0.020,-0.001,-0.025,-0.003,0.006,0.006,80
WATCH,1646993414373,1646993414685,4,1646993414537,-0.002,0.004,-0.024,-0.001,-0.000,0.007,80
WATCH,1646993414373,1646993414685,4,1646993414547,0.016,0.005,-0.023,0.000,-0.002,0.002,80
WATCH,1646993414373,1646993414685,4,1646993414557,0.018,0.007,-0.028,-0.001,0.003,0.005,80
WATCH,1646993414373,1646993414685,4,1646993414567,0.016,0.002,-0.028,0.001,0.002,-0.003,80
WATCH,1646993414373,1646993414685,4,1646993414577,0.009,-0.003,-0.029,0.001,-0.001,-0.009,80
WATCH,1646993414432,1646993414744,4,1646993414587,-0.003,-0.006,-0.030,0.002,0.002,-0.014,80
WATCH,1646993414432,1646993414744,4,1646993414597,-0.013,-0.009,-0.033,-0.002,0.002,-0.013,80
WATCH,1646993414432,1646993414744,4,1646993414606,-0.039,-0.020,-0.031,0.002,0.001,-0.016,80
WATCH,1646993414432,1646993414744,4,1646993414616,-0.056,-0.022,-0.032,0.003,0.005,-0.014,80
WATCH,1646993414432,1646993414744,4,1646993414626,-0.058,-0.027,-0.027,0.004,-0.005,-0.015,80
WATCH,1646993414432,1646993414744,4,1646993414636,-0.066,-0.027,-0.026,0.000,-0.003,-0.009,80
WATCH,1646993414432,1646993414744,4,1646993414646,-0.068,-0.032,-0.025,0.002,-0.000,-0.009,80
WATCH,1646993414432,1646993414744,4,1646993414656,-0.059,-0.038,-0.025,0.005,-0.000,-0.011,80
WATCH,1646993414432,1646993414744,4,1646993414666,-0.057,-0.045,-0.022,0.005,-0.003,-0.011,80
WATCH,1646993414432,1646993414744,4,1646993414676,-0.060,-0.040,-0.019,0.004,-0.011,-0.007,80
WATCH,1646993414492,1646993414804,4,1646993414686,-0.051,-0.035,-0.017,0.002,-0.010,0.001,80
WATCH,1646993414492,1646993414804,4,1646993414696,-0.049,-0.031,-0.021,-0.000,0.001,0.009,80
WATCH,1646993414492,1646993414804,4,1646993414706,-0.098,-0.029,-0.022,-0.002,0.008,0.016,80
WATCH,1646993414492,1646993414804,4,1646993414716,-0.098,-0.023,-0.022,-0.002,-0.002,0.016,80
WATCH,1646993414492,1646993414804,4,1646993414725,-0.111,-0.024,-0.012,-0.005,-0.011,0.005,80
WATCH,1646993414555,1646993414867,4,1646993414735,-0.135,-0.023,-0.023,-0.005,0.004,0.006,80
WATCH,1646993414555,1646993414867,4,1646993414745,-0.102,-0.017,-0.014,-0.008,-0.008,-0.000,80
WATCH,1646993414555,1646993414867,4,1646993414755,-0.141,-0.022,-0.018,-0.004,-0.002,0.002,80
