Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
AIRPOT,1646994075731,1646994076046,4,0,-0.222,0.005,-0.975,0.000,0.002,-0.000
AIRPOT,1646994075775,1646994076090,4,0,-0.222,0.005,-0.975,0.000,0.001,-0.002
AIRPOT,1646994075852,1646994076167,4,0,-0.221,0.004,-0.975,-0.001,-0.001,-0.005
AIRPOT,1646994075892,1646994076207,4,0,-0.221,0.004,-0.975,-0.001,-0.000,-0.001
AIRPOT,1646994075934,1646994076249,4,0,-0.221,0.003,-0.975,-0.002,-0.001,0.000
AIRPOT,1646994075974,1646994076289,4,0,-0.221,0.003,-0.975,-0.004,-0.001,-0.000
AIRPOT,1646994076013,1646994076328,4,0,-0.222,0.001,-0.975,-0.001,0.008,0.001
AIRPOT,1646994076056,1646994076371,4,0,-0.222,-0.001,-0.975,-0.009,0.040,-0.022
AIRPOT,1646994076091,1646994076406,4,0,-0.225,-0.011,-0.974,-0.021,0.075,-0.037
AIRPOT,1646994076152,1646994076467,4,0,-0.233,-0.030,-0.972,-0.010,-0.011,0.019
AIRPOT,1646994076192,1646994076507,4,0,-0.235,-0.073,-0.969,0.014,-0.190,0.079
AIRPOT,1646994076234,1646994076549,4,0,-0.219,-0.138,-0.966,0.078,-0.162,0.069
AIRPOT,1646994076252,1646994076567,4,0,-0.181,-0.200,-0.963,0.048,-0.033,-0.011
AIRPOT,1646994076294,1646994076609,4,0,-0.145,-0.251,-0.957,0.014,0.076,-0.061
AIRPOT,1646994076351,1646994076666,4,0,-0.117,-0.291,-0.950,-0.010,0.061,-0.064
AIRPOT,1646994076392,1646994076707,4,0,-0.103,-0.320,-0.942,-0.019,0.109,-0.076
AIRPOT,1646994076452,1646994076767,4,0,-0.106,-0.361,-0.927,0.005,0.051,-0.048
AIRPOT,1646994076435,1646994076750,4,0,-0.101,-0.344,-0.934,-0.018,0.072,-0.064
AIRPOT,1646994076512,1646994076827,4,0,-0.117,-0.371,-0.921,0.013,0.036,-0.030
AIRPOT,1646994076552,1646994076867,4,0,-0.134,-0.377,-0.917,0.026,0.002,-0.002
AIRPOT,1646994076595,1646994076910,4,0,-0.150,-0.381,-0.912,0.032,-0.009,0.019
AIRPOT,1646994076611,1646994076926,4,0,-0.163,-0.385,-0.908,0.015,-0.007,0.030
AIRPOT,1646994076673,1646994076988,4,0,-0.171,-0.389,-0.905,-0.005,-0.010,0.037
AIRPOT,1646994076712,1646994077027,4,0,-0.173,-0.392,-0.904,-0.016,0.006,0.010
AIRPOT,1646994076754,1646994077069,4,0,-0.176,-0.395,-0.902,-0.019,0.000,-0.003
AIRPOT,1646994076771,1646994077086,4,0,-0.179,-0.396,-0.901,-0.018,0.001,0.003
AIRPOT,1646994076835,1646994077150,4,0,-0.181,-0.398,-0.899,-0.010,-0.007,0.012
AIRPOT,1646994076871,1646994077186,4,0,-0.184,-0.399,-0.898,-0.002,-0.012,0.012
AIRPOT,1646994076954,1646994077269,4,0,-0.190,-0.402,-0.896,-0.014,-0.000,0.005
AIRPOT,1646994076991,1646994077306,4,0,-0.192,-0.403,-0.895,-0.027,0.008,-0.007
AIRPOT,1646994077031,1646994077346,4,0,-0.194,-0.402,-0.895,-0.034,0.013,0.001
AIRPOT,1646994077076,1646994077391,4,0,-0.195,-0.400,-0.895,-0.032,0.021,0.003
AIRPOT,1646994077112,1646994077427,4,0,-0.195,-0.398,-0.897,-0.039,0.058,-0.018
AIRPOT,1646994077192,1646994077507,4,0,-0.182,-0.388,-0.904,-0.071,0.144,-0.093
AIRPOT,1646994077231,1646994077546,4,0,-0.185,-0.386,-0.904,-0.017,0.034,-0.050
AIRPOT,1646994077273,1646994077588,4,0,-0.194,-0.391,-0.900,0.052,-0.090,0.031
AIRPOT,1646994077312,1646994077627,4,0,-0.200,-0.399,-0.895,0.065,-0.156,0.096
AIRPOT,1646994077353,1646994077668,4,0,-0.199,-0.401,-0.894,0.065,-0.125,0.089
AIRPOT,1646994077392,1646994077707,4,0,-0.191,-0.395,-0.899,0.043,-0.096,0.066
AIRPOT,1646994077431,1646994077746,4,0,-0.178,-0.378,-0.909,-0.001,0.031,0.008
AIRPOT,1646994077471,1646994077786,4,0,-0.169,-0.335,-0.927,-0.031,0.015,-0.051
AIRPOT,1646994077512,1646994077827,4,0,-0.174,-0.266,-0.948,-0.003,-0.019,-0.015
AIRPOT,1646994077554,1646994077869,4,0,-0.189,-0.186,-0.964,0.030,-0.033,-0.008
AIRPOT,1646994077592,1646994077907,4,0,-0.207,-0.122,-0.971,0.060,-0.112,0.075
AIRPOT,1646994077632,1646994077947,4,0,-0.211,-0.089,-0.973,0.030,-0.026,0.020
AIRPOT,1646994077672,1646994077987,4,0,-0.209,-0.073,-0.975,-0.005,0.013,-0.038
AIRPOT,1646994077713,1646994078028,4,0,-0.210,-0.066,-0.975,-0.008,0.004,-0.016
