Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
AIRPOT,1648111830759,1648111831259,4,0,-0.104,-0.067,-0.992,0.016,0.047,-0.003
AIRPOT,1648111830797,1648111831297,4,0,-0.109,-0.068,-0.992,-0.001,0.088,-0.000
AIRPOT,1648111830838,1648111831338,4,0,-0.112,-0.071,-0.991,0.022,0.028,-0.026
AIRPOT,1648111830878,1648111831378,4,0,-0.111,-0.074,-0.991,-0.003,0.005,0.019
AIRPOT,1648111830918,1648111831418,4,0,-0.112,-0.078,-0.991,0.010,0.016,0.005
AIRPOT,1648111830957,1648111831457,4,0,-0.110,-0.075,-0.991,-0.003,0.066,0.011
AIRPOT,1648111830999,1648111831499,4,0,-0.110,-0.068,-0.992,0.028,-0.022,-0.011
AIRPOT,1648111831037,1648111831537,4,0,-0.107,-0.067,-0.992,0.022,-0.012,0.004
AIRPOT,1648111831077,1648111831577,4,0,-0.107,-0.072,-0.992,0.014,0.047,0.005
AIRPOT,1648111831137,1648111831637,4,0,-0.110,-0.076,-0.991,0.024,-0.022,-0.015
AIRPOT,1648111831157,1648111831657,4,0,-0.112,-0.077,-0.991,0.011,-0.015,0.008
AIRPOT,1648111831197,1648111831697,4,0,-0.115,-0.081,-0.990,0.011,-0.007,0.003
AIRPOT,1648111831240,1648111831740,4,0,-0.117,-0.086,-0.989,0.012,-0.012,0.003
AIRPOT,1648111831278,1648111831778,4,0,-0.120,-0.092,-0.989,0.008,0.020,0.003
AIRPOT,1648111831318,1648111831818,4,0,-0.121,-0.094,-0.988,0.011,0.004,-0.006
AIRPOT,1648111831360,1648111831860,4,0,-0.120,-0.094,-0.988,0.008,0.018,-0.010
AIRPOT,1648111831399,1648111831899,4,0,-0.118,-0.093,-0.989,0.011,0.000,-0.002
AIRPOT,1648111831439,1648111831939,4,0,-0.115,-0.094,-0.989,0.016,0.003,0.016
AIRPOT,1648111831479,1648111831979,4,0,-0.114,-0.098,-0.989,0.010,0.024,0.015
AIRPOT,1648111831519,1648111832019,4,0,-0.114,-0.104,-0.988,0.003,0.030,0.009
AIRPOT,1648111831558,1648111832058,4,0,-0.116,-0.110,-0.987,0.016,0.025,-0.024
AIRPOT,1648111831597,1648111832097,4,0,-0.114,-0.113,-0.987,0.020,-0.022,-0.011
AIRPOT,1648111831637,1648111832137,4,0,-0.113,-0.115,-0.987,-0.002,-0.010,0.014
AIRPOT,1648111831677,1648111832177,4,0,-0.113,-0.117,-0.987,0.010,-0.012,-0.005
AIRPOT,1648111831719,1648111832219,4,0,-0.113,-0.120,-0.986,0.008,-0.006,0.004
AIRPOT,1648111831759,1648111832259,4,0,-0.114,-0.121,-0.986,0.008,0.001,0.009
AIRPOT,1648111831797,1648111832297,4,0,-0.115,-0.122,-0.986,0.007,-0.015,-0.012
AIRPOT,1648111831839,1648111832339,4,0,-0.116,-0.121,-0.986,-0.006,0.006,0.000
AIRPOT,1648111831877,1648111832377,4,0,-0.119,-0.121,-0.986,0.003,0.007,-0.001
AIRPOT,1648111831919,1648111832419,4,0,-0.120,-0.121,-0.985,0.000,0.007,0.006
AIRPOT,1648111831959,1648111832459,4,0,-0.121,-0.121,-0.985,-0.002,-0.003,0.003
AIRPOT,1648111831997,1648111832497,4,0,-0.122,-0.123,-0.985,-0.008,0.006,-0.004
AIRPOT,1648111832038,1648111832538,4,0,-0.122,-0.123,-0.985,-0.002,0.005,-0.006
AIRPOT,1648111832079,1648111832579,4,0,-0.122,-0.123,-0.985,-0.005,0.000,0.002
AIRPOT,1648111832117,1648111832617,4,0,-0.122,-0.122,-0.985,-0.007,0.003,0.005
AIRPOT,1648111832157,1648111832657,4,0,-0.121,-0.122,-0.985,-0.004,0.007,0.005
AIRPOT,1648111832199,1648111832699,4,0,-0.121,-0.122,-0.985,-0.011,0.051,-0.005
AIRPOT,1648111832238,1648111832738,4,0,-0.120,-0.124,-0.985,0.005,0.079,-0.038
AIRPOT,1648111832278,1648111832778,4,0,-0.113,-0.123,-0.986,-0.001,0.034,-0.014
AIRPOT,1648111832320,1648111832820,4,0,-0.104,-0.123,-0.987,-0.010,-0.010,0.003
AIRPOT,1648111832357,1648111832857,4,0,-0.095,-0.123,-0.988,-0.011,-0.027,0.011
AIRPOT,1648111832397,1648111832897,4,0,-0.087,-0.121,-0.989,-0.011,-0.039,0.016
AIRPOT,1648111832439,1648111832939,4,0,-0.080,-0.120,-0.990,-0.007,-0.042,0.020
AIRPOT,1648111832478,1648111832978,4,0,-0.075,-0.120,-0.990,0.002,-0.038,0.013
AIRPOT,1648111832517,1648111833017,4,0,-0.073,-0.120,-0.990,-0.006,-0.016,0.015
AIRPOT,1648111832559,1648111833059,4,0,-0.071,-0.121,-0.990,0.001,-0.024,0.001
AIRPOT,1648111832598,1648111833098,4,0,-0.070,-0.122,-0.990,-0.002,-0.011,0.012
AIRPOT,1648111832638,1648111833138,4,0,-0.070,-0.122,-0.990,0.002,-0.009,0.009
AIRPOT,1648111832679,1648111833179,4,0,-0.071,-0.123,-0.990,0.001,-0.011,0.010
AIRPOT,1648111832717,1648111833217,4,0,-0.073,-0.124,-0.990,0.003,-0.010,0.005
AIRPOT,1648111832758,1648111833258,4,0,-0.074,-0.124,-0.989,0.002,-0.002,0.000
AIRPOT,1648111832800,1648111833300,4,0,-0.076,-0.124,-0.989,-0.002,0.004,0.004
AIRPOT,1648111832838,1648111833338,4,0,-0.077,-0.122,-0.990,-0.001,-0.004,0.007
AIRPOT,1648111832879,1648111833379,4,0,-0.079,-0.120,-0.990,-0.002,0.004,0.008
AIRPOT,1648111832920,1648111833420,4,0,-0.082,-0.117,-0.990,-0.006,0.004,0.004
AIRPOT,1648111832957,1648111833457,4,0,-0.085,-0.116,-0.990,-0.010,-0.001,0.001
AIRPOT,1648111832996,1648111833496,4,0,-0.088,-0.115,-0.989,-0.013,-0.001,-0.004
AIRPOT,1648111833039,1648111833539,4,0,-0.090,-0.116,-0.989,-0.015,-0.003,0.003
AIRPOT,1648111833077,1648111833577,4,0,-0.091,-0.117,-0.989,-0.012,0.001,0.002
AIRPOT,1648111833118,1648111833618,4,0,-0.091,-0.117,-0.989,-0.012,0.008,0.004
AIRPOT,1648111833159,1648111833659,4,0,-0.089,-0.117,-0.989,-0.004,0.006,-0.004
AIRPOT,1648111833197,1648111833697,4,0,-0.086,-0.116,-0.990,0.002,0.006,-0.002
AIRPOT,1648111833237,1648111833737,4,0,-0.081,-0.113,-0.990,0.011,0.012,-0.007
AIRPOT,1648111833283,1648111833783,4,0,-0.076,-0.111,-0.991,0.019,0.024,-0.004
AIRPOT,1648111833317,1648111833817,4,0,-0.073,-0.108,-0.991,0.021,0.006,0.000
AIRPOT,1648111833358,1648111833858,4,0,-0.073,-0.107,-0.992,0.015,0.007,0.009
AIRPOT,1648111833399,1648111833899,4,0,-0.076,-0.108,-0.991,0.014,-0.008,-0.001
AIRPOT,1648111833438,1648111833938,4,0,-0.080,-0.111,-0.991,-0.000,-0.010,0.000
AIRPOT,1648111833498,1648111833998,4,0,-0.085,-0.114,-0.990,0.005,-0.015,-0.013
AIRPOT,1648111833519,1648111834019,4,0,-0.088,-0.117,-0.989,-0.016,-0.002,0.030
AIRPOT,1648111833558,1648111834058,4,0,-0.092,-0.120,-0.988,-0.008,0.000,0.004
AIRPOT,1648111833597,1648111834097,4,0,-0.094,-0.124,-0.988,-0.010,-0.003,-0.005
AIRPOT,1648111833639,1648111834139,4,0,-0.093,-0.125,-0.988,-0.006,-0.023,-0.003
AIRPOT,1648111833678,1648111834178,4,0,-0.090,-0.125,-0.988,-0.006,-0.013,0.008
AIRPOT,1648111833717,1648111834217,4,0,-0.086,-0.122,-0.989,0.006,-0.019,0.011
AIRPOT,1648111833759,1648111834259,4,0,-0.082,-0.119,-0.989,0.006,-0.003,0.013
AIRPOT,1648111833797,1648111834297,4,0,-0.081,-0.117,-0.990,0.014,-0.001,0.004
AIRPOT,1648111833840,1648111834340,4,0,-0.081,-0.115,-0.990,0.011,0.001,0.001
AIRPOT,1648111833879,1648111834379,4,0,-0.082,-0.115,-0.990,0.009,0.007,-0.000
AIRPOT,1648111833917,1648111834417,4,0,-0.084,-0.115,-0.990,0.003,0.006,-0.001
AIRPOT,1648111833958,1648111834458,4,0,-0.086,-0.115,-0.990,-0.004,-0.001,0.013
AIRPOT,1648111833999,1648111834499,4,0,-0.088,-0.115,-0.990,-0.003,0.004,0.009
AIRPOT,1648111834037,1648111834537,4,0,-0.090,-0.113,-0.990,-0.005,0.008,0.001
AIRPOT,1648111834077,1648111834577,4,0,-0.091,-0.111,-0.990,-0.001,0.000,-0.006
AIRPOT,1648111834119,1648111834619,4,0,-0.091,-0.109,-0.990,-0.001,0.006,-0.007
AIRPOT,1648111834158,1648111834658,4,0,-0.090,-0.108,-0.990,-0.001,0.007,-0.005
AIRPOT,1648111834198,1648111834698,4,0,-0.090,-0.107,-0.990,0.004,-0.001,0.001
AIRPOT,1648111834239,1648111834739,4,0,-0.091,-0.107,-0.990,-0.004,-0.004,0.014
AIRPOT,1648111834278,1648111834778,4,0,-0.092,-0.107,-0.990,0.000,-0.010,-0.011
AIRPOT,1648111834318,1648111834818,4,0,-0.091,-0.107,-0.990,0.010,-0.056,-0.020
AIRPOT,1648111834359,1648111834859,4,0,-0.091,-0.102,-0.991,0.037,-0.229,-0.032
AIRPOT,1648111834400,1648111834900,4,0,-0.088,-0.089,-0.992,-0.002,-0.461,0.014
AIRPOT,1648111834458,1648111834958,4,0,-0.089,-0.079,-0.993,-0.257,-0.282,0.268
AIRPOT,1648111834479,1648111834979,4,0,-0.120,-0.078,-0.990,-0.287,-0.016,0.109
AIRPOT,1648111834517,1648111835017,4,0,-0.154,-0.082,-0.985,-0.198,0.172,0.014
AIRPOT,1648111834558,1648111835058,4,0,-0.180,-0.087,-0.980,-0.099,0.270,-0.039
AIRPOT,1648111834618,1648111835118,4,0,-0.195,-0.094,-0.976,-0.040,0.235,-0.058
AIRPOT,1648111834637,1648111835137,4,0,-0.203,-0.097,-0.974,-0.022,0.178,-0.047
AIRPOT,1648111834678,1648111835178,4,0,-0.208,-0.096,-0.973,-0.018,0.080,-0.033
AIRPOT,1648111834719,1648111835219,4,0,-0.210,-0.093,-0.973,0.013,0.025,-0.036
AIRPOT,1648111834758,1648111835258,4,0,-0.206,-0.091,-0.974,0.006,0.012,-0.009
AIRPOT,1648111834818,1648111835318,4,0,-0.202,-0.090,-0.975,0.006,0.020,0.007
AIRPOT,1648111834839,1648111835339,4,0,-0.199,-0.089,-0.976,0.013,0.022,0.002
AIRPOT,1648111834878,1648111835378,4,0,-0.197,-0.087,-0.977,0.013,-0.004,0.011
AIRPOT,1648111834917,1648111835417,4,0,-0.195,-0.086,-0.977,-0.011,-0.007,0.014
AIRPOT,1648111834963,1648111835463,4,0,-0.193,-0.087,-0.977,-0.011,-0.079,-0.025
AIRPOT,1648111835019,1648111835519,4,0,-0.188,-0.092,-0.978,-0.043,-0.054,0.007
AIRPOT,1648111835037,1648111835537,4,0,-0.181,-0.099,-0.978,-0.059,-0.027,0.009
AIRPOT,1648111835098,1648111835598,4,0,-0.175,-0.106,-0.979,-0.022,-0.009,0.006
AIRPOT,1648111835139,1648111835639,4,0,-0.166,-0.113,-0.980,0.016,0.009,0.028
AIRPOT,1648111835158,1648111835658,4,0,-0.158,-0.120,-0.980,0.031,0.054,0.017
AIRPOT,1648111835217,1648111835717,4,0,-0.152,-0.124,-0.981,0.031,0.046,0.013
AIRPOT,1648111835259,1648111835759,4,0,-0.154,-0.122,-0.981,0.017,0.045,-0.005
AIRPOT,1648111835277,1648111835777,4,0,-0.159,-0.118,-0.980,0.020,-0.008,0.047
AIRPOT,1648111835338,1648111835838,4,0,-0.168,-0.118,-0.979,-0.028,0.056,0.031
AIRPOT,1648111835379,1648111835879,4,0,-0.182,-0.116,-0.976,0.027,0.022,-0.011
AIRPOT,1648111835397,1648111835897,4,0,-0.193,-0.116,-0.974,-0.028,0.047,-0.004
AIRPOT,1648111835458,1648111835958,4,0,-0.206,-0.114,-0.972,-0.035,0.049,-0.032
AIRPOT,1648111835499,1648111835999,4,0,-0.216,-0.113,-0.970,-0.046,-0.019,-0.025
AIRPOT,1648111835537,1648111836037,4,0,-0.226,-0.118,-0.967,-0.101,-0.105,-0.024
AIRPOT,1648111835590,1648111836090,4,0,-0.216,-0.129,-0.968,-0.203,-0.331,0.159
AIRPOT,1648111835619,1648111836119,4,0,-0.208,-0.133,-0.969,-0.056,-0.044,0.100
AIRPOT,1648111835659,1648111836159,4,0,-0.208,-0.131,-0.969,0.142,-0.164,-0.102
