DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1648112095159,1648112096203,4,1648112096203,53,5,10,0,0,0,ELT003#
DEVICE,1648112095191,1648112096235,4,1648112096235,55,5,10,0,0,0,ELT003#
DEVICE,1648112135467,1648112136511,4,1648112136511,53,5,10,0,0,0,ELT003#
DEVICE,1648112135499,1648112136543,4,1648112136543,54,5,10,0,0,0,ELT003#
DEVICE,1648112135530,1648112136574,4,1648112136574,55,5,10,0,0,0,ELT003#
DEVICE,1648112135563,1648112136607,4,1648112136607,56,5,10,0,0,0,ELT003#
DEVICE,1648112135595,1648112136639,4,1648112136639,54,5,10,0,0,0,ELT003#
DEVICE,1648112135627,1648112136671,4,1648112136671,53,5,10,0,0,0,ELT003#
DEVICE,1648112135658,1648112136702,4,1648112136702,52,5,10,0,0,0,ELT003#
DEVICE,1648112135690,1648112136734,4,1648112136734,54,5,10,0,0,0,ELT003#
DEVICE,1648112135723,1648112136767,4,1648112136767,55,5,10,0,0,0,ELT003#
DEVICE,1648112135754,1648112136798,4,1648112136798,53,5,10,0,0,0,ELT003#
DEVICE,1648112135786,1648112136830,4,1648112136830,56,5,10,0,0,0,ELT003#
DEVICE,1648112135818,1648112136862,4,1648112136862,54,5,10,0,0,0,ELT003#
DEVICE,1648112135851,1648112136895,4,1648112136895,53,5,10,0,0,0,ELT003#
DEVICE,1648112135883,1648112136927,4,1648112136927,55,5,10,0,0,0,ELT003#
DEVICE,1648112135915,1648112136959,4,1648112136959,54,5,10,0,0,0,ELT003#
DEVICE,1648112135947,1648112136991,4,1648112136991,56,5,10,0,0,0,ELT003#
DEVICE,1648112135978,1648112137022,4,1648112137022,57,5,10,0,0,0,ELT003#
DEVICE,1648112136010,1648112137054,4,1648112137054,55,5,10,0,0,0,ELT003#
DEVICE,1648112136042,1648112137086,4,1648112137086,53,5,10,0,0,0,ELT003#
DEVICE,1648112136074,1648112137118,4,1648112137118,55,5,10,0,0,0,ELT003#
DEVICE,1648112136107,1648112137151,4,1648112137151,53,5,10,0,0,0,ELT003#
DEVICE,1648112136138,1648112137182,4,1648112137182,54,5,10,0,0,0,ELT003#
DEVICE,1648112136170,1648112137214,4,1648112137214,54,5,10,0,0,0,ELT003#
DEVICE,1648112136202,1648112137246,4,1648112137246,52,5,10,0,0,0,ELT003#
DEVICE,1648112136234,1648112137278,4,1648112137278,54,5,10,0,0,0,ELT003#
DEVICE,1648112136266,1648112137310,4,1648112137310,54,5,10,0,0,0,ELT003#
DEVICE,1648112136298,1648112137342,4,1648112137342,52,5,10,0,0,0,ELT003#
DEVICE,1648112136330,1648112137374,4,1648112137374,57,5,10,0,0,0,ELT003#
DEVICE,1648112136363,1648112137407,4,1648112137407,54,5,10,0,0,0,ELT003#
