Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1648113347491,1648113348135,4,1648113347668,-0.118,0.190,-0.038,0.040,0.019,-0.017,83
WATCH,1648113347491,1648113348135,4,1648113347678,-0.132,0.186,-0.052,0.041,0.016,-0.016,83
WATCH,1648113347491,1648113348135,4,1648113347688,-0.144,0.184,-0.070,0.042,0.019,-0.016,83
WATCH,1648113347491,1648113348135,4,1648113347698,-0.150,0.184,-0.083,0.043,0.020,-0.021,83
WATCH,1648113347492,1648113348136,4,1648113347708,-0.155,0.181,-0.095,0.047,0.016,-0.028,83
WATCH,1648113347493,1648113348137,4,1648113347718,-0.154,0.178,-0.107,0.048,0.018,-0.030,83
WATCH,1648113347493,1648113348137,4,1648113347728,-0.166,0.176,-0.114,0.043,0.019,-0.027,83
WATCH,1648113347493,1648113348137,4,1648113347738,-0.171,0.177,-0.116,0.042,0.017,-0.030,83
WATCH,1648113347493,1648113348137,4,1648113347748,-0.176,0.180,-0.133,0.041,0.019,-0.033,83
WATCH,1648113347581,1648113348225,4,1648113347758,-0.189,0.187,-0.142,0.041,0.029,-0.030,83
WATCH,1648113347581,1648113348225,4,1648113347768,-0.197,0.192,-0.151,0.048,0.030,-0.029,83
WATCH,1648113347581,1648113348225,4,1648113347778,-0.211,0.201,-0.160,0.047,0.021,-0.034,83
WATCH,1648113347581,1648113348225,4,1648113347788,-0.233,0.213,-0.166,0.046,0.010,-0.034,83
WATCH,1648113347581,1648113348225,4,1648113347798,-0.250,0.230,-0.171,0.048,0.004,-0.038,83
WATCH,1648113347608,1648113348252,4,1648113347808,-0.247,0.250,-0.174,0.048,0.006,-0.044,83
WATCH,1648113347608,1648113348252,4,1648113347818,-0.237,0.269,-0.182,0.051,0.014,-0.046,83
WATCH,1648113347608,1648113348252,4,1648113347827,-0.219,0.291,-0.185,0.053,0.020,-0.046,83
WATCH,1648113347608,1648113348252,4,1648113347837,-0.203,0.308,-0.190,0.059,0.018,-0.051,83
WATCH,1648113347608,1648113348252,4,1648113347847,-0.209,0.323,-0.197,0.064,0.016,-0.049,83
WATCH,1648113347851,1648113348495,4,1648113347857,-0.216,0.340,-0.202,0.069,0.014,-0.048,83
WATCH,1648113347851,1648113348495,4,1648113347867,-0.223,0.360,-0.212,0.073,0.015,-0.050,83
WATCH,1648113347851,1648113348495,4,1648113347877,-0.234,0.373,-0.214,0.080,0.016,-0.050,83
WATCH,1648113347851,1648113348495,4,1648113347887,-0.233,0.389,-0.218,0.085,0.019,-0.051,83
WATCH,1648113347851,1648113348495,4,1648113347897,-0.224,0.399,-0.229,0.086,0.027,-0.048,83
WATCH,1648113347969,1648113348613,4,1648113347907,-0.213,0.416,-0.235,0.090,0.036,-0.044,83
WATCH,1648113347970,1648113348614,4,1648113347917,-0.203,0.424,-0.235,0.096,0.038,-0.047,83
WATCH,1648113347970,1648113348614,4,1648113347927,-0.197,0.438,-0.247,0.101,0.038,-0.049,83
WATCH,1648113347970,1648113348614,4,1648113347937,-0.200,0.445,-0.254,0.103,0.040,-0.044,83
WATCH,1648113347970,1648113348614,4,1648113347947,-0.207,0.451,-0.248,0.110,0.037,-0.044,83
WATCH,1648113347974,1648113348618,4,1648113347957,-0.217,0.454,-0.240,0.117,0.034,-0.048,83
WATCH,1648113347974,1648113348618,4,1648113347966,-0.225,0.458,-0.229,0.123,0.030,-0.050,83
WATCH,1648113347974,1648113348618,4,1648113347976,-0.230,0.460,-0.215,0.128,0.033,-0.055,83
WATCH,1648113347974,1648113348618,4,1648113347986,-0.226,0.459,-0.206,0.131,0.046,-0.062,83
WATCH,1648113347974,1648113348618,4,1648113347996,-0.211,0.460,-0.194,0.132,0.055,-0.073,83
WATCH,1648113348029,1648113348673,4,1648113348006,-0.197,0.459,-0.183,0.138,0.053,-0.088,83
WATCH,1648113348029,1648113348673,4,1648113348016,-0.185,0.453,-0.174,0.146,0.048,-0.100,83
WATCH,1648113348029,1648113348673,4,1648113348026,-0.175,0.445,-0.175,0.145,0.042,-0.113,83
WATCH,1648113348029,1648113348673,4,1648113348036,-0.156,0.439,-0.176,0.147,0.036,-0.123,83
WATCH,1648113348029,1648113348673,4,1648113348046,-0.131,0.430,-0.178,0.145,0.032,-0.125,83
WATCH,1648113348270,1648113348914,4,1648113348056,-0.111,0.428,-0.180,0.143,0.029,-0.121,83
WATCH,1648113348270,1648113348914,4,1648113348066,-0.100,0.419,-0.184,0.143,0.023,-0.114,83
WATCH,1648113348270,1648113348914,4,1648113348076,-0.087,0.415,-0.181,0.144,0.017,-0.103,83
WATCH,1648113348271,1648113348915,4,1648113348086,-0.087,0.410,-0.180,0.143,0.009,-0.091,83
WATCH,1648113348271,1648113348915,4,1648113348096,-0.087,0.406,-0.176,0.143,0.005,-0.080,83
WATCH,1648113348273,1648113348917,4,1648113348106,-0.092,0.402,-0.163,0.143,0.000,-0.069,83
WATCH,1648113348273,1648113348917,4,1648113348115,-0.098,0.395,-0.145,0.143,-0.009,-0.063,83
WATCH,1648113348273,1648113348917,4,1648113348125,-0.098,0.387,-0.121,0.143,-0.012,-0.055,83
WATCH,1648113348273,1648113348917,4,1648113348135,-0.104,0.373,-0.096,0.140,0.003,-0.046,83
WATCH,1648113348273,1648113348917,4,1648113348145,-0.098,0.363,-0.072,0.138,0.026,-0.040,83
WATCH,1648113348378,1648113349022,4,1648113348155,-0.074,0.342,-0.038,0.140,0.041,-0.042,83
WATCH,1648113348379,1648113349023,4,1648113348165,-0.037,0.320,-0.005,0.139,0.051,-0.045,83
WATCH,1648113348379,1648113349023,4,1648113348175,0.016,0.295,0.026,0.135,0.061,-0.047,83
WATCH,1648113348379,1648113349023,4,1648113348185,0.066,0.261,0.047,0.128,0.074,-0.050,83
WATCH,1648113348380,1648113349024,4,1648113348195,0.139,0.224,0.070,0.126,0.082,-0.052,83
WATCH,1648113348382,1648113349026,4,1648113348205,0.195,0.181,0.100,0.128,0.088,-0.053,83
WATCH,1648113348382,1648113349026,4,1648113348215,0.233,0.131,0.129,0.128,0.088,-0.048,83
WATCH,1648113348382,1648113349026,4,1648113348225,0.277,0.077,0.153,0.124,0.077,-0.047,83
WATCH,1648113348382,1648113349026,4,1648113348235,0.303,0.019,0.186,0.118,0.068,-0.047,83
WATCH,1648113348382,1648113349026,4,1648113348245,0.313,-0.042,0.225,0.110,0.049,-0.046,83
WATCH,1648113348384,1648113349028,4,1648113348254,0.299,-0.108,0.276,0.098,0.019,-0.040,83
WATCH,1648113348384,1648113349028,4,1648113348264,0.287,-0.181,0.330,0.079,-0.007,-0.032,83
WATCH,1648113348384,1648113349028,4,1648113348274,0.260,-0.248,0.389,0.056,-0.011,-0.016,83
WATCH,1648113348385,1648113349029,4,1648113348284,0.256,-0.320,0.444,0.028,-0.003,-0.009,83
WATCH,1648113348385,1648113349029,4,1648113348294,0.268,-0.386,0.487,0.001,0.025,-0.001,83
WATCH,1648113348488,1648113349132,4,1648113348304,0.290,-0.455,0.507,-0.024,0.051,0.006,83
WATCH,1648113348488,1648113349132,4,1648113348314,0.343,-0.532,0.526,-0.034,0.053,-0.001,83
WATCH,1648113348488,1648113349132,4,1648113348324,0.366,-0.633,0.533,-0.040,0.065,-0.004,83
WATCH,1648113348489,1648113349133,4,1648113348334,0.381,-0.738,0.537,-0.050,0.075,-0.004,83
WATCH,1648113348489,1648113349133,4,1648113348344,0.434,-0.839,0.561,-0.068,0.058,-0.001,83
