Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1648115151232,1648115151824,4,1648115151733,-0.081,-0.113,0.187,-0.005,0.006,-0.001,79
WATCH,1648115151232,1648115151824,4,1648115151744,-0.076,-0.084,0.183,-0.010,0.007,-0.004,79
WATCH,1648115151232,1648115151824,4,1648115151753,-0.067,-0.050,0.171,-0.013,0.012,-0.007,79
WATCH,1648115151232,1648115151824,4,1648115151763,-0.056,-0.013,0.159,-0.018,0.015,-0.007,79
WATCH,1648115151294,1648115151886,4,1648115151773,-0.058,0.018,0.145,-0.022,0.015,-0.004,79
WATCH,1648115151294,1648115151886,4,1648115151783,-0.041,0.041,0.132,-0.030,0.018,0.002,79
WATCH,1648115151294,1648115151886,4,1648115151793,-0.038,0.063,0.118,-0.031,0.016,-0.002,79
WATCH,1648115151294,1648115151886,4,1648115151804,-0.020,0.077,0.103,-0.032,0.014,-0.000,79
WATCH,1648115151294,1648115151886,4,1648115151813,-0.017,0.078,0.091,-0.030,0.012,-0.004,79
WATCH,1648115151355,1648115151947,4,1648115151823,-0.006,0.074,0.075,-0.028,0.012,-0.001,79
WATCH,1648115151355,1648115151947,4,1648115151833,0.001,0.074,0.060,-0.031,0.012,0.002,79
WATCH,1648115151355,1648115151947,4,1648115151843,-0.002,0.068,0.053,-0.025,0.008,0.003,79
WATCH,1648115151355,1648115151947,4,1648115151853,-0.010,0.060,0.051,-0.022,0.008,0.003,79
WATCH,1648115151355,1648115151947,4,1648115151864,-0.015,0.051,0.044,-0.021,0.006,0.003,79
WATCH,1648115151414,1648115152006,4,1648115151873,-0.022,0.040,0.042,-0.014,0.010,0.004,79
WATCH,1648115151414,1648115152006,4,1648115151883,-0.037,0.028,0.039,-0.010,0.006,0.004,79
WATCH,1648115151414,1648115152006,4,1648115151893,-0.055,0.017,0.037,-0.006,0.005,0.007,79
WATCH,1648115151414,1648115152006,4,1648115151903,-0.071,0.013,0.037,-0.004,0.002,0.007,79
WATCH,1648115151415,1648115152007,4,1648115151913,-0.085,0.012,0.040,-0.005,-0.001,0.009,79
WATCH,1648115151478,1648115152070,4,1648115151923,-0.088,0.024,0.042,-0.006,-0.002,0.007,79
WATCH,1648115151479,1648115152071,4,1648115151933,-0.092,0.037,0.041,-0.005,-0.003,0.006,79
WATCH,1648115151479,1648115152071,4,1648115151943,-0.089,0.051,0.042,-0.004,-0.001,0.003,79
WATCH,1648115151479,1648115152071,4,1648115151953,-0.083,0.070,0.037,-0.004,0.002,-0.001,79
WATCH,1648115151479,1648115152071,4,1648115151963,-0.073,0.090,0.035,-0.002,0.006,-0.003,79
WATCH,1648115151480,1648115152072,4,1648115151973,-0.072,0.109,0.028,0.002,0.003,-0.005,79
WATCH,1648115151480,1648115152072,4,1648115151983,-0.064,0.124,0.020,0.000,0.004,-0.005,79
WATCH,1648115151480,1648115152072,4,1648115151993,-0.063,0.135,0.021,0.001,0.005,-0.008,79
WATCH,1648115151480,1648115152072,4,1648115152003,-0.063,0.138,0.014,0.003,-0.000,-0.007,79
WATCH,1648115151480,1648115152072,4,1648115152014,-0.063,0.140,0.010,0.002,0.001,-0.005,79
WATCH,1648115151537,1648115152129,4,1648115152024,-0.058,0.135,0.005,0.001,-0.000,-0.005,79
WATCH,1648115151537,1648115152129,4,1648115152034,-0.055,0.128,-0.002,0.001,-0.003,-0.007,79
WATCH,1648115151537,1648115152129,4,1648115152044,-0.055,0.118,-0.004,0.002,-0.001,-0.009,79
WATCH,1648115151537,1648115152129,4,1648115152054,-0.052,0.105,-0.008,0.003,-0.007,-0.010,79
WATCH,1648115151537,1648115152129,4,1648115152063,-0.053,0.092,-0.011,0.004,-0.005,-0.010,79
WATCH,1648115151595,1648115152187,4,1648115152073,-0.054,0.074,-0.013,0.007,0.002,-0.009,79
WATCH,1648115151595,1648115152187,4,1648115152083,-0.059,0.062,-0.017,0.009,0.003,-0.008,79
WATCH,1648115151596,1648115152188,4,1648115152094,-0.063,0.041,-0.022,0.010,0.006,-0.007,79
WATCH,1648115151596,1648115152188,4,1648115152104,-0.068,0.027,-0.029,0.012,0.013,-0.007,79
WATCH,1648115151596,1648115152188,4,1648115152114,-0.065,0.014,-0.032,0.011,0.014,-0.010,79
WATCH,1648115151654,1648115152246,4,1648115152124,-0.065,-0.006,-0.034,0.012,0.014,-0.012,79
WATCH,1648115151655,1648115152247,4,1648115152134,-0.065,-0.021,-0.037,0.013,0.010,-0.009,79
WATCH,1648115151655,1648115152247,4,1648115152144,-0.068,-0.037,-0.043,0.014,0.007,-0.007,79
WATCH,1648115151655,1648115152247,4,1648115152154,-0.069,-0.046,-0.042,0.017,0.007,-0.008,79
WATCH,1648115151655,1648115152247,4,1648115152164,-0.069,-0.058,-0.041,0.016,0.001,-0.012,79
WATCH,1648115151714,1648115152306,4,1648115152174,-0.068,-0.069,-0.044,0.016,-0.000,-0.011,79
WATCH,1648115151715,1648115152307,4,1648115152184,-0.064,-0.071,-0.042,0.016,0.002,-0.012,79
WATCH,1648115151715,1648115152307,4,1648115152194,-0.064,-0.076,-0.040,0.015,0.001,-0.011,79
WATCH,1648115151715,1648115152307,4,1648115152204,-0.058,-0.081,-0.034,0.014,-0.002,-0.013,79
WATCH,1648115151715,1648115152307,4,1648115152214,-0.052,-0.082,-0.033,0.012,-0.005,-0.016,79
WATCH,1648115151780,1648115152372,4,1648115152224,-0.050,-0.085,-0.026,0.011,-0.005,-0.014,79
WATCH,1648115151780,1648115152372,4,1648115152234,-0.046,-0.088,-0.019,0.009,-0.003,-0.012,79
WATCH,1648115151780,1648115152372,4,1648115152244,-0.047,-0.088,-0.013,0.008,-0.000,-0.008,79
WATCH,1648115151780,1648115152372,4,1648115152254,-0.046,-0.090,-0.011,0.006,-0.000,-0.008,79
WATCH,1648115151780,1648115152372,4,1648115152264,-0.041,-0.086,-0.008,0.005,0.004,-0.010,79
WATCH,1648115151780,1648115152372,4,1648115152274,-0.044,-0.089,-0.005,0.002,0.003,-0.010,79
WATCH,1648115151780,1648115152372,4,1648115152284,-0.039,-0.086,-0.005,-0.001,0.004,-0.010,79
WATCH,1648115151780,1648115152372,4,1648115152294,-0.035,-0.085,-0.004,-0.002,0.005,-0.008,79
WATCH,1648115151780,1648115152372,4,1648115152304,-0.031,-0.081,-0.004,-0.004,0.005,-0.007,79
WATCH,1648115151780,1648115152372,4,1648115152314,-0.021,-0.076,-0.005,-0.006,0.010,-0.009,79
WATCH,1648115151835,1648115152427,4,1648115152324,-0.014,-0.072,-0.006,-0.006,0.006,-0.008,79
WATCH,1648115151835,1648115152427,4,1648115152334,-0.011,-0.063,-0.014,-0.004,0.007,-0.007,79
WATCH,1648115151835,1648115152427,4,1648115152344,-0.013,-0.060,-0.010,-0.006,0.006,-0.005,79
WATCH,1648115151835,1648115152427,4,1648115152354,-0.009,-0.049,-0.009,-0.004,0.005,-0.004,79
WATCH,1648115151835,1648115152427,4,1648115152364,-0.012,-0.048,-0.008,-0.005,0.004,-0.000,79
WATCH,1648115151901,1648115152493,4,1648115152374,-0.012,-0.039,-0.006,-0.007,0.002,-0.001,79
WATCH,1648115151901,1648115152493,4,1648115152384,-0.002,-0.036,-0.007,-0.010,0.001,-0.003,79
WATCH,1648115151901,1648115152493,4,1648115152394,0.002,-0.031,-0.002,-0.011,0.004,-0.003,79
WATCH,1648115151901,1648115152493,4,1648115152404,0.004,-0.024,-0.002,-0.009,0.003,-0.000,79
WATCH,1648115151901,1648115152493,4,1648115152414,0.006,-0.023,0.000,-0.009,-0.005,0.002,79
WATCH,1648115151956,1648115152548,4,1648115152424,0.016,-0.027,0.002,-0.009,-0.004,0.002,79
WATCH,1648115151956,1648115152548,4,1648115152434,0.001,-0.014,0.005,-0.010,0.004,0.001,79
WATCH,1648115151956,1648115152548,4,1648115152444,0.004,-0.016,0.009,-0.014,0.002,0.001,79
WATCH,1648115151956,1648115152548,4,1648115152454,-0.001,-0.017,0.008,-0.010,0.003,0.001,79
WATCH,1648115151956,1648115152548,4,1648115152464,-0.002,-0.016,0.009,-0.014,0.010,-0.001,79
WATCH,1648115152014,1648115152606,4,1648115152474,0.003,-0.012,0.008,-0.013,0.014,-0.001,79
WATCH,1648115152015,1648115152607,4,1648115152484,0.007,-0.009,0.002,-0.011,0.019,-0.001,79
WATCH,1648115152015,1648115152607,4,1648115152494,0.008,-0.009,0.000,-0.008,0.017,-0.002,79
WATCH,1648115152015,1648115152607,4,1648115152504,0.010,-0.004,-0.006,-0.007,0.019,-0.001,79
WATCH,1648115152015,1648115152607,4,1648115152514,0.015,0.002,-0.014,-0.006,0.019,-0.004,79
WATCH,1648115152110,1648115152702,4,1648115152524,0.022,0.009,-0.018,-0.005,0.013,-0.005,79
WATCH,1648115152110,1648115152702,4,1648115152534,0.024,0.010,-0.020,-0.003,0.007,-0.005,79
WATCH,1648115152110,1648115152702,4,1648115152544,0.025,0.016,-0.012,-0.000,-0.003,-0.003,79
WATCH,1648115152110,1648115152702,4,1648115152554,0.026,0.017,-0.006,0.000,-0.011,-0.003,79
WATCH,1648115152110,1648115152702,4,1648115152564,0.029,0.023,-0.004,-0.000,-0.006,-0.003,79
WATCH,1648115152111,1648115152703,4,1648115152574,0.035,0.022,0.004,0.001,0.001,-0.007,79
WATCH,1648115152111,1648115152703,4,1648115152584,0.036,0.023,0.006,0.006,-0.002,-0.010,79
WATCH,1648115152111,1648115152703,4,1648115152594,0.034,0.019,0.008,0.005,-0.002,-0.012,79
WATCH,1648115152111,1648115152703,4,1648115152604,0.031,0.017,0.011,0.009,-0.003,-0.009,79
WATCH,1648115152111,1648115152703,4,1648115152614,0.031,0.014,0.013,0.009,-0.001,-0.010,79
WATCH,1648115152198,1648115152790,4,1648115152625,0.034,0.010,0.015,0.010,0.003,-0.011,79
WATCH,1648115152199,1648115152791,4,1648115152634,0.035,0.003,0.018,0.011,0.005,-0.012,79
WATCH,1648115152199,1648115152791,4,1648115152644,0.031,-0.000,0.016,0.009,-0.001,-0.010,79
WATCH,1648115152199,1648115152791,4,1648115152654,0.033,-0.006,0.019,0.006,0.004,-0.009,79
WATCH,1648115152199,1648115152791,4,1648115152664,0.036,-0.011,0.020,0.004,0.005,-0.010,79
WATCH,1648115152200,1648115152792,4,1648115152674,0.036,-0.010,0.016,0.002,0.002,-0.007,79
WATCH,1648115152200,1648115152792,4,1648115152685,0.035,-0.012,0.013,0.001,0.004,-0.005,79
WATCH,1648115152200,1648115152792,4,1648115152694,0.037,-0.010,0.010,0.000,0.006,-0.004,79
WATCH,1648115152200,1648115152792,4,1648115152704,0.037,-0.014,0.006,0.002,0.003,-0.005,79
WATCH,1648115152200,1648115152792,4,1648115152714,0.038,-0.014,0.001,0.002,0.010,-0.005,79
WATCH,1648115152252,1648115152844,4,1648115152724,0.037,-0.018,-0.002,0.004,0.011,-0.005,79
WATCH,1648115152252,1648115152844,4,1648115152734,0.038,-0.022,-0.005,0.004,0.005,-0.006,79
WATCH,1648115152252,1648115152844,4,1648115152744,0.039,-0.025,-0.007,0.004,0.007,-0.002,79
WATCH,1648115152252,1648115152844,4,1648115152755,0.039,-0.031,-0.008,0.004,0.003,-0.003,79
WATCH,1648115152252,1648115152844,4,1648115152764,0.033,-0.035,-0.006,0.001,-0.002,-0.002,79
WATCH,1648115152316,1648115152908,4,1648115152775,0.028,-0.040,-0.003,0.001,-0.005,-0.002,79
WATCH,1648115152316,1648115152908,4,1648115152784,0.021,-0.041,0.002,-0.000,-0.008,0.000,79
WATCH,1648115152316,1648115152908,4,1648115152795,0.021,-0.042,0.005,-0.001,-0.005,-0.000,79
WATCH,1648115152316,1648115152908,4,1648115152804,0.019,-0.038,0.005,0.000,-0.004,0.002,79
WATCH,1648115152316,1648115152908,4,1648115152814,0.017,-0.033,0.007,-0.002,-0.006,0.002,79
WATCH,1648115152375,1648115152967,4,1648115152824,0.017,-0.030,0.007,-0.003,-0.001,0.005,79
WATCH,1648115152375,1648115152967,4,1648115152834,0.022,-0.025,0.004,-0.002,0.002,0.004,79
WATCH,1648115152375,1648115152967,4,1648115152844,0.024,-0.020,0.000,-0.003,0.006,0.002,79
WATCH,1648115152375,1648115152967,4,1648115152854,0.023,-0.016,0.003,-0.002,0.004,0.003,79
WATCH,1648115152375,1648115152967,4,1648115152864,0.021,-0.013,-0.001,-0.003,-0.001,0.006,79
WATCH,1648115152439,1648115153031,4,1648115152875,0.017,-0.009,-0.005,-0.000,0.003,0.007,79
WATCH,1648115152439,1648115153031,4,1648115152884,0.019,-0.005,-0.005,0.000,0.004,0.006,79
WATCH,1648115152440,1648115153032,4,1648115152894,0.014,-0.008,-0.004,0.001,-0.001,0.003,79
WATCH,1648115152440,1648115153032,4,1648115152904,0.014,-0.012,-0.004,-0.001,-0.006,0.001,79
WATCH,1648115152440,1648115153032,4,1648115152915,0.009,-0.014,-0.001,-0.001,-0.004,0.002,79
WATCH,1648115152440,1648115153032,4,1648115152925,0.007,-0.011,0.001,0.001,-0.005,0.003,79
WATCH,1648115152441,1648115153033,4,1648115152935,0.005,-0.017,0.004,0.001,-0.002,0.005,79
WATCH,1648115152441,1648115153033,4,1648115152944,0.005,-0.021,0.006,0.003,0.002,0.002,79
WATCH,1648115152441,1648115153033,4,1648115152955,0.004,-0.018,0.010,0.004,0.001,-0.000,79
WATCH,1648115152441,1648115153033,4,1648115152966,0.006,-0.021,0.008,0.001,0.002,0.002,80
WATCH,1648115152495,1648115153087,4,1648115152975,0.008,-0.019,0.006,0.003,0.008,-0.001,80
WATCH,1648115152495,1648115153087,4,1648115152984,0.005,-0.022,-0.000,0.003,0.007,0.000,80
WATCH,1648115152496,1648115153088,4,1648115152994,0.001,-0.021,0.001,0.001,0.005,0.000,80
WATCH,1648115152496,1648115153088,4,1648115153005,-0.008,-0.022,0.002,0.001,-0.002,0.001,80
WATCH,1648115152496,1648115153088,4,1648115153015,-0.008,-0.026,-0.001,-0.002,-0.002,0.002,80
WATCH,1648115152555,1648115153147,4,1648115153025,-0.007,-0.026,0.003,-0.007,-0.003,-0.000,80
WATCH,1648115152555,1648115153147,4,1648115153035,-0.009,-0.025,0.003,-0.009,-0.004,0.001,80
WATCH,1648115152555,1648115153147,4,1648115153045,-0.022,-0.023,0.002,-0.010,0.001,0.002,80
WATCH,1648115152555,1648115153147,4,1648115153055,-0.003,-0.024,-0.005,-0.010,0.004,0.002,80
WATCH,1648115152555,1648115153147,4,1648115153065,0.004,-0.018,-0.009,-0.007,0.015,-0.003,80
WATCH,1648115152617,1648115153209,4,1648115153075,-0.003,-0.018,-0.013,-0.004,0.009,-0.004,80
WATCH,1648115152617,1648115153209,4,1648115153085,-0.007,-0.011,-0.022,-0.004,0.008,-0.001,80
WATCH,1648115152617,1648115153209,4,1648115153095,0.000,-0.008,-0.021,-0.004,0.008,-0.001,80
WATCH,1648115152617,1648115153209,4,1648115153105,0.003,-0.001,-0.024,-0.003,0.001,0.001,80
WATCH,1648115152617,1648115153209,4,1648115153115,0.006,0.004,-0.025,-0.003,0.001,0.001,80
WATCH,1648115152676,1648115153268,4,1648115153125,0.009,0.010,-0.020,0.000,-0.006,0.001,80
WATCH,1648115152676,1648115153268,4,1648115153135,0.001,0.015,-0.018,0.003,-0.016,0.002,80
WATCH,1648115152676,1648115153268,4,1648115153145,-0.007,0.011,-0.012,0.003,-0.017,0.004,80
WATCH,1648115152676,1648115153268,4,1648115153155,-0.017,0.016,-0.002,0.001,-0.017,0.008,80
WATCH,1648115152676,1648115153268,4,1648115153165,-0.031,0.012,0.005,0.001,-0.016,0.011,80
WATCH,1648115152739,1648115153331,4,1648115153175,-0.034,0.014,0.012,-0.002,-0.007,0.010,80
WATCH,1648115152740,1648115153332,4,1648115153185,-0.035,0.012,0.016,-0.003,-0.003,0.007,80
WATCH,1648115152740,1648115153332,4,1648115153195,-0.034,0.020,0.012,-0.005,0.006,0.009,80
WATCH,1648115152740,1648115153332,4,1648115153205,-0.031,0.021,0.010,-0.004,0.008,0.007,80
WATCH,1648115152740,1648115153332,4,1648115153215,-0.029,0.022,0.005,-0.005,0.006,0.003,80
WATCH,1648115152740,1648115153332,4,1648115153225,-0.029,0.023,-0.001,-0.007,0.010,0.003,80
WATCH,1648115152740,1648115153332,4,1648115153235,-0.028,0.025,-0.002,-0.008,0.009,-0.001,80
WATCH,1648115152740,1648115153332,4,1648115153245,-0.024,0.024,-0.007,-0.009,0.006,0.001,80
WATCH,1648115152740,1648115153332,4,1648115153255,-0.023,0.027,-0.009,-0.010,0.007,0.002,80
WATCH,1648115152740,1648115153332,4,1648115153265,-0.022,0.028,-0.011,-0.010,0.005,0.000,80
WATCH,1648115152795,1648115153387,4,1648115153275,-0.023,0.031,-0.010,-0.009,0.003,0.000,80
WATCH,1648115152795,1648115153387,4,1648115153285,-0.024,0.029,-0.012,-0.008,0.001,-0.000,80
WATCH,1648115152795,1648115153387,4,1648115153295,-0.022,0.033,-0.012,-0.007,0.004,-0.002,80
WATCH,1648115152795,1648115153387,4,1648115153305,-0.016,0.032,-0.012,-0.006,0.008,-0.005,80
WATCH,1648115152795,1648115153387,4,1648115153315,-0.012,0.030,-0.016,-0.004,0.004,-0.006,80
WATCH,1648115152853,1648115153445,4,1648115153325,-0.009,0.034,-0.014,-0.001,0.009,-0.002,80
