Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1648115132042,1648115132751,4,1648115132616,0.828,0.378,0.401,-0.075,0.005,-0.179,110
WATCH,1648115132042,1648115132751,4,1648115132626,0.663,0.351,0.392,-0.082,-0.002,-0.146,110
WATCH,1648115132042,1648115132751,4,1648115132636,0.545,0.315,0.399,-0.082,-0.027,-0.120,110
WATCH,1648115132042,1648115132751,4,1648115132645,0.435,0.307,0.386,-0.076,-0.005,-0.105,110
WATCH,1648115132131,1648115132840,4,1648115132655,0.417,0.287,0.354,-0.087,0.040,-0.097,110
WATCH,1648115132131,1648115132840,4,1648115132666,0.453,0.265,0.319,-0.088,0.049,-0.102,110
WATCH,1648115132131,1648115132840,4,1648115132675,0.495,0.266,0.281,-0.095,0.049,-0.117,110
WATCH,1648115132131,1648115132840,4,1648115132685,0.494,0.242,0.247,-0.098,0.035,-0.117,110
WATCH,1648115132131,1648115132840,4,1648115132695,0.502,0.226,0.237,-0.082,0.012,-0.121,110
WATCH,1648115132132,1648115132841,4,1648115132705,0.463,0.217,0.220,-0.065,-0.002,-0.124,110
WATCH,1648115132132,1648115132841,4,1648115132715,0.451,0.199,0.203,-0.054,-0.008,-0.122,110
WATCH,1648115132132,1648115132841,4,1648115132725,0.442,0.180,0.196,-0.049,-0.019,-0.122,110
WATCH,1648115132132,1648115132841,4,1648115132735,0.494,0.176,0.178,-0.056,-0.008,-0.125,110
WATCH,1648115132133,1648115132842,4,1648115132745,0.568,0.163,0.154,-0.064,0.028,-0.115,110
WATCH,1648115132195,1648115132904,4,1648115132755,0.667,0.157,0.125,-0.058,0.054,-0.106,110
WATCH,1648115132195,1648115132904,4,1648115132765,0.686,0.156,0.090,-0.060,0.049,-0.080,110
WATCH,1648115132195,1648115132904,4,1648115132775,0.671,0.149,0.055,-0.059,0.049,-0.063,110
WATCH,1648115132195,1648115132904,4,1648115132784,0.634,0.123,0.033,-0.053,0.047,-0.050,110
WATCH,1648115132195,1648115132904,4,1648115132794,0.550,0.107,0.014,-0.046,0.039,-0.040,110
WATCH,1648115132196,1648115132905,4,1648115132804,0.447,0.095,-0.007,-0.051,0.017,-0.031,110
WATCH,1648115132196,1648115132905,4,1648115132814,0.349,0.073,-0.025,-0.058,0.012,-0.031,110
WATCH,1648115132196,1648115132905,4,1648115132824,0.251,0.051,-0.036,-0.051,0.013,-0.033,110
WATCH,1648115132196,1648115132905,4,1648115132834,0.160,0.026,-0.044,-0.043,-0.001,-0.029,110
WATCH,1648115132196,1648115132905,4,1648115132844,0.085,0.005,-0.049,-0.038,-0.008,-0.031,110
WATCH,1648115132255,1648115132964,4,1648115132854,0.018,-0.003,-0.061,-0.037,-0.008,-0.036,110
WATCH,1648115132255,1648115132964,4,1648115132864,0.005,-0.007,-0.067,-0.037,0.002,-0.043,110
WATCH,1648115132255,1648115132964,4,1648115132874,-0.017,-0.014,-0.072,-0.037,0.002,-0.032,110
WATCH,1648115132255,1648115132964,4,1648115132884,-0.027,-0.011,-0.069,-0.041,-0.007,-0.023,110
WATCH,1648115132255,1648115132964,4,1648115132894,-0.014,-0.019,-0.051,-0.041,-0.032,-0.017,110
WATCH,1648115132316,1648115133025,4,1648115132904,0.017,-0.024,-0.037,-0.037,-0.037,-0.012,110
WATCH,1648115132316,1648115133025,4,1648115132914,0.046,-0.024,-0.020,-0.031,-0.033,-0.009,110
WATCH,1648115132317,1648115133026,4,1648115132924,0.057,-0.028,-0.009,-0.024,-0.042,-0.003,110
WATCH,1648115132317,1648115133026,4,1648115132934,0.039,-0.033,0.005,-0.019,-0.056,0.008,110
WATCH,1648115132317,1648115133026,4,1648115132944,0.001,-0.037,0.015,-0.020,-0.057,0.016,110
WATCH,1648115132376,1648115133085,4,1648115132953,-0.023,-0.036,0.019,-0.019,-0.041,0.013,110
WATCH,1648115132376,1648115133085,4,1648115132963,-0.027,-0.027,0.024,-0.015,-0.021,0.003,110
WATCH,1648115132376,1648115133085,4,1648115132973,-0.025,-0.015,0.018,-0.013,-0.005,-0.001,110
WATCH,1648115132376,1648115133085,4,1648115132983,0.006,-0.009,0.021,-0.008,0.003,-0.004,110
WATCH,1648115132376,1648115133085,4,1648115132993,0.021,-0.004,0.016,0.002,0.009,0.000,110
WATCH,1648115132437,1648115133146,4,1648115133003,0.038,-0.008,0.020,0.012,0.015,-0.003,110
WATCH,1648115132437,1648115133146,4,1648115133013,0.048,-0.014,0.020,0.020,0.017,-0.005,110
WATCH,1648115132437,1648115133146,4,1648115133023,0.021,-0.024,0.018,0.026,0.019,-0.006,110
WATCH,1648115132437,1648115133146,4,1648115133033,-0.024,-0.042,0.025,0.031,0.010,-0.001,110
WATCH,1648115132437,1648115133146,4,1648115133043,-0.064,-0.043,0.028,0.038,-0.001,-0.006,110
WATCH,1648115132530,1648115133239,4,1648115133053,-0.097,-0.044,0.032,0.042,0.000,-0.003,110
WATCH,1648115132530,1648115133239,4,1648115133063,-0.103,-0.043,0.033,0.050,0.012,-0.003,110
WATCH,1648115132530,1648115133239,4,1648115133073,-0.095,-0.039,0.030,0.062,0.017,0.009,110
WATCH,1648115132530,1648115133239,4,1648115133083,-0.074,-0.035,0.026,0.077,0.023,0.016,110
WATCH,1648115132530,1648115133239,4,1648115133093,-0.053,-0.020,0.025,0.082,0.029,0.023,110
WATCH,1648115132530,1648115133239,4,1648115133102,-0.029,-0.012,0.035,0.093,0.021,0.021,110
WATCH,1648115132530,1648115133239,4,1648115133112,0.002,-0.009,0.046,0.116,0.016,0.019,110
WATCH,1648115132530,1648115133239,4,1648115133122,0.017,-0.002,0.044,0.135,0.026,0.020,110
WATCH,1648115132530,1648115133239,4,1648115133132,0.048,0.005,0.038,0.156,0.042,0.014,110
WATCH,1648115132530,1648115133239,4,1648115133142,0.059,0.016,0.024,0.186,0.038,0.011,110
WATCH,1648115132586,1648115133295,4,1648115133152,0.040,0.026,0.026,0.212,0.031,0.028,110
WATCH,1648115132586,1648115133295,4,1648115133162,0.022,0.028,0.055,0.233,0.018,0.040,110
WATCH,1648115132586,1648115133295,4,1648115133172,-0.024,0.042,0.084,0.224,0.003,0.048,110
WATCH,1648115132586,1648115133295,4,1648115133182,-0.099,0.062,0.100,0.199,-0.000,0.046,110
WATCH,1648115132586,1648115133295,4,1648115133192,-0.159,0.079,0.134,0.191,-0.005,0.034,110
WATCH,1648115132645,1648115133354,4,1648115133202,-0.192,0.103,0.167,0.181,-0.009,0.038,110
WATCH,1648115132645,1648115133354,4,1648115133212,-0.211,0.119,0.213,0.169,0.004,0.039,110
WATCH,1648115132645,1648115133354,4,1648115133222,-0.205,0.144,0.246,0.154,0.025,0.041,110
WATCH,1648115132646,1648115133355,4,1648115133232,-0.195,0.185,0.277,0.128,0.043,0.052,110
WATCH,1648115132646,1648115133355,4,1648115133242,-0.184,0.237,0.306,0.109,0.059,0.059,110
WATCH,1648115132647,1648115133356,4,1648115133251,-0.187,0.291,0.319,0.091,0.075,0.062,110
WATCH,1648115132647,1648115133356,4,1648115133261,-0.239,0.355,0.333,0.071,0.079,0.063,110
WATCH,1648115132647,1648115133356,4,1648115133271,-0.330,0.436,0.348,0.044,0.064,0.065,110
WATCH,1648115132647,1648115133356,4,1648115133281,-0.378,0.506,0.365,0.021,0.058,0.061,110
WATCH,1648115132647,1648115133356,4,1648115133291,-0.419,0.564,0.373,0.016,0.066,0.048,110
WATCH,1648115132705,1648115133414,4,1648115133301,-0.426,0.622,0.380,0.012,0.070,0.039,110
WATCH,1648115132705,1648115133414,4,1648115133311,-0.485,0.696,0.403,0.001,0.045,0.029,110
WATCH,1648115132705,1648115133414,4,1648115133321,-0.553,0.773,0.424,-0.014,0.019,0.031,110
WATCH,1648115132705,1648115133414,4,1648115133331,-0.576,0.822,0.464,-0.036,-0.007,0.034,110
WATCH,1648115132705,1648115133414,4,1648115133341,-0.565,0.863,0.502,-0.042,0.017,0.017,110
WATCH,1648115132796,1648115133505,4,1648115133351,-0.548,0.931,0.527,-0.046,0.053,-0.007,110
WATCH,1648115132796,1648115133505,4,1648115133361,-0.564,0.995,0.543,-0.048,0.052,-0.021,110
WATCH,1648115132796,1648115133505,4,1648115133371,-0.634,1.048,0.575,-0.044,0.047,-0.007,110
WATCH,1648115132796,1648115133505,4,1648115133381,-0.721,1.114,0.614,-0.027,0.063,-0.011,110
WATCH,1648115132796,1648115133505,4,1648115133391,-0.805,1.176,0.640,-0.028,0.080,-0.011,110
WATCH,1648115132855,1648115133564,4,1648115133400,-0.895,1.217,0.653,-0.029,0.074,-0.017,110
