Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
AIRPOT,1648115580358,1648115580975,4,0,0.171,0.150,-0.974,-0.004,-0.000,0.006
AIRPOT,1648115580390,1648115581007,4,0,0.170,0.150,-0.974,0.000,0.002,-0.002
AIRPOT,1648115580438,1648115581055,4,0,0.170,0.151,-0.974,-0.006,0.005,0.006
AIRPOT,1648115580548,1648115581165,4,0,0.167,0.153,-0.974,-0.006,0.008,0.001
AIRPOT,1648115580467,1648115581084,4,0,0.169,0.152,-0.974,-0.003,0.007,0.005
AIRPOT,1648115580518,1648115581135,4,0,0.168,0.153,-0.974,-0.004,0.009,0.002
AIRPOT,1648115580599,1648115581216,4,0,0.167,0.154,-0.974,-0.006,0.006,0.000
AIRPOT,1648115580628,1648115581245,4,0,0.167,0.154,-0.974,-0.007,0.005,0.001
AIRPOT,1648115580683,1648115581300,4,0,0.166,0.154,-0.974,-0.006,0.005,0.002
AIRPOT,1648115580707,1648115581324,4,0,0.166,0.154,-0.974,-0.005,0.003,0.000
AIRPOT,1648115580758,1648115581375,4,0,0.167,0.154,-0.974,-0.003,0.000,0.003
AIRPOT,1648115580789,1648115581406,4,0,0.167,0.155,-0.974,-0.003,-0.001,0.002
AIRPOT,1648115580841,1648115581458,4,0,0.166,0.154,-0.974,-0.003,-0.002,0.003
AIRPOT,1648115580888,1648115581505,4,0,0.166,0.155,-0.974,-0.004,0.004,0.001
AIRPOT,1648115580917,1648115581534,4,0,0.166,0.155,-0.974,-0.003,0.004,-0.001
AIRPOT,1648115580947,1648115581564,4,0,0.166,0.155,-0.974,-0.005,0.005,0.002
AIRPOT,1648115580998,1648115581615,4,0,0.166,0.155,-0.974,0.001,0.002,0.001
AIRPOT,1648115581027,1648115581644,4,0,0.166,0.155,-0.974,-0.002,0.006,0.004
AIRPOT,1648115581080,1648115581697,4,0,0.167,0.155,-0.974,-0.000,-0.001,0.005
AIRPOT,1648115581114,1648115581731,4,0,0.167,0.155,-0.974,-0.002,0.001,0.001
AIRPOT,1648115581162,1648115581779,4,0,0.167,0.156,-0.974,-0.001,-0.000,0.003
AIRPOT,1648115581208,1648115581825,4,0,0.168,0.156,-0.973,0.001,-0.000,0.000
AIRPOT,1648115581239,1648115581856,4,0,0.168,0.157,-0.973,-0.001,-0.001,0.002
AIRPOT,1648115581269,1648115581886,4,0,0.169,0.158,-0.973,0.001,-0.002,0.002
AIRPOT,1648115581317,1648115581934,4,0,0.169,0.159,-0.973,-0.001,-0.003,0.004
AIRPOT,1648115581352,1648115581969,4,0,0.170,0.161,-0.972,0.003,-0.003,0.006
