Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
AIRPOT,1648115665233,1648115665892,4,0,0.216,-0.176,-0.960,-0.061,0.109,0.019
AIRPOT,1648115665295,1648115665954,4,0,0.212,-0.166,-0.963,-0.063,0.110,0.009
AIRPOT,1648115665313,1648115665972,4,0,0.208,-0.160,-0.965,-0.090,0.119,0.025
AIRPOT,1648115665359,1648115666018,4,0,0.202,-0.155,-0.967,-0.104,0.118,-0.055
AIRPOT,1648115665389,1648115666048,4,0,0.198,-0.147,-0.969,-0.109,0.108,-0.111
AIRPOT,1648115665441,1648115666100,4,0,0.196,-0.142,-0.970,-0.110,0.118,-0.096
AIRPOT,1648115665475,1648115666134,4,0,0.200,-0.145,-0.969,-0.108,0.094,-0.072
AIRPOT,1648115665519,1648115666178,4,0,0.205,-0.154,-0.966,-0.100,0.109,-0.001
AIRPOT,1648115665553,1648115666212,4,0,0.207,-0.165,-0.964,-0.097,0.093,0.026
AIRPOT,1648115665600,1648115666259,4,0,0.205,-0.172,-0.964,-0.075,0.085,-0.039
AIRPOT,1648115665633,1648115666292,4,0,0.209,-0.176,-0.962,-0.082,0.102,0.015
AIRPOT,1648115665686,1648115666345,4,0,0.212,-0.179,-0.961,-0.061,0.063,-0.090
AIRPOT,1648115665714,1648115666373,4,0,0.225,-0.179,-0.958,-0.054,0.129,-0.079
AIRPOT,1648115665760,1648115666419,4,0,0.264,-0.199,-0.944,-0.075,0.129,-0.242
AIRPOT,1648115665790,1648115666449,4,0,0.346,-0.249,-0.904,-0.157,0.187,-0.234
AIRPOT,1648115665839,1648115666498,4,0,0.445,-0.311,-0.839,-0.180,0.072,-0.006
AIRPOT,1648115665870,1648115666529,4,0,0.526,-0.362,-0.770,-0.130,-0.090,0.178
AIRPOT,1648115665919,1648115666578,4,0,0.577,-0.386,-0.720,-0.029,-0.160,0.229
AIRPOT,1648115665957,1648115666616,4,0,0.601,-0.381,-0.703,0.043,-0.062,0.181
AIRPOT,1648115665999,1648115666658,4,0,0.608,-0.361,-0.707,0.079,0.035,0.090
AIRPOT,1648115666030,1648115666689,4,0,0.603,-0.338,-0.723,0.104,0.093,0.101
AIRPOT,1648115666080,1648115666739,4,0,0.578,-0.310,-0.755,0.112,-0.001,0.174
AIRPOT,1648115666110,1648115666769,4,0,0.533,-0.267,-0.803,0.038,-0.020,0.154
AIRPOT,1648115666165,1648115666824,4,0,0.468,-0.209,-0.858,0.023,-0.016,0.067
AIRPOT,1648115666197,1648115666856,4,0,0.398,-0.138,-0.907,-0.009,0.025,0.027
AIRPOT,1648115666238,1648115666897,4,0,0.336,-0.056,-0.940,-0.005,0.003,0.006
AIRPOT,1648115666269,1648115666928,4,0,0.290,0.025,-0.957,0.008,-0.083,-0.010
AIRPOT,1648115666319,1648115666978,4,0,0.261,0.094,-0.961,0.011,-0.016,-0.068
AIRPOT,1648115666354,1648115667013,4,0,0.254,0.143,-0.957,0.015,0.023,-0.044
AIRPOT,1648115666405,1648115667064,4,0,0.256,0.179,-0.950,0.007,0.086,0.007
AIRPOT,1648115666431,1648115667090,4,0,0.260,0.206,-0.943,0.029,0.054,0.011
AIRPOT,1648115666478,1648115667137,4,0,0.265,0.227,-0.937,0.011,0.065,0.022
AIRPOT,1648115666515,1648115667174,4,0,0.268,0.247,-0.931,0.007,0.053,0.012
AIRPOT,1648115666560,1648115667219,4,0,0.268,0.264,-0.927,0.003,-0.001,0.002
AIRPOT,1648115666597,1648115667256,4,0,0.266,0.273,-0.924,0.028,0.014,-0.019
AIRPOT,1648115666650,1648115667309,4,0,0.264,0.273,-0.925,0.012,0.053,-0.015
AIRPOT,1648115666674,1648115667333,4,0,0.260,0.262,-0.930,0.020,0.048,-0.018
AIRPOT,1648115666750,1648115667409,4,0,0.248,0.190,-0.950,-0.018,0.043,-0.039
AIRPOT,1648115666720,1648115667379,4,0,0.255,0.235,-0.938,-0.006,0.070,-0.031
AIRPOT,1648115666799,1648115667458,4,0,0.238,0.144,-0.961,-0.010,0.057,-0.031
AIRPOT,1648115666830,1648115667489,4,0,0.229,0.106,-0.968,-0.022,-0.011,-0.004
AIRPOT,1648115666881,1648115667540,4,0,0.221,0.071,-0.973,-0.014,-0.056,0.008
AIRPOT,1648115666915,1648115667574,4,0,0.212,0.042,-0.976,-0.011,-0.007,0.040
AIRPOT,1648115666960,1648115667619,4,0,0.205,0.027,-0.978,0.006,-0.025,0.029
AIRPOT,1648115666989,1648115667648,4,0,0.201,0.025,-0.979,0.001,-0.045,0.055
AIRPOT,1648115667041,1648115667700,4,0,0.194,0.031,-0.980,0.020,0.014,0.040
AIRPOT,1648115667072,1648115667731,4,0,0.192,0.040,-0.981,0.045,0.011,0.006
AIRPOT,1648115667125,1648115667784,4,0,0.195,0.055,-0.979,0.034,0.011,-0.026
AIRPOT,1648115667164,1648115667823,4,0,0.205,0.070,-0.976,0.007,-0.034,-0.022
AIRPOT,1648115667200,1648115667859,4,0,0.214,0.079,-0.974,0.010,-0.054,-0.010
AIRPOT,1648115667230,1648115667889,4,0,0.220,0.085,-0.972,0.010,-0.036,0.008
AIRPOT,1648115667279,1648115667938,4,0,0.225,0.090,-0.970,0.025,-0.059,-0.001
AIRPOT,1648115667313,1648115667972,4,0,0.228,0.095,-0.969,0.007,-0.031,0.017
AIRPOT,1648115667364,1648115668023,4,0,0.229,0.100,-0.968,0.013,-0.028,0.012
AIRPOT,1648115667394,1648115668053,4,0,0.229,0.106,-0.968,0.006,-0.020,0.019
AIRPOT,1648115667440,1648115668099,4,0,0.228,0.113,-0.967,-0.001,-0.034,0.018
AIRPOT,1648115667470,1648115668129,4,0,0.225,0.117,-0.967,-0.012,-0.022,0.015
AIRPOT,1648115667519,1648115668178,4,0,0.222,0.121,-0.968,-0.033,0.032,0.018
AIRPOT,1648115667553,1648115668212,4,0,0.219,0.125,-0.968,-0.024,0.028,-0.001
AIRPOT,1648115667600,1648115668259,4,0,0.220,0.130,-0.967,0.003,-0.017,-0.030
AIRPOT,1648115667634,1648115668293,4,0,0.223,0.134,-0.966,-0.038,0.046,0.046
AIRPOT,1648115667680,1648115668339,4,0,0.222,0.137,-0.965,-0.025,0.069,0.005
AIRPOT,1648115667712,1648115668371,4,0,0.221,0.141,-0.965,-0.013,0.075,-0.036
AIRPOT,1648115667758,1648115668417,4,0,0.225,0.145,-0.963,-0.028,0.046,-0.022
AIRPOT,1648115667789,1648115668448,4,0,0.229,0.144,-0.963,-0.053,0.070,0.016
AIRPOT,1648115667843,1648115668502,4,0,0.229,0.145,-0.962,-0.046,0.040,-0.006
AIRPOT,1648115667874,1648115668533,4,0,0.232,0.148,-0.962,-0.014,-0.034,-0.021
AIRPOT,1648115667921,1648115668580,4,0,0.238,0.147,-0.960,-0.015,-0.060,-0.011
AIRPOT,1648115667950,1648115668609,4,0,0.245,0.144,-0.959,0.007,-0.035,-0.008
AIRPOT,1648115668004,1648115668663,4,0,0.246,0.145,-0.958,0.044,-0.018,-0.029
AIRPOT,1648115668031,1648115668690,4,0,0.243,0.149,-0.958,0.033,0.068,0.032
AIRPOT,1648115668081,1648115668740,4,0,0.240,0.154,-0.959,0.029,0.044,0.046
AIRPOT,1648115668116,1648115668775,4,0,0.234,0.157,-0.959,-0.005,0.091,0.037
AIRPOT,1648115668161,1648115668820,4,0,0.227,0.159,-0.961,0.005,0.055,0.027
AIRPOT,1648115668193,1648115668852,4,0,0.221,0.166,-0.961,-0.021,0.008,0.024
AIRPOT,1648115668240,1648115668899,4,0,0.216,0.176,-0.960,-0.010,-0.003,0.013
AIRPOT,1648115668270,1648115668929,4,0,0.213,0.185,-0.959,-0.021,0.011,0.028
AIRPOT,1648115668320,1648115668979,4,0,0.209,0.188,-0.960,-0.022,-0.009,0.003
AIRPOT,1648115668354,1648115669013,4,0,0.202,0.186,-0.961,-0.038,-0.029,0.009
AIRPOT,1648115668402,1648115669061,4,0,0.191,0.177,-0.966,-0.050,-0.077,-0.018
AIRPOT,1648115668431,1648115669090,4,0,0.178,0.164,-0.970,-0.045,-0.028,-0.028
AIRPOT,1648115668480,1648115669139,4,0,0.170,0.150,-0.974,0.035,0.007,-0.080
AIRPOT,1648115668510,1648115669169,4,0,0.180,0.138,-0.974,0.106,0.159,-0.023
AIRPOT,1648115668569,1648115669228,4,0,0.204,0.124,-0.971,0.140,0.081,0.069
AIRPOT,1648115668667,1648115669326,4,0,0.261,0.084,-0.962,0.052,-0.248,0.136
AIRPOT,1648115668720,1648115669379,4,0,0.249,0.090,-0.964,0.062,-0.414,-0.173
AIRPOT,1648115668750,1648115669409,4,0,0.227,0.120,-0.967,0.097,-0.402,-0.203
AIRPOT,1648115668598,1648115669257,4,0,0.231,0.107,-0.967,0.105,-0.058,0.055
AIRPOT,1648115668644,1648115669303,4,0,0.251,0.093,-0.963,0.103,-0.170,0.068
AIRPOT,1648115668819,1648115669478,4,0,0.138,0.141,-0.980,-0.008,-0.186,0.069
AIRPOT,1648115668879,1648115669538,4,0,0.088,0.107,-0.990,0.066,-0.098,0.130
AIRPOT,1648115668911,1648115669570,4,0,0.050,0.080,-0.996,0.120,-0.061,0.144
AIRPOT,1648115669039,1648115669698,4,0,0.004,0.079,-0.997,0.134,-0.217,-0.014
AIRPOT,1648115669074,1648115669733,4,0,-0.004,0.034,-0.999,0.112,-0.084,-0.044
AIRPOT,1648115668960,1648115669619,4,0,0.027,0.075,-0.997,0.134,-0.187,0.134
AIRPOT,1648115668989,1648115669648,4,0,0.012,0.087,-0.996,0.133,-0.203,0.107
AIRPOT,1648115669120,1648115669779,4,0,-0.009,-0.014,-1.000,0.061,-0.109,-0.240
AIRPOT,1648115669138,1648115669797,4,0,-0.003,-0.046,-0.999,0.028,-0.204,-0.505
AIRPOT,1648115669179,1648115669838,4,0,0.019,-0.059,-0.998,-0.151,-0.073,-0.353
AIRPOT,1648115669229,1648115669888,4,0,0.029,-0.062,-0.998,-0.357,0.146,-0.089
AIRPOT,1648115669360,1648115670019,4,0,0.022,-0.141,-0.990,-0.375,0.195,0.126
AIRPOT,1648115669386,1648115670045,4,0,0.024,-0.162,-0.987,-0.307,0.136,0.113
AIRPOT,1648115669441,1648115670100,4,0,0.026,-0.179,-0.983,-0.243,0.059,0.089
AIRPOT,1648115669473,1648115670132,4,0,0.033,-0.196,-0.980,-0.196,0.032,0.087
AIRPOT,1648115669526,1648115670185,4,0,0.044,-0.210,-0.977,-0.154,0.040,0.080
AIRPOT,1648115669538,1648115670197,4,0,0.053,-0.221,-0.974,-0.083,-0.007,0.019
AIRPOT,1648115669599,1648115670258,4,0,0.064,-0.232,-0.971,-0.041,-0.018,0.037
AIRPOT,1648115669316,1648115669975,4,0,0.018,-0.114,-0.993,-0.378,0.203,-0.087
AIRPOT,1648115669679,1648115670338,4,0,0.084,-0.257,-0.963,-0.017,-0.069,0.061
AIRPOT,1648115669713,1648115670372,4,0,0.090,-0.268,-0.959,-0.021,-0.003,0.043
AIRPOT,1648115669765,1648115670424,4,0,0.095,-0.277,-0.956,-0.004,-0.054,0.001
AIRPOT,1648115669791,1648115670450,4,0,0.102,-0.288,-0.952,-0.025,-0.089,-0.016
AIRPOT,1648115669845,1648115670504,4,0,0.110,-0.301,-0.947,-0.022,0.026,0.116
AIRPOT,1648115669869,1648115670528,4,0,0.117,-0.314,-0.942,0.013,0.004,0.078
AIRPOT,1648115669920,1648115670579,4,0,0.125,-0.323,-0.938,-0.082,-0.011,0.147
AIRPOT,1648115669957,1648115670616,4,0,0.121,-0.330,-0.936,0.083,-0.086,-0.127
AIRPOT,1648115669976,1648115670635,4,0,0.132,-0.334,-0.933,0.150,-0.063,-0.179
AIRPOT,1648115670037,1648115670696,4,0,0.150,-0.339,-0.929,0.052,-0.062,0.015
AIRPOT,1648115670079,1648115670738,4,0,0.149,-0.352,-0.924,0.041,-0.073,0.045
AIRPOT,1648115670112,1648115670771,4,0,0.138,-0.363,-0.921,0.011,0.004,-0.008
AIRPOT,1648115670163,1648115670822,4,0,0.124,-0.371,-0.920,-0.084,0.002,0.065
AIRPOT,1648115670176,1648115670835,4,0,0.103,-0.373,-0.922,-0.060,-0.046,0.008
AIRPOT,1648115670245,1648115670904,4,0,0.082,-0.382,-0.921,-0.100,-0.050,0.054
AIRPOT,1648115670272,1648115670931,4,0,0.066,-0.393,-0.917,-0.068,-0.162,0.017
AIRPOT,1648115670318,1648115670977,4,0,0.052,-0.420,-0.906,-0.077,-0.068,0.098
AIRPOT,1648115670334,1648115670993,4,0,0.039,-0.457,-0.889,0.021,-0.099,-0.061
AIRPOT,1648115670399,1648115671058,4,0,0.028,-0.482,-0.876,0.008,-0.017,-0.038
AIRPOT,1648115670416,1648115671075,4,0,0.023,-0.486,-0.874,0.025,-0.029,0.031
AIRPOT,1648115670519,1648115671178,4,0,0.008,-0.495,-0.869,-0.021,0.048,0.075
AIRPOT,1648115670562,1648115671221,4,0,-0.014,-0.527,-0.850,0.060,-0.047,-0.102
AIRPOT,1648115670575,1648115671234,4,0,-0.034,-0.566,-0.824,0.053,0.002,0.035
AIRPOT,1648115670638,1648115671297,4,0,-0.058,-0.595,-0.801,0.015,-0.060,-0.012
AIRPOT,1648115670653,1648115671312,4,0,-0.073,-0.594,-0.801,-0.075,0.048,-0.019
AIRPOT,1648115670696,1648115671355,4,0,-0.079,-0.552,-0.830,-0.086,0.021,-0.043
AIRPOT,1648115670754,1648115671413,4,0,-0.068,-0.482,-0.874,-0.087,-0.086,0.113
AIRPOT,1648115670803,1648115671462,4,0,-0.064,-0.435,-0.898,-0.087,-0.164,0.161
AIRPOT,1648115670821,1648115671480,4,0,-0.077,-0.439,-0.895,0.012,-0.061,-0.041
AIRPOT,1648115670881,1648115671540,4,0,-0.089,-0.456,-0.885,0.012,0.102,-0.100
AIRPOT,1648115670894,1648115671553,4,0,-0.097,-0.452,-0.887,-0.076,0.034,-0.065
AIRPOT,1648115670937,1648115671596,4,0,-0.093,-0.430,-0.898,-0.078,0.016,-0.031
AIRPOT,1648115670994,1648115671653,4,0,-0.082,-0.406,-0.910,-0.066,-0.024,0.034
AIRPOT,1648115671043,1648115671702,4,0,-0.074,-0.394,-0.916,-0.025,0.065,-0.006
AIRPOT,1648115671057,1648115671716,4,0,-0.067,-0.387,-0.920,0.014,0.073,-0.023
AIRPOT,1648115671121,1648115671780,4,0,-0.061,-0.381,-0.923,0.003,0.068,0.001
AIRPOT,1648115671136,1648115671795,4,0,-0.057,-0.377,-0.924,0.015,0.028,-0.028
AIRPOT,1648115671171,1648115671830,4,0,-0.048,-0.379,-0.924,0.014,-0.018,-0.036
AIRPOT,1648115671236,1648115671895,4,0,-0.037,-0.387,-0.921,-0.033,0.042,0.019
AIRPOT,1648115671282,1648115671941,4,0,-0.027,-0.394,-0.919,-0.043,0.062,-0.005
AIRPOT,1648115671297,1648115671956,4,0,-0.017,-0.397,-0.917,-0.054,0.034,-0.018
AIRPOT,1648115671360,1648115672019,4,0,-0.004,-0.402,-0.916,-0.065,0.018,-0.014
AIRPOT,1648115671374,1648115672033,4,0,0.008,-0.407,-0.913,-0.050,0.068,-0.012
AIRPOT,1648115671411,1648115672070,4,0,0.020,-0.411,-0.912,-0.026,0.078,-0.046
AIRPOT,1648115671472,1648115672131,4,0,0.035,-0.412,-0.910,0.017,0.061,-0.060
AIRPOT,1648115671491,1648115672150,4,0,0.051,-0.414,-0.909,0.032,0.072,-0.011
AIRPOT,1648115671537,1648115672196,4,0,0.064,-0.417,-0.906,0.046,0.035,-0.015
AIRPOT,1648115671600,1648115672259,4,0,0.075,-0.416,-0.906,0.044,0.043,-0.022
AIRPOT,1648115671631,1648115672290,4,0,0.089,-0.411,-0.907,0.006,-0.015,0.023
AIRPOT,1648115671651,1648115672310,4,0,0.098,-0.406,-0.909,-0.061,0.048,0.090
AIRPOT,1648115671704,1648115672363,4,0,0.095,-0.404,-0.910,-0.057,0.046,0.075
AIRPOT,1648115671731,1648115672390,4,0,0.087,-0.402,-0.912,-0.003,0.182,-0.025
AIRPOT,1648115671776,1648115672435,4,0,0.084,-0.392,-0.916,0.064,0.109,-0.090
AIRPOT,1648115671815,1648115672474,4,0,0.095,-0.381,-0.920,0.061,0.023,-0.006
AIRPOT,1648115671854,1648115672513,4,0,0.109,-0.372,-0.922,0.063,-0.010,0.036
AIRPOT,1648115671895,1648115672554,4,0,0.120,-0.363,-0.924,0.062,0.071,0.054
AIRPOT,1648115671934,1648115672593,4,0,0.131,-0.348,-0.928,0.033,-0.009,0.038
AIRPOT,1648115671969,1648115672628,4,0,0.150,-0.312,-0.938,0.032,0.021,-0.012
AIRPOT,1648115672015,1648115672674,4,0,0.191,-0.246,-0.950,-0.065,-0.065,0.127
AIRPOT,1648115672053,1648115672712,4,0,0.235,-0.160,-0.959,-0.061,-0.044,0.203
AIRPOT,1648115672089,1648115672748,4,0,0.268,-0.104,-0.958,-0.034,-0.124,0.405
AIRPOT,1648115672164,1648115672823,4,0,0.253,-0.117,-0.960,0.235,0.152,-0.041
AIRPOT,1648115672170,1648115672829,4,0,0.262,-0.145,-0.954,0.096,0.022,0.028
AIRPOT,1648115672210,1648115672869,4,0,0.284,-0.141,-0.948,-0.113,-0.146,0.232
AIRPOT,1648115672253,1648115672912,4,0,0.300,-0.117,-0.947,-0.156,-0.001,0.261
AIRPOT,1648115672291,1648115672950,4,0,0.321,-0.085,-0.943,-0.041,0.023,0.150
AIRPOT,1648115672334,1648115672993,4,0,0.364,-0.050,-0.930,0.057,-0.004,0.232
AIRPOT,1648115672370,1648115673029,4,0,0.409,-0.019,-0.912,0.073,-0.182,0.252
AIRPOT,1648115672410,1648115673069,4,0,0.439,0.016,-0.898,0.194,0.025,0.053
AIRPOT,1648115672452,1648115673111,4,0,0.473,0.048,-0.880,0.211,0.054,-0.065
AIRPOT,1648115672504,1648115673163,4,0,0.510,0.072,-0.857,0.191,0.050,-0.043
AIRPOT,1648115672530,1648115673189,4,0,0.542,0.089,-0.836,0.107,0.055,-0.002
AIRPOT,1648115672577,1648115673236,4,0,0.566,0.116,-0.816,0.179,0.098,-0.061
AIRPOT,1648115672613,1648115673272,4,0,0.588,0.142,-0.796,0.224,0.043,-0.108
AIRPOT,1648115672652,1648115673311,4,0,0.603,0.161,-0.781,0.260,0.100,-0.073
AIRPOT,1648115672693,1648115673352,4,0,0.611,0.171,-0.773,0.261,0.073,-0.124
AIRPOT,1648115672737,1648115673396,4,0,0.609,0.181,-0.772,0.287,-0.024,-0.458
AIRPOT,1648115672770,1648115673429,4,0,0.610,0.194,-0.768,0.379,-0.065,-0.556
AIRPOT,1648115672815,1648115673474,4,0,0.616,0.209,-0.760,0.320,0.089,-0.118
AIRPOT,1648115672885,1648115673544,4,0,0.608,0.213,-0.765,0.196,0.061,0.154
AIRPOT,1648115672888,1648115673547,4,0,0.588,0.199,-0.784,0.042,0.058,0.396
AIRPOT,1648115672931,1648115673590,4,0,0.560,0.180,-0.809,-0.073,-0.012,0.377
AIRPOT,1648115672972,1648115673631,4,0,0.531,0.162,-0.832,-0.052,-0.027,0.267
AIRPOT,1648115673011,1648115673670,4,0,0.508,0.149,-0.848,-0.006,0.002,0.168
AIRPOT,1648115673051,1648115673710,4,0,0.488,0.147,-0.860,0.120,-0.041,-0.094
AIRPOT,1648115673095,1648115673754,4,0,0.475,0.152,-0.867,0.221,-0.086,-0.195
AIRPOT,1648115673132,1648115673791,4,0,0.464,0.162,-0.871,0.246,-0.041,-0.132
AIRPOT,1648115673170,1648115673829,4,0,0.453,0.167,-0.876,0.101,0.005,0.097
AIRPOT,1648115673220,1648115673879,4,0,0.429,0.159,-0.889,-0.035,-0.046,0.188
AIRPOT,1648115673250,1648115673909,4,0,0.393,0.144,-0.908,-0.074,-0.137,0.127
AIRPOT,1648115673290,1648115673949,4,0,0.352,0.125,-0.928,-0.003,-0.155,0.076
AIRPOT,1648115673335,1648115673994,4,0,0.313,0.113,-0.943,0.074,-0.086,-0.036
AIRPOT,1648115673377,1648115674036,4,0,0.278,0.110,-0.954,-0.032,-0.116,-0.017
AIRPOT,1648115673410,1648115674069,4,0,0.232,0.098,-0.968,-0.078,-0.093,0.022
AIRPOT,1648115673458,1648115674117,4,0,0.172,0.067,-0.983,-0.299,-0.145,-0.211
AIRPOT,1648115673493,1648115674152,4,0,0.109,-0.009,-0.994,-0.547,-0.435,-0.085
AIRPOT,1648115673536,1648115674195,4,0,0.033,-0.112,-0.993,-0.257,-0.152,0.144
AIRPOT,1648115673576,1648115674235,4,0,-0.015,-0.181,-0.983,0.021,0.147,-0.052
AIRPOT,1648115673614,1648115674273,4,0,-0.020,-0.210,-0.978,0.096,0.058,-0.140
AIRPOT,1648115673650,1648115674309,4,0,-0.014,-0.237,-0.971,-0.007,0.014,0.084
AIRPOT,1648115673687,1648115674346,4,0,-0.025,-0.265,-0.964,-0.006,0.062,-0.003
AIRPOT,1648115673731,1648115674390,4,0,-0.027,-0.280,-0.960,-0.029,0.029,-0.023
AIRPOT,1648115673774,1648115674433,4,0,-0.021,-0.292,-0.956,-0.037,-0.032,0.006
AIRPOT,1648115673815,1648115674474,4,0,-0.010,-0.304,-0.953,-0.039,-0.022,0.061
AIRPOT,1648115673853,1648115674512,4,0,0.000,-0.313,-0.950,0.022,-0.009,0.011
AIRPOT,1648115673890,1648115674549,4,0,0.010,-0.329,-0.944,0.054,0.005,0.032
AIRPOT,1648115673936,1648115674595,4,0,0.025,-0.333,-0.943,0.054,-0.014,0.050
AIRPOT,1648115673970,1648115674629,4,0,0.032,-0.341,-0.940,0.068,0.031,-0.014
AIRPOT,1648115674014,1648115674673,4,0,0.038,-0.348,-0.937,0.040,0.051,-0.049
AIRPOT,1648115674056,1648115674715,4,0,0.042,-0.357,-0.933,0.054,0.041,-0.059
AIRPOT,1648115674094,1648115674753,4,0,0.045,-0.371,-0.928,0.039,0.018,0.014
AIRPOT,1648115674161,1648115674820,4,0,0.043,-0.388,-0.921,0.060,-0.012,0.050
AIRPOT,1648115674179,1648115674838,4,0,0.040,-0.404,-0.914,0.041,-0.006,0.007
AIRPOT,1648115674209,1648115674868,4,0,0.033,-0.417,-0.908,0.031,-0.003,0.026
AIRPOT,1648115674254,1648115674913,4,0,0.025,-0.425,-0.905,0.001,0.006,0.037
AIRPOT,1648115674297,1648115674956,4,0,0.018,-0.424,-0.905,0.016,0.000,0.036
AIRPOT,1648115674332,1648115674991,4,0,0.012,-0.419,-0.908,0.017,0.031,0.011
AIRPOT,1648115674371,1648115675030,4,0,0.008,-0.409,-0.912,0.024,0.088,-0.020
AIRPOT,1648115674417,1648115675076,4,0,0.005,-0.392,-0.920,0.042,0.131,-0.066
AIRPOT,1648115674452,1648115675111,4,0,0.015,-0.359,-0.933,0.040,0.092,-0.062
AIRPOT,1648115674495,1648115675154,4,0,0.026,-0.336,-0.941,0.009,-0.033,-0.087
AIRPOT,1648115674531,1648115675190,4,0,0.043,-0.322,-0.946,-0.074,-0.142,0.037
AIRPOT,1648115674565,1648115675224,4,0,0.044,-0.328,-0.944,-0.076,-0.130,0.113
AIRPOT,1648115674614,1648115675273,4,0,0.034,-0.336,-0.941,-0.048,-0.042,0.051
AIRPOT,1648115674654,1648115675313,4,0,0.027,-0.336,-0.942,0.004,-0.035,-0.023
AIRPOT,1648115674692,1648115675351,4,0,0.027,-0.331,-0.943,-0.016,-0.067,0.032
AIRPOT,1648115674735,1648115675394,4,0,0.025,-0.326,-0.945,0.012,0.022,0.005
AIRPOT,1648115674775,1648115675434,4,0,0.024,-0.318,-0.948,0.035,-0.000,0.015
AIRPOT,1648115674802,1648115675461,4,0,0.025,-0.313,-0.949,0.038,-0.026,0.014
AIRPOT,1648115674850,1648115675509,4,0,0.025,-0.310,-0.950,0.031,0.025,0.011
AIRPOT,1648115674895,1648115675554,4,0,0.026,-0.305,-0.952,0.048,-0.108,0.022
