DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1648196790748,1648196792403,4,1648196792403,53,5,10,0,0,0,ELT003#
DEVICE,1648196790780,1648196792435,4,1648196792435,56,5,10,0,0,0,ELT003#
DEVICE,1648196790812,1648196792467,4,1648196792467,53,5,10,0,0,0,ELT003#
DEVICE,1648196790844,1648196792499,4,1648196792499,57,5,10,0,0,0,ELT003#
DEVICE,1648196790876,1648196792531,4,1648196792531,54,5,10,0,0,0,ELT003#
DEVICE,1648196790908,1648196792563,4,1648196792563,53,5,10,0,0,0,ELT003#
DEVICE,1648196790940,1648196792595,4,1648196792595,53,5,10,0,0,0,ELT003#
DEVICE,1648196790972,1648196792627,4,1648196792627,55,5,10,0,0,0,ELT003#
DEVICE,1648196791004,1648196792659,4,1648196792659,53,5,10,0,0,0,ELT003#
DEVICE,1648196791036,1648196792691,4,1648196792691,54,5,10,0,0,0,ELT003#
DEVICE,1648196791068,1648196792723,4,1648196792723,53,5,10,0,0,0,ELT003#
DEVICE,1648196791101,1648196792756,4,1648196792756,52,5,10,0,0,0,ELT003#
DEVICE,1648196791132,1648196792787,4,1648196792787,53,5,10,0,0,0,ELT003#
DEVICE,1648196791163,1648196792818,4,1648196792818,54,5,10,0,0,0,ELT003#
DEVICE,1648196791196,1648196792851,4,1648196792851,55,5,10,0,0,0,ELT003#
DEVICE,1648196791227,1648196792882,4,1648196792882,53,5,10,0,0,0,ELT003#
DEVICE,1648196791259,1648196792914,4,1648196792914,53,5,10,0,0,0,ELT003#
DEVICE,1648196791276,1648196792931,4,1648196792931,52,5,10,0,0,0,ELT003#
DEVICE,1648196791307,1648196792962,4,1648196792962,54,5,10,0,0,0,ELT003#
DEVICE,1648196791339,1648196792994,4,1648196792994,53,5,10,0,0,0,ELT003#
DEVICE,1648196791371,1648196793026,4,1648196793026,53,5,10,0,0,0,ELT003#
DEVICE,1648196791403,1648196793058,4,1648196793058,54,5,10,0,0,0,ELT003#
DEVICE,1648196791435,1648196793090,4,1648196793090,55,5,10,0,0,0,ELT003#
DEVICE,1648196791467,1648196793122,4,1648196793122,56,5,10,0,0,0,ELT003#
DEVICE,1648196791499,1648196793154,4,1648196793154,53,5,10,0,0,0,ELT003#
DEVICE,1648196791531,1648196793186,4,1648196793186,50,5,10,0,0,0,ELT003#
DEVICE,1648196791563,1648196793218,4,1648196793218,51,5,10,0,0,0,ELT003#
DEVICE,1648196791595,1648196793250,4,1648196793250,52,5,10,0,0,0,ELT003#
DEVICE,1648196791627,1648196793282,4,1648196793282,50,5,10,0,0,0,ELT003#
DEVICE,1648196791659,1648196793314,4,1648196793314,54,5,10,0,0,0,ELT003#
DEVICE,1648196791691,1648196793346,4,1648196793346,54,5,10,0,0,0,ELT003#
DEVICE,1648196791723,1648196793378,4,1648196793378,52,5,10,0,0,0,ELT003#
DEVICE,1648196791755,1648196793410,4,1648196793410,55,5,10,0,0,0,ELT003#
DEVICE,1648196791787,1648196793442,4,1648196793442,56,5,10,0,0,0,ELT003#
DEVICE,1648196791820,1648196793475,4,1648196793475,54,5,10,0,0,0,ELT003#
DEVICE,1648196791851,1648196793506,4,1648196793506,55,5,10,0,0,0,ELT003#
DEVICE,1648196791883,1648196793538,4,1648196793538,55,5,10,0,0,0,ELT003#
DEVICE,1648196791915,1648196793570,4,1648196793570,52,5,10,0,0,0,ELT003#
DEVICE,1648196791947,1648196793602,4,1648196793602,54,5,10,0,0,0,ELT003#
DEVICE,1648196791979,1648196793634,4,1648196793634,54,5,10,0,0,0,ELT003#
DEVICE,1648196792011,1648196793666,4,1648196793666,52,5,10,0,0,0,ELT003#
DEVICE,1648196792043,1648196793698,4,1648196793698,54,5,10,0,0,0,ELT003#
DEVICE,1648196792075,1648196793730,4,1648196793730,53,5,10,0,0,0,ELT003#
DEVICE,1648196792107,1648196793762,4,1648196793762,53,5,10,0,0,0,ELT003#
DEVICE,1648196792139,1648196793794,4,1648196793794,51,5,10,0,0,0,ELT003#
DEVICE,1648196792171,1648196793826,4,1648196793826,53,5,10,0,0,0,ELT003#
DEVICE,1648196792203,1648196793858,4,1648196793858,53,5,10,0,0,0,ELT003#
DEVICE,1648196792235,1648196793890,4,1648196793890,54,5,10,0,0,0,ELT003#
DEVICE,1648196792267,1648196793922,4,1648196793922,53,5,10,0,0,0,ELT003#
DEVICE,1648196792299,1648196793954,4,1648196793954,53,5,10,0,0,0,ELT003#
DEVICE,1648196792331,1648196793986,4,1648196793986,56,5,10,0,0,0,ELT003#
DEVICE,1648196792363,1648196794018,4,1648196794018,52,5,10,0,0,0,ELT003#
DEVICE,1648196792395,1648196794050,4,1648196794050,53,5,10,0,0,0,ELT003#
DEVICE,1648196792427,1648196794082,4,1648196794082,53,5,10,0,0,0,ELT003#
DEVICE,1648196792459,1648196794114,4,1648196794114,54,5,10,0,0,0,ELT003#
DEVICE,1648196792491,1648196794146,4,1648196794146,52,5,10,0,0,0,ELT003#
DEVICE,1648196792523,1648196794178,4,1648196794178,55,5,10,0,0,0,ELT003#
