Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1648534665705,1648534665809,4,1648534665699,1.997,-0.524,0.255,-0.134,-0.133,0.061,117
WATCH,1648534665705,1648534665809,4,1648534665709,1.842,-0.680,0.343,-0.071,-0.074,0.056,117
WATCH,1648534665705,1648534665809,4,1648534665719,1.600,-0.475,0.327,-0.178,-0.161,-0.024,117
WATCH,1648534665705,1648534665809,4,1648534665730,1.604,-0.633,0.421,-0.156,-0.081,-0.017,117
WATCH,1648534665768,1648534665872,4,1648534665739,1.376,-0.357,0.350,-0.221,-0.132,-0.069,117
WATCH,1648534665768,1648534665872,4,1648534665749,1.540,-0.410,0.537,-0.160,-0.114,0.060,117
WATCH,1648534665769,1648534665873,4,1648534665759,1.326,-0.312,0.477,-0.149,-0.069,-0.089,117
WATCH,1648534665769,1648534665873,4,1648534665769,1.172,-0.221,0.556,-0.150,-0.148,0.053,117
WATCH,1648534665769,1648534665873,4,1648534665779,1.394,-0.328,0.656,-0.104,-0.080,-0.117,117
WATCH,1648534665830,1648534665934,4,1648534665790,1.012,-0.279,0.583,-0.154,-0.004,-0.091,117
WATCH,1648534665830,1648534665934,4,1648534665800,0.869,-0.218,0.593,-0.176,-0.067,-0.017,117
WATCH,1648534665830,1648534665934,4,1648534665809,1.007,-0.226,0.664,-0.156,-0.054,-0.136,117
WATCH,1648534665830,1648534665934,4,1648534665819,0.992,-0.204,0.584,-0.191,0.015,-0.157,117
WATCH,1648534665830,1648534665934,4,1648534665830,0.583,-0.217,0.527,-0.202,-0.001,-0.093,117
WATCH,1648534665830,1648534665934,4,1648534665840,0.303,-0.264,0.653,-0.165,-0.158,-0.084,117
WATCH,1648534665830,1648534665934,4,1648534665850,0.164,-0.309,0.682,-0.144,-0.164,-0.119,117
WATCH,1648534665830,1648534665934,4,1648534665860,0.058,-0.268,0.620,-0.168,-0.078,-0.124,117
WATCH,1648534665830,1648534665934,4,1648534665870,0.048,-0.230,0.548,-0.157,0.021,-0.102,117
WATCH,1648534665830,1648534665934,4,1648534665880,0.192,-0.222,0.488,-0.143,0.041,-0.142,117
WATCH,1648534665889,1648534665993,4,1648534665890,0.308,-0.238,0.430,-0.137,0.029,-0.188,117
WATCH,1648534665889,1648534665993,4,1648534665900,0.140,-0.287,0.393,-0.149,-0.005,-0.152,117
WATCH,1648534665889,1648534665993,4,1648534665910,-0.038,-0.252,0.339,-0.175,-0.085,-0.107,117
