Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
AIRPOT,1648535288661,1648535288754,4,0,0.695,-0.691,0.197,-0.001,0.001,0.001
AIRPOT,1648535288702,1648535288795,4,0,0.695,-0.691,0.197,0.000,0.001,0.000
AIRPOT,1648535288742,1648535288835,4,0,0.695,-0.691,0.197,-0.001,0.000,0.001
AIRPOT,1648535288783,1648535288876,4,0,0.695,-0.691,0.197,0.006,-0.005,-0.002
AIRPOT,1648535288822,1648535288915,4,0,0.695,-0.691,0.197,0.001,-0.002,0.000
AIRPOT,1648535288862,1648535288955,4,0,0.695,-0.691,0.197,-0.000,-0.001,-0.000
AIRPOT,1648535288902,1648535288995,4,0,0.695,-0.691,0.197,-0.000,-0.001,-0.001
AIRPOT,1648535288942,1648535289035,4,0,0.695,-0.691,0.197,-0.001,-0.001,0.001
AIRPOT,1648535288983,1648535289076,4,0,0.695,-0.691,0.197,0.003,-0.002,-0.000
AIRPOT,1648535289020,1648535289113,4,0,0.695,-0.691,0.197,-0.002,0.001,0.003
AIRPOT,1648535289063,1648535289156,4,0,0.695,-0.691,0.197,0.002,-0.005,-0.005
AIRPOT,1648535289108,1648535289201,4,0,0.695,-0.691,0.197,0.001,-0.000,0.002
AIRPOT,1648535289143,1648535289236,4,0,0.695,-0.691,0.197,-0.001,0.003,0.002
AIRPOT,1648535289184,1648535289277,4,0,0.695,-0.691,0.197,-0.003,0.003,-0.003
AIRPOT,1648535289223,1648535289316,4,0,0.695,-0.691,0.197,0.000,0.001,-0.001
AIRPOT,1648535289261,1648535289354,4,0,0.695,-0.691,0.197,-0.001,0.000,-0.000
AIRPOT,1648535289306,1648535289399,4,0,0.695,-0.691,0.197,-0.000,-0.001,-0.001
AIRPOT,1648535289344,1648535289437,4,0,0.695,-0.691,0.197,-0.002,0.002,0.001
AIRPOT,1648535289381,1648535289474,4,0,0.695,-0.692,0.197,-0.003,0.002,0.001
AIRPOT,1648535289424,1648535289517,4,0,0.695,-0.691,0.197,0.003,-0.005,-0.003
AIRPOT,1648535289482,1648535289575,4,0,0.695,-0.691,0.197,-0.000,0.001,0.003
AIRPOT,1648535289501,1648535289594,4,0,0.695,-0.691,0.197,0.003,-0.007,-0.005
