Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
AIRPOT,1655115545197,1655115545005,4,0,-0.141,-0.191,-0.972,-0.001,-0.000,-0.003
AIRPOT,1655115545228,1655115545036,4,0,-0.140,-0.191,-0.972,-0.001,-0.001,-0.002
AIRPOT,1655115545277,1655115545085,4,0,-0.139,-0.192,-0.972,0.000,-0.003,-0.004
AIRPOT,1655115545317,1655115545125,4,0,-0.138,-0.192,-0.972,0.003,-0.001,-0.005
AIRPOT,1655115545350,1655115545158,4,0,-0.138,-0.193,-0.972,0.000,-0.001,-0.001
AIRPOT,1655115545412,1655115545220,4,0,-0.137,-0.193,-0.972,-0.000,0.001,0.001
AIRPOT,1655115545435,1655115545243,4,0,-0.137,-0.194,-0.971,0.002,0.002,-0.005
AIRPOT,1655115545470,1655115545278,4,0,-0.136,-0.194,-0.972,0.001,-0.005,-0.008
AIRPOT,1655115545511,1655115545319,4,0,-0.136,-0.194,-0.971,0.003,-0.003,-0.004
AIRPOT,1655115545552,1655115545360,4,0,-0.136,-0.194,-0.971,0.000,-0.001,-0.000
AIRPOT,1655115545590,1655115545398,4,0,-0.136,-0.195,-0.971,-0.000,0.002,-0.002
AIRPOT,1655115545631,1655115545439,4,0,-0.135,-0.195,-0.971,-0.001,0.001,-0.005
AIRPOT,1655115545678,1655115545486,4,0,-0.135,-0.196,-0.971,0.000,0.004,-0.004
AIRPOT,1655115545737,1655115545545,4,0,-0.135,-0.196,-0.971,-0.001,0.001,-0.002
AIRPOT,1655115545751,1655115545559,4,0,-0.134,-0.197,-0.971,-0.000,0.001,-0.001
AIRPOT,1655115545796,1655115545604,4,0,-0.133,-0.198,-0.971,-0.001,-0.001,-0.002
AIRPOT,1655115545832,1655115545640,4,0,-0.133,-0.198,-0.971,-0.002,0.002,-0.002
AIRPOT,1655115545869,1655115545677,4,0,-0.132,-0.198,-0.971,-0.001,0.002,-0.003
AIRPOT,1655115545916,1655115545724,4,0,-0.131,-0.198,-0.971,-0.001,0.001,-0.004
AIRPOT,1655115545972,1655115545780,4,0,-0.131,-0.197,-0.971,-0.001,-0.001,-0.005
AIRPOT,1655115545992,1655115545800,4,0,-0.131,-0.198,-0.971,-0.003,-0.002,-0.002
AIRPOT,1655115546051,1655115545859,4,0,-0.130,-0.198,-0.972,-0.001,-0.000,0.000
AIRPOT,1655115546092,1655115545900,4,0,-0.129,-0.199,-0.972,-0.000,-0.002,-0.005
AIRPOT,1655115546113,1655115545921,4,0,-0.128,-0.199,-0.971,-0.001,-0.000,-0.010
AIRPOT,1655115546171,1655115545979,4,0,-0.128,-0.200,-0.971,0.000,-0.004,-0.006
AIRPOT,1655115546213,1655115546021,4,0,-0.128,-0.201,-0.971,0.001,-0.001,-0.000
AIRPOT,1655115546232,1655115546040,4,0,-0.127,-0.201,-0.971,0.001,-0.003,-0.001
AIRPOT,1655115546291,1655115546099,4,0,-0.127,-0.202,-0.971,0.001,-0.000,-0.001
AIRPOT,1655115546337,1655115546145,4,0,-0.126,-0.202,-0.971,0.001,-0.004,-0.004
AIRPOT,1655115546351,1655115546159,4,0,-0.126,-0.202,-0.971,0.002,-0.001,-0.000
AIRPOT,1655115546411,1655115546219,4,0,-0.126,-0.203,-0.971,0.000,-0.005,-0.002
AIRPOT,1655115546459,1655115546267,4,0,-0.126,-0.202,-0.971,0.001,-0.000,-0.001
AIRPOT,1655115546473,1655115546281,4,0,-0.126,-0.202,-0.971,-0.001,-0.000,-0.005
AIRPOT,1655115546531,1655115546339,4,0,-0.126,-0.203,-0.971,0.001,0.001,-0.006
AIRPOT,1655115546573,1655115546381,4,0,-0.126,-0.203,-0.971,0.002,-0.001,-0.002
AIRPOT,1655115546611,1655115546419,4,0,-0.126,-0.203,-0.971,0.002,-0.004,-0.004
AIRPOT,1655115546651,1655115546459,4,0,-0.127,-0.203,-0.971,0.002,-0.004,-0.004
AIRPOT,1655115546698,1655115546506,4,0,-0.127,-0.203,-0.971,0.002,-0.004,-0.000
AIRPOT,1655115546715,1655115546523,4,0,-0.128,-0.203,-0.971,0.000,-0.004,-0.001
AIRPOT,1655115546786,1655115546594,4,0,-0.129,-0.203,-0.971,-0.004,0.002,-0.002
AIRPOT,1655115546817,1655115546625,4,0,-0.130,-0.203,-0.971,-0.006,0.002,-0.005
AIRPOT,1655115546849,1655115546657,4,0,-0.131,-0.203,-0.970,-0.007,-0.003,-0.004
AIRPOT,1655115546892,1655115546700,4,0,-0.131,-0.203,-0.970,-0.004,-0.001,-0.000
AIRPOT,1655115546935,1655115546743,4,0,-0.132,-0.202,-0.970,-0.005,-0.002,-0.001
AIRPOT,1655115546970,1655115546778,4,0,-0.132,-0.202,-0.971,-0.004,0.003,-0.004
AIRPOT,1655115547012,1655115546820,4,0,-0.132,-0.201,-0.971,-0.005,-0.001,-0.004
AIRPOT,1655115547052,1655115546860,4,0,-0.133,-0.201,-0.971,-0.004,0.003,-0.005
AIRPOT,1655115547089,1655115546897,4,0,-0.133,-0.200,-0.971,-0.004,0.000,-0.004
AIRPOT,1655115547133,1655115546941,4,0,-0.134,-0.200,-0.971,-0.004,0.000,-0.004
AIRPOT,1655115547177,1655115546985,4,0,-0.134,-0.200,-0.971,-0.005,0.001,-0.003
AIRPOT,1655115547213,1655115547021,4,0,-0.134,-0.200,-0.971,-0.003,-0.000,-0.003
AIRPOT,1655115547251,1655115547059,4,0,-0.134,-0.200,-0.971,-0.002,-0.001,-0.003
AIRPOT,1655115547296,1655115547104,4,0,-0.134,-0.200,-0.971,-0.002,-0.001,-0.005
AIRPOT,1655115547330,1655115547138,4,0,-0.134,-0.200,-0.971,0.001,-0.003,-0.003
AIRPOT,1655115547388,1655115547196,4,0,-0.134,-0.200,-0.971,-0.000,-0.001,-0.002
AIRPOT,1655115547418,1655115547226,4,0,-0.134,-0.200,-0.971,-0.002,0.001,-0.003
AIRPOT,1655115547451,1655115547259,4,0,-0.134,-0.201,-0.970,-0.002,0.003,-0.003
AIRPOT,1655115547491,1655115547299,4,0,-0.134,-0.201,-0.970,-0.001,-0.003,-0.005
AIRPOT,1655115547539,1655115547347,4,0,-0.133,-0.202,-0.970,-0.001,-0.004,-0.005
AIRPOT,1655115547572,1655115547380,4,0,-0.133,-0.202,-0.970,-0.000,-0.003,-0.001
AIRPOT,1655115547620,1655115547428,4,0,-0.133,-0.203,-0.970,-0.001,-0.001,-0.001
AIRPOT,1655115547657,1655115547465,4,0,-0.132,-0.203,-0.970,-0.001,0.001,-0.002
AIRPOT,1655115547692,1655115547500,4,0,-0.133,-0.203,-0.970,0.001,-0.003,-0.002
AIRPOT,1655115547894,1655115547702,4,0,-0.133,-0.204,-0.970,-0.004,0.004,-0.004
AIRPOT,1655115547740,1655115547548,4,0,-0.133,-0.203,-0.970,0.000,0.001,-0.004
AIRPOT,1655115547772,1655115547580,4,0,-0.133,-0.203,-0.970,-0.002,-0.003,-0.004
AIRPOT,1655115547810,1655115547618,4,0,-0.133,-0.204,-0.970,-0.002,-0.001,-0.004
AIRPOT,1655115547852,1655115547660,4,0,-0.133,-0.204,-0.970,-0.006,0.000,-0.005
AIRPOT,1655115547930,1655115547738,4,0,-0.133,-0.205,-0.970,-0.005,0.001,-0.003
AIRPOT,1655115547974,1655115547782,4,0,-0.133,-0.205,-0.970,-0.005,-0.000,-0.002
AIRPOT,1655115548013,1655115547821,4,0,-0.133,-0.206,-0.970,-0.004,-0.002,0.000
AIRPOT,1655115548049,1655115547857,4,0,-0.132,-0.206,-0.970,-0.004,-0.001,-0.000
AIRPOT,1655115548092,1655115547900,4,0,-0.131,-0.207,-0.970,-0.001,-0.002,-0.001
AIRPOT,1655115548169,1655115547977,4,0,-0.131,-0.207,-0.969,-0.001,0.000,-0.005
AIRPOT,1655115548137,1655115547945,4,0,-0.131,-0.207,-0.969,-0.001,-0.001,-0.005
AIRPOT,1655115548251,1655115548059,4,0,-0.132,-0.208,-0.969,-0.000,-0.003,-0.001
AIRPOT,1655115548291,1655115548099,4,0,-0.131,-0.208,-0.969,-0.002,-0.003,-0.002
AIRPOT,1655115548331,1655115548139,4,0,-0.131,-0.209,-0.969,-0.005,0.003,-0.004
AIRPOT,1655115548376,1655115548184,4,0,-0.131,-0.209,-0.969,-0.003,-0.000,-0.002
AIRPOT,1655115548413,1655115548221,4,0,-0.131,-0.209,-0.969,-0.002,-0.000,-0.002
AIRPOT,1655115548452,1655115548260,4,0,-0.131,-0.210,-0.969,-0.001,-0.005,-0.004
AIRPOT,1655115548496,1655115548304,4,0,-0.131,-0.209,-0.969,-0.002,-0.002,-0.001
AIRPOT,1655115548532,1655115548340,4,0,-0.131,-0.209,-0.969,-0.003,0.001,-0.002
AIRPOT,1655115548571,1655115548379,4,0,-0.131,-0.208,-0.969,-0.002,0.002,-0.002
AIRPOT,1655115548614,1655115548422,4,0,-0.131,-0.208,-0.969,-0.002,-0.001,-0.005
AIRPOT,1655115548652,1655115548460,4,0,-0.131,-0.208,-0.969,-0.002,0.000,-0.006
AIRPOT,1655115548690,1655115548498,4,0,-0.132,-0.208,-0.969,-0.002,-0.001,-0.007
AIRPOT,1655115548732,1655115548540,4,0,-0.132,-0.208,-0.969,-0.001,0.002,-0.003
AIRPOT,1655115548771,1655115548579,4,0,-0.133,-0.208,-0.969,-0.004,-0.001,0.001
AIRPOT,1655115548811,1655115548619,4,0,-0.133,-0.208,-0.969,-0.001,0.002,-0.003
AIRPOT,1655115548856,1655115548664,4,0,-0.133,-0.208,-0.969,-0.004,-0.001,-0.006
AIRPOT,1655115548891,1655115548699,4,0,-0.133,-0.209,-0.969,-0.005,-0.004,-0.005
