Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1655187496933,1655187497059,4,1655187495039,0.148,-0.059,-0.002,-0.014,-0.003,0.002,116
WATCH,1655187496933,1655187497059,4,1655187495049,0.138,-0.053,0.004,-0.011,-0.005,0.003,116
WATCH,1655187496934,1655187497060,4,1655187495059,0.134,-0.047,0.007,-0.013,-0.004,0.006,116
WATCH,1655187496934,1655187497060,4,1655187495069,0.133,-0.041,0.015,-0.016,-0.007,0.006,116
WATCH,1655187496934,1655187497060,4,1655187495079,0.137,-0.036,0.021,-0.017,-0.008,0.008,116
WATCH,1655187496934,1655187497060,4,1655187495088,0.129,-0.034,0.022,-0.020,-0.002,0.010,116
WATCH,1655187496934,1655187497060,4,1655187495098,0.126,-0.024,0.023,-0.020,0.003,0.014,116
WATCH,1655187496934,1655187497060,4,1655187495108,0.114,-0.029,0.031,-0.017,-0.000,0.012,116
WATCH,1655187496934,1655187497060,4,1655187495118,0.111,-0.027,0.031,-0.016,-0.005,0.010,116
WATCH,1655187497053,1655187497179,4,1655187495128,0.093,-0.029,0.034,-0.016,-0.007,0.008,116
WATCH,1655187497053,1655187497179,4,1655187495138,0.079,-0.029,0.038,-0.017,-0.013,0.008,116
WATCH,1655187497053,1655187497179,4,1655187495148,0.066,-0.031,0.040,-0.018,-0.016,0.006,116
WATCH,1655187497053,1655187497179,4,1655187495158,0.057,-0.030,0.045,-0.019,-0.015,0.004,116
WATCH,1655187497053,1655187497179,4,1655187495168,0.062,-0.031,0.050,-0.024,-0.012,0.005,116
WATCH,1655187497053,1655187497179,4,1655187495178,0.059,-0.033,0.047,-0.027,-0.010,0.001,116
WATCH,1655187497054,1655187497180,4,1655187495188,0.052,-0.030,0.047,-0.029,-0.014,0.001,116
WATCH,1655187497054,1655187497180,4,1655187495198,0.043,-0.038,0.047,-0.030,-0.020,-0.003,116
WATCH,1655187497054,1655187497180,4,1655187495208,0.038,-0.037,0.047,-0.034,-0.024,-0.010,116
WATCH,1655187497054,1655187497180,4,1655187495218,0.040,-0.041,0.049,-0.038,-0.024,-0.014,116
WATCH,1655187497139,1655187497265,4,1655187495228,0.050,-0.042,0.049,-0.042,-0.018,-0.014,116
WATCH,1655187497139,1655187497265,4,1655187495238,0.064,-0.048,0.052,-0.044,-0.018,-0.017,116
WATCH,1655187497139,1655187497265,4,1655187495247,0.081,-0.053,0.054,-0.050,-0.016,-0.022,116
WATCH,1655187497139,1655187497265,4,1655187495257,0.116,-0.054,0.059,-0.051,-0.012,-0.030,116
WATCH,1655187497139,1655187497265,4,1655187495267,0.150,-0.069,0.065,-0.055,-0.008,-0.035,116
WATCH,1655187497139,1655187497265,4,1655187495277,0.192,-0.073,0.067,-0.060,-0.008,-0.040,116
WATCH,1655187497139,1655187497265,4,1655187495287,0.252,-0.075,0.068,-0.066,-0.009,-0.045,116
WATCH,1655187497139,1655187497265,4,1655187495297,0.323,-0.077,0.073,-0.069,-0.006,-0.049,116
WATCH,1655187497139,1655187497265,4,1655187495307,0.401,-0.076,0.074,-0.074,-0.001,-0.050,116
WATCH,1655187497139,1655187497265,4,1655187495317,0.473,-0.079,0.071,-0.077,0.005,-0.054,116
WATCH,1655187497781,1655187497907,4,1655187495327,0.562,-0.085,0.069,-0.076,0.012,-0.060,116
WATCH,1655187497781,1655187497907,4,1655187495337,0.648,-0.088,0.070,-0.076,0.013,-0.064,116
WATCH,1655187497781,1655187497907,4,1655187495347,0.729,-0.098,0.069,-0.079,0.011,-0.071,116
WATCH,1655187497781,1655187497907,4,1655187495357,0.825,-0.103,0.071,-0.083,0.003,-0.073,116
WATCH,1655187497781,1655187497907,4,1655187495367,0.933,-0.116,0.069,-0.083,0.004,-0.077,116
WATCH,1655187497783,1655187497909,4,1655187495377,1.060,-0.129,0.068,-0.083,0.012,-0.079,116
WATCH,1655187497783,1655187497909,4,1655187495387,1.223,-0.136,0.068,-0.080,0.017,-0.081,116
WATCH,1655187497783,1655187497909,4,1655187495397,1.386,-0.144,0.079,-0.080,0.016,-0.076,116
WATCH,1655187497783,1655187497909,4,1655187495407,1.516,-0.159,0.072,-0.080,0.014,-0.064,116
WATCH,1655187497783,1655187497909,4,1655187495417,1.609,-0.163,0.061,-0.080,0.013,-0.045,116
WATCH,1655187497783,1655187497909,4,1655187495426,1.656,-0.174,0.051,-0.074,0.003,-0.031,116
WATCH,1655187497783,1655187497909,4,1655187495436,1.688,-0.181,0.047,-0.066,0.001,-0.015,116
WATCH,1655187497783,1655187497909,4,1655187495446,1.721,-0.191,0.043,-0.062,-0.002,-0.004,116
WATCH,1655187497905,1655187498031,4,1655187495486,1.982,-0.236,0.012,-0.039,0.022,0.001,116
WATCH,1655187497910,1655187498036,4,1655187495496,2.060,-0.257,0.007,-0.034,0.037,0.006,116
WATCH,1655187497910,1655187498036,4,1655187495506,2.115,-0.275,0.003,-0.027,0.043,0.016,116
WATCH,1655187497910,1655187498036,4,1655187495516,2.133,-0.294,-0.002,-0.022,0.045,0.026,116
WATCH,1655187497910,1655187498036,4,1655187495526,2.108,-0.310,-0.008,-0.009,0.050,0.036,116
WATCH,1655187497910,1655187498036,4,1655187495536,2.047,-0.333,-0.017,0.003,0.045,0.049,116
WATCH,1655187497910,1655187498036,4,1655187495546,1.952,-0.345,-0.022,0.009,0.041,0.062,116
WATCH,1655187497910,1655187498036,4,1655187495556,1.852,-0.366,-0.022,0.012,0.040,0.068,116
WATCH,1655187497910,1655187498036,4,1655187495565,1.770,-0.374,-0.019,0.014,0.045,0.067,116
WATCH,1655187497932,1655187498058,4,1655187495575,1.711,-0.379,-0.026,0.020,0.055,0.065,116
WATCH,1655187497932,1655187498058,4,1655187495585,1.672,-0.386,-0.017,0.027,0.066,0.063,116
WATCH,1655187497932,1655187498058,4,1655187495595,1.645,-0.389,-0.012,0.042,0.070,0.054,116
WATCH,1655187497932,1655187498058,4,1655187495605,1.617,-0.396,0.002,0.049,0.070,0.048,116
WATCH,1655187497932,1655187498058,4,1655187495615,1.567,-0.399,0.009,0.051,0.067,0.041,116
WATCH,1655187497932,1655187498058,4,1655187495625,1.503,-0.404,0.008,0.049,0.053,0.040,116
WATCH,1655187497932,1655187498058,4,1655187495635,1.415,-0.401,0.001,0.050,0.035,0.041,116
WATCH,1655187497932,1655187498058,4,1655187495645,1.325,-0.400,-0.007,0.055,0.017,0.041,116
WATCH,1655187497932,1655187498058,4,1655187495655,1.229,-0.398,-0.012,0.059,-0.004,0.036,116
WATCH,1655187497932,1655187498058,4,1655187495665,1.126,-0.393,-0.031,0.057,-0.024,0.033,116
WATCH,1655187498056,1655187498182,4,1655187495675,1.027,-0.393,-0.047,0.052,-0.041,0.030,116
WATCH,1655187498056,1655187498182,4,1655187495685,0.914,-0.389,-0.065,0.047,-0.045,0.017,116
WATCH,1655187498056,1655187498182,4,1655187495695,0.813,-0.381,-0.082,0.044,-0.052,0.010,116
WATCH,1655187498056,1655187498182,4,1655187495705,0.742,-0.373,-0.093,0.038,-0.059,0.003,116
WATCH,1655187498056,1655187498182,4,1655187495714,0.705,-0.368,-0.098,0.037,-0.059,-0.005,116
WATCH,1655187498243,1655187498369,4,1655187495724,0.687,-0.357,-0.094,0.035,-0.053,-0.005,116
WATCH,1655187498243,1655187498369,4,1655187495735,0.708,-0.349,-0.098,0.029,-0.050,-0.005,116
WATCH,1655187498243,1655187498369,4,1655187495744,0.737,-0.352,-0.096,0.027,-0.043,-0.006,116
