DeviceName,PTPTime,UnixTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1642571263870,1642571263712,55,5,10,0,0,0,ELT003#
DEVICE,1642571263901,1642571263743,56,5,10,0,0,0,ELT003#
DEVICE,1642571263934,1642571263776,55,5,10,0,0,0,ELT003#
DEVICE,1642571263965,1642571263807,54,5,10,0,0,0,ELT003#
DEVICE,1642571263997,1642571263839,56,5,10,0,0,0,ELT003#
DEVICE,1642571264029,1642571263871,54,5,10,0,0,0,ELT003#
DEVICE,1642571264062,1642571263904,54,5,10,0,0,0,ELT003#
DEVICE,1642571264093,1642571263935,56,5,10,0,0,0,ELT003#
DEVICE,1642571264126,1642571263968,53,5,10,0,0,0,ELT003#
DEVICE,1642571264157,1642571263999,55,5,10,0,0,0,ELT003#
DEVICE,1642571264189,1642571264031,56,5,10,0,0,0,ELT003#
DEVICE,1642571264221,1642571264063,55,5,10,0,0,0,ELT003#
DEVICE,1642571264253,1642571264095,56,5,10,0,0,0,ELT003#
DEVICE,1642571264285,1642571264127,53,5,10,0,0,0,ELT003#
DEVICE,1642571264318,1642571264160,56,5,10,0,0,0,ELT003#
DEVICE,1642571264349,1642571264191,52,5,10,0,0,0,ELT003#
DEVICE,1642571264381,1642571264223,54,5,10,0,0,0,ELT003#
DEVICE,1642571264413,1642571264255,55,5,10,0,0,0,ELT003#
DEVICE,1642571264445,1642571264287,55,5,10,0,0,0,ELT003#
DEVICE,1642571264477,1642571264319,55,5,10,0,0,0,ELT003#
DEVICE,1642571264509,1642571264351,54,5,10,0,0,0,ELT003#
DEVICE,1642571264541,1642571264383,55,5,10,0,0,0,ELT003#
DEVICE,1642571264572,1642571264414,55,5,10,0,0,0,ELT003#
DEVICE,1642571264605,1642571264447,55,5,10,0,0,0,ELT003#
DEVICE,1642571264637,1642571264479,56,5,10,0,0,0,ELT003#
DEVICE,1642571264669,1642571264511,57,5,10,0,0,0,ELT003#
DEVICE,1642571264701,1642571264543,55,5,10,0,0,0,ELT003#
DEVICE,1642571264732,1642571264574,55,5,10,0,0,0,ELT003#
DEVICE,1642571264765,1642571264607,54,5,10,0,0,0,ELT003#
DEVICE,1642571264797,1642571264639,54,5,10,0,0,0,ELT003#
DEVICE,1642571264829,1642571264671,54,5,10,0,0,0,ELT003#
DEVICE,1642571264861,1642571264703,54,5,10,0,0,0,ELT003#
DEVICE,1642571264893,1642571264735,55,5,10,0,0,0,ELT003#
DEVICE,1642571264925,1642571264767,53,5,10,0,0,0,ELT003#
DEVICE,1642571264956,1642571264798,55,5,10,0,0,0,ELT003#
DEVICE,1642571264989,1642571264831,53,5,10,0,0,0,ELT003#
DEVICE,1642571265021,1642571264863,54,5,10,0,0,0,ELT003#
DEVICE,1642571265053,1642571264895,55,5,10,0,0,0,ELT003#
DEVICE,1642571265085,1642571264927,52,5,10,0,0,0,ELT003#
DEVICE,1642571265117,1642571264959,53,5,10,0,0,0,ELT003#
DEVICE,1642571265148,1642571264990,55,5,10,0,0,0,ELT003#
DEVICE,1642571265181,1642571265023,56,5,10,0,0,0,ELT003#
DEVICE,1642571265212,1642571265054,54,5,10,0,0,0,ELT003#
DEVICE,1642571265244,1642571265086,55,5,10,0,0,0,ELT003#
DEVICE,1642571265276,1642571265118,53,5,10,0,0,0,ELT003#
DEVICE,1642571265308,1642571265150,53,5,10,0,0,0,ELT003#
DEVICE,1642571265340,1642571265182,55,5,10,0,0,0,ELT003#
DEVICE,1642571265372,1642571265214,54,5,10,0,0,0,ELT003#
DEVICE,1642571265404,1642571265246,55,5,10,0,0,0,ELT003#
DEVICE,1642571265436,1642571265278,53,5,10,0,0,0,ELT003#
DEVICE,1642571265469,1642571265311,57,5,10,0,0,0,ELT003#
DEVICE,1642571265500,1642571265342,54,5,10,0,0,0,ELT003#
DEVICE,1642571265532,1642571265374,54,5,10,0,0,0,ELT003#
DEVICE,1642571265564,1642571265406,55,5,10,0,0,0,ELT003#
DEVICE,1642571265596,1642571265438,52,5,10,0,0,0,ELT003#
DEVICE,1642571265629,1642571265471,53,5,10,0,0,0,ELT003#
DEVICE,1642571265659,1642571265501,56,5,10,0,0,0,ELT003#
DEVICE,1642571265692,1642571265534,52,5,10,0,0,0,ELT003#
DEVICE,1642571265724,1642571265566,54,5,10,0,0,0,ELT003#
DEVICE,1642571265756,1642571265598,54,5,10,0,0,0,ELT003#
DEVICE,1642571265788,1642571265630,54,5,10,0,0,0,ELT003#
DEVICE,1642571265820,1642571265662,56,5,10,0,0,0,ELT003#
DEVICE,1642571265852,1642571265694,53,5,10,0,0,0,ELT003#
DEVICE,1642571265884,1642571265726,53,5,10,0,0,0,ELT003#
DEVICE,1642571265916,1642571265758,54,5,10,0,0,0,ELT003#
DEVICE,1642571265948,1642571265790,57,5,10,0,0,0,ELT003#
DEVICE,1642571265980,1642571265822,53,5,10,0,0,0,ELT003#
DEVICE,1642571266012,1642571265854,55,5,10,0,0,0,ELT003#
DEVICE,1642571266043,1642571265885,54,5,10,0,0,0,ELT003#
DEVICE,1642571266075,1642571265917,53,5,10,0,0,0,ELT003#
DEVICE,1642571266107,1642571265949,54,5,10,0,0,0,ELT003#
DEVICE,1642571266139,1642571265981,53,5,10,0,0,0,ELT003#
DEVICE,1642571266171,1642571266013,51,5,10,0,0,0,ELT003#
DEVICE,1642571266203,1642571266045,53,5,10,0,0,0,ELT003#
DEVICE,1642571266235,1642571266077,53,5,10,0,0,0,ELT003#
DEVICE,1642571266252,1642571266094,54,5,10,0,0,0,ELT003#
DEVICE,1642571266284,1642571266126,56,5,10,0,0,0,ELT003#
DEVICE,1642571266316,1642571266158,53,5,10,0,0,0,ELT003#
DEVICE,1642571266348,1642571266190,54,5,10,0,0,0,ELT003#
DEVICE,1642571266380,1642571266222,53,5,10,0,0,0,ELT003#
DEVICE,1642571266411,1642571266253,55,5,10,0,0,0,ELT003#
DEVICE,1642571266443,1642571266285,53,5,10,0,0,0,ELT003#
DEVICE,1642571266475,1642571266317,56,5,10,0,0,0,ELT003#
DEVICE,1642571266507,1642571266349,56,5,10,0,0,0,ELT003#
DEVICE,1642571266539,1642571266381,51,5,10,0,0,0,ELT003#
DEVICE,1642571266571,1642571266413,53,5,10,0,0,0,ELT003#
DEVICE,1642571266603,1642571266445,55,5,10,0,0,0,ELT003#
DEVICE,1642571266636,1642571266478,53,5,10,0,0,0,ELT003#
DEVICE,1642571266668,1642571266510,56,5,10,0,0,0,ELT003#
DEVICE,1642571266699,1642571266541,54,5,10,0,0,0,ELT003#
DEVICE,1642571266732,1642571266574,56,5,10,0,0,0,ELT003#
DEVICE,1642571266763,1642571266605,54,5,10,0,0,0,ELT003#
DEVICE,1642571266795,1642571266637,52,5,10,0,0,0,ELT003#
DEVICE,1642571266827,1642571266669,54,5,10,0,0,0,ELT003#
DEVICE,1642571266859,1642571266701,55,5,10,0,0,0,ELT003#
DEVICE,1642571266890,1642571266732,54,5,10,0,0,0,ELT003#
DEVICE,1642571266923,1642571266765,55,5,10,0,0,0,ELT003#
DEVICE,1642571266955,1642571266797,53,5,10,0,0,0,ELT003#
DEVICE,1642571266986,1642571266828,54,5,10,0,0,0,ELT003#
DEVICE,1642571267018,1642571266860,56,5,10,0,0,0,ELT003#
