Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,HeartRate
WATCH,1642571174797,1642571174798,4,1642571174798,0.002,0.010,-0.002,-0.002,0.002,-0.005,71
WATCH,1642571174806,1642571174807,4,1642571174807,-0.001,0.003,0.002,0.001,-0.000,-0.005,71
WATCH,1642571174817,1642571174818,4,1642571174818,0.001,0.002,0.001,0.001,-0.001,0.001,71
WATCH,1642571174826,1642571174827,4,1642571174827,0.003,0.002,-0.000,0.002,0.001,-0.001,71
WATCH,1642571174836,1642571174837,4,1642571174837,-0.001,-0.002,-0.003,0.002,0.001,-0.004,71
WATCH,1642571174847,1642571174848,4,1642571174848,0.002,0.002,0.001,0.001,0.003,-0.003,71
WATCH,1642571174856,1642571174857,4,1642571174857,-0.001,0.002,0.002,0.001,0.004,-0.002,71
WATCH,1642571174866,1642571174867,4,1642571174867,0.000,0.001,0.001,0.000,0.006,-0.002,71
WATCH,1642571174877,1642571174878,4,1642571174878,-0.002,-0.000,0.002,-0.001,0.007,0.002,71
WATCH,1642571174886,1642571174887,4,1642571174887,-0.000,0.001,0.001,-0.003,0.006,-0.000,71
WATCH,1642571174896,1642571174897,4,1642571174897,-0.005,0.001,-0.000,-0.001,0.005,-0.001,71
WATCH,1642571174906,1642571174907,4,1642571174907,-0.003,0.001,0.002,-0.002,0.002,0.000,71
WATCH,1642571174916,1642571174917,4,1642571174917,0.000,0.004,-0.004,-0.002,-0.000,-0.000,71
WATCH,1642571174926,1642571174927,4,1642571174927,-0.003,-0.002,-0.000,0.001,-0.000,-0.002,71
WATCH,1642571174936,1642571174937,4,1642571174937,0.002,0.004,0.002,0.003,-0.001,-0.000,71
WATCH,1642571174946,1642571174947,4,1642571174947,-0.003,0.004,0.003,0.004,-0.001,-0.002,71
WATCH,1642571174956,1642571174957,4,1642571174957,0.001,-0.002,0.000,0.004,0.000,-0.003,71
WATCH,1642571174966,1642571174967,4,1642571174967,0.002,-0.006,0.001,0.002,0.003,-0.002,71
WATCH,1642571174976,1642571174977,4,1642571174977,0.003,-0.001,-0.002,-0.001,0.004,-0.003,71
WATCH,1642571174986,1642571174987,4,1642571174987,-0.001,-0.002,-0.001,-0.001,0.007,-0.002,71
WATCH,1642571174996,1642571174997,4,1642571174997,0.000,0.001,0.003,-0.003,0.008,0.000,71
WATCH,1642571175005,1642571175006,4,1642571175006,0.000,-0.007,-0.002,-0.003,0.007,-0.001,71
WATCH,1642571175015,1642571175016,4,1642571175016,0.002,-0.003,0.003,-0.003,0.008,0.000,71
WATCH,1642571175025,1642571175026,4,1642571175026,-0.001,-0.001,0.000,-0.002,0.005,-0.004,71
WATCH,1642571175035,1642571175036,4,1642571175036,0.002,-0.002,-0.000,-0.001,0.004,-0.003,71
WATCH,1642571175045,1642571175046,4,1642571175046,-0.001,0.005,-0.003,0.001,0.001,0.002,71
WATCH,1642571175055,1642571175056,4,1642571175056,0.000,0.005,0.001,0.002,-0.001,-0.003,71
WATCH,1642571175065,1642571175066,4,1642571175066,-0.004,-0.000,-0.001,0.004,-0.002,-0.001,71
WATCH,1642571175075,1642571175076,4,1642571175076,0.001,0.000,-0.002,0.004,-0.002,-0.000,71
WATCH,1642571175085,1642571175086,4,1642571175086,0.004,-0.000,0.000,0.003,-0.002,-0.003,71
WATCH,1642571175095,1642571175096,4,1642571175096,-0.001,-0.002,0.000,0.002,0.000,0.001,71
WATCH,1642571175105,1642571175106,4,1642571175106,0.001,0.002,-0.004,0.001,0.001,0.002,71
WATCH,1642571175115,1642571175116,4,1642571175116,-0.000,-0.001,0.002,0.000,0.002,-0.003,71
WATCH,1642571175125,1642571175126,4,1642571175126,-0.002,-0.001,-0.000,-0.002,0.006,-0.002,71
WATCH,1642571175135,1642571175136,4,1642571175136,0.000,0.001,0.002,-0.002,0.008,-0.003,71
WATCH,1642571175145,1642571175146,4,1642571175146,0.001,0.000,0.001,-0.002,0.007,-0.005,71
WATCH,1642571175155,1642571175156,4,1642571175156,-0.001,-0.003,-0.002,-0.003,0.007,-0.001,71
WATCH,1642571175165,1642571175166,4,1642571175166,0.004,0.000,-0.000,-0.001,0.003,-0.001,71
WATCH,1642571175174,1642571175175,4,1642571175175,0.005,0.005,0.003,0.001,-0.001,0.001,71
WATCH,1642571175184,1642571175185,4,1642571175185,0.001,-0.007,-0.004,0.001,-0.000,0.000,71
WATCH,1642571175195,1642571175196,4,1642571175196,-0.009,0.005,0.001,0.001,-0.004,-0.005,71
WATCH,1642571175205,1642571175206,4,1642571175206,0.002,-0.002,-0.003,0.002,0.000,-0.000,71
WATCH,1642571175214,1642571175215,4,1642571175215,0.002,-0.006,0.002,-0.000,0.003,0.001,71
WATCH,1642571175224,1642571175225,4,1642571175225,-0.004,0.000,0.001,0.002,0.001,-0.004,71
WATCH,1642571175234,1642571175235,4,1642571175235,-0.001,-0.004,0.002,0.001,0.004,0.005,71
WATCH,1642571175244,1642571175245,4,1642571175245,0.001,-0.003,-0.000,0.001,0.002,0.003,71
WATCH,1642571175254,1642571175255,4,1642571175255,0.001,-0.006,0.002,-0.001,0.004,0.004,71
WATCH,1642571175264,1642571175265,4,1642571175265,0.001,0.002,0.000,-0.003,0.003,0.002,71
WATCH,1642571175274,1642571175275,4,1642571175275,-0.001,0.005,-0.001,-0.004,0.003,-0.009,71
WATCH,1642571175284,1642571175285,4,1642571175285,-0.000,-0.003,-0.002,-0.004,0.002,-0.006,71
WATCH,1642571175294,1642571175295,4,1642571175295,0.011,-0.008,-0.000,-0.009,0.002,0.010,71
WATCH,1642571175304,1642571175305,4,1642571175305,-0.006,0.003,0.002,-0.005,0.001,-0.019,71
WATCH,1642571175314,1642571175315,4,1642571175315,-0.002,0.002,-0.001,-0.004,-0.002,-0.007,71
WATCH,1642571175324,1642571175325,4,1642571175325,0.000,0.001,0.004,-0.001,0.002,0.014,71
WATCH,1642571175334,1642571175335,4,1642571175335,0.003,0.013,0.002,0.005,0.003,-0.016,71
WATCH,1642571175344,1642571175345,4,1642571175345,-0.008,0.005,0.001,0.011,0.006,0.014,71
WATCH,1642571175353,1642571175354,4,1642571175354,0.004,0.001,0.000,0.012,0.006,0.000,71
WATCH,1642571175363,1642571175364,4,1642571175364,0.002,0.004,-0.000,0.012,0.009,-0.019,71
WATCH,1642571175374,1642571175375,4,1642571175375,-0.005,-0.004,0.001,0.010,0.010,0.005,71
WATCH,1642571175383,1642571175384,4,1642571175384,0.005,-0.010,-0.002,0.003,0.010,0.012,71
WATCH,1642571175393,1642571175394,4,1642571175394,0.007,-0.005,-0.002,0.001,0.008,-0.006,71
WATCH,1642571175404,1642571175405,4,1642571175405,0.001,-0.008,0.002,-0.007,0.006,-0.004,71
WATCH,1642571175413,1642571175414,4,1642571175414,0.001,-0.002,0.001,-0.008,0.001,0.002,71
WATCH,1642571175423,1642571175424,4,1642571175424,0.001,0.000,0.004,-0.008,-0.004,-0.012,71
WATCH,1642571175433,1642571175434,4,1642571175434,-0.003,-0.005,0.001,-0.007,-0.006,0.001,71
WATCH,1642571175443,1642571175444,4,1642571175444,-0.001,-0.006,0.000,-0.008,-0.005,0.013,71
WATCH,1642571175453,1642571175454,4,1642571175454,0.004,0.002,-0.004,-0.003,-0.004,0.003,71
WATCH,1642571175463,1642571175464,4,1642571175464,0.003,0.001,0.001,-0.002,0.001,-0.012,71
WATCH,1642571175473,1642571175474,4,1642571175474,-0.007,0.003,0.002,0.002,0.007,0.004,71
WATCH,1642571175483,1642571175484,4,1642571175484,-0.003,0.000,0.001,0.000,0.009,-0.003,71
WATCH,1642571175493,1642571175494,4,1642571175494,-0.001,0.005,0.000,0.002,0.009,-0.000,71
WATCH,1642571175503,1642571175504,4,1642571175504,0.005,-0.005,-0.000,0.001,0.008,0.005,71
WATCH,1642571175513,1642571175514,4,1642571175514,-0.001,0.008,0.000,0.003,0.004,-0.010,71
WATCH,1642571175522,1642571175523,4,1642571175523,0.002,-0.002,-0.001,0.003,0.002,-0.014,71
WATCH,1642571175533,1642571175534,4,1642571175534,0.003,0.001,0.003,0.002,-0.002,-0.001,71
WATCH,1642571175543,1642571175544,4,1642571175544,0.002,-0.003,-0.000,0.000,-0.003,0.005,71
WATCH,1642571175552,1642571175553,4,1642571175553,0.000,-0.006,0.000,0.001,-0.002,0.001,71
WATCH,1642571175563,1642571175564,4,1642571175564,0.005,-0.007,0.002,-0.004,-0.002,0.002,71
WATCH,1642571175572,1642571175573,4,1642571175573,0.007,0.002,-0.001,-0.004,0.001,-0.007,71
WATCH,1642571175582,1642571175583,4,1642571175583,-0.001,0.005,0.000,-0.004,0.000,-0.004,71
WATCH,1642571175592,1642571175593,4,1642571175593,-0.004,0.001,-0.001,-0.003,0.002,0.004,71
WATCH,1642571175602,1642571175603,4,1642571175603,0.001,0.001,0.003,-0.001,0.003,0.005,71
WATCH,1642571175612,1642571175613,4,1642571175613,0.003,0.004,-0.003,0.003,0.007,-0.005,71
WATCH,1642571175622,1642571175623,4,1642571175623,-0.000,0.007,0.003,0.009,0.011,-0.007,71
WATCH,1642571175632,1642571175633,4,1642571175633,-0.002,0.001,0.002,0.009,0.011,-0.008,71
WATCH,1642571175642,1642571175643,4,1642571175643,-0.003,-0.006,0.001,0.007,0.010,0.003,71
WATCH,1642571175652,1642571175653,4,1642571175653,0.001,-0.007,0.004,0.004,0.007,0.006,71
WATCH,1642571175662,1642571175663,4,1642571175663,-0.001,-0.003,-0.000,0.001,0.003,0.001,71
WATCH,1642571175672,1642571175673,4,1642571175673,0.004,-0.014,-0.000,-0.003,0.001,-0.005,71
WATCH,1642571175682,1642571175683,4,1642571175683,-0.002,-0.002,-0.001,-0.004,-0.002,-0.003,71
WATCH,1642571175692,1642571175693,4,1642571175693,-0.003,-0.004,0.000,-0.008,-0.004,-0.001,71
WATCH,1642571175702,1642571175703,4,1642571175703,0.001,0.003,0.003,-0.007,-0.005,-0.002,71
WATCH,1642571175711,1642571175712,4,1642571175712,0.003,0.002,0.002,-0.005,-0.004,-0.000,71
WATCH,1642571175721,1642571175722,4,1642571175722,-0.005,-0.001,-0.000,-0.002,-0.002,-0.004,71
WATCH,1642571175731,1642571175732,4,1642571175732,-0.003,0.005,-0.003,0.002,0.001,-0.000,71
WATCH,1642571175742,1642571175743,4,1642571175743,-0.002,0.001,-0.000,0.001,0.004,0.001,71
WATCH,1642571175751,1642571175752,4,1642571175752,0.004,0.003,-0.001,0.005,0.008,-0.001,71
WATCH,1642571175761,1642571175762,4,1642571175762,0.001,0.002,-0.001,0.003,0.009,-0.004,71
WATCH,1642571175771,1642571175772,4,1642571175772,0.003,0.002,-0.004,0.005,0.006,-0.000,71
WATCH,1642571175781,1642571175782,4,1642571175782,0.004,-0.004,-0.002,0.002,0.005,-0.003,71
WATCH,1642571175791,1642571175792,4,1642571175792,0.003,-0.002,-0.001,0.001,0.002,0.001,71
WATCH,1642571175801,1642571175802,4,1642571175802,0.007,-0.007,0.000,-0.001,0.004,0.002,71
WATCH,1642571175812,1642571175813,4,1642571175813,0.002,-0.003,-0.001,0.000,0.002,-0.004,71
WATCH,1642571175821,1642571175822,4,1642571175822,0.001,-0.003,-0.000,-0.000,0.002,-0.002,71
WATCH,1642571175831,1642571175832,4,1642571175832,0.001,-0.001,0.001,0.000,0.003,0.002,71
WATCH,1642571175841,1642571175842,4,1642571175842,-0.002,-0.001,0.000,-0.002,0.001,0.002,71
WATCH,1642571175851,1642571175852,4,1642571175852,0.001,0.004,-0.001,-0.000,0.002,0.002,71
WATCH,1642571175861,1642571175862,4,1642571175862,0.005,-0.002,-0.002,0.001,0.001,0.001,71
WATCH,1642571175871,1642571175872,4,1642571175872,0.003,0.004,-0.000,0.001,0.003,-0.004,71
WATCH,1642571175881,1642571175882,4,1642571175882,-0.001,0.005,0.002,0.001,0.004,-0.001,71
WATCH,1642571175890,1642571175891,4,1642571175891,-0.001,-0.002,-0.001,0.000,0.006,-0.001,71
WATCH,1642571175901,1642571175902,4,1642571175902,-0.001,0.002,0.000,0.003,0.007,-0.004,71
WATCH,1642571175911,1642571175912,4,1642571175912,-0.001,-0.001,0.003,0.002,0.006,-0.004,71
WATCH,1642571175921,1642571175922,4,1642571175922,0.001,0.005,0.002,0.003,0.003,0.001,71
WATCH,1642571175931,1642571175932,4,1642571175932,0.000,-0.005,-0.001,0.001,0.001,0.000,71
WATCH,1642571175940,1642571175941,4,1642571175941,0.000,0.001,-0.001,-0.001,-0.002,0.001,71
WATCH,1642571175950,1642571175951,4,1642571175951,0.003,-0.002,-0.002,-0.004,-0.003,-0.000,71
WATCH,1642571175961,1642571175962,4,1642571175962,0.000,0.002,-0.003,-0.001,-0.005,-0.001,71
WATCH,1642571175970,1642571175971,4,1642571175971,0.000,-0.001,-0.001,-0.002,-0.001,-0.006,71
WATCH,1642571175980,1642571175981,4,1642571175981,0.004,-0.001,0.005,-0.002,0.002,0.002,71
WATCH,1642571175990,1642571175991,4,1642571175991,0.003,0.006,-0.000,0.001,0.004,-0.001,71
WATCH,1642571176000,1642571176001,4,1642571176001,0.002,0.007,-0.000,0.003,0.007,-0.001,71
WATCH,1642571176010,1642571176011,4,1642571176011,-0.000,-0.002,0.001,0.004,0.009,0.003,71
WATCH,1642571176020,1642571176021,4,1642571176021,-0.001,0.005,0.001,0.007,0.010,-0.002,71
WATCH,1642571176030,1642571176031,4,1642571176031,0.003,-0.002,-0.003,0.008,0.008,-0.004,71
WATCH,1642571176040,1642571176041,4,1642571176041,0.001,-0.003,-0.003,0.006,0.006,-0.003,71
WATCH,1642571176050,1642571176051,4,1642571176051,0.001,-0.003,-0.001,0.005,0.003,-0.002,71
WATCH,1642571176060,1642571176061,4,1642571176061,0.002,-0.006,-0.002,0.002,-0.000,-0.003,71
WATCH,1642571176070,1642571176071,4,1642571176071,0.001,-0.004,-0.000,0.001,0.002,0.001,71
WATCH,1642571176080,1642571176081,4,1642571176081,0.005,-0.001,-0.002,-0.003,0.003,-0.001,71
WATCH,1642571176089,1642571176090,4,1642571176090,0.001,-0.002,-0.001,-0.004,0.005,-0.002,71
WATCH,1642571176099,1642571176100,4,1642571176100,-0.001,-0.004,0.003,-0.006,0.005,0.000,71
WATCH,1642571176109,1642571176110,4,1642571176110,0.001,0.002,0.002,-0.004,0.005,0.001,71
WATCH,1642571176119,1642571176120,4,1642571176120,0.003,0.001,0.001,-0.007,0.005,-0.000,71
WATCH,1642571176129,1642571176130,4,1642571176130,0.001,0.002,-0.001,-0.003,0.004,0.001,71
WATCH,1642571176139,1642571176140,4,1642571176140,0.004,0.004,-0.000,-0.000,0.003,-0.003,71
WATCH,1642571176149,1642571176150,4,1642571176150,-0.005,0.006,0.004,0.001,0.004,-0.005,71
WATCH,1642571176159,1642571176160,4,1642571176160,0.002,0.001,0.001,0.003,0.005,-0.002,71
WATCH,1642571176169,1642571176170,4,1642571176170,0.002,0.001,0.001,0.005,0.004,-0.002,71
WATCH,1642571176179,1642571176180,4,1642571176180,-0.001,0.000,0.001,0.004,0.001,-0.000,71
WATCH,1642571176189,1642571176190,4,1642571176190,0.002,-0.005,0.004,0.002,0.000,-0.000,71
WATCH,1642571176199,1642571176200,4,1642571176200,0.002,-0.001,-0.001,0.002,-0.001,0.002,71
WATCH,1642571176209,1642571176210,4,1642571176210,0.001,-0.007,-0.000,0.000,-0.004,-0.000,71
WATCH,1642571176219,1642571176220,4,1642571176220,0.001,-0.002,0.000,0.001,-0.002,0.001,71
WATCH,1642571176229,1642571176230,4,1642571176230,-0.000,-0.006,-0.000,-0.001,0.000,-0.004,71
WATCH,1642571176239,1642571176240,4,1642571176240,0.002,-0.002,0.002,-0.000,0.003,-0.002,71
WATCH,1642571176248,1642571176249,4,1642571176249,0.003,-0.000,0.001,-0.002,0.004,-0.004,71
WATCH,1642571176259,1642571176260,4,1642571176260,0.000,0.003,0.001,0.001,0.008,-0.001,71
WATCH,1642571176269,1642571176270,4,1642571176270,-0.001,-0.003,-0.001,0.003,0.006,-0.002,71
WATCH,1642571176278,1642571176279,4,1642571176279,0.002,0.001,-0.001,0.002,0.008,0.001,71
WATCH,1642571176289,1642571176290,4,1642571176290,-0.004,0.000,-0.002,0.002,0.005,0.000,71
WATCH,1642571176298,1642571176299,4,1642571176299,0.004,0.000,-0.001,0.002,0.001,-0.003,71
WATCH,1642571176308,1642571176309,4,1642571176309,0.004,-0.003,-0.000,0.002,-0.000,-0.005,71
WATCH,1642571176318,1642571176319,4,1642571176319,0.003,-0.002,0.000,-0.000,-0.002,-0.003,71
WATCH,1642571176328,1642571176329,4,1642571176329,0.001,-0.001,0.002,-0.001,-0.001,-0.001,71
WATCH,1642571176338,1642571176339,4,1642571176339,-0.002,0.004,-0.001,-0.002,-0.002,0.000,71
WATCH,1642571176348,1642571176349,4,1642571176349,-0.001,0.002,0.001,-0.002,0.001,-0.001,71
WATCH,1642571176358,1642571176359,4,1642571176359,-0.000,0.002,0.000,-0.002,0.004,-0.000,71
WATCH,1642571176368,1642571176369,4,1642571176369,0.001,0.001,-0.002,-0.001,0.006,-0.001,71
WATCH,1642571176378,1642571176379,4,1642571176379,-0.004,0.004,0.000,-0.000,0.008,-0.001,71
WATCH,1642571176388,1642571176389,4,1642571176389,-0.003,0.002,0.000,0.002,0.008,0.001,71
WATCH,1642571176398,1642571176399,4,1642571176399,-0.002,-0.001,-0.003,0.001,0.008,-0.002,71
WATCH,1642571176408,1642571176409,4,1642571176409,0.002,0.007,0.000,0.002,0.008,-0.002,71
WATCH,1642571176418,1642571176419,4,1642571176419,0.002,0.001,0.002,0.002,0.006,-0.003,71
WATCH,1642571176428,1642571176429,4,1642571176429,0.002,-0.003,0.003,0.005,0.004,0.001,71
WATCH,1642571176438,1642571176439,4,1642571176439,0.006,-0.002,0.001,0.002,0.003,0.001,71
WATCH,1642571176448,1642571176449,4,1642571176449,0.002,0.000,0.000,0.000,0.004,-0.009,71
WATCH,1642571176457,1642571176458,4,1642571176458,-0.001,0.001,0.005,0.000,0.003,-0.002,71
WATCH,1642571176468,1642571176469,4,1642571176469,0.001,0.001,0.001,-0.001,0.002,0.008,71
WATCH,1642571176477,1642571176478,4,1642571176478,-0.001,-0.001,0.002,-0.002,0.002,0.006,71
WATCH,1642571176488,1642571176489,4,1642571176489,0.004,-0.004,0.002,-0.001,0.003,0.004,71
WATCH,1642571176497,1642571176498,4,1642571176498,0.010,-0.002,-0.002,-0.000,0.004,-0.005,71
WATCH,1642571176507,1642571176508,4,1642571176508,0.001,0.005,-0.001,-0.002,0.004,-0.014,71
WATCH,1642571176518,1642571176519,4,1642571176519,-0.005,0.001,0.001,-0.001,0.004,-0.004,71
WATCH,1642571176527,1642571176528,4,1642571176528,-0.004,0.000,-0.003,-0.001,0.005,0.003,71
WATCH,1642571176537,1642571176538,4,1642571176538,0.001,0.000,-0.002,-0.002,0.002,-0.001,71
WATCH,1642571176548,1642571176549,4,1642571176549,0.005,0.002,-0.000,-0.002,0.001,-0.003,71
WATCH,1642571176557,1642571176558,4,1642571176558,0.000,0.007,-0.002,-0.000,-0.000,0.002,71
WATCH,1642571176567,1642571176568,4,1642571176568,0.000,-0.003,-0.003,0.000,-0.001,0.001,71
WATCH,1642571176577,1642571176578,4,1642571176578,-0.005,-0.001,-0.003,0.001,-0.001,0.000,71
WATCH,1642571176587,1642571176588,4,1642571176588,-0.001,0.002,0.002,-0.000,0.003,-0.001,71
WATCH,1642571176597,1642571176598,4,1642571176598,0.005,-0.002,0.000,0.000,0.002,-0.004,71
WATCH,1642571176607,1642571176608,4,1642571176608,-0.003,0.002,-0.000,-0.000,0.003,-0.005,71
WATCH,1642571176617,1642571176618,4,1642571176618,-0.001,0.006,0.001,0.000,0.003,0.003,71
WATCH,1642571176626,1642571176627,4,1642571176627,-0.005,-0.001,-0.001,0.001,0.004,0.003,71
WATCH,1642571176637,1642571176638,4,1642571176638,-0.002,-0.001,0.001,-0.000,0.004,0.000,71
WATCH,1642571176647,1642571176648,4,1642571176648,0.002,0.004,-0.002,0.001,0.004,-0.005,71
WATCH,1642571176656,1642571176657,4,1642571176657,0.002,0.004,-0.002,0.000,0.006,-0.006,71
