Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,HeartRate
WATCH,1642573697478,1642573697464,4,1642573697464,0.275,-0.205,-0.037,-0.011,-0.018,0.032,0
WATCH,1642573697488,1642573697474,4,1642573697474,0.258,-0.241,-0.035,-0.015,-0.008,0.018,0
WATCH,1642573697498,1642573697484,4,1642573697484,0.249,-0.230,-0.022,-0.026,0.001,-0.013,0
WATCH,1642573697508,1642573697494,4,1642573697494,0.239,-0.186,-0.010,-0.038,-0.004,-0.031,0
WATCH,1642573697518,1642573697504,4,1642573697504,0.232,-0.125,-0.007,-0.039,-0.010,-0.029,0
WATCH,1642573697528,1642573697514,4,1642573697514,0.223,-0.095,-0.007,-0.033,-0.005,-0.021,0
WATCH,1642573697538,1642573697524,4,1642573697524,0.230,-0.074,0.002,-0.035,-0.012,-0.021,0
WATCH,1642573697548,1642573697534,4,1642573697534,0.232,-0.065,0.009,-0.036,-0.021,-0.012,0
WATCH,1642573697558,1642573697544,4,1642573697544,0.227,-0.082,-0.005,-0.043,-0.035,-0.015,0
WATCH,1642573697568,1642573697554,4,1642573697554,0.234,-0.072,-0.033,-0.050,-0.042,-0.018,0
WATCH,1642573697577,1642573697563,4,1642573697563,0.227,-0.067,-0.063,-0.042,-0.043,-0.011,0
WATCH,1642573697587,1642573697573,4,1642573697573,0.210,-0.040,-0.086,-0.020,-0.037,-0.009,0
WATCH,1642573697597,1642573697583,4,1642573697583,0.185,-0.014,-0.104,-0.000,-0.033,-0.000,0
WATCH,1642573697607,1642573697593,4,1642573697593,0.172,-0.019,-0.074,0.016,-0.014,0.009,0
WATCH,1642573697617,1642573697603,4,1642573697603,0.151,-0.042,-0.053,0.010,-0.003,0.006,0
WATCH,1642573697627,1642573697613,4,1642573697613,0.161,-0.035,-0.030,-0.008,-0.007,-0.014,0
WATCH,1642573697637,1642573697623,4,1642573697623,0.186,-0.012,-0.023,-0.013,-0.023,-0.036,0
WATCH,1642573697647,1642573697633,4,1642573697633,0.211,0.019,-0.056,-0.010,-0.047,-0.039,0
WATCH,1642573697657,1642573697643,4,1642573697643,0.216,0.071,-0.086,0.016,-0.063,-0.027,0
WATCH,1642573697667,1642573697653,4,1642573697653,0.190,0.112,-0.090,0.052,-0.062,-0.008,0
WATCH,1642573697677,1642573697663,4,1642573697663,0.158,0.137,-0.050,0.072,-0.049,0.025,0
WATCH,1642573697687,1642573697673,4,1642573697673,0.116,0.116,-0.018,0.066,-0.034,0.047,0
WATCH,1642573697697,1642573697683,4,1642573697683,0.099,0.112,0.006,0.049,-0.032,0.044,0
WATCH,1642573697707,1642573697693,4,1642573697693,0.079,0.113,0.015,0.039,-0.034,0.034,0
WATCH,1642573697717,1642573697703,4,1642573697703,0.072,0.104,0.023,0.046,-0.043,0.025,0
WATCH,1642573697727,1642573697713,4,1642573697713,0.058,0.112,0.028,0.056,-0.055,0.017,0
WATCH,1642573697737,1642573697723,4,1642573697723,0.037,0.108,0.015,0.070,-0.069,0.010,0
WATCH,1642573697746,1642573697732,4,1642573697732,0.017,0.129,0.016,0.084,-0.075,0.017,0
