Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644469979252,1644469974861,4,1644469974663,-0.069,0.014,0.013,-0.003,-0.012,0.004,96
WATCH,1644469979252,1644469974861,4,1644469974672,-0.077,0.013,0.010,-0.005,-0.007,0.009,96
WATCH,1644469979252,1644469974861,4,1644469974682,-0.059,0.009,0.008,0.001,0.001,-0.004,96
WATCH,1644469979252,1644469974861,4,1644469974692,-0.050,0.005,-0.001,-0.003,0.009,-0.007,96
WATCH,1644469979252,1644469974861,4,1644469974702,-0.050,0.006,0.000,-0.007,0.003,-0.004,96
WATCH,1644469979253,1644469974862,4,1644469974712,-0.060,0.001,-0.008,-0.008,0.001,0.009,96
WATCH,1644469979253,1644469974862,4,1644469974722,-0.054,0.007,-0.008,-0.008,0.009,0.012,96
WATCH,1644469979253,1644469974862,4,1644469974732,-0.036,0.003,-0.012,-0.006,0.015,0.008,96
WATCH,1644469979253,1644469974862,4,1644469974742,-0.031,0.003,-0.012,-0.006,0.010,0.002,96
WATCH,1644469979315,1644469974924,4,1644469974752,-0.038,0.006,-0.010,-0.003,0.000,0.003,96
WATCH,1644469979316,1644469974925,4,1644469974762,-0.039,0.011,-0.009,-0.003,0.002,0.011,96
WATCH,1644469979316,1644469974925,4,1644469974772,-0.034,0.012,-0.004,-0.003,0.006,0.009,96
WATCH,1644469979316,1644469974925,4,1644469974782,-0.026,0.016,-0.006,0.004,0.007,0.003,96
WATCH,1644469979316,1644469974925,4,1644469974792,-0.030,0.021,-0.006,0.005,0.008,0.004,96
WATCH,1644469979317,1644469974926,4,1644469974801,-0.028,0.030,-0.010,0.003,0.009,0.008,96
WATCH,1644469979317,1644469974926,4,1644469974811,-0.023,0.039,-0.011,0.002,0.015,0.008,96
WATCH,1644469979317,1644469974926,4,1644469974821,-0.010,0.036,-0.014,0.002,0.014,-0.004,96
WATCH,1644469979317,1644469974926,4,1644469974831,0.015,0.034,-0.017,0.003,0.010,-0.019,96
WATCH,1644469979317,1644469974926,4,1644469974841,0.014,0.029,-0.014,0.001,0.009,-0.011,96
WATCH,1644469979371,1644469974980,4,1644469974851,0.004,0.025,-0.013,0.000,0.007,0.000,96
WATCH,1644469979372,1644469974981,4,1644469974861,-0.006,0.021,-0.017,-0.001,0.010,0.005,96
WATCH,1644469979372,1644469974981,4,1644469974871,-0.015,0.016,-0.015,-0.001,0.010,0.004,96
WATCH,1644469979372,1644469974981,4,1644469974881,-0.022,0.015,-0.013,-0.000,0.008,0.008,96
WATCH,1644469979372,1644469974981,4,1644469974891,-0.020,0.011,-0.012,0.002,0.005,0.007,96
WATCH,1644469979433,1644469975042,4,1644469974901,-0.017,0.009,-0.008,0.007,0.006,0.000,96
WATCH,1644469979434,1644469975043,4,1644469974911,-0.014,0.009,-0.009,0.011,0.009,0.001,96
WATCH,1644469979434,1644469975043,4,1644469974920,-0.012,0.010,-0.012,0.010,0.007,-0.000,96
WATCH,1644469979434,1644469975043,4,1644469974930,-0.011,0.007,-0.007,0.013,0.008,-0.001,96
WATCH,1644469979434,1644469975043,4,1644469974940,-0.002,0.003,-0.007,0.015,0.002,-0.017,96
WATCH,1644469979434,1644469975043,4,1644469974951,0.003,0.002,-0.013,0.015,0.003,-0.022,96
WATCH,1644469979434,1644469975043,4,1644469974960,0.010,-0.007,-0.005,0.015,0.004,-0.024,96
WATCH,1644469979434,1644469975043,4,1644469974970,0.004,-0.009,-0.000,0.014,-0.001,-0.021,96
WATCH,1644469979434,1644469975043,4,1644469974980,-0.002,-0.010,0.001,0.014,0.000,-0.012,96
WATCH,1644469979434,1644469975043,4,1644469974990,0.001,-0.014,0.002,0.012,0.007,-0.007,96
WATCH,1644469979492,1644469975101,4,1644469975000,-0.000,-0.012,0.005,0.010,0.013,-0.001,96
WATCH,1644469979493,1644469975102,4,1644469975010,-0.001,-0.017,0.007,0.008,0.008,0.003,96
WATCH,1644469979493,1644469975102,4,1644469975020,-0.004,-0.020,0.010,0.005,0.005,0.003,96
WATCH,1644469979493,1644469975102,4,1644469975030,0.002,-0.022,0.010,0.005,0.008,0.002,96
WATCH,1644469979493,1644469975102,4,1644469975039,0.003,-0.025,0.005,0.005,0.010,-0.002,96
WATCH,1644469979554,1644469975163,4,1644469975050,0.001,-0.026,0.005,0.001,0.013,-0.000,96
WATCH,1644469979555,1644469975164,4,1644469975060,0.001,-0.026,0.005,-0.004,0.007,-0.001,96
WATCH,1644469979555,1644469975164,4,1644469975070,-0.005,-0.029,0.002,-0.004,0.007,-0.005,96
WATCH,1644469979555,1644469975164,4,1644469975079,-0.006,-0.031,0.002,-0.003,0.003,-0.010,96
WATCH,1644469979555,1644469975164,4,1644469975089,-0.001,-0.030,0.003,-0.003,0.005,-0.013,96
WATCH,1644469979652,1644469975261,4,1644469975099,0.005,-0.032,0.005,-0.001,0.008,-0.012,96
WATCH,1644469979652,1644469975261,4,1644469975109,0.007,-0.031,0.005,-0.002,0.012,-0.012,96
WATCH,1644469979652,1644469975261,4,1644469975119,0.012,-0.036,0.007,-0.000,0.011,-0.012,96
WATCH,1644469979652,1644469975261,4,1644469975129,0.020,-0.034,0.012,-0.001,0.007,-0.018,96
WATCH,1644469979652,1644469975261,4,1644469975139,0.017,-0.033,0.018,0.001,0.003,-0.010,96
WATCH,1644469979652,1644469975261,4,1644469975149,0.016,-0.030,0.018,0.006,0.005,-0.007,96
WATCH,1644469979652,1644469975261,4,1644469975159,0.009,-0.030,0.018,0.007,0.005,-0.013,96
WATCH,1644469979653,1644469975262,4,1644469975169,0.012,-0.033,0.019,0.010,0.005,-0.016,96
WATCH,1644469979653,1644469975262,4,1644469975179,0.006,-0.039,0.019,0.010,0.005,-0.017,96
WATCH,1644469979653,1644469975262,4,1644469975188,0.008,-0.045,0.020,0.012,0.006,-0.016,96
WATCH,1644469979704,1644469975313,4,1644469975198,0.010,-0.052,0.016,0.008,0.005,-0.012,96
WATCH,1644469979704,1644469975313,4,1644469975208,0.013,-0.052,0.008,0.001,0.010,-0.004,96
WATCH,1644469979704,1644469975313,4,1644469975218,0.017,-0.056,0.002,-0.006,0.013,0.000,96
WATCH,1644469979704,1644469975313,4,1644469975228,0.024,-0.057,0.006,-0.004,0.011,0.001,96
WATCH,1644469979704,1644469975313,4,1644469975238,0.026,-0.056,-0.000,-0.002,0.011,0.003,96
WATCH,1644469979766,1644469975375,4,1644469975248,0.022,-0.055,0.000,-0.003,0.009,-0.000,96
WATCH,1644469979766,1644469975375,4,1644469975258,0.016,-0.053,0.003,0.000,0.004,-0.002,96
WATCH,1644469979766,1644469975375,4,1644469975268,0.016,-0.046,0.002,0.000,0.007,-0.004,96
WATCH,1644469979766,1644469975375,4,1644469975278,0.017,-0.044,-0.004,0.001,0.011,-0.007,96
WATCH,1644469979767,1644469975376,4,1644469975288,0.015,-0.044,-0.004,0.003,0.010,-0.014,96
WATCH,1644469979825,1644469975434,4,1644469975298,0.017,-0.046,-0.003,0.003,0.007,-0.014,96
WATCH,1644469979825,1644469975434,4,1644469975308,0.020,-0.047,-0.003,0.002,0.009,-0.011,96
WATCH,1644469979826,1644469975435,4,1644469975318,0.032,-0.047,-0.005,0.002,0.012,-0.012,96
WATCH,1644469979826,1644469975435,4,1644469975327,0.039,-0.051,-0.007,0.001,0.014,-0.011,96
WATCH,1644469979826,1644469975435,4,1644469975337,0.041,-0.055,-0.001,0.002,0.010,-0.009,96
WATCH,1644469979892,1644469975501,4,1644469975347,0.041,-0.056,-0.005,0.000,0.009,-0.008,96
