DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1644469968120,1644469951197,4,1644469951197,806,80,0,0,38350,0,DKU006#
DEVICE,1644469968151,1644469951228,4,1644469951228,788,78,0,0,38350,0,DKU006#
DEVICE,1644469968184,1644469951261,4,1644469951261,790,79,0,0,38350,0,DKU006#
DEVICE,1644469968216,1644469951293,4,1644469951293,790,79,0,0,38350,0,DKU006#
DEVICE,1644469968247,1644469951324,4,1644469951324,788,78,0,0,38350,0,DKU006#
DEVICE,1644469968279,1644469951356,4,1644469951356,822,82,0,0,38350,0,DKU006#
DEVICE,1644469968311,1644469951388,4,1644469951388,790,79,0,0,38350,0,DKU006#
DEVICE,1644469968343,1644469951420,4,1644469951420,799,79,0,0,38350,0,DKU006#
DEVICE,1644469968375,1644469951452,4,1644469951452,801,80,0,0,38350,0,DKU006#
DEVICE,1644469968407,1644469951484,4,1644469951484,792,79,0,0,38350,0,DKU006#
DEVICE,1644469968439,1644469951516,4,1644469951516,803,80,0,0,38350,0,DKU006#
DEVICE,1644469968472,1644469951549,4,1644469951549,773,77,0,0,38350,0,DKU006#
DEVICE,1644469968504,1644469951581,4,1644469951581,789,78,0,0,38350,0,DKU006#
DEVICE,1644469968535,1644469951612,4,1644469951612,801,80,0,0,38350,0,DKU006#
DEVICE,1644469968567,1644469951644,4,1644469951644,793,79,0,0,38350,0,DKU006#
DEVICE,1644469968616,1644469951693,4,1644469951693,787,78,0,0,38375,0,DKU006#
DEVICE,1644469968633,1644469951710,4,1644469951710,800,80,0,0,38375,0,DKU006#
DEVICE,1644469968663,1644469951740,4,1644469951740,801,80,0,0,38375,0,DKU006#
DEVICE,1644469968695,1644469951772,4,1644469951772,798,79,0,0,38375,0,DKU006#
DEVICE,1644469968727,1644469951804,4,1644469951804,788,78,0,0,38375,0,DKU006#
DEVICE,1644469968759,1644469951836,4,1644469951836,789,78,0,0,38375,0,DKU006#
DEVICE,1644469968791,1644469951868,4,1644469951868,795,79,0,0,38375,0,DKU006#
DEVICE,1644469968823,1644469951900,4,1644469951900,771,77,0,0,38375,0,DKU006#
DEVICE,1644469968856,1644469951933,4,1644469951933,779,77,0,0,38375,0,DKU006#
DEVICE,1644469968887,1644469951964,4,1644469951964,782,78,0,0,38375,0,DKU006#
DEVICE,1644469968919,1644469951996,4,1644469951996,796,79,0,0,38375,0,DKU006#
DEVICE,1644469968951,1644469952028,4,1644469952028,787,78,0,0,38375,0,DKU006#
DEVICE,1644469968983,1644469952060,4,1644469952060,793,79,0,0,38375,0,DKU006#
DEVICE,1644469969015,1644469952092,4,1644469952092,801,80,0,0,38375,0,DKU006#
DEVICE,1644469969047,1644469952124,4,1644469952124,780,78,0,0,38375,0,DKU006#
DEVICE,1644469969079,1644469952156,4,1644469952156,798,79,0,0,38375,0,DKU006#
DEVICE,1644469969111,1644469952188,4,1644469952188,782,78,0,0,38375,0,DKU006#
DEVICE,1644469969143,1644469952220,4,1644469952220,790,79,0,0,38375,0,DKU006#
DEVICE,1644469969175,1644469952252,4,1644469952252,791,79,0,0,38375,0,DKU006#
DEVICE,1644469969207,1644469952284,4,1644469952284,793,79,0,0,38375,0,DKU006#
DEVICE,1644469969239,1644469952316,4,1644469952316,787,78,0,0,38375,0,DKU006#
DEVICE,1644469969272,1644469952349,4,1644469952349,802,80,0,0,38375,0,DKU006#
DEVICE,1644469969303,1644469952380,4,1644469952380,794,79,0,0,38375,0,DKU006#
DEVICE,1644469969335,1644469952412,4,1644469952412,798,79,0,0,38375,0,DKU006#
DEVICE,1644469969367,1644469952444,4,1644469952444,787,78,0,0,38375,0,DKU006#
DEVICE,1644469969399,1644469952476,4,1644469952476,784,78,0,0,38375,0,DKU006#
DEVICE,1644469969431,1644469952508,4,1644469952508,781,78,0,0,38375,0,DKU006#
DEVICE,1644469969462,1644469952539,4,1644469952539,785,78,0,0,38375,0,DKU006#
DEVICE,1644469969495,1644469952572,4,1644469952572,797,79,0,0,38375,0,DKU006#
DEVICE,1644469969527,1644469952604,4,1644469952604,803,80,0,0,38375,0,DKU006#
DEVICE,1644469969559,1644469952636,4,1644469952636,771,77,0,0,38375,0,DKU006#
DEVICE,1644469969607,1644469952684,4,1644469952684,794,79,0,0,38356,0,DKU006#
DEVICE,1644469969623,1644469952700,4,1644469952700,792,79,0,0,38356,0,DKU006#
DEVICE,1644469969655,1644469952732,4,1644469952732,793,79,0,0,38356,0,DKU006#
DEVICE,1644469969687,1644469952764,4,1644469952764,786,78,0,0,38356,0,DKU006#
DEVICE,1644469969719,1644469952796,4,1644469952796,794,79,0,0,38356,0,DKU006#
DEVICE,1644469969751,1644469952828,4,1644469952828,804,80,0,0,38356,0,DKU006#
DEVICE,1644469969783,1644469952860,4,1644469952860,782,78,0,0,38356,0,DKU006#
DEVICE,1644469969815,1644469952892,4,1644469952892,799,79,0,0,38356,0,DKU006#
DEVICE,1644469969847,1644469952924,4,1644469952924,793,79,0,0,38356,0,DKU006#
DEVICE,1644469969879,1644469952956,4,1644469952956,782,78,0,0,38356,0,DKU006#
DEVICE,1644469969911,1644469952988,4,1644469952988,789,78,0,0,38356,0,DKU006#
