Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644470960277,1644470960286,4,1644470960162,0.265,0.076,0.244,-0.046,-0.185,-0.050,82
WATCH,1644470960278,1644470960287,4,1644470960172,0.234,0.119,0.229,-0.050,-0.179,-0.045,82
WATCH,1644470960278,1644470960287,4,1644470960182,0.215,0.155,0.208,-0.049,-0.183,-0.045,82
WATCH,1644470960278,1644470960287,4,1644470960192,0.176,0.184,0.178,-0.047,-0.186,-0.039,82
WATCH,1644470960427,1644470960436,4,1644470960202,0.126,0.198,0.154,-0.038,-0.184,-0.035,82
WATCH,1644470960428,1644470960437,4,1644470960212,0.089,0.212,0.128,-0.030,-0.186,-0.035,82
WATCH,1644470960428,1644470960437,4,1644470960222,0.057,0.220,0.100,-0.021,-0.178,-0.035,82
WATCH,1644470960429,1644470960438,4,1644470960232,0.042,0.227,0.071,-0.010,-0.167,-0.032,82
WATCH,1644470960429,1644470960438,4,1644470960242,0.019,0.235,0.041,-0.004,-0.155,-0.034,82
WATCH,1644470960429,1644470960438,4,1644470960252,-0.000,0.232,0.010,0.005,-0.147,-0.025,82
WATCH,1644470960429,1644470960438,4,1644470960262,-0.021,0.221,-0.022,0.015,-0.141,-0.017,82
WATCH,1644470960429,1644470960438,4,1644470960272,-0.052,0.204,-0.042,0.019,-0.126,-0.006,82
WATCH,1644470960429,1644470960438,4,1644470960281,-0.063,0.202,-0.054,0.018,-0.112,-0.002,82
WATCH,1644470960429,1644470960438,4,1644470960291,-0.076,0.206,-0.087,0.012,-0.109,-0.004,82
WATCH,1644470960487,1644470960496,4,1644470960301,-0.110,0.207,-0.109,0.011,-0.106,0.005,82
WATCH,1644470960487,1644470960496,4,1644470960311,-0.158,0.195,-0.128,0.018,-0.100,0.011,82
WATCH,1644470960487,1644470960496,4,1644470960321,-0.203,0.181,-0.146,0.021,-0.098,0.011,82
WATCH,1644470960487,1644470960496,4,1644470960331,-0.220,0.167,-0.165,0.027,-0.087,0.007,82
WATCH,1644470960487,1644470960496,4,1644470960341,-0.236,0.149,-0.180,0.034,-0.068,0.009,82
WATCH,1644470960487,1644470960496,4,1644470960351,-0.243,0.125,-0.185,0.040,-0.043,0.015,82
WATCH,1644470960487,1644470960496,4,1644470960361,-0.233,0.113,-0.190,0.038,-0.026,0.016,82
WATCH,1644470960487,1644470960496,4,1644470960371,-0.216,0.112,-0.193,0.031,-0.017,0.010,82
WATCH,1644470960487,1644470960496,4,1644470960381,-0.217,0.103,-0.190,0.028,-0.004,0.017,82
WATCH,1644470960487,1644470960496,4,1644470960391,-0.229,0.080,-0.177,0.029,0.004,0.023,82
WATCH,1644470960547,1644470960556,4,1644470960401,-0.238,0.064,-0.169,0.030,0.009,0.020,82
WATCH,1644470960547,1644470960556,4,1644470960411,-0.243,0.049,-0.164,0.027,0.015,0.017,82
WATCH,1644470960547,1644470960556,4,1644470960421,-0.245,0.034,-0.157,0.028,0.014,0.015,82
WATCH,1644470960547,1644470960556,4,1644470960430,-0.260,0.007,-0.149,0.036,0.022,0.018,82
WATCH,1644470960547,1644470960556,4,1644470960440,-0.265,-0.021,-0.132,0.042,0.032,0.016,82
WATCH,1644470960547,1644470960556,4,1644470960450,-0.258,-0.043,-0.121,0.040,0.035,0.009,82
WATCH,1644470960547,1644470960556,4,1644470960460,-0.247,-0.053,-0.103,0.032,0.043,0.005,82
WATCH,1644470960547,1644470960556,4,1644470960470,-0.212,-0.060,-0.084,0.029,0.048,-0.001,82
WATCH,1644470960547,1644470960556,4,1644470960480,-0.176,-0.061,-0.070,0.028,0.045,-0.005,82
