DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1644470948714,1644470936193,4,1644470936193,803,80,0,0,0,0,DKU006#
DEVICE,1644470948746,1644470936225,4,1644470936225,783,78,0,0,0,0,DKU006#
DEVICE,1644470948778,1644470936257,4,1644470936257,776,77,0,0,0,0,DKU006#
DEVICE,1644470948810,1644470936289,4,1644470936289,785,78,0,0,0,0,DKU006#
DEVICE,1644470948842,1644470936321,4,1644470936321,802,80,0,0,0,0,DKU006#
DEVICE,1644470948874,1644470936353,4,1644470936353,792,79,0,0,0,0,DKU006#
DEVICE,1644470948906,1644470936385,4,1644470936385,785,78,0,0,0,0,DKU006#
DEVICE,1644470948938,1644470936417,4,1644470936417,802,80,0,0,0,0,DKU006#
DEVICE,1644470948970,1644470936449,4,1644470936449,793,79,0,0,0,0,DKU006#
DEVICE,1644470949002,1644470936481,4,1644470936481,793,79,0,0,0,0,DKU006#
DEVICE,1644470949034,1644470936513,4,1644470936513,797,79,0,0,0,0,DKU006#
DEVICE,1644470949066,1644470936545,4,1644470936545,799,79,0,0,0,0,DKU006#
DEVICE,1644470949098,1644470936577,4,1644470936577,793,79,0,0,0,0,DKU006#
DEVICE,1644470949130,1644470936609,4,1644470936609,793,79,0,0,0,0,DKU006#
DEVICE,1644470949162,1644470936641,4,1644470936641,802,80,0,0,0,0,DKU006#
DEVICE,1644470949194,1644470936673,4,1644470936673,792,79,0,0,0,0,DKU006#
DEVICE,1644470949226,1644470936705,4,1644470936705,796,79,0,0,0,0,DKU006#
DEVICE,1644470949258,1644470936737,4,1644470936737,779,77,0,0,0,0,DKU006#
DEVICE,1644470949290,1644470936769,4,1644470936769,790,79,0,0,0,0,DKU006#
DEVICE,1644470949322,1644470936801,4,1644470936801,793,79,0,0,0,0,DKU006#
DEVICE,1644470949354,1644470936833,4,1644470936833,793,79,0,0,0,0,DKU006#
DEVICE,1644470949386,1644470936865,4,1644470936865,798,79,0,0,0,0,DKU006#
DEVICE,1644470949418,1644470936897,4,1644470936897,787,78,0,0,0,0,DKU006#
DEVICE,1644470949450,1644470936929,4,1644470936929,783,78,0,0,0,0,DKU006#
DEVICE,1644470949482,1644470936961,4,1644470936961,792,79,0,0,0,0,DKU006#
DEVICE,1644470949514,1644470936993,4,1644470936993,785,78,0,0,0,0,DKU006#
DEVICE,1644470949546,1644470937025,4,1644470937025,772,77,0,0,0,0,DKU006#
DEVICE,1644470949578,1644470937057,4,1644470937057,785,78,0,0,0,0,DKU006#
DEVICE,1644470949610,1644470937089,4,1644470937089,806,80,0,0,0,0,DKU006#
DEVICE,1644470949642,1644470937121,4,1644470937121,796,79,0,0,0,0,DKU006#
