Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644814889248,1644814887266,4,1644814887144,0.003,-0.007,-0.000,0.003,0.001,-0.005,0
WATCH,1644814889248,1644814887266,4,1644814887154,-0.001,-0.004,0.001,0.003,0.004,-0.006,0
WATCH,1644814889248,1644814887266,4,1644814887164,0.003,0.002,0.002,-0.000,0.002,-0.003,0
WATCH,1644814889248,1644814887266,4,1644814887174,0.003,0.001,-0.001,-0.001,0.001,0.004,0
WATCH,1644814889305,1644814887323,4,1644814887184,0.002,-0.009,0.000,-0.001,-0.000,-0.001,0
WATCH,1644814889305,1644814887323,4,1644814887193,-0.003,-0.005,-0.002,-0.001,-0.002,-0.007,0
WATCH,1644814889306,1644814887324,4,1644814887203,-0.001,0.008,0.001,-0.003,-0.000,-0.007,0
WATCH,1644814889306,1644814887324,4,1644814887213,-0.002,0.009,0.001,-0.001,0.000,-0.003,0
WATCH,1644814889306,1644814887324,4,1644814887223,-0.001,0.002,-0.001,0.001,0.000,-0.003,0
WATCH,1644814889372,1644814887390,4,1644814887233,-0.001,0.004,-0.002,0.002,-0.000,-0.003,0
WATCH,1644814889372,1644814887390,4,1644814887243,0.001,0.003,-0.001,0.003,0.000,0.001,0
WATCH,1644814889372,1644814887390,4,1644814887253,-0.001,-0.008,0.002,0.003,-0.001,-0.000,0
WATCH,1644814889372,1644814887390,4,1644814887263,0.003,-0.008,0.000,0.001,-0.001,-0.004,0
WATCH,1644814889373,1644814887391,4,1644814887273,-0.000,-0.002,0.001,-0.000,0.001,-0.004,0
WATCH,1644814889373,1644814887391,4,1644814887283,0.002,0.003,0.004,-0.002,0.001,-0.004,0
WATCH,1644814889373,1644814887391,4,1644814887293,-0.001,0.002,-0.001,-0.002,0.001,-0.006,0
WATCH,1644814889373,1644814887391,4,1644814887302,-0.001,0.006,0.003,-0.003,0.001,-0.004,0
WATCH,1644814889373,1644814887391,4,1644814887312,0.000,0.005,0.000,-0.001,-0.002,-0.001,0
WATCH,1644814889376,1644814887394,4,1644814887323,0.002,-0.001,0.003,0.001,-0.001,-0.001,0
WATCH,1644814889453,1644814887471,4,1644814887332,-0.000,-0.005,-0.003,0.002,0.000,-0.004,0
WATCH,1644814889454,1644814887472,4,1644814887342,0.001,-0.002,-0.000,0.003,-0.001,-0.004,0
WATCH,1644814889454,1644814887472,4,1644814887352,0.001,-0.001,0.002,0.001,0.001,-0.003,0
WATCH,1644814889454,1644814887472,4,1644814887362,-0.001,-0.004,-0.001,0.000,0.001,-0.005,0
WATCH,1644814889454,1644814887472,4,1644814887372,0.000,-0.001,-0.000,-0.001,0.001,-0.004,0
WATCH,1644814889516,1644814887534,4,1644814887382,-0.001,0.004,0.001,-0.003,-0.000,-0.003,0
WATCH,1644814889517,1644814887535,4,1644814887392,-0.001,0.005,-0.001,-0.001,-0.001,-0.002,0
WATCH,1644814889517,1644814887535,4,1644814887401,-0.003,0.000,-0.001,-0.001,-0.002,-0.002,0
WATCH,1644814889518,1644814887536,4,1644814887412,-0.002,-0.003,0.001,0.002,0.002,-0.008,0
WATCH,1644814889518,1644814887536,4,1644814887422,-0.002,0.003,0.001,0.001,0.002,-0.009,0
WATCH,1644814889518,1644814887536,4,1644814887432,-0.003,0.006,-0.002,-0.001,0.001,-0.007,0
WATCH,1644814889518,1644814887536,4,1644814887441,-0.001,0.001,0.003,-0.000,0.001,-0.001,0
WATCH,1644814889518,1644814887536,4,1644814887451,0.001,-0.005,-0.001,0.001,0.002,-0.003,0
WATCH,1644814889518,1644814887536,4,1644814887461,-0.002,0.001,0.002,-0.001,0.002,0.000,0
WATCH,1644814889518,1644814887536,4,1644814887471,-0.001,0.000,0.002,-0.001,-0.000,0.004,0
WATCH,1644814889576,1644814887594,4,1644814887481,-0.003,-0.001,-0.000,-0.000,-0.001,-0.001,0
WATCH,1644814889577,1644814887595,4,1644814887491,0.000,0.003,-0.001,0.001,-0.003,-0.004,0
WATCH,1644814889577,1644814887595,4,1644814887501,-0.002,0.003,-0.000,0.002,-0.004,-0.001,0
WATCH,1644814889577,1644814887595,4,1644814887511,-0.001,-0.002,0.000,0.002,-0.004,-0.002,0
WATCH,1644814889577,1644814887595,4,1644814887521,0.001,-0.002,0.003,0.002,-0.002,-0.006,0
WATCH,1644814889637,1644814887655,4,1644814887531,-0.000,-0.000,-0.001,0.001,0.003,-0.003,0
WATCH,1644814889637,1644814887655,4,1644814887541,0.000,0.001,0.001,0.002,0.002,-0.002,0
WATCH,1644814889637,1644814887655,4,1644814887550,-0.002,-0.006,-0.000,-0.001,0.002,-0.004,0
WATCH,1644814889637,1644814887655,4,1644814887561,-0.002,-0.001,-0.001,-0.002,0.001,-0.004,0
WATCH,1644814889638,1644814887656,4,1644814887570,-0.002,-0.001,-0.001,-0.002,-0.000,0.000,0
WATCH,1644814889697,1644814887715,4,1644814887581,0.002,0.007,0.001,-0.004,-0.002,-0.004,0
WATCH,1644814889697,1644814887715,4,1644814887590,0.004,0.010,0.002,0.001,-0.002,-0.002,0
WATCH,1644814889697,1644814887715,4,1644814887600,0.003,-0.002,0.001,0.002,-0.003,0.005,0
WATCH,1644814889697,1644814887715,4,1644814887610,0.002,-0.007,0.001,0.004,-0.002,-0.001,0
WATCH,1644814889697,1644814887715,4,1644814887620,-0.000,-0.003,-0.001,0.003,-0.000,-0.010,0
WATCH,1644814889761,1644814887779,4,1644814887630,-0.002,0.002,-0.001,0.002,0.000,-0.004,0
WATCH,1644814889761,1644814887779,4,1644814887640,-0.001,-0.005,0.000,0.001,0.002,-0.002,0
WATCH,1644814889761,1644814887779,4,1644814887650,0.001,-0.007,-0.001,0.001,0.000,-0.004,0
WATCH,1644814889761,1644814887779,4,1644814887660,0.002,-0.001,-0.001,-0.003,0.000,-0.002,0
WATCH,1644814889761,1644814887779,4,1644814887670,0.004,0.003,-0.000,-0.003,0.000,0.001,0
WATCH,1644814889765,1644814887783,4,1644814887679,0.003,-0.005,0.000,-0.002,0.001,0.003,0
WATCH,1644814889765,1644814887783,4,1644814887689,0.000,-0.005,0.002,0.001,0.000,-0.003,0
WATCH,1644814889765,1644814887783,4,1644814887699,0.001,0.005,0.002,-0.001,0.001,-0.009,0
WATCH,1644814889765,1644814887783,4,1644814887709,0.001,0.008,0.004,0.001,0.002,-0.006,0
WATCH,1644814889765,1644814887783,4,1644814887719,0.003,0.001,0.001,0.003,0.001,0.000,0
WATCH,1644814889815,1644814887833,4,1644814887729,0.003,-0.008,-0.000,0.003,0.000,-0.001,0
WATCH,1644814889815,1644814887833,4,1644814887739,-0.000,-0.007,-0.001,0.003,-0.000,-0.006,0
WATCH,1644814889815,1644814887833,4,1644814887749,0.002,-0.000,-0.002,-0.000,-0.000,-0.006,0
WATCH,1644814889815,1644814887833,4,1644814887759,0.001,0.002,0.000,-0.001,0.000,-0.005,0
