DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1644816204762,1644816189388,4,1644816189388,787,78,0,0,38400,0,DKU006#
DEVICE,1644816204795,1644816189421,4,1644816189421,790,79,0,0,38400,0,DKU006#
DEVICE,1644816204826,1644816189452,4,1644816189452,787,78,0,0,38400,0,DKU006#
DEVICE,1644816204858,1644816189484,4,1644816189484,795,79,0,0,38400,0,DKU006#
DEVICE,1644816204890,1644816189516,4,1644816189516,786,78,0,0,38400,0,DKU006#
DEVICE,1644816204922,1644816189548,4,1644816189548,798,79,0,0,38400,0,DKU006#
DEVICE,1644816204955,1644816189581,4,1644816189581,792,79,0,0,38400,0,DKU006#
DEVICE,1644816204986,1644816189612,4,1644816189612,791,79,0,0,38400,0,DKU006#
DEVICE,1644816205018,1644816189644,4,1644816189644,775,77,0,0,38400,0,DKU006#
DEVICE,1644816205049,1644816189675,4,1644816189675,787,78,0,0,38400,0,DKU006#
DEVICE,1644816205082,1644816189708,4,1644816189708,794,79,0,0,38400,0,DKU006#
DEVICE,1644816205114,1644816189740,4,1644816189740,788,78,0,0,38400,0,DKU006#
DEVICE,1644816205146,1644816189772,4,1644816189772,786,78,0,0,38400,0,DKU006#
DEVICE,1644816205177,1644816189803,4,1644816189803,786,78,0,0,38400,0,DKU006#
DEVICE,1644816205210,1644816189836,4,1644816189836,766,76,0,0,38400,0,DKU006#
DEVICE,1644816205242,1644816189868,4,1644816189868,807,80,0,0,38400,0,DKU006#
DEVICE,1644816205274,1644816189900,4,1644816189900,787,78,0,0,38400,0,DKU006#
DEVICE,1644816205306,1644816189932,4,1644816189932,796,79,0,0,38400,0,DKU006#
DEVICE,1644816205338,1644816189964,4,1644816189964,789,78,0,0,38393,0,DKU006#
DEVICE,1644816205370,1644816189996,4,1644816189996,789,78,0,0,38393,0,DKU006#
DEVICE,1644816205401,1644816190027,4,1644816190027,783,78,0,0,38393,0,DKU006#
DEVICE,1644816205434,1644816190060,4,1644816190060,798,79,0,0,38393,0,DKU006#
DEVICE,1644816205450,1644816190076,4,1644816190076,784,78,0,0,38393,0,DKU006#
DEVICE,1644816205482,1644816190108,4,1644816190108,800,80,0,0,38393,0,DKU006#
DEVICE,1644816205514,1644816190140,4,1644816190140,796,79,0,0,38393,0,DKU006#
DEVICE,1644816205546,1644816190172,4,1644816190172,775,77,0,0,38393,0,DKU006#
DEVICE,1644816205578,1644816190204,4,1644816190204,786,78,0,0,38393,0,DKU006#
DEVICE,1644816205610,1644816190236,4,1644816190236,783,78,0,0,38393,0,DKU006#
DEVICE,1644816205642,1644816190268,4,1644816190268,786,78,0,0,38393,0,DKU006#
