Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644816198169,1644816196180,4,1644816196044,-0.078,-0.064,0.046,-0.027,0.058,-0.026,0
WATCH,1644816198169,1644816196180,4,1644816196054,0.048,-0.048,0.135,-0.034,0.048,-0.035,0
WATCH,1644816198169,1644816196180,4,1644816196064,0.120,-0.078,0.183,-0.014,0.037,-0.052,0
WATCH,1644816198169,1644816196180,4,1644816196074,0.127,-0.119,0.152,0.000,0.009,-0.062,0
WATCH,1644816198222,1644816196233,4,1644816196084,0.051,-0.140,0.121,0.005,-0.016,-0.043,0
WATCH,1644816198222,1644816196233,4,1644816196094,-0.066,-0.146,0.116,0.009,-0.021,-0.022,0
WATCH,1644816198224,1644816196235,4,1644816196104,-0.146,-0.147,0.120,0.014,-0.020,-0.012,0
WATCH,1644816198224,1644816196235,4,1644816196114,-0.177,-0.146,0.113,0.019,-0.009,-0.008,0
WATCH,1644816198224,1644816196235,4,1644816196124,-0.159,-0.155,0.095,0.017,-0.003,-0.021,0
WATCH,1644816198224,1644816196235,4,1644816196134,-0.131,-0.169,0.071,0.009,0.000,-0.038,0
WATCH,1644816198225,1644816196236,4,1644816196144,-0.101,-0.169,0.055,0.000,0.008,-0.054,0
WATCH,1644816198225,1644816196236,4,1644816196153,-0.056,-0.166,0.032,-0.002,0.024,-0.060,0
WATCH,1644816198225,1644816196236,4,1644816196163,0.003,-0.161,0.007,-0.011,0.034,-0.054,0
WATCH,1644816198225,1644816196236,4,1644816196173,0.071,-0.164,-0.002,-0.012,0.031,-0.057,0
WATCH,1644816198315,1644816196326,4,1644816196183,0.152,-0.162,-0.002,-0.022,0.004,-0.045,0
WATCH,1644816198315,1644816196326,4,1644816196193,0.175,-0.145,0.012,-0.036,-0.021,-0.029,0
WATCH,1644816198315,1644816196326,4,1644816196203,0.183,-0.115,0.041,-0.036,-0.025,-0.001,0
WATCH,1644816198315,1644816196326,4,1644816196213,0.204,-0.090,0.057,-0.034,-0.040,0.025,0
WATCH,1644816198315,1644816196326,4,1644816196223,0.262,-0.045,0.078,-0.032,-0.037,0.010,0
WATCH,1644816198406,1644816196417,4,1644816196233,0.367,-0.021,0.109,-0.027,-0.026,-0.003,0
WATCH,1644816198406,1644816196417,4,1644816196243,0.478,-0.007,0.139,-0.013,-0.025,-0.007,0
WATCH,1644816198406,1644816196417,4,1644816196253,0.506,-0.019,0.125,0.011,-0.003,0.008,0
WATCH,1644816198407,1644816196418,4,1644816196263,0.469,-0.018,0.076,0.021,0.029,0.050,0
WATCH,1644816198407,1644816196418,4,1644816196272,0.414,0.033,0.099,-0.015,0.032,0.044,0
WATCH,1644816198407,1644816196418,4,1644816196282,0.372,0.024,0.173,-0.010,-0.022,-0.026,0
WATCH,1644816198408,1644816196419,4,1644816196292,0.272,-0.058,0.113,0.048,0.018,-0.006,0
WATCH,1644816198408,1644816196419,4,1644816196302,0.144,-0.064,0.064,0.017,0.009,-0.037,0
WATCH,1644816198408,1644816196419,4,1644816196312,0.079,-0.080,0.056,0.029,-0.001,-0.012,0
WATCH,1644816198408,1644816196419,4,1644816196323,0.035,-0.074,0.051,0.021,0.003,0.015,0
WATCH,1644816198462,1644816196473,4,1644816196332,-0.007,-0.048,0.060,-0.005,-0.007,0.019,0
WATCH,1644816198462,1644816196473,4,1644816196342,-0.021,-0.014,0.061,-0.008,-0.013,0.036,0
WATCH,1644816198464,1644816196475,4,1644816196352,-0.051,0.029,0.057,-0.007,-0.010,0.067,0
WATCH,1644816198464,1644816196475,4,1644816196362,-0.074,0.059,0.021,-0.014,-0.001,0.054,0
WATCH,1644816198464,1644816196475,4,1644816196372,-0.114,0.064,-0.002,-0.033,-0.012,0.039,0
WATCH,1644816198556,1644816196567,4,1644816196382,-0.179,0.066,-0.002,-0.037,-0.006,0.027,0
WATCH,1644816198557,1644816196568,4,1644816196391,-0.218,0.072,0.007,-0.030,0.008,0.019,0
WATCH,1644816198557,1644816196568,4,1644816196401,-0.253,0.072,-0.001,-0.020,0.012,0.028,0
WATCH,1644816198557,1644816196568,4,1644816196411,-0.259,0.084,-0.006,-0.013,0.008,0.041,0
WATCH,1644816198557,1644816196568,4,1644816196421,-0.240,0.095,-0.005,-0.015,-0.008,0.042,0
WATCH,1644816198557,1644816196568,4,1644816196431,-0.228,0.113,-0.013,-0.021,-0.012,0.043,0
WATCH,1644816198557,1644816196568,4,1644816196441,-0.248,0.121,-0.036,-0.019,0.001,0.040,0
WATCH,1644816198557,1644816196568,4,1644816196451,-0.267,0.110,-0.060,-0.018,0.011,0.040,0
WATCH,1644816198557,1644816196568,4,1644816196461,-0.272,0.112,-0.052,-0.021,0.013,0.037,0
