Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644817018139,1644817016146,4,1644817015991,0.035,0.081,0.016,-0.007,0.001,-0.002,82
WATCH,1644817018139,1644817016146,4,1644817016001,0.028,0.057,0.013,0.004,0.005,0.003,82
WATCH,1644817018139,1644817016146,4,1644817016011,-0.013,0.040,0.012,0.015,0.008,-0.004,82
WATCH,1644817018139,1644817016146,4,1644817016021,-0.056,0.056,0.039,0.011,0.011,-0.005,82
WATCH,1644817018139,1644817016146,4,1644817016031,-0.068,0.070,0.068,0.005,0.015,-0.007,82
WATCH,1644817018139,1644817016146,4,1644817016041,-0.045,0.051,0.065,0.009,0.013,0.004,82
WATCH,1644817018139,1644817016146,4,1644817016051,-0.020,0.009,0.042,0.016,0.009,-0.001,82
WATCH,1644817018139,1644817016146,4,1644817016060,-0.004,-0.017,0.034,0.012,0.003,0.002,82
WATCH,1644817018140,1644817016147,4,1644817016070,0.010,-0.010,0.038,-0.001,-0.002,0.004,82
WATCH,1644817018196,1644817016203,4,1644817016080,0.021,0.003,0.042,-0.011,0.002,0.004,82
WATCH,1644817018196,1644817016203,4,1644817016090,0.033,0.009,0.037,-0.012,0.005,0.006,82
WATCH,1644817018196,1644817016203,4,1644817016100,0.031,0.009,0.032,-0.009,0.000,0.012,82
WATCH,1644817018196,1644817016203,4,1644817016110,0.034,0.016,0.035,-0.009,-0.011,0.022,82
WATCH,1644817018196,1644817016203,4,1644817016120,0.011,0.015,0.028,-0.003,-0.019,0.034,82
WATCH,1644817018255,1644817016262,4,1644817016130,-0.027,-0.002,0.024,0.001,-0.019,0.024,82
WATCH,1644817018256,1644817016263,4,1644817016140,-0.053,-0.013,0.044,0.000,-0.017,0.015,82
WATCH,1644817018256,1644817016263,4,1644817016150,-0.045,-0.023,0.040,-0.002,-0.010,0.009,82
WATCH,1644817018256,1644817016263,4,1644817016160,-0.030,-0.035,0.029,-0.003,-0.001,-0.002,82
WATCH,1644817018256,1644817016263,4,1644817016170,-0.009,-0.042,0.024,-0.001,0.010,-0.009,82
WATCH,1644817018318,1644817016325,4,1644817016180,0.008,-0.040,0.028,0.001,0.011,-0.008,82
WATCH,1644817018318,1644817016325,4,1644817016190,0.014,-0.036,0.024,0.005,0.008,-0.002,82
WATCH,1644817018318,1644817016325,4,1644817016199,-0.008,-0.020,0.027,0.006,0.001,-0.003,82
WATCH,1644817018318,1644817016325,4,1644817016209,-0.027,-0.018,0.035,0.003,-0.005,0.000,82
WATCH,1644817018318,1644817016325,4,1644817016219,-0.042,-0.019,0.021,0.003,-0.013,0.022,82
WATCH,1644817018379,1644817016386,4,1644817016229,-0.084,-0.047,0.002,0.005,-0.008,0.014,82
WATCH,1644817018379,1644817016386,4,1644817016239,-0.065,-0.069,0.016,0.001,0.001,-0.005,82
WATCH,1644817018379,1644817016386,4,1644817016249,-0.030,-0.066,0.005,-0.003,0.000,0.003,82
WATCH,1644817018380,1644817016387,4,1644817016259,-0.057,-0.055,-0.017,-0.003,0.012,-0.013,82
WATCH,1644817018380,1644817016387,4,1644817016269,-0.045,-0.042,0.021,-0.003,0.016,-0.022,82
WATCH,1644817018380,1644817016387,4,1644817016279,0.008,-0.016,0.029,-0.003,-0.012,0.003,82
WATCH,1644817018380,1644817016387,4,1644817016289,0.000,-0.020,-0.005,0.004,-0.011,0.001,82
WATCH,1644817018380,1644817016387,4,1644817016299,-0.031,-0.041,-0.012,0.011,-0.002,-0.000,82
WATCH,1644817018380,1644817016387,4,1644817016309,-0.042,-0.052,-0.008,0.007,-0.005,-0.006,82
WATCH,1644817018380,1644817016387,4,1644817016319,-0.042,-0.049,-0.011,-0.000,-0.005,-0.009,82
WATCH,1644817018433,1644817016440,4,1644817016328,-0.030,-0.056,-0.023,-0.003,0.000,-0.007,82
WATCH,1644817018433,1644817016440,4,1644817016338,-0.021,-0.075,-0.028,0.001,0.000,-0.013,82
WATCH,1644817018433,1644817016440,4,1644817016348,-0.013,-0.084,-0.032,0.003,-0.003,-0.010,82
WATCH,1644817018433,1644817016440,4,1644817016358,-0.010,-0.072,-0.030,-0.000,0.003,-0.007,82
WATCH,1644817018433,1644817016440,4,1644817016368,0.000,-0.059,-0.032,-0.004,0.006,-0.008,82
WATCH,1644817018497,1644817016504,4,1644817016378,0.022,-0.055,-0.029,-0.000,0.010,-0.008,82
WATCH,1644817018497,1644817016504,4,1644817016388,0.038,-0.041,-0.036,0.002,0.009,-0.008,82
WATCH,1644817018497,1644817016504,4,1644817016398,0.034,-0.027,-0.035,-0.004,0.002,-0.002,82
WATCH,1644817018497,1644817016504,4,1644817016408,0.023,-0.024,-0.036,-0.001,-0.008,0.007,82
WATCH,1644817018498,1644817016505,4,1644817016418,0.004,-0.020,-0.035,0.000,-0.010,0.013,82
WATCH,1644817018562,1644817016569,4,1644817016428,-0.010,-0.014,-0.041,0.001,-0.004,0.016,82
WATCH,1644817018562,1644817016569,4,1644817016438,-0.013,-0.003,-0.034,-0.005,-0.006,0.013,82
WATCH,1644817018563,1644817016570,4,1644817016447,-0.007,0.006,-0.026,-0.009,-0.010,0.007,82
