Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644818640409,1644818638410,4,1644818638269,-0.684,0.225,-0.186,-0.067,0.022,0.116,105
WATCH,1644818640409,1644818638410,4,1644818638279,-0.602,0.270,-0.177,-0.072,0.046,0.106,105
WATCH,1644818640409,1644818638410,4,1644818638289,-0.485,0.323,-0.177,-0.075,0.063,0.090,105
WATCH,1644818640409,1644818638410,4,1644818638299,-0.366,0.374,-0.182,-0.076,0.075,0.078,105
WATCH,1644818640409,1644818638410,4,1644818638309,-0.250,0.423,-0.192,-0.074,0.085,0.066,105
WATCH,1644818640409,1644818638410,4,1644818638319,-0.150,0.457,-0.203,-0.068,0.086,0.058,105
WATCH,1644818640409,1644818638410,4,1644818638329,-0.074,0.495,-0.217,-0.059,0.088,0.054,105
WATCH,1644818640409,1644818638410,4,1644818638339,-0.018,0.527,-0.227,-0.049,0.080,0.047,105
WATCH,1644818640409,1644818638410,4,1644818638349,0.019,0.534,-0.256,-0.039,0.079,0.043,105
WATCH,1644818640464,1644818638465,4,1644818638359,0.028,0.544,-0.290,-0.029,0.092,0.037,105
WATCH,1644818640464,1644818638465,4,1644818638369,0.032,0.545,-0.310,-0.014,0.110,0.033,105
WATCH,1644818640464,1644818638465,4,1644818638379,0.063,0.547,-0.327,-0.001,0.113,0.023,105
WATCH,1644818640464,1644818638465,4,1644818638388,0.077,0.545,-0.361,0.010,0.107,0.011,105
WATCH,1644818640464,1644818638465,4,1644818638398,0.075,0.531,-0.392,0.016,0.100,0.009,105
WATCH,1644818640588,1644818638589,4,1644818638408,0.067,0.508,-0.419,0.023,0.091,0.010,105
WATCH,1644818640588,1644818638589,4,1644818638418,0.055,0.481,-0.433,0.031,0.091,0.007,105
WATCH,1644818640588,1644818638589,4,1644818638428,0.051,0.453,-0.440,0.038,0.089,0.004,105
WATCH,1644818640588,1644818638589,4,1644818638438,0.059,0.420,-0.441,0.042,0.085,-0.001,105
WATCH,1644818640588,1644818638589,4,1644818638448,0.064,0.378,-0.435,0.044,0.080,-0.001,105
WATCH,1644818640704,1644818638705,4,1644818638597,-0.047,-0.113,-0.064,0.056,0.050,0.003,105
WATCH,1644818640705,1644818638706,4,1644818638607,-0.124,-0.129,-0.081,0.054,0.029,0.015,105
WATCH,1644818640705,1644818638706,4,1644818638617,-0.194,-0.143,-0.113,0.044,0.002,0.022,105
WATCH,1644818640705,1644818638706,4,1644818638627,-0.260,-0.139,-0.140,0.034,-0.014,0.027,105
WATCH,1644818640705,1644818638706,4,1644818638637,-0.299,-0.125,-0.160,0.025,-0.026,0.032,105
WATCH,1644818640649,1644818638650,4,1644818638458,0.071,0.335,-0.416,0.043,0.075,-0.000,105
WATCH,1644818640650,1644818638651,4,1644818638468,0.075,0.299,-0.394,0.045,0.064,-0.002,105
WATCH,1644818640650,1644818638651,4,1644818638478,0.085,0.254,-0.364,0.044,0.055,-0.001,105
WATCH,1644818640650,1644818638651,4,1644818638488,0.100,0.211,-0.336,0.043,0.049,-0.000,105
WATCH,1644818640650,1644818638651,4,1644818638498,0.118,0.160,-0.307,0.046,0.048,-0.002,105
WATCH,1644818640650,1644818638651,4,1644818638508,0.127,0.119,-0.263,0.054,0.057,-0.001,105
WATCH,1644818640650,1644818638651,4,1644818638518,0.129,0.085,-0.215,0.058,0.062,0.006,105
WATCH,1644818640651,1644818638652,4,1644818638527,0.122,0.052,-0.172,0.055,0.055,0.007,105
WATCH,1644818640651,1644818638652,4,1644818638537,0.098,0.012,-0.132,0.053,0.055,0.007,105
WATCH,1644818640651,1644818638652,4,1644818638547,0.063,-0.026,-0.094,0.052,0.063,0.005,105
WATCH,1644818640703,1644818638704,4,1644818638557,0.045,-0.058,-0.051,0.056,0.074,-0.001,105
WATCH,1644818640704,1644818638705,4,1644818638567,0.051,-0.078,-0.030,0.059,0.076,-0.008,105
WATCH,1644818640704,1644818638705,4,1644818638577,0.044,-0.092,-0.033,0.056,0.077,-0.013,105
WATCH,1644818640768,1644818638769,4,1644818638656,-0.247,-0.083,-0.193,0.008,-0.043,0.018,105
WATCH,1644818640768,1644818638769,4,1644818638666,-0.172,-0.054,-0.209,0.004,-0.036,0.016,105
WATCH,1644818640768,1644818638769,4,1644818638676,-0.056,-0.026,-0.217,-0.002,-0.028,0.019,105
WATCH,1644818640768,1644818638769,4,1644818638686,0.078,0.010,-0.224,-0.008,-0.027,0.019,105
WATCH,1644818640768,1644818638769,4,1644818638696,0.199,0.045,-0.226,-0.017,-0.029,0.021,105
WATCH,1644818640830,1644818638831,4,1644818638706,0.301,0.085,-0.220,-0.022,-0.040,0.029,105
WATCH,1644818640830,1644818638831,4,1644818638716,0.371,0.108,-0.211,-0.021,-0.053,0.034,105
WATCH,1644818640830,1644818638831,4,1644818638726,0.401,0.123,-0.191,-0.019,-0.050,0.040,105
WATCH,1644818640830,1644818638831,4,1644818638736,0.407,0.133,-0.162,-0.016,-0.040,0.036,105
WATCH,1644818640830,1644818638831,4,1644818638746,0.407,0.142,-0.127,-0.012,-0.022,0.029,105
WATCH,1644818640886,1644818638887,4,1644818638756,0.416,0.151,-0.100,-0.007,-0.009,0.020,105
WATCH,1644818640887,1644818638888,4,1644818638766,0.432,0.152,-0.089,-0.001,0.005,0.008,105
WATCH,1644818640887,1644818638888,4,1644818638776,0.447,0.141,-0.083,0.008,0.024,-0.002,105
WATCH,1644818640887,1644818638888,4,1644818638785,0.486,0.127,-0.088,0.016,0.045,-0.009,105
WATCH,1644818640887,1644818638888,4,1644818638795,0.543,0.119,-0.101,0.023,0.065,-0.015,105
WATCH,1644818640951,1644818638952,4,1644818638805,0.606,0.117,-0.117,0.028,0.073,-0.014,105
WATCH,1644818640951,1644818638952,4,1644818638815,0.657,0.114,-0.133,0.028,0.069,-0.005,105
WATCH,1644818640951,1644818638952,4,1644818638825,0.678,0.107,-0.148,0.024,0.056,0.006,105
WATCH,1644818640951,1644818638952,4,1644818638835,0.669,0.096,-0.160,0.017,0.039,0.014,105
WATCH,1644818640951,1644818638952,4,1644818638845,0.639,0.089,-0.170,0.010,0.022,0.020,105
WATCH,1644818641006,1644818639007,4,1644818638855,0.610,0.082,-0.173,0.004,0.006,0.021,105
WATCH,1644818641007,1644818639008,4,1644818638865,0.593,0.077,-0.182,-0.001,-0.002,0.020,105
WATCH,1644818641007,1644818639008,4,1644818638875,0.593,0.072,-0.197,-0.005,-0.002,0.014,105
WATCH,1644818641009,1644818639010,4,1644818638885,0.627,0.075,-0.219,-0.009,0.001,0.011,105
WATCH,1644818641009,1644818639010,4,1644818638895,0.724,0.076,-0.235,-0.016,0.009,0.003,105
WATCH,1644818641010,1644818639011,4,1644818638905,0.875,0.100,-0.247,-0.028,0.021,-0.007,105
WATCH,1644818641010,1644818639011,4,1644818638915,1.054,0.148,-0.270,-0.052,0.034,-0.010,105
WATCH,1644818641010,1644818639011,4,1644818638925,1.268,0.216,-0.310,-0.092,0.051,-0.009,105
WATCH,1644818641010,1644818639011,4,1644818638934,1.578,0.286,-0.370,-0.138,0.063,-0.016,105
WATCH,1644818641015,1644818639016,4,1644818638944,2.037,0.382,-0.461,-0.189,0.089,-0.032,105
WATCH,1644818641099,1644818639100,4,1644818638954,2.549,0.479,-0.606,-0.252,0.152,-0.037,105
WATCH,1644818641099,1644818639100,4,1644818638964,3.138,0.609,-0.800,-0.324,0.242,-0.014,105
WATCH,1644818641099,1644818639100,4,1644818638974,3.800,0.831,-1.014,-0.416,0.324,-0.005,105
WATCH,1644818641099,1644818639100,4,1644818638984,4.529,1.140,-1.254,-0.520,0.356,-0.005,105
