Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644819250733,1644819248734,4,1644819248635,-0.312,0.032,0.073,0.007,-0.039,-0.041,104
WATCH,1644819250733,1644819248734,4,1644819248645,-0.386,-0.016,-0.022,0.096,-0.050,0.079,104
WATCH,1644819250733,1644819248734,4,1644819248654,-0.350,-0.070,-0.051,0.111,-0.029,0.107,104
WATCH,1644819250733,1644819248734,4,1644819248665,-0.205,-0.135,-0.047,0.087,0.038,0.088,104
WATCH,1644819250795,1644819248796,4,1644819248675,0.048,-0.154,-0.035,0.034,0.078,0.034,104
WATCH,1644819250796,1644819248797,4,1644819248684,0.057,-0.061,-0.009,-0.042,0.052,-0.032,104
WATCH,1644819250796,1644819248797,4,1644819248694,-0.268,0.128,0.027,-0.098,-0.009,-0.141,104
WATCH,1644819250796,1644819248797,4,1644819248704,-0.563,0.231,0.076,-0.097,-0.109,-0.232,104
WATCH,1644819250796,1644819248797,4,1644819248714,-0.463,0.147,0.024,-0.038,-0.190,-0.120,104
WATCH,1644819250857,1644819248858,4,1644819248724,-0.116,0.028,-0.170,0.097,-0.098,0.064,104
WATCH,1644819250861,1644819248862,4,1644819248734,0.009,-0.059,-0.254,0.170,0.125,0.006,104
WATCH,1644819250861,1644819248862,4,1644819248744,0.166,-0.088,-0.140,0.022,0.284,-0.030,104
WATCH,1644819250861,1644819248862,4,1644819248753,0.331,-0.081,0.004,-0.166,0.166,-0.104,104
WATCH,1644819250861,1644819248862,4,1644819248764,0.389,-0.133,0.046,-0.156,-0.008,-0.130,104
WATCH,1644819250914,1644819248915,4,1644819248773,0.212,-0.166,0.002,-0.041,-0.050,-0.097,104
WATCH,1644819250914,1644819248915,4,1644819248783,0.144,-0.163,-0.026,0.028,-0.005,-0.073,104
WATCH,1644819250914,1644819248915,4,1644819248793,0.213,-0.206,-0.102,0.030,-0.000,-0.039,104
WATCH,1644819250915,1644819248916,4,1644819248804,0.359,-0.232,-0.151,-0.009,-0.007,-0.096,104
