Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644820320974,1644820318972,4,1644820318824,0.154,-0.210,0.030,-0.048,-0.014,-0.030,98
WATCH,1644820320974,1644820318972,4,1644820318834,0.283,-0.166,0.029,-0.048,-0.003,0.002,98
WATCH,1644820320974,1644820318972,4,1644820318843,0.429,-0.105,0.035,-0.019,0.052,0.015,98
WATCH,1644820320974,1644820318972,4,1644820318853,0.514,-0.097,0.007,0.004,0.054,0.092,98
WATCH,1644820321041,1644820319039,4,1644820318863,0.473,-0.054,0.020,0.029,0.029,0.092,98
WATCH,1644820321041,1644820319039,4,1644820318873,0.358,-0.043,0.019,0.019,-0.030,0.084,98
WATCH,1644820321041,1644820319039,4,1644820318883,0.225,-0.028,0.013,0.046,-0.061,0.094,98
WATCH,1644820321041,1644820319039,4,1644820318893,0.120,0.003,0.033,0.029,-0.040,0.085,98
WATCH,1644820321041,1644820319039,4,1644820318903,0.104,0.016,0.034,0.015,-0.001,0.059,98
WATCH,1644820321042,1644820319040,4,1644820318913,0.115,0.019,0.020,0.022,0.012,0.044,98
WATCH,1644820321042,1644820319040,4,1644820318923,0.096,0.035,0.033,0.014,0.010,0.027,98
WATCH,1644820321042,1644820319040,4,1644820318933,0.050,0.027,0.031,0.017,-0.013,0.005,98
WATCH,1644820321042,1644820319040,4,1644820318943,0.026,0.010,0.035,0.004,-0.026,0.006,98
WATCH,1644820321043,1644820319041,4,1644820318953,0.025,0.018,0.038,-0.010,-0.014,0.012,98
WATCH,1644820321085,1644820319083,4,1644820318963,0.046,0.054,0.048,-0.026,0.003,0.015,98
WATCH,1644820321085,1644820319083,4,1644820318973,0.039,0.067,0.059,-0.010,0.005,0.013,98
WATCH,1644820321085,1644820319083,4,1644820318983,-0.018,0.054,0.058,0.013,-0.024,0.008,98
WATCH,1644820321089,1644820319087,4,1644820318993,-0.083,0.037,0.058,0.022,-0.024,-0.009,98
WATCH,1644820321089,1644820319087,4,1644820319002,-0.062,0.025,0.059,0.018,0.005,-0.028,98
WATCH,1644820321147,1644820319145,4,1644820319012,-0.005,-0.003,0.063,-0.007,0.012,-0.014,98
WATCH,1644820321147,1644820319145,4,1644820319022,0.021,-0.016,0.064,0.009,0.020,0.010,98
WATCH,1644820321147,1644820319145,4,1644820319032,0.009,-0.026,0.045,0.005,0.000,0.012,98
WATCH,1644820321147,1644820319145,4,1644820319042,0.008,-0.028,0.032,0.015,0.011,0.023,98
WATCH,1644820321148,1644820319146,4,1644820319052,0.043,-0.019,0.025,0.017,0.021,0.031,98
WATCH,1644820321217,1644820319215,4,1644820319062,0.069,-0.028,0.027,0.025,0.023,0.046,98
WATCH,1644820321217,1644820319215,4,1644820319072,0.021,0.009,0.029,0.033,-0.001,0.067,98
WATCH,1644820321217,1644820319215,4,1644820319082,0.003,0.036,0.032,0.030,-0.033,0.081,98
WATCH,1644820321217,1644820319215,4,1644820319092,-0.018,0.049,0.025,0.036,-0.009,0.068,98
WATCH,1644820321217,1644820319215,4,1644820319102,0.030,0.021,0.009,0.058,0.023,0.021,98
WATCH,1644820321300,1644820319298,4,1644820319112,0.019,0.012,-0.005,0.045,0.053,-0.037,98
WATCH,1644820321301,1644820319299,4,1644820319122,0.010,0.005,-0.006,0.021,0.053,-0.059,98
WATCH,1644820321301,1644820319299,4,1644820319131,0.038,-0.034,-0.002,0.010,0.041,-0.046,98
WATCH,1644820321301,1644820319299,4,1644820319141,0.033,-0.054,-0.004,0.003,0.020,-0.031,98
WATCH,1644820321301,1644820319299,4,1644820319151,0.004,-0.049,-0.007,-0.026,-0.006,-0.018,98
WATCH,1644820321302,1644820319300,4,1644820319161,-0.025,-0.048,-0.008,-0.036,-0.013,0.001,98
WATCH,1644820321302,1644820319300,4,1644820319172,-0.035,-0.036,-0.010,-0.017,-0.020,0.024,98
WATCH,1644820321302,1644820319300,4,1644820319181,-0.041,-0.017,-0.013,-0.010,-0.020,0.023,98
WATCH,1644820321302,1644820319300,4,1644820319191,-0.016,-0.007,-0.022,-0.010,0.004,0.013,98
WATCH,1644820321302,1644820319300,4,1644820319201,0.031,-0.002,-0.030,-0.011,0.008,0.006,98
WATCH,1644820321356,1644820319354,4,1644820319211,0.039,-0.001,-0.020,-0.013,-0.000,0.013,98
WATCH,1644820321357,1644820319355,4,1644820319221,0.006,-0.004,-0.013,-0.013,-0.007,0.010,98
WATCH,1644820321357,1644820319355,4,1644820319231,-0.022,0.006,-0.018,-0.003,-0.005,-0.003,98
WATCH,1644820321357,1644820319355,4,1644820319241,-0.012,0.018,-0.030,-0.008,0.009,-0.006,98
WATCH,1644820321357,1644820319355,4,1644820319250,0.043,0.023,-0.043,-0.015,0.031,-0.002,98
WATCH,1644820321416,1644820319414,4,1644820319260,0.083,0.039,-0.055,-0.022,0.024,0.011,98
WATCH,1644820321417,1644820319415,4,1644820319270,0.107,0.059,-0.060,-0.031,0.003,0.039,98
WATCH,1644820321417,1644820319415,4,1644820319280,0.080,0.057,-0.044,-0.035,-0.013,0.054,98
WATCH,1644820321417,1644820319415,4,1644820319290,0.047,0.011,-0.015,-0.012,-0.027,0.028,98
WATCH,1644820321417,1644820319415,4,1644820319300,-0.022,-0.059,-0.015,0.025,-0.054,-0.060,98
WATCH,1644820321418,1644820319416,4,1644820319310,-0.079,-0.105,-0.038,0.038,-0.039,-0.117,98
WATCH,1644820321418,1644820319416,4,1644820319320,-0.011,-0.132,-0.039,0.009,0.020,-0.123,98
WATCH,1644820321418,1644820319416,4,1644820319330,0.066,-0.121,-0.024,-0.029,0.046,-0.100,98
WATCH,1644820321418,1644820319416,4,1644820319340,0.097,-0.122,-0.000,-0.038,0.042,-0.058,98
WATCH,1644820321418,1644820319416,4,1644820319350,0.042,-0.125,-0.019,-0.015,0.010,-0.026,98
WATCH,1644820321476,1644820319474,4,1644820319360,-0.014,-0.121,-0.012,-0.037,-0.016,0.005,98
WATCH,1644820321477,1644820319475,4,1644820319370,-0.020,-0.109,-0.029,-0.029,-0.031,0.033,98
WATCH,1644820321477,1644820319475,4,1644820319380,-0.073,-0.092,-0.007,-0.029,-0.034,0.063,98
WATCH,1644820321477,1644820319475,4,1644820319390,-0.159,-0.070,-0.002,-0.019,-0.046,0.079,99
WATCH,1644820321477,1644820319475,4,1644820319399,-0.188,-0.004,-0.022,-0.033,-0.032,0.064,99
WATCH,1644820321538,1644820319536,4,1644820319409,-0.180,0.031,-0.009,-0.043,-0.012,0.052,99
WATCH,1644820321538,1644820319536,4,1644820319419,-0.185,0.058,-0.002,-0.032,-0.015,0.024,99
WATCH,1644820321539,1644820319537,4,1644820319429,-0.228,0.095,0.003,-0.035,-0.029,0.002,99
WATCH,1644820321539,1644820319537,4,1644820319439,-0.251,0.130,0.004,-0.036,-0.021,-0.010,99
WATCH,1644820321539,1644820319537,4,1644820319449,-0.231,0.159,0.023,-0.042,0.014,0.006,99
WATCH,1644820321600,1644820319598,4,1644820319459,-0.161,0.175,0.007,-0.017,0.033,0.006,99
WATCH,1644820321600,1644820319598,4,1644820319469,-0.153,0.211,0.034,-0.003,0.017,0.012,99
WATCH,1644820321600,1644820319598,4,1644820319479,-0.118,0.215,0.011,0.025,-0.007,0.043,99
WATCH,1644820321600,1644820319598,4,1644820319489,-0.045,0.253,0.007,0.066,0.015,0.037,99
WATCH,1644820321600,1644820319598,4,1644820319499,0.041,0.272,0.005,0.050,0.042,0.028,99
WATCH,1644820321685,1644820319683,4,1644820319509,0.072,0.297,-0.013,0.081,0.053,0.049,99
WATCH,1644820321686,1644820319684,4,1644820319518,0.051,0.348,-0.011,0.072,0.030,0.083,99
WATCH,1644820321686,1644820319684,4,1644820319528,0.009,0.353,-0.024,0.064,0.005,0.110,99
WATCH,1644820321686,1644820319684,4,1644820319538,-0.052,0.375,-0.043,0.075,-0.006,0.095,99
WATCH,1644820321686,1644820319684,4,1644820319548,-0.135,0.380,-0.064,0.054,-0.007,0.059,99
WATCH,1644820321687,1644820319685,4,1644820319558,-0.263,0.375,-0.086,0.047,-0.001,0.046,99
WATCH,1644820321687,1644820319685,4,1644820319569,-0.385,0.368,-0.100,0.025,0.007,0.028,99
WATCH,1644820321687,1644820319685,4,1644820319578,-0.446,0.329,-0.104,0.018,0.015,0.008,99
WATCH,1644820321688,1644820319686,4,1644820319588,-0.508,0.298,-0.107,0.021,0.019,0.008,99
WATCH,1644820321688,1644820319686,4,1644820319598,-0.512,0.257,-0.108,0.018,0.009,0.022,99
WATCH,1644820321777,1644820319775,4,1644820319608,-0.512,0.196,-0.109,0.025,0.003,0.014,99
WATCH,1644820321777,1644820319775,4,1644820319618,-0.485,0.132,-0.111,0.021,0.011,-0.009,99
WATCH,1644820321777,1644820319775,4,1644820319628,-0.461,0.069,-0.101,-0.001,0.013,-0.038,99
WATCH,1644820321777,1644820319775,4,1644820319638,-0.464,0.005,-0.073,-0.021,0.005,-0.060,99
WATCH,1644820321778,1644820319776,4,1644820319648,-0.434,-0.023,-0.059,-0.030,-0.007,-0.080,99
WATCH,1644820321842,1644820319840,4,1644820319657,-0.413,-0.046,-0.049,-0.013,0.005,-0.058,99
WATCH,1644820321842,1644820319840,4,1644820319667,-0.347,-0.070,-0.040,0.001,0.018,-0.024,99
WATCH,1644820321842,1644820319840,4,1644820319677,-0.259,-0.110,-0.021,0.018,0.011,-0.003,99
WATCH,1644820321842,1644820319840,4,1644820319687,-0.168,-0.128,-0.024,0.036,0.017,0.006,99
WATCH,1644820321842,1644820319840,4,1644820319697,-0.136,-0.150,-0.021,0.028,0.018,0.004,99
WATCH,1644820321842,1644820319840,4,1644820319707,-0.052,-0.193,0.015,0.017,-0.000,0.023,99
WATCH,1644820321842,1644820319840,4,1644820319717,0.023,-0.214,0.018,0.041,0.008,0.024,99
WATCH,1644820321842,1644820319840,4,1644820319727,0.092,-0.239,-0.000,0.038,0.015,-0.002,99
WATCH,1644820321842,1644820319840,4,1644820319737,0.109,-0.252,0.031,0.003,0.007,-0.018,99
WATCH,1644820321843,1644820319841,4,1644820319747,0.060,-0.272,0.065,-0.018,-0.011,-0.029,99
WATCH,1644820321896,1644820319894,4,1644820319757,0.018,-0.258,0.043,0.004,-0.031,-0.035,99
WATCH,1644820321897,1644820319895,4,1644820319767,-0.021,-0.237,0.069,0.008,-0.042,0.041,99
WATCH,1644820321898,1644820319896,4,1644820319776,-0.077,-0.210,0.083,0.020,-0.051,0.110,99
WATCH,1644820321898,1644820319896,4,1644820319786,-0.113,-0.229,0.062,0.060,-0.046,0.106,99
WATCH,1644820321898,1644820319896,4,1644820319796,-0.195,-0.214,0.015,0.087,-0.010,0.025,99
WATCH,1644820321960,1644820319958,4,1644820319806,-0.272,-0.183,0.002,0.036,-0.001,-0.063,99
WATCH,1644820321960,1644820319958,4,1644820319816,0.301,0.090,-0.052,-0.016,-0.056,-0.106,99
WATCH,1644820321960,1644820319958,4,1644820319826,0.371,0.074,0.050,-0.049,0.033,0.093,99
WATCH,1644820321960,1644820319958,4,1644820319836,0.954,0.250,-0.019,0.078,0.322,0.134,99
WATCH,1644820321960,1644820319958,4,1644820319846,1.258,0.321,0.194,-0.057,0.179,0.013,99
WATCH,1644820321960,1644820319958,4,1644820319856,0.532,0.072,0.152,-0.012,-0.118,-0.007,99
WATCH,1644820321960,1644820319958,4,1644820319866,-0.787,0.059,-0.099,0.077,-0.303,-0.220,99
WATCH,1644820321960,1644820319958,4,1644820319876,-1.008,0.184,-0.164,-0.069,-0.261,-0.186,99
WATCH,1644820321960,1644820319958,4,1644820319886,-0.473,0.135,0.031,-0.178,0.123,0.058,99
WATCH,1644820321960,1644820319958,4,1644820319896,-0.056,0.172,0.111,-0.127,0.299,0.092,99
WATCH,1644820322014,1644820320012,4,1644820319906,-0.081,0.288,0.037,-0.032,0.188,0.045,99
WATCH,1644820322014,1644820320012,4,1644820319916,-0.078,0.327,-0.021,0.018,0.029,0.052,99
WATCH,1644820322014,1644820320012,4,1644820319925,0.044,0.271,-0.009,0.003,-0.008,0.062,99
WATCH,1644820322014,1644820320012,4,1644820319935,0.020,0.229,-0.003,-0.025,0.013,-0.005,99
WATCH,1644820322014,1644820320012,4,1644820319945,-0.240,0.192,-0.037,-0.043,0.022,-0.066,99
WATCH,1644820322076,1644820320074,4,1644820319955,-0.310,0.202,-0.048,-0.087,0.064,-0.033,99
WATCH,1644820322077,1644820320075,4,1644820319965,-0.020,0.171,0.041,-0.119,0.106,0.004,99
WATCH,1644820322077,1644820320075,4,1644820319976,0.122,0.155,0.083,-0.065,0.103,-0.011,99
WATCH,1644820322077,1644820320075,4,1644820319985,0.096,0.249,0.009,-0.007,0.085,-0.017,99
WATCH,1644820322077,1644820320075,4,1644820319995,0.103,0.251,0.032,-0.023,0.080,0.007,99
WATCH,1644820322138,1644820320136,4,1644820320057,0.140,0.179,0.081,0.001,0.050,0.020,99
WATCH,1644820322138,1644820320136,4,1644820320061,0.070,0.097,0.079,0.049,0.001,-0.002,99
WATCH,1644820322138,1644820320136,4,1644820320063,-0.014,0.038,0.032,0.073,-0.078,-0.015,99
WATCH,1644820322138,1644820320136,4,1644820320066,-0.077,-0.011,0.046,0.066,-0.091,-0.018,99
WATCH,1644820322138,1644820320136,4,1644820320069,-0.043,0.009,0.116,0.036,-0.020,0.004,99
WATCH,1644820322197,1644820320195,4,1644820320072,0.144,0.004,0.181,0.030,0.049,0.001,99
WATCH,1644820322198,1644820320196,4,1644820320074,0.180,-0.024,0.184,0.063,0.058,-0.006,99
WATCH,1644820322198,1644820320196,4,1644820320077,0.142,-0.051,0.193,0.072,0.039,0.033,99
WATCH,1644820322198,1644820320196,4,1644820320084,0.135,-0.141,0.216,0.064,-0.011,0.044,99
WATCH,1644820322201,1644820320199,4,1644820320094,0.067,-0.220,0.214,0.064,-0.079,-0.030,99
WATCH,1644820322348,1644820320346,4,1644820320243,-0.171,-0.337,0.403,0.048,-0.056,0.110,99
WATCH,1644820322285,1644820320283,4,1644820320104,-0.050,-0.266,0.219,0.052,-0.110,-0.010,99
WATCH,1644820322285,1644820320283,4,1644820320114,-0.109,-0.286,0.188,0.045,-0.064,-0.014,99
WATCH,1644820322286,1644820320284,4,1644820320124,-0.068,-0.282,0.194,0.034,0.014,-0.018,99
WATCH,1644820322286,1644820320284,4,1644820320134,0.110,-0.270,0.215,0.025,0.070,-0.051,99
WATCH,1644820322286,1644820320284,4,1644820320144,0.280,-0.250,0.272,0.027,0.036,-0.026,99
WATCH,1644820322286,1644820320284,4,1644820320154,0.309,-0.277,0.325,0.046,-0.062,0.060,99
WATCH,1644820322286,1644820320284,4,1644820320164,0.276,-0.281,0.332,0.080,-0.089,0.067,99
WATCH,1644820322286,1644820320284,4,1644820320173,0.282,-0.322,0.305,0.090,-0.101,0.031,99
WATCH,1644820322286,1644820320284,4,1644820320183,0.190,-0.371,0.321,0.066,-0.091,-0.000,99
WATCH,1644820322287,1644820320285,4,1644820320193,0.086,-0.385,0.301,0.026,-0.022,-0.017,99
WATCH,1644820322348,1644820320346,4,1644820320203,0.077,-0.356,0.240,-0.023,0.017,-0.135,99
WATCH,1644820322348,1644820320346,4,1644820320213,0.012,-0.335,0.299,-0.085,0.006,-0.101,99
WATCH,1644820322348,1644820320346,4,1644820320223,-0.082,-0.357,0.410,-0.085,-0.035,0.046,99
WATCH,1644820322435,1644820320433,4,1644820320253,-0.376,-0.334,0.395,0.025,-0.076,0.036,99
WATCH,1644820322435,1644820320433,4,1644820320263,-0.546,-0.307,0.288,0.011,-0.001,-0.061,99
WATCH,1644820322435,1644820320433,4,1644820320273,-0.228,-0.205,0.262,-0.037,0.108,-0.080,99
WATCH,1644820322436,1644820320434,4,1644820320283,0.209,-0.222,0.245,-0.091,0.125,0.052,99
WATCH,1644820322436,1644820320434,4,1644820320293,0.075,-0.263,0.014,0.030,0.111,0.185,99
WATCH,1644820322437,1644820320435,4,1644820320303,-0.466,-0.122,0.103,-0.256,-0.426,-0.161,99
WATCH,1644820322437,1644820320435,4,1644820320312,-0.131,-0.132,0.056,-0.102,-0.117,0.074,99
WATCH,1644820322437,1644820320435,4,1644820320322,0.035,-0.078,-0.007,-0.034,0.062,-0.009,99
WATCH,1644820322437,1644820320435,4,1644820320332,0.113,0.052,0.049,-0.044,0.167,-0.048,99
WATCH,1644820322437,1644820320435,4,1644820320342,0.026,0.129,0.095,-0.117,0.169,-0.054,99
WATCH,1644820322523,1644820320521,4,1644820320352,0.161,0.219,0.097,-0.086,0.216,0.022,99
WATCH,1644820322523,1644820320521,4,1644820320362,0.372,0.226,0.106,-0.092,0.179,0.069,99
WATCH,1644820322523,1644820320521,4,1644820320372,0.377,0.208,0.060,-0.075,0.034,0.078,99
WATCH,1644820322524,1644820320522,4,1644820320382,0.251,0.241,0.015,-0.071,0.013,0.119,99
WATCH,1644820322524,1644820320522,4,1644820320392,0.243,0.285,0.002,-0.063,0.137,0.132,99
WATCH,1644820322553,1644820320551,4,1644820320402,0.390,0.278,-0.031,-0.021,0.165,0.080,99
WATCH,1644820322553,1644820320551,4,1644820320412,0.472,0.187,-0.025,0.003,-0.035,-0.075,99
WATCH,1644820322553,1644820320551,4,1644820320422,0.252,0.176,-0.066,-0.014,-0.282,-0.352,99
WATCH,1644820322553,1644820320551,4,1644820320431,0.101,0.103,-0.070,0.038,-0.225,-0.127,99
WATCH,1644820322553,1644820320551,4,1644820320442,0.245,0.080,-0.204,0.117,-0.043,-0.192,99
WATCH,1644820322554,1644820320552,4,1644820320451,0.360,0.070,-0.186,0.076,0.091,-0.185,99
WATCH,1644820322554,1644820320552,4,1644820320461,0.357,0.057,-0.186,0.034,0.054,-0.140,99
WATCH,1644820322554,1644820320552,4,1644820320471,0.255,0.044,-0.204,0.013,-0.003,-0.097,99
WATCH,1644820322554,1644820320552,4,1644820320481,0.175,0.002,-0.211,0.041,-0.003,-0.002,99
WATCH,1644820322554,1644820320552,4,1644820320491,0.209,-0.045,-0.216,0.073,0.027,0.006,99
WATCH,1644820322617,1644820320615,4,1644820320501,0.249,-0.114,-0.223,0.068,0.027,-0.066,99
WATCH,1644820322617,1644820320615,4,1644820320511,0.196,-0.186,-0.182,0.053,0.035,-0.143,99
WATCH,1644820322617,1644820320615,4,1644820320521,0.095,-0.251,-0.180,0.026,0.032,-0.180,99
WATCH,1644820322617,1644820320615,4,1644820320531,0.102,-0.344,-0.124,0.009,0.063,-0.118,99
WATCH,1644820322617,1644820320615,4,1644820320541,0.164,-0.436,-0.108,0.016,0.074,-0.069,99
WATCH,1644820322680,1644820320678,4,1644820320551,0.287,-0.465,-0.101,-0.004,0.008,-0.029,99
WATCH,1644820322680,1644820320678,4,1644820320561,0.284,-0.428,-0.074,-0.036,-0.020,0.028,99
WATCH,1644820322680,1644820320678,4,1644820320570,0.376,-0.445,-0.033,-0.018,0.017,0.063,99
WATCH,1644820322680,1644820320678,4,1644820320580,0.457,-0.552,-0.045,0.035,0.035,-0.019,99
WATCH,1644820322681,1644820320679,4,1644820320590,0.466,-0.609,-0.073,0.026,0.081,-0.092,99
WATCH,1644820322737,1644820320735,4,1644820320600,0.392,-0.574,-0.014,-0.066,0.036,-0.045,99
WATCH,1644820322737,1644820320735,4,1644820320610,0.374,-0.642,0.051,-0.081,-0.042,0.076,99
WATCH,1644820322737,1644820320735,4,1644820320620,0.359,-0.681,0.017,0.013,-0.080,0.037,99
WATCH,1644820322737,1644820320735,4,1644820320630,0.311,-0.585,-0.030,0.035,-0.019,-0.014,99
WATCH,1644820322738,1644820320736,4,1644820320640,0.364,-0.542,-0.062,-0.004,0.045,-0.025,99
WATCH,1644820322827,1644820320825,4,1644820320650,0.447,-0.503,0.001,-0.017,0.104,-0.060,99
WATCH,1644820322828,1644820320826,4,1644820320660,0.567,-0.481,-0.007,-0.023,0.052,-0.094,99
WATCH,1644820322829,1644820320827,4,1644820320670,0.509,-0.415,-0.054,-0.034,0.002,-0.038,99
WATCH,1644820322829,1644820320827,4,1644820320680,0.441,-0.433,-0.234,0.012,0.056,0.035,99
WATCH,1644820322829,1644820320827,4,1644820320690,0.913,-0.350,-0.020,0.113,0.376,0.079,99
WATCH,1644820322829,1644820320827,4,1644820320700,0.885,-0.338,-0.194,0.078,0.045,0.100,99
WATCH,1644820322829,1644820320827,4,1644820320709,0.734,-0.351,-0.105,0.028,-0.091,0.219,99
WATCH,1644820322829,1644820320827,4,1644820320719,0.512,-0.295,-0.115,-0.052,-0.276,0.268,99
WATCH,1644820322829,1644820320827,4,1644820320729,-0.038,-0.182,0.041,-0.105,-0.363,0.319,99
WATCH,1644820322830,1644820320828,4,1644820320739,-0.520,-0.077,0.088,-0.088,-0.443,0.344,99
WATCH,1644820322886,1644820320884,4,1644820320749,-0.981,0.044,0.186,-0.041,-0.515,0.336,99
WATCH,1644820322886,1644820320884,4,1644820320759,-1.303,0.070,0.160,0.029,-0.368,0.266,99
WATCH,1644820322886,1644820320884,4,1644820320769,-1.010,0.025,0.078,0.112,0.074,0.031,99
WATCH,1644820322886,1644820320884,4,1644820320779,-0.283,0.078,0.050,0.142,0.481,-0.213,99
WATCH,1644820322886,1644820320884,4,1644820320789,0.127,0.147,0.074,0.046,0.516,-0.188,99
WATCH,1644820322974,1644820320972,4,1644820320799,0.016,0.147,0.013,0.052,0.177,-0.151,99
WATCH,1644820322976,1644820320974,4,1644820320809,-0.161,0.171,-0.077,0.076,-0.031,-0.089,99
WATCH,1644820322978,1644820320976,4,1644820320818,-0.183,0.210,-0.068,-0.025,-0.100,-0.026,99
WATCH,1644820322978,1644820320976,4,1644820320828,-0.326,0.279,-0.047,-0.097,-0.178,-0.024,99
WATCH,1644820322978,1644820320976,4,1644820320838,-0.490,0.360,-0.068,-0.074,-0.189,-0.020,99
WATCH,1644820322978,1644820320976,4,1644820320848,-0.468,0.367,-0.083,-0.016,-0.043,0.026,99
WATCH,1644820322978,1644820320976,4,1644820320858,-0.339,0.340,-0.080,0.028,0.066,0.021,99
WATCH,1644820322978,1644820320976,4,1644820320868,-0.208,0.307,-0.072,0.046,0.098,-0.003,99
WATCH,1644820322979,1644820320977,4,1644820320878,-0.161,0.271,-0.084,0.044,0.093,-0.033,99
WATCH,1644820322979,1644820320977,4,1644820320888,-0.143,0.210,-0.096,0.018,0.045,-0.023,99
WATCH,1644820323040,1644820321038,4,1644820320898,-0.123,0.165,-0.075,0.006,0.050,0.077,99
WATCH,1644820323041,1644820321039,4,1644820320908,-0.068,0.142,-0.086,0.023,0.069,0.041,99
WATCH,1644820323042,1644820321040,4,1644820320918,-0.052,0.102,-0.105,0.008,-0.002,-0.064,99
WATCH,1644820323042,1644820321040,4,1644820320928,-0.002,0.060,-0.116,-0.054,-0.035,-0.087,99
