DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1644820505289,1644820489884,4,1644820489884,796,79,0,0,37087,0,DKU006#
DEVICE,1644820505321,1644820489916,4,1644820489916,801,80,0,0,37087,0,DKU006#
DEVICE,1644820505353,1644820489948,4,1644820489948,802,80,0,0,37087,0,DKU006#
DEVICE,1644820505385,1644820489980,4,1644820489980,800,80,0,0,37087,0,DKU006#
DEVICE,1644820505418,1644820490013,4,1644820490013,795,79,0,0,37087,0,DKU006#
DEVICE,1644820505449,1644820490044,4,1644820490044,798,79,0,0,37087,0,DKU006#
DEVICE,1644820505481,1644820490076,4,1644820490076,801,80,0,0,37087,0,DKU006#
DEVICE,1644820505529,1644820490124,4,1644820490124,806,80,0,0,37100,0,DKU006#
DEVICE,1644820505545,1644820490140,4,1644820490140,804,80,0,0,37100,0,DKU006#
DEVICE,1644820505577,1644820490172,4,1644820490172,800,80,0,0,37100,0,DKU006#
DEVICE,1644820505609,1644820490204,4,1644820490204,809,80,0,0,37100,0,DKU006#
DEVICE,1644820505640,1644820490235,4,1644820490235,803,80,0,0,37100,0,DKU006#
DEVICE,1644820505672,1644820490267,4,1644820490267,798,79,0,0,37100,0,DKU006#
DEVICE,1644820505704,1644820490299,4,1644820490299,803,80,0,0,37100,0,DKU006#
DEVICE,1644820505736,1644820490331,4,1644820490331,796,79,0,0,37100,0,DKU006#
DEVICE,1644820505768,1644820490363,4,1644820490363,793,79,0,0,37100,0,DKU006#
DEVICE,1644820505801,1644820490396,4,1644820490396,803,80,0,0,37100,0,DKU006#
DEVICE,1644820505833,1644820490428,4,1644820490428,805,80,0,0,37100,0,DKU006#
DEVICE,1644820505865,1644820490460,4,1644820490460,797,79,0,0,37100,0,DKU006#
DEVICE,1644820505897,1644820490492,4,1644820490492,808,80,0,0,37100,0,DKU006#
DEVICE,1644820505928,1644820490523,4,1644820490523,786,78,0,0,37100,0,DKU006#
DEVICE,1644820505960,1644820490555,4,1644820490555,814,81,0,0,37100,0,DKU006#
DEVICE,1644820505992,1644820490587,4,1644820490587,792,79,0,0,37100,0,DKU006#
DEVICE,1644820506024,1644820490619,4,1644820490619,801,80,0,0,37100,0,DKU006#
DEVICE,1644820506056,1644820490651,4,1644820490651,804,80,0,0,37100,0,DKU006#
DEVICE,1644820506088,1644820490683,4,1644820490683,806,80,0,0,37100,0,DKU006#
DEVICE,1644820506120,1644820490715,4,1644820490715,815,81,0,0,37100,0,DKU006#
DEVICE,1644820506152,1644820490747,4,1644820490747,797,79,0,0,37100,0,DKU006#
DEVICE,1644820506184,1644820490779,4,1644820490779,813,81,0,0,37100,0,DKU006#
DEVICE,1644820506216,1644820490811,4,1644820490811,811,81,0,0,37100,0,DKU006#
DEVICE,1644820506248,1644820490843,4,1644820490843,797,79,0,0,37100,0,DKU006#
DEVICE,1644820506280,1644820490875,4,1644820490875,798,79,0,0,37100,0,DKU006#
DEVICE,1644820506312,1644820490907,4,1644820490907,815,81,0,0,37100,0,DKU006#
DEVICE,1644820506345,1644820490940,4,1644820490940,803,80,0,0,37100,0,DKU006#
DEVICE,1644820506376,1644820490971,4,1644820490971,812,81,0,0,37100,0,DKU006#
DEVICE,1644820506408,1644820491003,4,1644820491003,797,79,0,0,37100,0,DKU006#
DEVICE,1644820506440,1644820491035,4,1644820491035,799,79,0,0,37100,0,DKU006#
DEVICE,1644820506472,1644820491067,4,1644820491067,793,79,0,0,37100,0,DKU006#
DEVICE,1644820506505,1644820491100,4,1644820491100,806,80,0,0,37100,0,DKU006#
DEVICE,1644820506536,1644820491131,4,1644820491131,794,79,0,0,37100,0,DKU006#
DEVICE,1644820506568,1644820491163,4,1644820491163,799,79,0,0,37100,0,DKU006#
DEVICE,1644820506600,1644820491195,4,1644820491195,801,80,0,0,37100,0,DKU006#
DEVICE,1644820506632,1644820491227,4,1644820491227,801,80,0,0,37100,0,DKU006#
DEVICE,1644820506664,1644820491259,4,1644820491259,788,78,0,0,37100,0,DKU006#
DEVICE,1644820506696,1644820491291,4,1644820491291,801,80,0,0,37100,0,DKU006#
DEVICE,1644820506728,1644820491323,4,1644820491323,803,80,0,0,37100,0,DKU006#
DEVICE,1644820506760,1644820491355,4,1644820491355,811,81,0,0,37100,0,DKU006#
DEVICE,1644820506792,1644820491387,4,1644820491387,802,80,0,0,37100,0,DKU006#
DEVICE,1644820506824,1644820491419,4,1644820491419,798,79,0,0,37100,0,DKU006#
DEVICE,1644820506856,1644820491451,4,1644820491451,804,80,0,0,37100,0,DKU006#
DEVICE,1644820506888,1644820491483,4,1644820491483,797,79,0,0,37100,0,DKU006#
DEVICE,1644820506920,1644820491515,4,1644820491515,798,79,0,0,37100,0,DKU006#
DEVICE,1644820506952,1644820491547,4,1644820491547,800,80,0,0,37100,0,DKU006#
DEVICE,1644820506984,1644820491579,4,1644820491579,804,80,0,0,37100,0,DKU006#
DEVICE,1644820507016,1644820491611,4,1644820491611,820,82,0,0,37100,0,DKU006#
DEVICE,1644820507048,1644820491643,4,1644820491643,803,80,0,0,37100,0,DKU006#
DEVICE,1644820507080,1644820491675,4,1644820491675,791,79,0,0,37100,0,DKU006#
