DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1644908749986,1644908735956,4,1644908735956,795,79,0,0,36762,0,DKU006#
DEVICE,1644908750020,1644908735990,4,1644908735990,799,79,0,0,36762,0,DKU006#
DEVICE,1644908750051,1644908736021,4,1644908736021,778,77,0,0,36762,0,DKU006#
DEVICE,1644908750083,1644908736053,4,1644908736053,788,78,0,0,36762,0,DKU006#
DEVICE,1644908750115,1644908736085,4,1644908736085,785,78,0,0,36762,0,DKU006#
DEVICE,1644908750147,1644908736117,4,1644908736117,789,78,0,0,36762,0,DKU006#
DEVICE,1644908750179,1644908736149,4,1644908736149,781,78,0,0,36762,0,DKU006#
DEVICE,1644908750211,1644908736181,4,1644908736181,785,78,0,0,36762,0,DKU006#
DEVICE,1644908750243,1644908736213,4,1644908736213,793,79,0,0,36762,0,DKU006#
DEVICE,1644908750275,1644908736245,4,1644908736245,783,78,0,0,36762,0,DKU006#
DEVICE,1644908750307,1644908736277,4,1644908736277,778,77,0,0,36762,0,DKU006#
DEVICE,1644908750338,1644908736308,4,1644908736308,773,77,0,0,36762,0,DKU006#
DEVICE,1644908750370,1644908736340,4,1644908736340,791,79,0,0,36762,0,DKU006#
DEVICE,1644908750402,1644908736372,4,1644908736372,775,77,0,0,36762,0,DKU006#
DEVICE,1644908750434,1644908736404,4,1644908736404,792,79,0,0,36762,0,DKU006#
DEVICE,1644908750467,1644908736437,4,1644908736437,789,78,0,0,36762,0,DKU006#
DEVICE,1644908750498,1644908736468,4,1644908736468,778,77,0,0,36762,0,DKU006#
DEVICE,1644908750530,1644908736500,4,1644908736500,806,80,0,0,36762,0,DKU006#
DEVICE,1644908750562,1644908736532,4,1644908736532,793,79,0,0,36762,0,DKU006#
DEVICE,1644908750594,1644908736564,4,1644908736564,772,77,0,0,36762,0,DKU006#
DEVICE,1644908750626,1644908736596,4,1644908736596,782,78,0,0,36762,0,DKU006#
DEVICE,1644908750676,1644908736646,4,1644908736646,777,77,0,0,36787,0,DKU006#
DEVICE,1644908750691,1644908736661,4,1644908736661,787,78,0,0,36787,0,DKU006#
DEVICE,1644908750722,1644908736692,4,1644908736692,787,78,0,0,36787,0,DKU006#
DEVICE,1644908750754,1644908736724,4,1644908736724,782,78,0,0,36787,0,DKU006#
DEVICE,1644908750787,1644908736757,4,1644908736757,787,78,0,0,36787,0,DKU006#
DEVICE,1644908750818,1644908736788,4,1644908736788,773,77,0,0,36787,0,DKU006#
DEVICE,1644908750850,1644908736820,4,1644908736820,773,77,0,0,36787,0,DKU006#
DEVICE,1644908750882,1644908736852,4,1644908736852,776,77,0,0,36787,0,DKU006#
DEVICE,1644908750914,1644908736884,4,1644908736884,787,78,0,0,36787,0,DKU006#
