Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644908746236,1644908745780,4,1644908745664,0.635,0.193,0.220,0.041,0.144,0.048,91
WATCH,1644908746237,1644908745781,4,1644908745674,0.569,0.117,0.206,0.050,-0.034,0.040,91
WATCH,1644908746237,1644908745781,4,1644908745684,0.454,0.047,0.173,0.068,-0.115,0.049,91
WATCH,1644908746237,1644908745781,4,1644908745693,0.530,0.103,0.177,0.043,-0.066,0.078,91
WATCH,1644908746299,1644908745843,4,1644908745703,0.643,-0.001,0.181,0.001,-0.020,0.068,91
WATCH,1644908746299,1644908745843,4,1644908745713,0.632,-0.124,0.174,0.024,0.041,0.114,91
WATCH,1644908746299,1644908745843,4,1644908745723,0.630,-0.256,0.222,0.026,0.009,0.141,91
WATCH,1644908746299,1644908745843,4,1644908745733,0.534,-0.336,0.169,-0.003,-0.035,0.163,91
WATCH,1644908746299,1644908745843,4,1644908745743,0.374,-0.419,0.126,-0.032,-0.046,0.173,91
WATCH,1644908746360,1644908745904,4,1644908745753,0.243,-0.435,0.080,-0.016,-0.053,0.138,91
WATCH,1644908746361,1644908745905,4,1644908745763,0.184,-0.397,0.066,-0.022,-0.051,0.063,91
WATCH,1644908746361,1644908745905,4,1644908745773,0.307,-0.363,0.084,-0.015,-0.032,-0.022,91
WATCH,1644908746362,1644908745906,4,1644908745783,0.468,-0.374,0.080,-0.011,0.043,-0.058,91
WATCH,1644908746363,1644908745907,4,1644908745793,0.502,-0.404,0.057,-0.015,0.078,-0.068,91
WATCH,1644908746363,1644908745907,4,1644908745802,0.408,-0.405,0.032,-0.008,0.036,-0.094,91
WATCH,1644908746363,1644908745907,4,1644908745813,0.310,-0.354,0.023,-0.023,-0.032,-0.111,91
WATCH,1644908746367,1644908745911,4,1644908745822,0.279,-0.239,0.024,-0.009,-0.043,-0.125,91
WATCH,1644908746367,1644908745911,4,1644908745832,0.295,-0.163,0.014,-0.022,-0.006,-0.119,91
WATCH,1644908746367,1644908745911,4,1644908745842,0.324,-0.152,0.004,-0.015,0.009,-0.106,91
WATCH,1644908746419,1644908745963,4,1644908745852,0.231,-0.145,-0.042,-0.002,-0.049,-0.058,91
WATCH,1644908746420,1644908745964,4,1644908745862,0.102,-0.130,-0.086,-0.011,-0.107,0.004,91
WATCH,1644908746420,1644908745964,4,1644908745872,-0.006,-0.132,-0.125,-0.033,-0.078,0.023,91
WATCH,1644908746420,1644908745964,4,1644908745882,-0.061,-0.116,-0.132,-0.025,-0.025,0.021,91
WATCH,1644908746420,1644908745964,4,1644908745892,-0.084,-0.070,-0.147,-0.007,-0.009,-0.027,91
