Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644909367875,1644909367416,4,1644909367301,0.367,-0.279,0.141,0.107,0.115,-0.011,118
WATCH,1644909367875,1644909367416,4,1644909367311,0.276,-0.269,0.093,0.016,0.018,0.028,118
WATCH,1644909367875,1644909367416,4,1644909367321,0.112,-0.137,0.129,-0.082,-0.095,0.084,118
WATCH,1644909367875,1644909367416,4,1644909367331,0.113,-0.212,0.188,-0.065,-0.117,0.036,118
WATCH,1644909367931,1644909367472,4,1644909367341,0.111,-0.280,0.120,-0.026,-0.068,0.006,118
WATCH,1644909367931,1644909367472,4,1644909367351,0.228,-0.277,0.045,-0.017,-0.050,0.017,118
WATCH,1644909367931,1644909367472,4,1644909367361,0.289,-0.375,0.170,0.032,-0.016,0.017,118
WATCH,1644909367931,1644909367472,4,1644909367370,0.248,-0.395,0.265,0.064,0.086,0.010,118
WATCH,1644909367931,1644909367472,4,1644909367380,0.137,-0.434,0.116,0.033,0.099,-0.001,118
WATCH,1644909368027,1644909367568,4,1644909367390,-0.068,-0.491,-0.043,-0.018,-0.051,0.023,118
WATCH,1644909368027,1644909367568,4,1644909367400,-0.287,-0.497,-0.055,-0.045,-0.222,0.040,118
WATCH,1644909368027,1644909367568,4,1644909367410,-0.336,-0.419,-0.014,-0.059,-0.236,0.011,118
WATCH,1644909368028,1644909367569,4,1644909367420,-0.306,-0.302,-0.056,-0.056,-0.089,-0.040,118
WATCH,1644909368028,1644909367569,4,1644909367430,-0.150,-0.192,-0.138,-0.058,0.032,-0.103,118
WATCH,1644909368028,1644909367569,4,1644909367440,-0.019,-0.100,-0.100,-0.047,0.067,-0.138,118
WATCH,1644909368028,1644909367569,4,1644909367450,-0.008,0.133,0.021,-0.024,0.079,-0.077,118
WATCH,1644909368028,1644909367569,4,1644909367460,-0.027,0.140,0.034,0.020,0.088,0.041,118
WATCH,1644909368028,1644909367569,4,1644909367470,-0.008,-0.055,0.096,0.078,0.066,0.069,118
WATCH,1644909368028,1644909367569,4,1644909367480,-0.061,-0.146,0.121,0.100,0.066,0.038,118
WATCH,1644909368084,1644909367625,4,1644909367490,-0.114,-0.170,0.149,0.055,0.060,-0.028,118
WATCH,1644909368084,1644909367625,4,1644909367499,-0.164,-0.021,0.286,0.018,0.029,-0.111,118
WATCH,1644909368085,1644909367626,4,1644909367509,-0.172,-0.009,0.200,-0.002,0.016,-0.114,118
WATCH,1644909368085,1644909367626,4,1644909367519,-0.200,0.043,0.097,-0.052,-0.002,-0.084,118
WATCH,1644909368085,1644909367626,4,1644909367529,-0.276,0.172,0.092,-0.073,-0.047,-0.019,118
WATCH,1644909368144,1644909367685,4,1644909367539,-0.168,0.348,0.047,-0.093,-0.090,0.072,118
WATCH,1644909368144,1644909367685,4,1644909367549,-0.081,0.465,0.036,-0.067,-0.060,0.156,118
WATCH,1644909368144,1644909367685,4,1644909367559,-0.049,0.473,0.030,-0.011,-0.000,0.149,118
WATCH,1644909368145,1644909367686,4,1644909367569,0.088,0.549,0.044,0.011,0.028,0.017,118
WATCH,1644909368145,1644909367686,4,1644909367579,0.169,0.600,0.006,0.005,0.044,-0.122,118
WATCH,1644909368145,1644909367686,4,1644909367589,0.173,0.715,-0.084,-0.035,0.012,-0.161,118
WATCH,1644909368145,1644909367686,4,1644909367599,0.182,0.801,-0.140,-0.067,-0.052,-0.151,118
WATCH,1644909368145,1644909367686,4,1644909367609,0.132,0.881,-0.186,-0.071,-0.078,-0.078,118
WATCH,1644909368145,1644909367686,4,1644909367619,0.087,0.916,-0.218,-0.073,-0.075,-0.012,118
WATCH,1644909368145,1644909367686,4,1644909367629,0.089,0.931,-0.217,-0.056,-0.048,-0.001,118
WATCH,1644909368203,1644909367744,4,1644909367638,0.017,0.957,-0.255,-0.046,-0.014,0.020,118
WATCH,1644909368203,1644909367744,4,1644909367649,0.048,0.944,-0.236,-0.045,0.006,0.013,118
WATCH,1644909368203,1644909367744,4,1644909367658,0.125,1.006,-0.111,-0.020,0.009,-0.017,118
WATCH,1644909368204,1644909367745,4,1644909367668,0.211,1.032,-0.051,-0.005,0.028,-0.017,118
WATCH,1644909368204,1644909367745,4,1644909367678,0.380,1.038,-0.058,0.006,0.052,-0.047,118
WATCH,1644909368262,1644909367803,4,1644909367688,0.388,1.003,-0.086,0.005,0.084,-0.140,118
WATCH,1644909368263,1644909367804,4,1644909367698,0.348,0.953,-0.093,0.002,0.058,-0.232,118
WATCH,1644909368263,1644909367804,4,1644909367708,0.123,0.814,-0.090,0.008,-0.020,-0.318,118
WATCH,1644909368263,1644909367804,4,1644909367718,-0.311,0.538,-0.334,0.008,-0.073,-0.246,118
WATCH,1644909368263,1644909367804,4,1644909367728,-0.437,0.458,-0.285,-0.064,-0.323,-0.068,118
WATCH,1644909368323,1644909367864,4,1644909367738,-0.512,0.261,-0.340,-0.082,-0.166,0.147,118
WATCH,1644909368323,1644909367864,4,1644909367748,-0.153,0.307,-0.199,-0.168,-0.098,0.133,118
WATCH,1644909368323,1644909367864,4,1644909367757,0.105,0.384,-0.069,-0.187,0.050,0.218,118
