DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1644910140656,1644910126620,4,1644910126620,795,79,0,0,37562,0,DKU006#
DEVICE,1644910140704,1644910126668,4,1644910126668,791,79,0,0,37562,0,DKU006#
DEVICE,1644910140719,1644910126683,4,1644910126683,799,79,0,0,37562,0,DKU006#
DEVICE,1644910140767,1644910126731,4,1644910126731,802,80,0,0,37562,0,DKU006#
DEVICE,1644910140784,1644910126748,4,1644910126748,792,79,0,0,37562,0,DKU006#
DEVICE,1644910140816,1644910126780,4,1644910126780,798,79,0,0,37562,0,DKU006#
DEVICE,1644910140848,1644910126812,4,1644910126812,788,78,0,0,37562,0,DKU006#
DEVICE,1644910140880,1644910126844,4,1644910126844,787,78,0,0,37562,0,DKU006#
DEVICE,1644910140912,1644910126876,4,1644910126876,776,77,0,0,37562,0,DKU006#
DEVICE,1644910140944,1644910126908,4,1644910126908,790,79,0,0,37562,0,DKU006#
DEVICE,1644910140976,1644910126940,4,1644910126940,786,78,0,0,37562,0,DKU006#
DEVICE,1644910141008,1644910126972,4,1644910126972,783,78,0,0,37562,0,DKU006#
DEVICE,1644910141040,1644910127004,4,1644910127004,775,77,0,0,37562,0,DKU006#
DEVICE,1644910141072,1644910127036,4,1644910127036,795,79,0,0,37562,0,DKU006#
DEVICE,1644910141104,1644910127068,4,1644910127068,783,78,0,0,37562,0,DKU006#
DEVICE,1644910141136,1644910127100,4,1644910127100,788,78,0,0,37562,0,DKU006#
DEVICE,1644910141167,1644910127131,4,1644910127131,781,78,0,0,37562,0,DKU006#
DEVICE,1644910141200,1644910127164,4,1644910127164,802,80,0,0,37562,0,DKU006#
DEVICE,1644910141232,1644910127196,4,1644910127196,793,79,0,0,37562,0,DKU006#
DEVICE,1644910141279,1644910127243,4,1644910127243,786,78,0,0,37525,0,DKU006#
DEVICE,1644910141296,1644910127260,4,1644910127260,792,79,0,0,37525,0,DKU006#
DEVICE,1644910141328,1644910127292,4,1644910127292,783,78,0,0,37525,0,DKU006#
DEVICE,1644910141359,1644910127323,4,1644910127323,785,78,0,0,37525,0,DKU006#
DEVICE,1644910141391,1644910127355,4,1644910127355,792,79,0,0,37525,0,DKU006#
DEVICE,1644910141423,1644910127387,4,1644910127387,793,79,0,0,37525,0,DKU006#
DEVICE,1644910141455,1644910127419,4,1644910127419,786,78,0,0,37525,0,DKU006#
DEVICE,1644910141487,1644910127451,4,1644910127451,781,78,0,0,37525,0,DKU006#
DEVICE,1644910141519,1644910127483,4,1644910127483,792,79,0,0,37525,0,DKU006#
DEVICE,1644910141551,1644910127515,4,1644910127515,795,79,0,0,37525,0,DKU006#
DEVICE,1644910141583,1644910127547,4,1644910127547,779,77,0,0,37525,0,DKU006#
DEVICE,1644910141616,1644910127580,4,1644910127580,780,78,0,0,37525,0,DKU006#
DEVICE,1644910141648,1644910127612,4,1644910127612,794,79,0,0,37525,0,DKU006#
DEVICE,1644910141679,1644910127643,4,1644910127643,806,80,0,0,37525,0,DKU006#
DEVICE,1644910141711,1644910127675,4,1644910127675,786,78,0,0,37525,0,DKU006#
DEVICE,1644910141743,1644910127707,4,1644910127707,788,78,0,0,37525,0,DKU006#
DEVICE,1644910141775,1644910127739,4,1644910127739,768,76,0,0,37525,0,DKU006#
DEVICE,1644910141807,1644910127771,4,1644910127771,790,79,0,0,37525,0,DKU006#
DEVICE,1644910141839,1644910127803,4,1644910127803,805,80,0,0,37525,0,DKU006#
DEVICE,1644910141871,1644910127835,4,1644910127835,782,78,0,0,37525,0,DKU006#
DEVICE,1644910141903,1644910127867,4,1644910127867,797,79,0,0,37525,0,DKU006#
DEVICE,1644910141935,1644910127899,4,1644910127899,787,78,0,0,37525,0,DKU006#
DEVICE,1644910141967,1644910127931,4,1644910127931,777,77,0,0,37525,0,DKU006#
DEVICE,1644910141999,1644910127963,4,1644910127963,792,79,0,0,37525,0,DKU006#
DEVICE,1644910142031,1644910127995,4,1644910127995,778,77,0,0,37525,0,DKU006#
DEVICE,1644910142064,1644910128028,4,1644910128028,793,79,0,0,37525,0,DKU006#
DEVICE,1644910142095,1644910128059,4,1644910128059,783,78,0,0,37525,0,DKU006#
DEVICE,1644910142127,1644910128091,4,1644910128091,780,78,0,0,37525,0,DKU006#
DEVICE,1644910142159,1644910128123,4,1644910128123,806,80,0,0,37525,0,DKU006#
