DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1644911026414,1644911012377,4,1644911012377,783,78,0,0,37100,0,DKU006#
DEVICE,1644911026446,1644911012409,4,1644911012409,787,78,0,0,37100,0,DKU006#
DEVICE,1644911026478,1644911012441,4,1644911012441,795,79,0,0,37100,0,DKU006#
DEVICE,1644911026511,1644911012474,4,1644911012474,800,80,0,0,37100,0,DKU006#
DEVICE,1644911026543,1644911012506,4,1644911012506,781,78,0,0,37100,0,DKU006#
DEVICE,1644911026574,1644911012537,4,1644911012537,799,79,0,0,37100,0,DKU006#
DEVICE,1644911026606,1644911012569,4,1644911012569,800,80,0,0,37100,0,DKU006#
DEVICE,1644911026638,1644911012601,4,1644911012601,786,78,0,0,37100,0,DKU006#
DEVICE,1644911026670,1644911012633,4,1644911012633,792,79,0,0,37100,0,DKU006#
DEVICE,1644911026702,1644911012665,4,1644911012665,797,79,0,0,37100,0,DKU006#
DEVICE,1644911026734,1644911012697,4,1644911012697,794,79,0,0,37100,0,DKU006#
DEVICE,1644911026766,1644911012729,4,1644911012729,775,77,0,0,37100,0,DKU006#
DEVICE,1644911026798,1644911012761,4,1644911012761,785,78,0,0,37100,0,DKU006#
DEVICE,1644911026830,1644911012793,4,1644911012793,783,78,0,0,37100,0,DKU006#
DEVICE,1644911026862,1644911012825,4,1644911012825,797,79,0,0,37100,0,DKU006#
DEVICE,1644911026894,1644911012857,4,1644911012857,788,78,0,0,37100,0,DKU006#
DEVICE,1644911026927,1644911012890,4,1644911012890,784,78,0,0,37100,0,DKU006#
DEVICE,1644911026958,1644911012921,4,1644911012921,801,80,0,0,37100,0,DKU006#
DEVICE,1644911026990,1644911012953,4,1644911012953,781,78,0,0,37100,0,DKU006#
DEVICE,1644911027022,1644911012985,4,1644911012985,786,78,0,0,37100,0,DKU006#
DEVICE,1644911027054,1644911013017,4,1644911013017,777,77,0,0,37100,0,DKU006#
DEVICE,1644911027086,1644911013049,4,1644911013049,777,77,0,0,37100,0,DKU006#
DEVICE,1644911027118,1644911013081,4,1644911013081,786,78,0,0,37100,0,DKU006#
DEVICE,1644911027150,1644911013113,4,1644911013113,784,78,0,0,37100,0,DKU006#
DEVICE,1644911027182,1644911013145,4,1644911013145,790,79,0,0,37100,0,DKU006#
DEVICE,1644911027214,1644911013177,4,1644911013177,791,79,0,0,37100,0,DKU006#
DEVICE,1644911027246,1644911013209,4,1644911013209,802,80,0,0,37100,0,DKU006#
DEVICE,1644911027278,1644911013241,4,1644911013241,794,79,0,0,37100,0,DKU006#
DEVICE,1644911027310,1644911013273,4,1644911013273,801,80,0,0,37100,0,DKU006#
DEVICE,1644911027342,1644911013305,4,1644911013305,790,79,0,0,37100,0,DKU006#
DEVICE,1644911027374,1644911013337,4,1644911013337,782,78,0,0,37100,0,DKU006#
DEVICE,1644911027405,1644911013368,4,1644911013368,793,79,0,0,37100,0,DKU006#
DEVICE,1644911027437,1644911013400,4,1644911013400,794,79,0,0,37100,0,DKU006#
DEVICE,1644911027470,1644911013433,4,1644911013433,789,78,0,0,37100,0,DKU006#
DEVICE,1644911027501,1644911013464,4,1644911013464,787,78,0,0,37100,0,DKU006#
DEVICE,1644911027533,1644911013496,4,1644911013496,812,81,0,0,37100,0,DKU006#
DEVICE,1644911027565,1644911013528,4,1644911013528,804,80,0,0,37100,0,DKU006#
DEVICE,1644911027597,1644911013560,4,1644911013560,769,76,0,0,37100,0,DKU006#
DEVICE,1644911027630,1644911013593,4,1644911013593,801,80,0,0,37100,0,DKU006#
DEVICE,1644911027662,1644911013625,4,1644911013625,772,77,0,0,37100,0,DKU006#
DEVICE,1644911027693,1644911013656,4,1644911013656,787,78,0,0,37100,0,DKU006#
DEVICE,1644911027725,1644911013688,4,1644911013688,801,80,0,0,37100,0,DKU006#
DEVICE,1644911027757,1644911013720,4,1644911013720,766,76,0,0,37100,0,DKU006#
DEVICE,1644911027789,1644911013752,4,1644911013752,788,78,0,0,37100,0,DKU006#
DEVICE,1644911027821,1644911013784,4,1644911013784,796,79,0,0,37100,0,DKU006#
DEVICE,1644911027853,1644911013816,4,1644911013816,795,79,0,0,37100,0,DKU006#
DEVICE,1644911027885,1644911013848,4,1644911013848,806,80,0,0,37100,0,DKU006#
DEVICE,1644911027917,1644911013880,4,1644911013880,801,80,0,0,37100,0,DKU006#
DEVICE,1644911027949,1644911013912,4,1644911013912,775,77,0,0,37100,0,DKU006#
DEVICE,1644911027981,1644911013944,4,1644911013944,794,79,0,0,37056,0,DKU006#
DEVICE,1644911028013,1644911013976,4,1644911013976,791,79,0,0,37056,0,DKU006#
DEVICE,1644911028045,1644911014008,4,1644911014008,779,77,0,0,37056,0,DKU006#
DEVICE,1644911028077,1644911014040,4,1644911014040,793,79,0,0,37056,0,DKU006#
DEVICE,1644911028109,1644911014072,4,1644911014072,794,79,0,0,37056,0,DKU006#
DEVICE,1644911028141,1644911014104,4,1644911014104,798,79,0,0,37056,0,DKU006#
DEVICE,1644911028173,1644911014136,4,1644911014136,785,78,0,0,37056,0,DKU006#
DEVICE,1644911028205,1644911014168,4,1644911014168,787,78,0,0,37056,0,DKU006#
DEVICE,1644911028237,1644911014200,4,1644911014200,789,78,0,0,37056,0,DKU006#
DEVICE,1644911028269,1644911014232,4,1644911014232,796,79,0,0,37056,0,DKU006#
DEVICE,1644911028301,1644911014264,4,1644911014264,787,78,0,0,37056,0,DKU006#
DEVICE,1644911028333,1644911014296,4,1644911014296,808,80,0,0,37056,0,DKU006#
DEVICE,1644911028365,1644911014328,4,1644911014328,799,79,0,0,37056,0,DKU006#
DEVICE,1644911028397,1644911014360,4,1644911014360,789,78,0,0,37056,0,DKU006#
DEVICE,1644911028429,1644911014392,4,1644911014392,791,79,0,0,37056,0,DKU006#
DEVICE,1644911028461,1644911014424,4,1644911014424,797,79,0,0,37056,0,DKU006#
DEVICE,1644911028493,1644911014456,4,1644911014456,790,79,0,0,37056,0,DKU006#
DEVICE,1644911028525,1644911014488,4,1644911014488,797,79,0,0,37056,0,DKU006#
DEVICE,1644911028556,1644911014519,4,1644911014519,802,80,0,0,37056,0,DKU006#
DEVICE,1644911028588,1644911014551,4,1644911014551,800,80,0,0,37056,0,DKU006#
DEVICE,1644911028620,1644911014583,4,1644911014583,782,78,0,0,37056,0,DKU006#
DEVICE,1644911028652,1644911014615,4,1644911014615,804,80,0,0,37056,0,DKU006#
DEVICE,1644911028684,1644911014647,4,1644911014647,791,79,0,0,37056,0,DKU006#
DEVICE,1644911028716,1644911014679,4,1644911014679,799,79,0,0,37056,0,DKU006#
DEVICE,1644911028748,1644911014711,4,1644911014711,798,79,0,0,37056,0,DKU006#
DEVICE,1644911028780,1644911014743,4,1644911014743,800,80,0,0,37056,0,DKU006#
DEVICE,1644911028813,1644911014776,4,1644911014776,780,78,0,0,37056,0,DKU006#
DEVICE,1644911028845,1644911014808,4,1644911014808,790,79,0,0,37056,0,DKU006#
DEVICE,1644911028876,1644911014839,4,1644911014839,778,77,0,0,37056,0,DKU006#
DEVICE,1644911028908,1644911014871,4,1644911014871,793,79,0,0,37056,0,DKU006#
DEVICE,1644911028940,1644911014903,4,1644911014903,786,78,0,0,37056,0,DKU006#
DEVICE,1644911028972,1644911014935,4,1644911014935,787,78,0,0,37050,0,DKU006#
DEVICE,1644911029004,1644911014967,4,1644911014967,794,79,0,0,37050,0,DKU006#
DEVICE,1644911029036,1644911014999,4,1644911014999,811,81,0,0,37050,0,DKU006#
DEVICE,1644911029068,1644911015031,4,1644911015031,790,79,0,0,37050,0,DKU006#
