Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644911205787,1644911205320,4,1644911205164,-0.061,0.272,0.064,-0.024,0.034,0.000,75
WATCH,1644911205787,1644911205320,4,1644911205174,-0.052,0.351,0.058,-0.015,-0.018,0.051,75
WATCH,1644911205787,1644911205320,4,1644911205184,0.042,0.405,0.078,-0.003,-0.064,0.090,75
WATCH,1644911205789,1644911205322,4,1644911205194,0.183,0.416,0.120,0.001,-0.082,0.098,75
WATCH,1644911205789,1644911205322,4,1644911205204,0.408,0.399,0.178,0.022,-0.058,0.064,75
WATCH,1644911205789,1644911205322,4,1644911205214,0.643,0.390,0.181,0.049,-0.007,-0.008,75
WATCH,1644911205789,1644911205322,4,1644911205224,0.723,0.390,0.121,0.037,0.015,-0.047,75
WATCH,1644911205789,1644911205322,4,1644911205233,0.596,0.350,0.086,0.021,0.013,-0.036,75
WATCH,1644911205790,1644911205323,4,1644911205243,0.354,0.317,0.083,0.012,-0.012,-0.023,75
WATCH,1644911205846,1644911205379,4,1644911205253,0.048,0.268,0.092,0.003,-0.031,-0.013,75
WATCH,1644911205847,1644911205380,4,1644911205263,-0.192,0.210,0.078,0.010,-0.043,-0.010,75
WATCH,1644911205847,1644911205380,4,1644911205273,-0.312,0.169,0.071,0.011,-0.034,-0.017,75
WATCH,1644911205847,1644911205380,4,1644911205283,-0.325,0.140,0.065,0.006,-0.011,-0.021,75
WATCH,1644911205847,1644911205380,4,1644911205293,-0.248,0.110,0.068,0.005,-0.003,-0.032,75
WATCH,1644911205906,1644911205439,4,1644911205303,-0.119,0.089,0.072,0.008,-0.000,-0.030,75
WATCH,1644911205906,1644911205439,4,1644911205313,-0.006,0.066,0.068,0.007,0.001,-0.018,75
WATCH,1644911205907,1644911205440,4,1644911205323,0.027,0.064,0.059,-0.002,-0.006,-0.003,75
WATCH,1644911205907,1644911205440,4,1644911205333,-0.024,0.054,0.054,-0.008,-0.017,0.019,75
WATCH,1644911205907,1644911205440,4,1644911205343,-0.135,0.041,0.058,-0.007,-0.022,0.040,75
WATCH,1644911205967,1644911205500,4,1644911205353,-0.306,0.035,0.044,-0.009,-0.014,0.061,75
WATCH,1644911205967,1644911205500,4,1644911205363,-0.473,0.033,0.002,-0.015,-0.004,0.084,75
WATCH,1644911205967,1644911205500,4,1644911205372,-0.606,0.050,-0.021,-0.024,-0.007,0.084,75
WATCH,1644911205967,1644911205500,4,1644911205382,-0.696,0.062,-0.015,-0.014,-0.006,0.075,75
WATCH,1644911205967,1644911205500,4,1644911205392,-0.740,0.082,-0.031,-0.002,-0.005,0.065,75
WATCH,1644911205968,1644911205501,4,1644911205402,-0.738,0.098,-0.049,0.003,-0.007,0.056,75
WATCH,1644911205968,1644911205501,4,1644911205412,-0.693,0.097,-0.045,0.006,-0.013,0.051,75
WATCH,1644911205968,1644911205501,4,1644911205422,-0.594,0.109,-0.040,0.001,-0.016,0.034,75
WATCH,1644911205968,1644911205501,4,1644911205432,-0.387,0.086,-0.010,-0.007,-0.011,0.020,75
WATCH,1644911205968,1644911205501,4,1644911205442,-0.130,0.061,0.018,0.010,0.001,-0.002,75
WATCH,1644911206058,1644911205591,4,1644911205452,0.028,0.072,-0.006,0.016,0.001,-0.012,75
WATCH,1644911206058,1644911205591,4,1644911205462,-0.124,0.098,-0.028,-0.001,-0.028,0.012,75
WATCH,1644911206058,1644911205591,4,1644911205472,-0.515,0.071,-0.030,-0.008,-0.071,0.046,75
WATCH,1644911206058,1644911205591,4,1644911205482,-0.978,-0.001,-0.001,0.016,-0.086,0.032,75
WATCH,1644911206058,1644911205591,4,1644911205492,-1.288,-0.050,0.020,0.030,-0.060,0.002,75
WATCH,1644911206178,1644911205711,4,1644911205621,-0.183,0.092,-0.027,-0.034,-0.031,0.099,75
WATCH,1644911206178,1644911205711,4,1644911205630,-0.152,0.104,-0.025,-0.018,-0.028,0.075,75
WATCH,1644911206178,1644911205711,4,1644911205640,-0.146,0.102,-0.011,-0.002,-0.022,0.038,75
WATCH,1644911206116,1644911205649,4,1644911205501,-1.377,-0.079,0.033,0.010,-0.024,-0.036,75
WATCH,1644911206116,1644911205649,4,1644911205512,-1.244,-0.110,0.038,-0.013,0.019,-0.058,75
WATCH,1644911206117,1644911205650,4,1644911205521,-0.971,-0.130,0.014,-0.027,0.072,-0.079,75
WATCH,1644911206117,1644911205650,4,1644911205531,-0.612,-0.130,0.019,-0.040,0.106,-0.094,75
WATCH,1644911206117,1644911205650,4,1644911205541,-0.329,-0.119,0.076,-0.019,0.108,-0.140,75
WATCH,1644911206117,1644911205650,4,1644911205551,-0.140,-0.126,0.077,0.005,0.072,-0.165,75
WATCH,1644911206117,1644911205650,4,1644911205561,-0.031,-0.122,0.031,0.019,0.063,-0.149,75
WATCH,1644911206117,1644911205650,4,1644911205571,-0.035,-0.085,0.010,-0.008,0.088,-0.092,75
WATCH,1644911206117,1644911205650,4,1644911205581,-0.102,-0.057,0.035,-0.027,0.070,-0.029,75
WATCH,1644911206117,1644911205650,4,1644911205591,-0.193,-0.024,0.031,-0.025,0.032,0.023,75
WATCH,1644911206178,1644911205711,4,1644911205601,-0.246,0.036,-0.004,-0.029,0.005,0.082,75
WATCH,1644911206236,1644911205769,4,1644911205660,-0.236,0.082,-0.035,0.017,-0.025,0.016,75
WATCH,1644911206236,1644911205769,4,1644911205670,-0.380,0.087,-0.066,0.010,-0.039,0.026,75
WATCH,1644911206236,1644911205769,4,1644911205680,-0.469,0.072,-0.057,0.005,-0.033,0.029,75
WATCH,1644911206236,1644911205769,4,1644911205690,-0.472,0.039,-0.006,0.015,-0.019,0.005,75
WATCH,1644911206297,1644911205830,4,1644911205700,-0.373,0.021,0.027,0.019,0.003,-0.007,75
WATCH,1644911206297,1644911205830,4,1644911205710,-0.190,0.005,0.053,0.013,0.033,-0.020,75
WATCH,1644911206297,1644911205830,4,1644911205720,0.020,0.006,0.103,0.019,0.044,-0.063,75
WATCH,1644911206297,1644911205830,4,1644911205730,0.173,0.014,0.049,0.028,0.045,-0.076,75
WATCH,1644911206297,1644911205830,4,1644911205740,0.207,0.007,0.000,-0.007,0.029,-0.033,75
WATCH,1644911206359,1644911205892,4,1644911205750,0.075,-0.008,0.072,-0.035,-0.000,0.008,75
WATCH,1644911206359,1644911205892,4,1644911205760,-0.132,-0.023,0.081,-0.038,-0.030,0.033,75
WATCH,1644911206359,1644911205892,4,1644911205769,-0.303,-0.047,0.040,-0.017,-0.049,0.027,75
WATCH,1644911206359,1644911205892,4,1644911205779,-0.406,-0.065,0.019,0.010,-0.042,0.007,75
WATCH,1644911206359,1644911205892,4,1644911205789,-0.458,-0.067,-0.010,0.019,-0.024,-0.013,75
WATCH,1644911206416,1644911205949,4,1644911205799,-0.527,-0.058,-0.026,0.009,-0.020,-0.017,75
WATCH,1644911206417,1644911205950,4,1644911205809,-0.618,-0.050,-0.020,0.005,-0.020,-0.004,75
WATCH,1644911206417,1644911205950,4,1644911205819,-0.668,-0.042,-0.035,0.007,-0.019,0.012,75
WATCH,1644911206417,1644911205950,4,1644911205829,-0.595,-0.021,-0.029,0.004,-0.012,0.020,75
WATCH,1644911206417,1644911205950,4,1644911205839,-0.475,0.012,-0.006,0.005,0.010,0.019,75
WATCH,1644911206418,1644911205951,4,1644911205849,-0.297,0.045,0.009,0.005,0.023,0.022,75
WATCH,1644911206418,1644911205951,4,1644911205859,-0.071,0.098,0.012,0.002,0.032,0.010,75
WATCH,1644911206418,1644911205951,4,1644911205869,0.128,0.129,0.039,0.006,0.039,0.002,75
WATCH,1644911206418,1644911205951,4,1644911205879,0.241,0.144,0.037,0.026,0.036,0.003,75
WATCH,1644911206418,1644911205951,4,1644911205888,0.249,0.152,0.033,0.035,0.020,0.009,75
WATCH,1644911206476,1644911206009,4,1644911205898,0.193,0.142,0.048,0.036,0.005,0.013,75
WATCH,1644911206477,1644911206010,4,1644911205908,0.188,0.127,0.067,0.041,-0.002,0.016,75
WATCH,1644911206477,1644911206010,4,1644911205918,0.214,0.129,0.090,0.043,0.005,0.008,75
WATCH,1644911206477,1644911206010,4,1644911205928,0.318,0.125,0.107,0.045,0.031,-0.021,75
WATCH,1644911206477,1644911206010,4,1644911205938,0.492,0.131,0.124,0.059,0.050,-0.046,75
WATCH,1644911206537,1644911206070,4,1644911205948,0.685,0.128,0.127,0.056,0.055,-0.056,75
WATCH,1644911206537,1644911206070,4,1644911205958,0.816,0.140,0.142,0.049,0.041,-0.055,75
WATCH,1644911206537,1644911206070,4,1644911205968,0.879,0.145,0.197,0.043,0.017,-0.022,75
WATCH,1644911206537,1644911206070,4,1644911205978,0.873,0.144,0.261,0.058,0.004,-0.002,75
WATCH,1644911206537,1644911206070,4,1644911205988,0.816,0.141,0.282,0.072,0.002,0.008,75
WATCH,1644911206599,1644911206132,4,1644911205998,0.752,0.145,0.302,0.080,-0.003,-0.000,75
WATCH,1644911206599,1644911206132,4,1644911206008,0.744,0.136,0.373,0.092,-0.005,-0.017,75
WATCH,1644911206601,1644911206134,4,1644911206018,0.793,0.131,0.467,0.121,-0.003,-0.056,75
WATCH,1644911206601,1644911206134,4,1644911206027,0.909,0.118,0.531,0.149,0.005,-0.074,75
WATCH,1644911206601,1644911206134,4,1644911206037,1.047,0.113,0.566,0.168,0.022,-0.101,75
WATCH,1644911206685,1644911206218,4,1644911206048,1.203,0.110,0.641,0.176,0.032,-0.121,75
WATCH,1644911206687,1644911206220,4,1644911206057,1.364,0.110,0.761,0.184,0.032,-0.140,75
WATCH,1644911206687,1644911206220,4,1644911206067,1.533,0.120,0.866,0.191,0.034,-0.145,75
WATCH,1644911206687,1644911206220,4,1644911206077,1.679,0.139,0.979,0.192,0.041,-0.144,75
WATCH,1644911206687,1644911206220,4,1644911206087,1.780,0.171,1.114,0.204,0.054,-0.142,75
WATCH,1644911206688,1644911206221,4,1644911206097,1.797,0.234,1.238,0.222,0.059,-0.134,75
WATCH,1644911206688,1644911206221,4,1644911206107,1.739,0.292,1.354,0.241,0.059,-0.107,75
WATCH,1644911206688,1644911206221,4,1644911206117,1.664,0.351,1.478,0.260,0.047,-0.086,75
WATCH,1644911206688,1644911206221,4,1644911206127,1.545,0.393,1.573,0.255,0.035,-0.057,75
