Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644991473250,1644991472314,4,1644991472182,0.135,-0.095,-0.265,-0.011,0.008,-0.047,96
WATCH,1644991473250,1644991472314,4,1644991472192,0.165,-0.097,-0.274,-0.024,0.007,-0.043,96
WATCH,1644991473250,1644991472314,4,1644991472202,0.202,-0.098,-0.267,-0.031,0.004,-0.039,96
WATCH,1644991473251,1644991472315,4,1644991472212,0.240,-0.097,-0.255,-0.036,-0.001,-0.035,96
WATCH,1644991473311,1644991472375,4,1644991472222,0.267,-0.097,-0.231,-0.043,-0.006,-0.029,96
WATCH,1644991473311,1644991472375,4,1644991472232,0.291,-0.097,-0.195,-0.045,-0.011,-0.024,96
WATCH,1644991473311,1644991472375,4,1644991472241,0.305,-0.097,-0.152,-0.045,-0.013,-0.022,96
WATCH,1644991473311,1644991472375,4,1644991472251,0.316,-0.101,-0.107,-0.050,-0.018,-0.017,96
WATCH,1644991473311,1644991472375,4,1644991472261,0.303,-0.104,-0.056,-0.049,-0.016,-0.020,96
WATCH,1644991473311,1644991472375,4,1644991472271,0.321,-0.116,-0.003,-0.044,-0.014,-0.014,96
WATCH,1644991473312,1644991472376,4,1644991472281,0.336,-0.124,0.050,-0.043,-0.012,-0.019,96
WATCH,1644991473312,1644991472376,4,1644991472291,0.344,-0.136,0.093,-0.041,-0.009,-0.009,96
WATCH,1644991473312,1644991472376,4,1644991472301,0.341,-0.151,0.130,-0.037,-0.006,-0.005,96
WATCH,1644991473312,1644991472376,4,1644991472311,0.336,-0.156,0.160,-0.033,-0.001,0.003,96
WATCH,1644991473463,1644991472527,4,1644991472321,0.325,-0.164,0.182,-0.034,-0.000,0.009,96
WATCH,1644991473464,1644991472528,4,1644991472331,0.313,-0.170,0.193,-0.037,0.003,0.017,96
WATCH,1644991473464,1644991472528,4,1644991472341,0.299,-0.179,0.196,-0.038,0.009,0.024,96
WATCH,1644991473464,1644991472528,4,1644991472351,0.287,-0.183,0.193,-0.038,0.018,0.029,96
WATCH,1644991473465,1644991472529,4,1644991472361,0.275,-0.185,0.177,-0.038,0.021,0.037,96
WATCH,1644991473465,1644991472529,4,1644991472371,0.261,-0.182,0.157,-0.040,0.027,0.044,96
WATCH,1644991473465,1644991472529,4,1644991472381,0.243,-0.179,0.132,-0.041,0.031,0.050,96
WATCH,1644991473465,1644991472529,4,1644991472390,0.221,-0.169,0.102,-0.036,0.031,0.061,96
WATCH,1644991473465,1644991472529,4,1644991472400,0.195,-0.158,0.066,-0.031,0.035,0.067,96
WATCH,1644991473465,1644991472529,4,1644991472411,0.172,-0.145,0.030,-0.031,0.035,0.075,96
WATCH,1644991473545,1644991472609,4,1644991472420,0.143,-0.124,-0.013,-0.030,0.036,0.080,96
WATCH,1644991473545,1644991472609,4,1644991472430,0.118,-0.102,-0.059,-0.027,0.036,0.084,96
WATCH,1644991473546,1644991472610,4,1644991472440,0.093,-0.082,-0.097,-0.024,0.037,0.088,96
WATCH,1644991473546,1644991472610,4,1644991472450,0.069,-0.055,-0.135,-0.022,0.032,0.091,96
WATCH,1644991473546,1644991472610,4,1644991472460,0.048,-0.029,-0.164,-0.019,0.031,0.097,96
WATCH,1644991473546,1644991472610,4,1644991472470,0.034,-0.006,-0.192,-0.017,0.026,0.097,96
WATCH,1644991473546,1644991472610,4,1644991472480,0.028,0.018,-0.216,-0.014,0.028,0.096,96
WATCH,1644991473546,1644991472610,4,1644991472490,0.022,0.041,-0.232,-0.010,0.024,0.092,96
WATCH,1644991473546,1644991472610,4,1644991472499,0.019,0.060,-0.241,-0.007,0.021,0.087,96
WATCH,1644991473546,1644991472610,4,1644991472509,0.013,0.079,-0.252,-0.006,0.016,0.081,96
WATCH,1644991473607,1644991472671,4,1644991472519,0.010,0.099,-0.254,-0.007,0.011,0.078,96
WATCH,1644991473607,1644991472671,4,1644991472529,0.003,0.117,-0.261,-0.008,0.007,0.073,96
WATCH,1644991473608,1644991472672,4,1644991472539,-0.011,0.129,-0.261,-0.009,0.002,0.067,96
WATCH,1644991473608,1644991472672,4,1644991472549,-0.040,0.138,-0.262,-0.006,-0.009,0.057,96
WATCH,1644991473608,1644991472672,4,1644991472559,-0.063,0.141,-0.256,-0.002,-0.024,0.040,96
WATCH,1644991473609,1644991472673,4,1644991472569,-0.091,0.148,-0.252,-0.003,-0.033,0.034,96
WATCH,1644991473609,1644991472673,4,1644991472579,-0.130,0.143,-0.247,0.001,-0.039,0.023,96
WATCH,1644991473609,1644991472673,4,1644991472589,-0.174,0.135,-0.228,0.003,-0.054,0.008,96
WATCH,1644991473609,1644991472673,4,1644991472599,-0.200,0.126,-0.215,0.013,-0.062,-0.002,96
WATCH,1644991473609,1644991472673,4,1644991472609,-0.224,0.121,-0.203,0.007,-0.069,-0.016,96
WATCH,1644991473670,1644991472734,4,1644991472619,-0.237,0.110,-0.183,0.012,-0.078,-0.031,96
WATCH,1644991473670,1644991472734,4,1644991472629,-0.260,0.095,-0.160,0.018,-0.079,-0.037,96
WATCH,1644991473671,1644991472735,4,1644991472639,-0.259,0.081,-0.140,0.016,-0.089,-0.048,96
WATCH,1644991473671,1644991472735,4,1644991472648,-0.258,0.070,-0.112,0.013,-0.085,-0.052,96
WATCH,1644991473671,1644991472735,4,1644991472658,-0.256,0.059,-0.080,0.017,-0.091,-0.055,96
WATCH,1644991473728,1644991472792,4,1644991472668,-0.277,0.067,-0.054,0.021,-0.085,-0.057,96
WATCH,1644991473728,1644991472792,4,1644991472678,-0.224,0.035,-0.012,0.015,-0.084,-0.058,96
WATCH,1644991473728,1644991472792,4,1644991472688,-0.184,0.017,0.016,0.022,-0.067,-0.072,96
WATCH,1644991473728,1644991472792,4,1644991472698,-0.137,-0.000,0.044,0.013,-0.064,-0.063,96
WATCH,1644991473728,1644991472792,4,1644991472708,-0.116,-0.010,0.067,0.002,-0.049,-0.051,96
WATCH,1644991473821,1644991472885,4,1644991472718,-0.085,-0.022,0.101,0.003,-0.049,-0.043,96
WATCH,1644991473821,1644991472885,4,1644991472728,-0.068,-0.026,0.113,-0.005,-0.042,-0.031,96
WATCH,1644991473822,1644991472886,4,1644991472738,-0.053,-0.029,0.144,0.003,-0.033,-0.027,96
WATCH,1644991473822,1644991472886,4,1644991472748,-0.059,-0.040,0.169,-0.001,-0.028,-0.018,96
WATCH,1644991473822,1644991472886,4,1644991472757,-0.059,-0.040,0.182,-0.002,-0.020,-0.018,96
WATCH,1644991473881,1644991472945,4,1644991472767,-0.070,-0.046,0.192,-0.012,-0.015,-0.012,96
WATCH,1644991473882,1644991472946,4,1644991472777,-0.098,-0.052,0.202,-0.018,-0.008,-0.008,96
WATCH,1644991473882,1644991472946,4,1644991472787,-0.110,-0.055,0.201,-0.020,-0.004,0.002,96
WATCH,1644991473882,1644991472946,4,1644991472797,-0.124,-0.057,0.206,-0.029,0.003,0.006,96
WATCH,1644991473882,1644991472946,4,1644991472807,-0.145,-0.059,0.194,-0.028,0.007,0.014,96
WATCH,1644991473882,1644991472946,4,1644991472817,-0.163,-0.063,0.183,-0.027,0.013,0.015,96
WATCH,1644991473883,1644991472947,4,1644991472827,-0.186,-0.063,0.169,-0.028,0.018,0.019,96
WATCH,1644991473883,1644991472947,4,1644991472837,-0.204,-0.059,0.154,-0.023,0.023,0.021,96
WATCH,1644991473883,1644991472947,4,1644991472847,-0.225,-0.059,0.130,-0.020,0.027,0.023,96
WATCH,1644991473883,1644991472947,4,1644991472857,-0.247,-0.052,0.108,-0.019,0.026,0.024,96
WATCH,1644991473940,1644991473004,4,1644991472867,-0.274,-0.044,0.083,-0.014,0.031,0.026,96
WATCH,1644991473940,1644991473004,4,1644991472877,-0.294,-0.038,0.065,-0.011,0.028,0.026,96
WATCH,1644991473941,1644991473005,4,1644991472887,-0.293,-0.026,0.046,-0.002,0.035,0.027,96
WATCH,1644991473941,1644991473005,4,1644991472896,-0.288,-0.013,0.025,0.007,0.039,0.027,96
WATCH,1644991473941,1644991473005,4,1644991472906,-0.274,0.002,0.008,0.016,0.044,0.020,96
WATCH,1644991474033,1644991473097,4,1644991472916,-0.257,0.013,-0.003,0.023,0.046,0.013,96
WATCH,1644991474033,1644991473097,4,1644991472926,-0.238,0.023,-0.024,0.026,0.046,0.007,96
WATCH,1644991474033,1644991473097,4,1644991472936,-0.223,0.028,-0.037,0.024,0.046,-0.000,96
WATCH,1644991474033,1644991473097,4,1644991472946,-0.211,0.038,-0.052,0.022,0.040,-0.001,96
WATCH,1644991474033,1644991473097,4,1644991472956,-0.196,0.043,-0.070,0.017,0.036,-0.005,96
WATCH,1644991474033,1644991473097,4,1644991472966,-0.179,0.051,-0.082,0.015,0.033,-0.009,96
WATCH,1644991474033,1644991473097,4,1644991472976,-0.162,0.051,-0.089,0.010,0.026,-0.015,96
WATCH,1644991474034,1644991473098,4,1644991472986,-0.148,0.049,-0.099,0.012,0.026,-0.020,96
