Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644991974551,1644991973617,4,1644991973521,-0.050,-0.043,0.008,0.000,-0.008,0.001,70
WATCH,1644991974551,1644991973617,4,1644991973531,-0.052,-0.036,0.005,-0.002,0.000,-0.004,70
WATCH,1644991974551,1644991973617,4,1644991973540,-0.052,-0.031,0.007,-0.004,0.004,-0.004,70
WATCH,1644991974551,1644991973617,4,1644991973551,-0.053,-0.024,0.016,-0.003,0.008,-0.006,70
WATCH,1644991974641,1644991973707,4,1644991973560,-0.056,-0.021,0.020,-0.001,-0.000,-0.003,70
WATCH,1644991974641,1644991973707,4,1644991973570,-0.062,-0.023,0.015,0.001,0.000,-0.001,70
WATCH,1644991974641,1644991973707,4,1644991973580,-0.070,-0.023,0.017,0.003,-0.002,-0.000,70
WATCH,1644991974641,1644991973707,4,1644991973590,-0.065,-0.028,0.018,0.003,0.002,0.002,70
WATCH,1644991974641,1644991973707,4,1644991973600,-0.049,-0.044,0.017,0.004,0.002,-0.002,70
WATCH,1644991974700,1644991973766,4,1644991973610,-0.039,-0.050,0.016,0.003,0.001,-0.001,70
WATCH,1644991974700,1644991973766,4,1644991973620,-0.030,-0.057,0.011,-0.002,0.002,0.008,70
WATCH,1644991974700,1644991973766,4,1644991973630,-0.011,-0.053,0.009,-0.009,-0.002,0.009,70
WATCH,1644991974700,1644991973766,4,1644991973640,0.005,-0.046,0.002,-0.013,-0.007,-0.004,70
WATCH,1644991974701,1644991973767,4,1644991973650,0.016,-0.038,-0.008,-0.008,-0.009,-0.010,70
WATCH,1644991974701,1644991973767,4,1644991973660,0.033,-0.028,-0.012,-0.005,-0.007,-0.009,70
WATCH,1644991974701,1644991973767,4,1644991973670,0.040,-0.022,-0.011,-0.003,-0.003,-0.005,70
WATCH,1644991974701,1644991973767,4,1644991973680,0.036,-0.029,-0.007,-0.000,-0.002,0.000,70
WATCH,1644991974701,1644991973767,4,1644991973689,0.025,-0.033,-0.006,0.003,0.003,0.002,70
WATCH,1644991974701,1644991973767,4,1644991973699,0.011,-0.030,-0.005,0.001,0.001,0.009,70
WATCH,1644991974760,1644991973826,4,1644991973709,-0.005,-0.028,-0.010,-0.001,-0.002,0.010,70
WATCH,1644991974760,1644991973826,4,1644991973719,-0.012,-0.021,-0.009,0.000,-0.000,-0.003,70
WATCH,1644991974760,1644991973826,4,1644991973729,0.011,0.004,-0.006,-0.003,0.007,-0.016,70
WATCH,1644991974760,1644991973826,4,1644991973739,0.034,0.031,-0.006,-0.007,0.007,-0.016,70
WATCH,1644991974761,1644991973827,4,1644991973749,0.049,0.047,-0.007,-0.006,0.000,-0.015,70
WATCH,1644991974820,1644991973886,4,1644991973759,0.055,0.064,-0.004,-0.006,-0.002,-0.012,70
WATCH,1644991974820,1644991973886,4,1644991973769,0.052,0.082,-0.004,-0.007,0.002,-0.008,70
WATCH,1644991974820,1644991973886,4,1644991973779,0.048,0.089,-0.002,-0.003,-0.000,-0.004,70
WATCH,1644991974820,1644991973886,4,1644991973789,0.039,0.094,-0.004,0.002,0.002,-0.004,70
WATCH,1644991974820,1644991973886,4,1644991973799,0.036,0.097,-0.002,-0.000,0.004,-0.005,70
WATCH,1644991974879,1644991973945,4,1644991973808,0.032,0.108,0.003,-0.001,0.000,-0.002,70
WATCH,1644991974879,1644991973945,4,1644991973818,0.032,0.112,-0.002,0.000,0.001,0.005,70
WATCH,1644991974879,1644991973945,4,1644991973828,0.031,0.112,0.001,-0.002,-0.002,0.009,70
