Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1645081012580,1645081012116,4,1645081011995,0.608,0.008,-0.052,0.046,-0.013,-0.002,128
WATCH,1645081012580,1645081012116,4,1645081012005,0.391,-0.057,-0.058,0.055,-0.065,0.006,128
WATCH,1645081012580,1645081012116,4,1645081012015,0.238,-0.083,-0.011,0.049,-0.043,0.062,128
WATCH,1645081012581,1645081012117,4,1645081012025,0.276,-0.132,0.026,0.057,-0.000,0.062,128
WATCH,1645081012639,1645081012175,4,1645081012035,0.276,-0.145,0.015,0.042,0.051,0.056,128
WATCH,1645081012639,1645081012175,4,1645081012045,0.276,-0.164,-0.002,0.022,0.019,0.066,128
WATCH,1645081012639,1645081012175,4,1645081012055,0.364,-0.186,-0.009,0.033,0.021,0.051,128
WATCH,1645081012639,1645081012175,4,1645081012065,0.484,-0.161,-0.011,0.019,0.103,0.074,128
WATCH,1645081012639,1645081012175,4,1645081012075,0.493,-0.162,-0.022,-0.026,0.082,0.105,128
WATCH,1645081012639,1645081012175,4,1645081012085,0.326,-0.158,-0.066,-0.044,-0.017,0.117,128
WATCH,1645081012639,1645081012175,4,1645081012095,0.210,-0.148,-0.099,-0.047,0.001,0.103,128
WATCH,1645081012639,1645081012175,4,1645081012104,0.213,-0.216,-0.116,-0.037,0.044,-0.028,128
WATCH,1645081012640,1645081012176,4,1645081012115,0.242,-0.308,-0.104,-0.019,0.062,-0.072,128
WATCH,1645081012640,1645081012176,4,1645081012124,0.275,-0.339,-0.107,0.008,0.086,-0.022,128
WATCH,1645081012701,1645081012237,4,1645081012134,0.312,-0.393,-0.091,0.008,0.056,-0.048,128
WATCH,1645081012701,1645081012237,4,1645081012144,0.279,-0.403,-0.080,0.011,0.011,-0.026,128
WATCH,1645081012702,1645081012238,4,1645081012154,0.143,-0.352,-0.095,-0.008,0.012,0.049,128
WATCH,1645081012702,1645081012238,4,1645081012164,-0.049,-0.293,-0.122,-0.026,-0.011,0.099,128
WATCH,1645081012702,1645081012238,4,1645081012174,-0.071,-0.244,-0.134,-0.015,-0.020,0.105,128
WATCH,1645081012792,1645081012328,4,1645081012184,0.021,-0.154,-0.067,0.007,-0.035,0.055,128
WATCH,1645081012793,1645081012329,4,1645081012194,0.042,-0.066,-0.021,0.041,-0.059,-0.002,128
WATCH,1645081012793,1645081012329,4,1645081012204,-0.043,0.043,-0.032,0.068,-0.068,0.036,128
WATCH,1645081012793,1645081012329,4,1645081012214,-0.161,0.130,-0.012,0.092,-0.073,0.060,128
WATCH,1645081012793,1645081012329,4,1645081012224,-0.214,0.180,-0.034,0.090,-0.074,-0.016,128
WATCH,1645081012851,1645081012387,4,1645081012234,-0.215,0.129,-0.109,0.041,-0.078,-0.072,128
WATCH,1645081012851,1645081012387,4,1645081012244,-0.313,0.123,-0.107,-0.025,-0.062,-0.061,128
