Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1645423940983,1645423940547,4,1645423940374,-0.061,0.039,0.009,0.050,0.010,0.018,115
WATCH,1645423940983,1645423940547,4,1645423940384,-0.046,0.041,0.005,0.022,-0.046,-0.003,115
WATCH,1645423940983,1645423940547,4,1645423940394,-0.044,0.027,0.041,-0.003,-0.054,-0.010,115
WATCH,1645423940983,1645423940547,4,1645423940404,-0.026,0.027,0.087,0.004,-0.021,0.013,115
WATCH,1645423940984,1645423940548,4,1645423940414,-0.028,0.044,0.064,0.022,-0.003,0.025,115
WATCH,1645423940984,1645423940548,4,1645423940424,-0.031,0.042,0.060,0.028,0.029,0.059,115
WATCH,1645423940984,1645423940548,4,1645423940434,-0.016,0.014,0.001,0.011,0.049,-0.064,115
WATCH,1645423940984,1645423940548,4,1645423940443,0.083,0.074,0.034,-0.048,0.040,-0.098,115
WATCH,1645423940984,1645423940548,4,1645423940454,0.161,0.008,0.058,-0.004,0.005,-0.041,115
WATCH,1645423941041,1645423940605,4,1645423940463,0.084,-0.032,-0.032,-0.008,0.040,-0.117,115
WATCH,1645423941041,1645423940605,4,1645423940473,0.113,-0.005,-0.006,-0.042,0.032,-0.074,115
WATCH,1645423941041,1645423940605,4,1645423940483,0.078,0.015,0.023,-0.018,-0.015,-0.010,115
WATCH,1645423941041,1645423940605,4,1645423940493,0.081,0.092,0.015,-0.018,-0.043,0.016,115
WATCH,1645423941041,1645423940605,4,1645423940503,0.101,0.128,0.008,-0.024,-0.050,-0.013,115
WATCH,1645423941103,1645423940667,4,1645423940513,0.127,0.151,0.010,-0.001,-0.013,-0.029,115
WATCH,1645423941104,1645423940668,4,1645423940523,0.157,0.184,0.012,-0.010,-0.003,-0.015,115
WATCH,1645423941104,1645423940668,4,1645423940533,0.177,0.226,0.029,-0.025,-0.002,-0.013,115
WATCH,1645423941105,1645423940669,4,1645423940543,0.227,0.291,0.031,-0.022,-0.003,-0.000,115
WATCH,1645423941105,1645423940669,4,1645423940553,0.285,0.291,0.079,0.012,-0.023,0.129,115
