Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1645594857789,1645594856370,4,1645594856235,0.135,-0.023,-0.013,-0.005,-0.079,-0.088,105
WATCH,1645594857789,1645594856370,4,1645594856245,0.007,-0.044,0.014,0.039,-0.022,-0.070,105
WATCH,1645594857789,1645594856370,4,1645594856255,-0.138,-0.142,-0.023,0.024,-0.057,-0.005,105
WATCH,1645594857789,1645594856370,4,1645594856265,-0.335,-0.135,-0.091,0.020,-0.030,0.097,105
WATCH,1645594857934,1645594856515,4,1645594856275,-0.387,-0.129,-0.075,-0.003,-0.099,0.178,105
WATCH,1645594857935,1645594856516,4,1645594856285,-0.572,-0.162,-0.178,-0.010,-0.058,0.164,105
WATCH,1645594857935,1645594856516,4,1645594856295,-0.933,-0.096,-0.295,-0.056,-0.032,0.066,105
WATCH,1645594857935,1645594856516,4,1645594856305,-1.000,-0.014,-0.294,-0.079,-0.039,-0.040,105
WATCH,1645594857935,1645594856516,4,1645594856314,-0.669,-0.277,0.110,0.010,0.096,-0.271,105
WATCH,1645594858028,1645594856609,4,1645594856324,-0.404,-0.377,-0.078,0.108,0.213,-0.137,105
WATCH,1645594858028,1645594856609,4,1645594856334,-0.562,-0.340,-0.095,0.048,-0.017,0.085,105
WATCH,1645594858028,1645594856609,4,1645594856344,-0.806,-0.150,-0.024,0.086,0.022,0.174,105
WATCH,1645594858028,1645594856609,4,1645594856354,-0.790,-0.131,0.069,0.026,0.035,0.029,105
WATCH,1645594858028,1645594856609,4,1645594856364,-0.765,-0.158,0.065,0.115,0.089,-0.084,105
WATCH,1645594858034,1645594856615,4,1645594856374,-0.862,-0.128,0.040,0.131,0.082,-0.087,105
WATCH,1645594858034,1645594856615,4,1645594856384,-1.025,-0.094,0.023,0.098,0.013,-0.058,105
WATCH,1645594858034,1645594856615,4,1645594856394,-1.194,-0.053,0.019,0.022,-0.057,-0.083,105
