Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1645685153233,1645685152776,4,1645685152532,-0.048,-0.123,-0.014,-0.042,-0.047,0.054,84
WATCH,1645685153233,1645685152776,4,1645685152542,-0.044,-0.129,0.026,-0.064,-0.006,0.044,84
WATCH,1645685153234,1645685152777,4,1645685152552,-0.028,-0.114,0.060,-0.057,0.033,0.023,84
WATCH,1645685153234,1645685152777,4,1645685152562,-0.006,-0.109,0.068,-0.026,0.049,0.010,84
WATCH,1645685153234,1645685152777,4,1645685152572,0.008,-0.127,0.067,0.008,0.032,0.000,84
WATCH,1645685153234,1645685152777,4,1645685152581,-0.003,-0.141,0.058,0.021,0.004,-0.002,84
WATCH,1645685153234,1645685152777,4,1645685152591,-0.034,-0.160,0.054,0.027,-0.018,-0.008,84
WATCH,1645685153234,1645685152777,4,1645685152601,-0.070,-0.165,0.055,0.026,-0.017,-0.008,84
WATCH,1645685153234,1645685152777,4,1645685152611,-0.076,-0.162,0.065,0.022,0.000,-0.012,84
WATCH,1645685153288,1645685152831,4,1645685152621,-0.056,-0.157,0.069,0.022,0.011,-0.021,84
WATCH,1645685153288,1645685152831,4,1645685152631,-0.015,-0.142,0.057,0.015,0.012,-0.026,84
WATCH,1645685153288,1645685152831,4,1645685152641,-0.000,-0.126,0.045,0.004,0.010,-0.020,84
WATCH,1645685153289,1645685152832,4,1645685152651,-0.019,-0.112,0.035,-0.009,0.006,-0.010,84
WATCH,1645685153289,1645685152832,4,1645685152661,-0.031,-0.098,0.035,-0.015,-0.002,-0.006,84
WATCH,1645685153343,1645685152886,4,1645685152671,-0.040,-0.076,0.044,-0.014,-0.014,-0.003,84
WATCH,1645685153344,1645685152887,4,1645685152681,-0.047,-0.058,0.044,-0.003,-0.022,-0.010,84
WATCH,1645685153344,1645685152887,4,1645685152691,-0.051,-0.050,0.032,0.001,-0.023,-0.019,84
WATCH,1645685153344,1645685152887,4,1645685152701,-0.032,-0.049,0.020,-0.001,-0.012,-0.035,84
WATCH,1645685153344,1645685152887,4,1645685152710,-0.001,-0.033,0.011,-0.003,0.004,-0.037,84
WATCH,1645685153344,1645685152887,4,1645685152720,0.028,-0.010,0.004,-0.002,0.015,-0.032,84
WATCH,1645685153344,1645685152887,4,1645685152730,0.047,0.018,-0.005,-0.001,0.012,-0.017,84
WATCH,1645685153344,1645685152887,4,1645685152740,0.040,0.027,0.001,0.001,0.001,-0.012,84
WATCH,1645685153344,1645685152887,4,1645685152750,0.023,0.028,0.000,0.008,-0.010,-0.012,84
WATCH,1645685153344,1645685152887,4,1645685152760,0.013,0.044,0.001,0.001,-0.012,-0.004,84
WATCH,1645685153344,1645685152887,4,1645685152770,0.004,0.056,-0.001,-0.007,-0.011,-0.002,84
WATCH,1645685153344,1645685152887,4,1645685152780,-0.005,0.061,-0.003,-0.006,-0.005,-0.005,84
WATCH,1645685153345,1645685152888,4,1645685152790,0.005,0.061,-0.007,0.001,-0.000,-0.008,84
WATCH,1645685153345,1645685152888,4,1645685152800,0.024,0.066,-0.008,0.000,-0.002,-0.005,84
WATCH,1645685153598,1645685153141,4,1645685152820,0.022,0.065,-0.004,0.001,-0.001,0.001,84
WATCH,1645685153600,1645685153143,4,1645685152830,0.020,0.059,-0.004,0.007,0.005,-0.000,84
WATCH,1645685153600,1645685153143,4,1645685152839,0.027,0.065,-0.002,0.004,0.007,0.007,84
WATCH,1645685153600,1645685153143,4,1645685152849,0.023,0.063,-0.003,0.003,-0.004,0.006,84
WATCH,1645685153600,1645685153143,4,1645685152859,0.002,0.043,-0.006,0.005,-0.006,0.002,84
WATCH,1645685153600,1645685153143,4,1645685152869,0.001,0.046,-0.006,-0.002,-0.006,0.008,84
WATCH,1645685153600,1645685153143,4,1645685152879,-0.001,0.045,-0.007,-0.005,-0.009,0.014,84
WATCH,1645685153600,1645685153143,4,1645685152889,-0.001,0.045,-0.006,-0.008,-0.008,0.015,84
WATCH,1645685153601,1645685153144,4,1645685152899,0.009,0.043,-0.005,-0.010,-0.010,0.013,84
WATCH,1645685153601,1645685153144,4,1645685152909,0.005,0.034,0.003,-0.007,-0.006,0.007,84
WATCH,1645685153790,1645685153333,4,1645685152919,0.008,0.026,0.002,0.006,0.002,-0.000,84
WATCH,1645685153855,1645685153398,4,1645685153057,0.037,-0.024,0.027,0.025,0.010,-0.013,84
WATCH,1645685153790,1645685153333,4,1645685152929,0.011,0.018,-0.011,0.013,0.008,-0.004,84
WATCH,1645685153790,1645685153333,4,1645685152939,-0.001,0.015,-0.025,0.014,0.015,-0.007,84
WATCH,1645685153790,1645685153333,4,1645685152949,-0.012,0.013,-0.043,0.006,0.016,-0.012,84
WATCH,1645685153790,1645685153333,4,1645685152958,-0.028,0.005,-0.043,-0.003,0.014,-0.015,84
WATCH,1645685153853,1645685153396,4,1645685152968,-0.041,-0.020,-0.040,-0.003,0.009,-0.013,84
WATCH,1645685153854,1645685153397,4,1645685152978,-0.036,-0.044,-0.028,-0.004,-0.002,-0.014,84
WATCH,1645685153854,1645685153397,4,1645685152989,-0.036,-0.038,-0.017,-0.005,0.000,0.002,84
WATCH,1645685153854,1645685153397,4,1645685152998,-0.011,-0.038,-0.010,-0.008,0.002,0.017,84
