Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1645685791653,1645685791193,4,1645685790048,-0.058,0.001,0.034,0.015,-0.004,0.012,0
WATCH,1645685791653,1645685791193,4,1645685790058,-0.057,-0.006,0.033,0.012,-0.006,0.004,0
WATCH,1645685791654,1645685791194,4,1645685790068,-0.048,-0.009,0.026,0.011,0.004,-0.003,0
WATCH,1645685791654,1645685791194,4,1645685790078,-0.024,-0.013,0.021,0.011,0.001,-0.003,0
WATCH,1645685791680,1645685791220,4,1645685790088,-0.013,-0.014,0.015,0.012,0.005,-0.001,0
WATCH,1645685791681,1645685791221,4,1645685790101,-0.016,-0.017,0.015,0.007,0.011,0.001,0
WATCH,1645685791681,1645685791221,4,1645685790107,-0.051,-0.013,0.008,0.009,0.008,0.006,0
WATCH,1645685791681,1645685791221,4,1645685790117,-0.084,-0.010,0.002,0.015,0.006,0.012,0
WATCH,1645685791681,1645685791221,4,1645685790127,-0.103,-0.012,0.011,0.016,0.011,0.015,0
WATCH,1645685791745,1645685791285,4,1645685790137,-0.113,-0.027,0.025,0.021,0.016,0.006,0
WATCH,1645685791745,1645685791285,4,1645685790147,-0.101,-0.038,0.028,0.035,0.007,0.033,0
WATCH,1645685791745,1645685791285,4,1645685790157,-0.056,-0.044,0.037,0.025,0.027,0.031,0
WATCH,1645685791745,1645685791285,4,1645685790167,0.016,-0.040,0.024,0.009,0.027,0.026,0
WATCH,1645685791745,1645685791285,4,1645685790177,0.030,-0.025,0.023,0.008,0.036,0.011,0
WATCH,1645685791776,1645685791316,4,1645685790187,-0.067,-0.010,0.056,-0.001,0.017,0.003,0
WATCH,1645685791777,1645685791317,4,1645685790197,-0.188,0.003,0.075,0.011,0.010,0.015,0
WATCH,1645685791777,1645685791317,4,1645685790207,-0.232,0.008,0.056,0.033,0.004,0.013,0
WATCH,1645685791777,1645685791317,4,1645685790217,-0.215,0.007,0.060,0.029,0.022,0.002,0
WATCH,1645685791777,1645685791317,4,1645685790227,-0.160,-0.001,0.078,0.018,0.041,-0.020,0
WATCH,1645685791864,1645685791404,4,1645685790237,-0.108,-0.002,0.085,0.013,0.033,-0.038,0
WATCH,1645685791865,1645685791405,4,1645685790247,-0.076,-0.006,0.090,0.019,0.012,-0.034,0
