Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1646374557863,1646374556587,4,1646374556155,0.036,0.002,-0.032,-0.002,0.006,-0.011,78
WATCH,1646374557863,1646374556587,4,1646374556165,0.040,0.000,-0.035,-0.002,0.008,-0.014,78
WATCH,1646374557863,1646374556587,4,1646374556175,0.024,0.004,-0.033,-0.002,-0.008,-0.005,78
WATCH,1646374557864,1646374556588,4,1646374556185,-0.004,0.006,-0.019,-0.002,-0.001,-0.001,78
WATCH,1646374557884,1646374556608,4,1646374556195,-0.005,0.000,-0.018,-0.003,0.009,-0.001,78
WATCH,1646374557884,1646374556608,4,1646374556204,-0.003,-0.004,-0.008,-0.000,0.007,-0.002,78
WATCH,1646374557884,1646374556608,4,1646374556214,-0.004,-0.005,-0.007,-0.001,0.010,-0.005,78
WATCH,1646374557884,1646374556608,4,1646374556224,-0.020,0.001,-0.007,-0.004,-0.000,-0.003,78
WATCH,1646374557884,1646374556608,4,1646374556234,-0.043,0.007,-0.011,-0.003,-0.010,-0.000,78
WATCH,1646374557917,1646374556641,4,1646374556245,-0.031,0.013,-0.011,0.000,-0.005,-0.001,78
WATCH,1646374557918,1646374556642,4,1646374556254,-0.017,0.013,-0.018,0.000,-0.000,-0.004,78
WATCH,1646374557918,1646374556642,4,1646374556264,0.003,0.014,-0.011,0.001,-0.000,-0.006,78
WATCH,1646374557918,1646374556642,4,1646374556274,0.041,0.016,-0.015,0.000,0.001,-0.008,78
WATCH,1646374557918,1646374556642,4,1646374556284,0.077,0.011,-0.018,-0.000,0.002,-0.012,78
WATCH,1646374558012,1646374556736,4,1646374556294,0.078,0.009,-0.015,0.001,-0.001,-0.012,78
WATCH,1646374558012,1646374556736,4,1646374556304,0.049,0.016,-0.009,-0.002,-0.001,-0.009,78
WATCH,1646374558012,1646374556736,4,1646374556314,0.017,0.016,-0.002,-0.001,-0.002,-0.005,78
