DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1646375291963,1646375273970,4,1646375273970,735,73,0,0,59475,0,DKU001#
DEVICE,1646375291995,1646375274002,4,1646375274002,733,73,0,0,59475,0,DKU001#
DEVICE,1646375292027,1646375274034,4,1646375274034,737,73,0,0,59475,0,DKU001#
DEVICE,1646375292059,1646375274066,4,1646375274066,736,73,0,0,59475,0,DKU001#
DEVICE,1646375292091,1646375274098,4,1646375274098,737,73,0,0,59475,0,DKU001#
DEVICE,1646375292123,1646375274130,4,1646375274130,753,75,0,0,59475,0,DKU001#
DEVICE,1646375292155,1646375274162,4,1646375274162,735,73,0,0,59475,0,DKU001#
DEVICE,1646375292187,1646375274194,4,1646375274194,748,74,0,0,59475,0,DKU001#
DEVICE,1646375292219,1646375274226,4,1646375274226,742,74,0,0,59475,0,DKU001#
DEVICE,1646375292251,1646375274258,4,1646375274258,733,73,0,0,59475,0,DKU001#
DEVICE,1646375292283,1646375274290,4,1646375274290,743,74,0,0,59475,0,DKU001#
DEVICE,1646375292315,1646375274322,4,1646375274322,747,74,0,0,59475,0,DKU001#
DEVICE,1646375292347,1646375274354,4,1646375274354,745,74,0,0,59475,0,DKU001#
DEVICE,1646375292380,1646375274387,4,1646375274387,741,74,0,0,59475,0,DKU001#
DEVICE,1646375292411,1646375274418,4,1646375274418,745,74,0,0,59475,0,DKU001#
DEVICE,1646375292443,1646375274450,4,1646375274450,735,73,0,0,59475,0,DKU001#
DEVICE,1646375292475,1646375274482,4,1646375274482,733,73,0,0,59475,0,DKU001#
DEVICE,1646375292507,1646375274514,4,1646375274514,730,73,0,0,59475,0,DKU001#
DEVICE,1646375292539,1646375274546,4,1646375274546,747,74,0,0,59475,0,DKU001#
DEVICE,1646375292571,1646375274578,4,1646375274578,736,73,0,0,59475,0,DKU001#
DEVICE,1646375292587,1646375274594,4,1646375274594,728,72,0,0,59475,0,DKU001#
DEVICE,1646375292635,1646375274642,4,1646375274642,735,73,0,0,59475,0,DKU001#
DEVICE,1646375292652,1646375274659,4,1646375274659,743,74,0,0,59475,0,DKU001#
DEVICE,1646375292683,1646375274690,4,1646375274690,734,73,0,0,59475,0,DKU001#
DEVICE,1646375292731,1646375274738,4,1646375274738,745,74,0,0,59475,0,DKU001#
DEVICE,1646375292748,1646375274755,4,1646375274755,730,73,0,0,59475,0,DKU001#
DEVICE,1646375292779,1646375274786,4,1646375274786,736,73,0,0,59475,0,DKU001#
DEVICE,1646375292811,1646375274818,4,1646375274818,744,74,0,0,59475,0,DKU001#
DEVICE,1646375292843,1646375274850,4,1646375274850,737,73,0,0,59475,0,DKU001#
DEVICE,1646375292875,1646375274882,4,1646375274882,740,74,0,0,59475,0,DKU001#
DEVICE,1646375292923,1646375274930,4,1646375274930,741,74,0,0,59437,0,DKU001#
DEVICE,1646375292939,1646375274946,4,1646375274946,747,74,0,0,59437,0,DKU001#
DEVICE,1646375292972,1646375274979,4,1646375274979,738,73,0,0,59437,0,DKU001#
DEVICE,1646375293003,1646375275010,4,1646375275010,736,73,0,0,59437,0,DKU001#
DEVICE,1646375293035,1646375275042,4,1646375275042,743,74,0,0,59437,0,DKU001#
DEVICE,1646375293067,1646375275074,4,1646375275074,747,74,0,0,59437,0,DKU001#
DEVICE,1646375293099,1646375275106,4,1646375275106,740,74,0,0,59437,0,DKU001#
DEVICE,1646375293131,1646375275138,4,1646375275138,739,73,0,0,59437,0,DKU001#
DEVICE,1646375293163,1646375275170,4,1646375275170,724,72,0,0,59437,0,DKU001#
DEVICE,1646375293195,1646375275202,4,1646375275202,748,74,0,0,59437,0,DKU001#
DEVICE,1646375293227,1646375275234,4,1646375275234,742,74,0,0,59437,0,DKU001#
DEVICE,1646375293259,1646375275266,4,1646375275266,730,73,0,0,59437,0,DKU001#
DEVICE,1646375293291,1646375275298,4,1646375275298,730,73,0,0,59437,0,DKU001#
DEVICE,1646375293323,1646375275330,4,1646375275330,755,75,0,0,59437,0,DKU001#
DEVICE,1646375293355,1646375275362,4,1646375275362,738,73,0,0,59437,0,DKU001#
DEVICE,1646375293387,1646375275394,4,1646375275394,750,75,0,0,59437,0,DKU001#
DEVICE,1646375293419,1646375275426,4,1646375275426,747,74,0,0,59437,0,DKU001#
DEVICE,1646375293451,1646375275458,4,1646375275458,741,74,0,0,59437,0,DKU001#
DEVICE,1646375293483,1646375275490,4,1646375275490,754,75,0,0,59437,0,DKU001#
DEVICE,1646375293515,1646375275522,4,1646375275522,749,74,0,0,59437,0,DKU001#
DEVICE,1646375293547,1646375275554,4,1646375275554,757,75,0,0,59437,0,DKU001#
DEVICE,1646375293579,1646375275586,4,1646375275586,744,74,0,0,59437,0,DKU001#
DEVICE,1646375293611,1646375275618,4,1646375275618,740,74,0,0,59437,0,DKU001#
DEVICE,1646375293643,1646375275650,4,1646375275650,734,73,0,0,59437,0,DKU001#
DEVICE,1646375293675,1646375275682,4,1646375275682,743,74,0,0,59437,0,DKU001#
DEVICE,1646375293707,1646375275714,4,1646375275714,735,73,0,0,59437,0,DKU001#
DEVICE,1646375293739,1646375275746,4,1646375275746,744,74,0,0,59437,0,DKU001#
DEVICE,1646375293771,1646375275778,4,1646375275778,744,74,0,0,59437,0,DKU001#
DEVICE,1646375293803,1646375275810,4,1646375275810,753,75,0,0,59437,0,DKU001#
DEVICE,1646375293835,1646375275842,4,1646375275842,748,74,0,0,59437,0,DKU001#
DEVICE,1646375293867,1646375275874,4,1646375275874,738,73,0,0,59437,0,DKU001#
DEVICE,1646375293899,1646375275906,4,1646375275906,751,75,0,0,59437,0,DKU001#
DEVICE,1646375293947,1646375275954,4,1646375275954,754,75,0,0,59487,0,DKU001#
DEVICE,1646375293963,1646375275970,4,1646375275970,743,74,0,0,59487,0,DKU001#
