DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1643265305917,1643265304623,4,1643265304623,48,4,10,0,0,0,ELT003#
DEVICE,1643265305950,1643265304656,4,1643265304656,48,4,10,0,0,0,ELT003#
DEVICE,1643265305981,1643265304687,4,1643265304687,47,4,10,0,0,0,ELT003#
DEVICE,1643265306013,1643265304719,4,1643265304719,46,4,10,0,0,0,ELT003#
DEVICE,1643265306045,1643265304751,4,1643265304751,47,4,10,0,0,0,ELT003#
DEVICE,1643265306077,1643265304783,4,1643265304783,46,4,10,0,0,0,ELT003#
DEVICE,1643265306109,1643265304815,4,1643265304815,49,4,10,0,0,0,ELT003#
DEVICE,1643265306141,1643265304847,4,1643265304847,46,4,10,0,0,0,ELT003#
DEVICE,1643265306173,1643265304879,4,1643265304879,45,4,10,0,0,0,ELT003#
DEVICE,1643265306205,1643265304911,4,1643265304911,47,4,10,0,0,0,ELT003#
DEVICE,1643265306237,1643265304943,4,1643265304943,46,4,10,0,0,0,ELT003#
DEVICE,1643265306253,1643265304959,4,1643265304959,46,4,10,0,0,0,ELT003#
DEVICE,1643265306285,1643265304991,4,1643265304991,47,4,10,0,0,0,ELT003#
DEVICE,1643265306317,1643265305023,4,1643265305023,46,4,10,0,0,0,ELT003#
DEVICE,1643265306349,1643265305055,4,1643265305055,45,4,10,0,0,0,ELT003#
DEVICE,1643265306381,1643265305087,4,1643265305087,48,4,10,0,0,0,ELT003#
DEVICE,1643265306413,1643265305119,4,1643265305119,47,4,10,0,0,0,ELT003#
DEVICE,1643265306445,1643265305151,4,1643265305151,48,4,10,0,0,0,ELT003#
DEVICE,1643265306477,1643265305183,4,1643265305183,47,4,10,0,0,0,ELT003#
DEVICE,1643265306509,1643265305215,4,1643265305215,46,4,10,0,0,0,ELT003#
DEVICE,1643265306541,1643265305247,4,1643265305247,46,4,10,0,0,0,ELT003#
DEVICE,1643265306573,1643265305279,4,1643265305279,48,4,10,0,0,0,ELT003#
DEVICE,1643265306605,1643265305311,4,1643265305311,47,4,10,0,0,0,ELT003#
DEVICE,1643265306637,1643265305343,4,1643265305343,45,4,10,0,0,0,ELT003#
DEVICE,1643265306669,1643265305375,4,1643265305375,46,4,10,0,0,0,ELT003#
DEVICE,1643265306701,1643265305407,4,1643265305407,44,4,10,0,0,0,ELT003#
DEVICE,1643265306732,1643265305438,4,1643265305438,45,4,10,0,0,0,ELT003#
DEVICE,1643265306765,1643265305471,4,1643265305471,47,4,10,0,0,0,ELT003#
DEVICE,1643265306796,1643265305502,4,1643265305502,46,4,10,0,0,0,ELT003#
DEVICE,1643265306829,1643265305535,4,1643265305535,46,4,10,0,0,0,ELT003#
DEVICE,1643265306860,1643265305566,4,1643265305566,48,4,10,0,0,0,ELT003#
DEVICE,1643265306893,1643265305599,4,1643265305599,46,4,10,0,0,0,ELT003#
DEVICE,1643265306925,1643265305631,4,1643265305631,46,4,10,0,0,0,ELT003#
DEVICE,1643265306957,1643265305663,4,1643265305663,48,4,10,0,0,0,ELT003#
DEVICE,1643265306989,1643265305695,4,1643265305695,46,4,10,0,0,0,ELT003#
DEVICE,1643265307021,1643265305727,4,1643265305727,48,4,10,0,0,0,ELT003#
DEVICE,1643265307053,1643265305759,4,1643265305759,47,4,10,0,0,0,ELT003#
DEVICE,1643265307085,1643265305791,4,1643265305791,46,4,10,0,0,0,ELT003#
DEVICE,1643265307117,1643265305823,4,1643265305823,47,4,10,0,0,0,ELT003#
DEVICE,1643265307149,1643265305855,4,1643265305855,48,4,10,0,0,0,ELT003#
DEVICE,1643265307180,1643265305886,4,1643265305886,46,4,10,0,0,0,ELT003#
DEVICE,1643265307213,1643265305919,4,1643265305919,49,4,10,0,0,0,ELT003#
DEVICE,1643265307245,1643265305951,4,1643265305951,47,4,10,0,0,0,ELT003#
DEVICE,1643265307277,1643265305983,4,1643265305983,44,4,10,0,0,0,ELT003#
DEVICE,1643265307308,1643265306014,4,1643265306014,48,4,10,0,0,0,ELT003#
DEVICE,1643265307341,1643265306047,4,1643265306047,44,4,10,0,0,0,ELT003#
DEVICE,1643265307373,1643265306079,4,1643265306079,45,4,10,0,0,0,ELT003#
DEVICE,1643265307405,1643265306111,4,1643265306111,46,4,10,0,0,0,ELT003#
DEVICE,1643265307436,1643265306142,4,1643265306142,46,4,10,0,0,0,ELT003#
DEVICE,1643265307468,1643265306174,4,1643265306174,47,4,10,0,0,0,ELT003#
DEVICE,1643265307500,1643265306206,4,1643265306206,47,4,10,0,0,0,ELT003#
DEVICE,1643265307532,1643265306238,4,1643265306238,47,4,10,0,0,0,ELT003#
DEVICE,1643265307565,1643265306271,4,1643265306271,46,4,10,0,0,0,ELT003#
DEVICE,1643265307597,1643265306303,4,1643265306303,48,4,10,0,0,0,ELT003#
DEVICE,1643265307629,1643265306335,4,1643265306335,45,4,10,0,0,0,ELT003#
DEVICE,1643265307661,1643265306367,4,1643265306367,46,4,10,0,0,0,ELT003#
DEVICE,1643265307692,1643265306398,4,1643265306398,45,4,10,0,0,0,ELT003#
DEVICE,1643265307724,1643265306430,4,1643265306430,48,4,10,0,0,0,ELT003#
DEVICE,1643265307756,1643265306462,4,1643265306462,45,4,10,0,0,0,ELT003#
DEVICE,1643265307788,1643265306494,4,1643265306494,45,4,10,0,0,0,ELT003#
DEVICE,1643265307820,1643265306526,4,1643265306526,44,4,10,0,0,0,ELT003#
DEVICE,1643265307852,1643265306558,4,1643265306558,48,4,10,0,0,0,ELT003#
DEVICE,1643265307884,1643265306590,4,1643265306590,49,4,10,0,0,0,ELT003#
DEVICE,1643265307916,1643265306622,4,1643265306622,46,4,10,0,0,0,ELT003#
DEVICE,1643265307932,1643265306638,4,1643265306638,49,4,10,0,0,0,ELT003#
DEVICE,1643265307965,1643265306671,4,1643265306671,47,4,10,0,0,0,ELT003#
DEVICE,1643265307996,1643265306702,4,1643265306702,45,4,10,0,0,0,ELT003#
DEVICE,1643265308028,1643265306734,4,1643265306734,48,4,10,0,0,0,ELT003#
DEVICE,1643265308060,1643265306766,4,1643265306766,48,4,10,0,0,0,ELT003#
DEVICE,1643265308092,1643265306798,4,1643265306798,49,4,10,0,0,0,ELT003#
DEVICE,1643265308124,1643265306830,4,1643265306830,45,4,10,0,0,0,ELT003#
