Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,HeartRate
WATCH,1642672919923,1642672920285,4,1642672920221,0.002,0.004,0.004,0.004,0.003,-0.004,68
WATCH,1642672919923,1642672920285,4,1642672920231,0.003,0.002,0.001,0.004,0.004,-0.001,68
WATCH,1642672919923,1642672920285,4,1642672920241,0.002,-0.006,-0.000,0.004,0.004,0.002,68
WATCH,1642672919923,1642672920285,4,1642672920252,0.000,0.000,-0.001,0.002,0.005,-0.007,68
WATCH,1642672919990,1642672920352,4,1642672920261,-0.001,-0.000,-0.001,0.002,0.003,-0.001,68
WATCH,1642672919990,1642672920352,4,1642672920271,0.001,0.004,0.001,0.003,0.002,-0.002,68
WATCH,1642672919990,1642672920352,4,1642672920281,0.001,0.002,0.001,0.003,0.004,-0.002,68
WATCH,1642672919990,1642672920352,4,1642672920291,0.004,0.000,0.005,0.003,0.004,-0.003,68
WATCH,1642672919990,1642672920352,4,1642672920301,0.005,0.010,0.008,0.004,0.004,-0.002,68
WATCH,1642672920037,1642672920399,4,1642672920311,0.008,-0.002,0.009,0.006,0.005,-0.002,68
WATCH,1642672920038,1642672920400,4,1642672920321,0.002,-0.002,0.012,0.005,0.004,-0.003,68
WATCH,1642672920038,1642672920400,4,1642672920331,0.000,-0.013,0.005,0.005,0.004,-0.001,68
WATCH,1642672920038,1642672920400,4,1642672920341,-0.054,-0.029,0.001,-0.004,0.004,0.024,68
WATCH,1642672920038,1642672920400,4,1642672920351,-0.024,-0.110,0.016,0.018,-0.005,0.006,68
WATCH,1642672920152,1642672920514,4,1642672920361,-0.014,-0.081,0.012,0.004,0.003,0.001,68
WATCH,1642672920152,1642672920514,4,1642672920371,-0.008,0.015,0.003,-0.007,0.007,-0.019,68
WATCH,1642672920153,1642672920515,4,1642672920381,-0.000,0.022,-0.000,-0.002,0.006,-0.020,68
WATCH,1642672920153,1642672920515,4,1642672920391,-0.000,-0.002,-0.001,0.005,0.003,0.004,68
WATCH,1642672920153,1642672920515,4,1642672920401,0.003,-0.018,-0.001,0.004,0.004,-0.003,68
WATCH,1642672920173,1642672920535,4,1642672920410,-0.002,-0.004,-0.003,0.001,0.005,-0.002,68
WATCH,1642672920174,1642672920536,4,1642672920421,-0.003,-0.000,0.002,0.003,0.004,-0.004,68
WATCH,1642672920174,1642672920536,4,1642672920430,-0.002,0.004,0.001,0.004,0.002,-0.003,68
WATCH,1642672920174,1642672920536,4,1642672920441,-0.004,-0.000,-0.002,0.003,0.003,-0.002,68
WATCH,1642672920174,1642672920536,4,1642672920450,-0.002,0.001,0.002,0.004,0.003,-0.001,68
WATCH,1642672920174,1642672920536,4,1642672920461,-0.002,0.004,0.002,0.004,0.005,-0.002,68
WATCH,1642672920174,1642672920536,4,1642672920470,-0.002,-0.002,-0.002,0.003,0.003,-0.002,68
WATCH,1642672920174,1642672920536,4,1642672920480,0.001,0.002,0.004,0.002,0.004,-0.001,68
WATCH,1642672920174,1642672920536,4,1642672920490,-0.000,-0.002,0.003,0.003,0.004,-0.003,68
WATCH,1642672920236,1642672920598,4,1642672920520,-0.001,0.003,-0.002,0.003,0.004,-0.003,68
WATCH,1642672920236,1642672920598,4,1642672920530,0.001,-0.004,-0.000,0.003,0.004,-0.002,68
WATCH,1642672920236,1642672920598,4,1642672920540,-0.002,-0.000,-0.000,0.003,0.003,-0.002,68
WATCH,1642672920236,1642672920598,4,1642672920550,-0.001,0.002,-0.001,0.003,0.003,-0.002,68
WATCH,1642672920280,1642672920642,4,1642672920560,-0.000,-0.001,0.006,0.004,0.004,-0.001,68
WATCH,1642672920280,1642672920642,4,1642672920570,0.001,0.002,0.001,0.003,0.004,-0.002,68
WATCH,1642672920280,1642672920642,4,1642672920579,-0.000,-0.000,0.001,0.003,0.003,-0.001,68
WATCH,1642672920280,1642672920642,4,1642672920589,-0.002,-0.003,0.002,0.004,0.002,-0.001,68
WATCH,1642672920280,1642672920642,4,1642672920599,0.004,-0.006,0.001,0.002,0.004,-0.003,68
WATCH,1642672920339,1642672920701,4,1642672920609,-0.001,0.002,0.004,0.003,0.003,-0.002,68
WATCH,1642672920339,1642672920701,4,1642672920620,-0.001,-0.000,0.001,0.004,0.004,-0.002,68
WATCH,1642672920339,1642672920701,4,1642672920629,0.000,-0.003,0.001,0.002,0.002,-0.001,68
WATCH,1642672920339,1642672920701,4,1642672920639,-0.003,0.000,0.000,0.003,0.003,-0.001,68
WATCH,1642672920339,1642672920701,4,1642672920649,-0.002,-0.002,-0.003,0.004,0.004,-0.003,68
WATCH,1642672920397,1642672920759,4,1642672920659,-0.002,-0.001,0.000,0.003,0.005,-0.002,68
WATCH,1642672920397,1642672920759,4,1642672920669,0.003,0.000,-0.001,0.003,0.003,-0.001,68
WATCH,1642672920397,1642672920759,4,1642672920679,-0.002,0.002,0.001,0.003,0.004,-0.001,68
