Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,HeartRate
WATCH,1642673654964,1642673655328,4,1642673655212,-0.004,0.001,0.001,-0.003,-0.003,-0.005,0
WATCH,1642673654964,1642673655328,4,1642673655222,0.004,-0.001,0.001,-0.003,-0.002,-0.001,0
WATCH,1642673654964,1642673655328,4,1642673655233,0.003,-0.000,-0.001,-0.002,-0.003,-0.004,0
WATCH,1642673654964,1642673655328,4,1642673655242,-0.000,-0.000,0.001,-0.002,-0.002,-0.003,0
WATCH,1642673654969,1642673655333,4,1642673655252,0.001,0.003,0.002,-0.003,-0.002,-0.001,0
WATCH,1642673654969,1642673655333,4,1642673655262,0.001,0.002,-0.000,-0.004,-0.003,-0.003,0
WATCH,1642673654969,1642673655333,4,1642673655272,0.001,0.001,0.002,-0.003,-0.001,-0.004,0
WATCH,1642673654969,1642673655333,4,1642673655283,-0.001,0.003,0.002,-0.003,-0.002,-0.000,0
WATCH,1642673654970,1642673655334,4,1642673655292,0.001,0.001,-0.001,-0.003,-0.003,-0.002,0
WATCH,1642673655018,1642673655382,4,1642673655302,0.000,0.004,-0.000,-0.002,-0.002,-0.002,0
WATCH,1642673655018,1642673655382,4,1642673655312,0.001,-0.001,0.002,-0.002,-0.000,-0.002,0
WATCH,1642673655018,1642673655382,4,1642673655323,-0.000,-0.005,-0.000,-0.003,-0.001,-0.001,0
WATCH,1642673655018,1642673655382,4,1642673655332,0.003,-0.003,-0.003,-0.001,-0.002,-0.004,0
WATCH,1642673655018,1642673655382,4,1642673655342,-0.003,-0.001,-0.001,-0.003,-0.002,-0.003,0
WATCH,1642673655068,1642673655432,4,1642673655352,-0.000,-0.002,-0.001,-0.002,-0.001,-0.004,0
WATCH,1642673655069,1642673655433,4,1642673655362,0.002,0.002,0.002,-0.002,-0.002,-0.002,0
WATCH,1642673655069,1642673655433,4,1642673655372,0.001,0.001,-0.001,-0.003,-0.001,-0.004,0
WATCH,1642673655069,1642673655433,4,1642673655382,0.001,-0.001,0.001,-0.001,-0.000,-0.001,0
WATCH,1642673655069,1642673655433,4,1642673655391,0.002,-0.002,-0.001,-0.004,-0.002,-0.003,0
WATCH,1642673655132,1642673655496,4,1642673655401,0.000,0.001,-0.002,-0.003,-0.002,-0.001,0
WATCH,1642673655132,1642673655496,4,1642673655411,-0.000,0.000,0.001,-0.003,-0.003,-0.003,0
WATCH,1642673655132,1642673655496,4,1642673655421,0.000,-0.003,0.000,-0.003,-0.003,-0.003,0
WATCH,1642673655132,1642673655496,4,1642673655431,0.003,-0.003,0.000,-0.002,-0.003,-0.003,0
WATCH,1642673655132,1642673655496,4,1642673655441,-0.001,0.005,-0.001,-0.004,-0.001,-0.003,0
WATCH,1642673655179,1642673655543,4,1642673655451,-0.004,0.001,0.005,-0.001,-0.001,-0.002,0
WATCH,1642673655179,1642673655543,4,1642673655461,0.001,0.002,0.000,-0.004,-0.004,-0.002,0
WATCH,1642673655179,1642673655543,4,1642673655471,-0.002,0.003,0.001,-0.003,-0.002,-0.001,0
WATCH,1642673655180,1642673655544,4,1642673655481,-0.002,0.000,0.001,-0.002,-0.000,-0.002,0
WATCH,1642673655180,1642673655544,4,1642673655491,0.001,0.002,0.002,-0.001,-0.002,-0.003,0
WATCH,1642673655222,1642673655586,4,1642673655501,-0.002,-0.001,-0.002,-0.003,-0.003,-0.003,0
WATCH,1642673655223,1642673655587,4,1642673655511,-0.002,0.000,0.001,-0.001,-0.003,-0.002,0
WATCH,1642673655223,1642673655587,4,1642673655523,0.002,-0.003,-0.001,-0.003,-0.001,-0.001,0
WATCH,1642673655223,1642673655587,4,1642673655531,-0.000,-0.001,-0.001,-0.004,-0.002,-0.001,0
WATCH,1642673655223,1642673655587,4,1642673655541,-0.005,0.000,0.001,-0.002,-0.002,-0.003,0
WATCH,1642673655266,1642673655630,4,1642673655551,-0.003,-0.002,0.001,-0.003,-0.002,-0.002,0
WATCH,1642673655266,1642673655630,4,1642673655561,-0.004,-0.002,0.000,-0.003,-0.001,-0.004,0
WATCH,1642673655266,1642673655630,4,1642673655571,-0.000,0.003,-0.004,-0.003,-0.003,-0.001,0
WATCH,1642673655266,1642673655630,4,1642673655580,-0.002,0.000,-0.000,-0.004,-0.003,-0.003,0
WATCH,1642673655266,1642673655630,4,1642673655591,-0.004,-0.004,0.000,-0.003,-0.001,-0.001,0
WATCH,1642673655321,1642673655685,4,1642673655600,0.001,0.001,0.000,-0.003,-0.002,-0.002,0
WATCH,1642673655321,1642673655685,4,1642673655610,-0.006,0.000,-0.003,-0.003,-0.001,-0.002,0
WATCH,1642673655322,1642673655686,4,1642673655620,0.001,-0.003,-0.003,-0.002,-0.002,-0.002,0
WATCH,1642673655322,1642673655686,4,1642673655630,0.001,-0.002,-0.003,-0.002,-0.002,-0.002,0
WATCH,1642673655322,1642673655686,4,1642673655640,-0.000,-0.003,-0.001,-0.003,-0.002,-0.002,0
WATCH,1642673655369,1642673655733,4,1642673655651,-0.002,-0.003,-0.002,-0.002,-0.001,-0.002,0
WATCH,1642673655369,1642673655733,4,1642673655660,0.001,-0.002,-0.001,-0.002,-0.002,-0.003,0
WATCH,1642673655369,1642673655733,4,1642673655670,-0.001,0.001,0.003,-0.003,-0.002,-0.001,0
WATCH,1642673655369,1642673655733,4,1642673655680,-0.001,0.001,-0.002,-0.002,-0.002,-0.003,0
WATCH,1642673655369,1642673655733,4,1642673655690,0.003,-0.002,-0.006,-0.001,-0.002,-0.003,0
WATCH,1642673655411,1642673655775,4,1642673655701,0.000,-0.002,-0.002,-0.002,-0.003,-0.002,0
WATCH,1642673655412,1642673655776,4,1642673655710,0.004,-0.000,0.003,-0.003,-0.002,-0.002,0
WATCH,1642673655412,1642673655776,4,1642673655720,-0.000,0.000,-0.001,-0.002,-0.002,-0.002,0
WATCH,1642673655412,1642673655776,4,1642673655730,0.003,-0.000,-0.003,-0.003,-0.002,-0.001,0
WATCH,1642673655412,1642673655776,4,1642673655740,-0.001,0.002,-0.001,-0.004,-0.003,-0.002,0
WATCH,1642673655456,1642673655820,4,1642673655750,-0.001,0.003,0.001,-0.002,-0.001,-0.001,0
WATCH,1642673655456,1642673655820,4,1642673655760,-0.001,0.003,-0.001,-0.004,-0.003,-0.003,0
WATCH,1642673655456,1642673655820,4,1642673655770,0.002,-0.006,-0.002,-0.002,-0.002,-0.002,0
WATCH,1642673655456,1642673655820,4,1642673655779,0.002,-0.004,0.001,-0.002,-0.002,-0.002,0
WATCH,1642673655457,1642673655821,4,1642673655790,-0.003,-0.003,-0.005,-0.003,0.000,-0.002,0
WATCH,1642673655531,1642673655895,4,1642673655799,-0.002,0.005,0.002,-0.003,-0.002,-0.003,0
WATCH,1642673655531,1642673655895,4,1642673655809,0.003,-0.001,-0.004,-0.003,-0.002,-0.002,0
WATCH,1642673655532,1642673655896,4,1642673655820,-0.000,-0.000,-0.000,-0.000,-0.002,-0.002,0
WATCH,1642673655532,1642673655896,4,1642673655829,-0.003,0.005,-0.001,-0.002,-0.002,-0.002,0
WATCH,1642673655532,1642673655896,4,1642673655839,0.000,-0.000,-0.002,-0.002,-0.003,-0.003,0
WATCH,1642673655574,1642673655938,4,1642673655849,0.002,0.000,-0.001,-0.004,-0.003,-0.003,0
WATCH,1642673655575,1642673655939,4,1642673655859,-0.001,0.004,-0.001,-0.001,-0.001,-0.003,0
WATCH,1642673655575,1642673655939,4,1642673655869,0.002,0.002,-0.001,-0.002,-0.002,-0.003,0
WATCH,1642673655575,1642673655939,4,1642673655879,0.002,-0.005,0.002,-0.002,-0.002,-0.001,0
WATCH,1642673655575,1642673655939,4,1642673655889,-0.001,0.004,0.002,-0.002,-0.001,-0.002,0
WATCH,1642673655615,1642673655979,4,1642673655899,-0.001,0.002,-0.001,-0.004,-0.002,0.000,0
WATCH,1642673655615,1642673655979,4,1642673655909,0.001,-0.001,0.001,-0.002,-0.003,-0.001,0
WATCH,1642673655615,1642673655979,4,1642673655919,0.003,-0.003,0.002,-0.004,-0.001,-0.003,0
WATCH,1642673655615,1642673655979,4,1642673655929,0.001,0.002,-0.001,-0.001,-0.003,-0.003,0
WATCH,1642673655615,1642673655979,4,1642673655939,-0.000,0.002,-0.000,-0.004,-0.002,-0.003,0
WATCH,1642673655664,1642673656028,4,1642673655949,-0.004,-0.001,0.002,-0.002,-0.002,-0.004,0
WATCH,1642673655664,1642673656028,4,1642673655959,-0.000,-0.002,-0.000,-0.004,-0.002,-0.001,0
WATCH,1642673655664,1642673656028,4,1642673655968,-0.001,-0.005,-0.001,-0.003,-0.002,-0.001,0
WATCH,1642673655665,1642673656029,4,1642673655978,0.000,0.004,-0.000,-0.003,-0.003,-0.002,0
WATCH,1642673655665,1642673656029,4,1642673655988,-0.001,-0.003,0.002,-0.004,-0.002,-0.002,0
WATCH,1642673655738,1642673656102,4,1642673655998,0.001,-0.003,-0.000,-0.001,-0.001,-0.002,0
WATCH,1642673655739,1642673656103,4,1642673656008,0.003,0.001,0.002,-0.003,-0.001,-0.001,0
WATCH,1642673655739,1642673656103,4,1642673656018,0.002,0.002,0.000,-0.003,-0.003,-0.004,0
WATCH,1642673655739,1642673656103,4,1642673656028,-0.001,0.006,-0.001,-0.002,-0.002,-0.003,0
WATCH,1642673655739,1642673656103,4,1642673656038,0.001,-0.003,-0.000,-0.002,-0.002,-0.002,0
WATCH,1642673655752,1642673656116,4,1642673656048,0.002,0.001,0.001,-0.002,-0.003,-0.002,0
WATCH,1642673655753,1642673656117,4,1642673656058,0.002,0.003,0.000,-0.003,-0.001,-0.001,0
WATCH,1642673655753,1642673656117,4,1642673656068,-0.000,-0.004,-0.001,-0.002,-0.002,-0.002,0
WATCH,1642673655753,1642673656117,4,1642673656078,-0.000,0.000,0.001,-0.003,-0.002,-0.003,0
WATCH,1642673655753,1642673656117,4,1642673656088,-0.001,0.000,0.003,-0.002,-0.002,-0.002,0
WATCH,1642673655822,1642673656186,4,1642673656098,-0.001,-0.001,0.001,-0.002,-0.001,-0.004,0
WATCH,1642673655822,1642673656186,4,1642673656108,-0.001,0.002,0.001,-0.003,-0.002,-0.003,0
WATCH,1642673655822,1642673656186,4,1642673656117,0.002,-0.005,-0.002,-0.003,-0.003,-0.001,0
WATCH,1642673655822,1642673656186,4,1642673656128,-0.000,-0.002,0.001,-0.002,-0.001,-0.002,0
WATCH,1642673655822,1642673656186,4,1642673656138,0.000,-0.000,-0.003,-0.003,-0.002,-0.001,0
WATCH,1642673655874,1642673656238,4,1642673656147,0.001,0.002,0.001,-0.002,-0.004,-0.002,0
