Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1642676123470,1642676123840,4,1642676123712,-0.048,-0.038,-0.080,0.024,0.007,-0.005,0
WATCH,1642676123470,1642676123840,4,1642676123722,-0.050,-0.040,-0.088,0.021,0.014,0.023,0
WATCH,1642676123470,1642676123840,4,1642676123732,-0.033,-0.044,-0.088,0.016,0.018,0.034,0
WATCH,1642676123470,1642676123840,4,1642676123742,-0.014,-0.037,-0.089,0.002,0.019,0.035,0
WATCH,1642676123553,1642676123923,4,1642676123752,-0.015,-0.023,-0.079,-0.004,0.016,0.033,0
WATCH,1642676123554,1642676123924,4,1642676123762,-0.020,-0.008,-0.073,-0.001,0.009,0.021,0
WATCH,1642676123554,1642676123924,4,1642676123771,-0.027,-0.013,-0.084,0.002,0.001,0.012,0
WATCH,1642676123554,1642676123924,4,1642676123781,-0.027,-0.017,-0.089,0.004,-0.004,0.003,0
WATCH,1642676123554,1642676123924,4,1642676123792,-0.056,-0.017,-0.111,0.003,-0.015,0.012,0
WATCH,1642676123684,1642676124054,4,1642676123801,-0.103,-0.017,-0.122,0.003,-0.010,0.021,0
WATCH,1642676123684,1642676124054,4,1642676123811,-0.122,-0.032,-0.120,-0.004,0.002,0.020,0
WATCH,1642676123684,1642676124054,4,1642676123822,-0.148,-0.030,-0.131,-0.012,-0.010,0.017,0
WATCH,1642676123684,1642676124054,4,1642676123831,-0.158,-0.048,-0.132,-0.012,-0.015,0.012,0
WATCH,1642676123684,1642676124054,4,1642676123841,-0.124,-0.056,-0.118,-0.013,0.003,0.007,0
WATCH,1642676123684,1642676124054,4,1642676123851,-0.065,-0.087,-0.117,-0.017,0.005,0.014,0
WATCH,1642676123684,1642676124054,4,1642676123861,-0.004,-0.110,-0.109,-0.015,0.012,0.001,0
WATCH,1642676123684,1642676124054,4,1642676123871,0.043,-0.129,-0.093,-0.019,0.022,-0.013,0
WATCH,1642676123684,1642676124054,4,1642676123881,0.070,-0.133,-0.082,-0.018,0.016,-0.025,0
WATCH,1642676123685,1642676124055,4,1642676123891,0.045,-0.129,-0.070,-0.015,0.008,-0.024,0
WATCH,1642676123734,1642676124104,4,1642676123901,0.026,-0.122,-0.063,-0.012,0.001,-0.022,0
WATCH,1642676123734,1642676124104,4,1642676123911,0.007,-0.116,-0.063,-0.014,0.002,-0.015,0
WATCH,1642676123734,1642676124104,4,1642676123921,-0.004,-0.106,-0.058,-0.022,-0.001,-0.010,0
WATCH,1642676123734,1642676124104,4,1642676123931,-0.018,-0.096,-0.060,-0.028,-0.001,-0.004,0
WATCH,1642676123734,1642676124104,4,1642676123941,-0.055,-0.087,-0.077,-0.028,-0.015,-0.000,0
WATCH,1642676123821,1642676124191,4,1642676123951,-0.151,-0.070,-0.092,-0.032,-0.031,0.011,0
WATCH,1642676123823,1642676124193,4,1642676123961,-0.279,-0.043,-0.112,-0.038,-0.046,0.021,0
WATCH,1642676123824,1642676124194,4,1642676123971,-0.417,-0.023,-0.159,-0.039,-0.056,0.033,0
WATCH,1642676123824,1642676124194,4,1642676123981,-0.576,0.002,-0.198,-0.045,-0.073,0.051,0
WATCH,1642676123824,1642676124194,4,1642676123991,-0.814,0.044,-0.252,-0.055,-0.089,0.072,0
WATCH,1642676123825,1642676124195,4,1642676124000,-1.131,0.102,-0.297,-0.078,-0.120,0.094,0
WATCH,1642676123825,1642676124195,4,1642676124010,-1.492,0.150,-0.339,-0.090,-0.129,0.110,0
