DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1643351577271,1643351576060,4,1643351576060,39,3,10,0,0,0,ELT003#
DEVICE,1643351577303,1643351576092,4,1643351576092,40,4,10,0,0,0,ELT003#
DEVICE,1643351577335,1643351576124,4,1643351576124,41,4,10,0,0,0,ELT003#
DEVICE,1643351577367,1643351576156,4,1643351576156,40,4,10,0,0,0,ELT003#
DEVICE,1643351577399,1643351576188,4,1643351576188,38,3,10,0,0,0,ELT003#
DEVICE,1643351577431,1643351576220,4,1643351576220,38,3,10,0,0,0,ELT003#
DEVICE,1643351577463,1643351576252,4,1643351576252,39,3,10,0,0,0,ELT003#
DEVICE,1643351577495,1643351576284,4,1643351576284,41,4,10,0,0,0,ELT003#
DEVICE,1643351577527,1643351576316,4,1643351576316,38,3,10,0,0,0,ELT003#
DEVICE,1643351577559,1643351576348,4,1643351576348,41,4,10,0,0,0,ELT003#
DEVICE,1643351577591,1643351576380,4,1643351576380,41,4,10,0,0,0,ELT003#
DEVICE,1643351577623,1643351576412,4,1643351576412,38,3,10,0,0,0,ELT003#
DEVICE,1643351577655,1643351576444,4,1643351576444,41,4,10,0,0,0,ELT003#
DEVICE,1643351577687,1643351576476,4,1643351576476,40,4,10,0,0,0,ELT003#
DEVICE,1643351577719,1643351576508,4,1643351576508,41,4,10,0,0,0,ELT003#
DEVICE,1643351577751,1643351576540,4,1643351576540,41,4,10,0,0,0,ELT003#
DEVICE,1643351577783,1643351576572,4,1643351576572,39,3,10,0,0,0,ELT003#
DEVICE,1643351577815,1643351576604,4,1643351576604,40,4,10,0,0,0,ELT003#
DEVICE,1643351577846,1643351576635,4,1643351576635,39,3,10,0,0,0,ELT003#
DEVICE,1643351577879,1643351576668,4,1643351576668,40,4,10,0,0,0,ELT003#
DEVICE,1643351577911,1643351576700,4,1643351576700,41,4,10,0,0,0,ELT003#
DEVICE,1643351577943,1643351576732,4,1643351576732,40,4,10,0,0,0,ELT003#
DEVICE,1643351577975,1643351576764,4,1643351576764,41,4,10,0,0,0,ELT003#
DEVICE,1643351578007,1643351576796,4,1643351576796,40,4,10,0,0,0,ELT003#
DEVICE,1643351578039,1643351576828,4,1643351576828,40,4,10,0,0,0,ELT003#
DEVICE,1643351578071,1643351576860,4,1643351576860,39,3,10,0,0,0,ELT003#
DEVICE,1643351578103,1643351576892,4,1643351576892,37,3,10,0,0,0,ELT003#
DEVICE,1643351578135,1643351576924,4,1643351576924,40,4,10,0,0,0,ELT003#
DEVICE,1643351578151,1643351576940,4,1643351576940,41,4,10,0,0,0,ELT003#
DEVICE,1643351578183,1643351576972,4,1643351576972,40,4,10,0,0,0,ELT003#
DEVICE,1643351578215,1643351577004,4,1643351577004,38,3,10,0,0,0,ELT003#
DEVICE,1643351578246,1643351577035,4,1643351577035,38,3,10,0,0,0,ELT003#
DEVICE,1643351578279,1643351577068,4,1643351577068,39,3,10,0,0,0,ELT003#
DEVICE,1643351578311,1643351577100,4,1643351577100,41,4,10,0,0,0,ELT003#
DEVICE,1643351578343,1643351577132,4,1643351577132,39,3,10,0,0,0,ELT003#
DEVICE,1643351578375,1643351577164,4,1643351577164,42,4,10,0,0,0,ELT003#
DEVICE,1643351578407,1643351577196,4,1643351577196,39,3,10,0,0,0,ELT003#
DEVICE,1643351578438,1643351577227,4,1643351577227,40,4,10,0,0,0,ELT003#
DEVICE,1643351578471,1643351577260,4,1643351577260,41,4,10,0,0,0,ELT003#
DEVICE,1643351578502,1643351577291,4,1643351577291,39,3,10,0,0,0,ELT003#
DEVICE,1643351578534,1643351577323,4,1643351577323,41,4,10,0,0,0,ELT003#
DEVICE,1643351578566,1643351577355,4,1643351577355,41,4,10,0,0,0,ELT003#
DEVICE,1643351578598,1643351577387,4,1643351577387,41,4,10,0,0,0,ELT003#
DEVICE,1643351578630,1643351577419,4,1643351577419,40,4,10,0,0,0,ELT003#
DEVICE,1643351578663,1643351577452,4,1643351577452,38,3,10,0,0,0,ELT003#
DEVICE,1643351578695,1643351577484,4,1643351577484,38,3,10,0,0,0,ELT003#
DEVICE,1643351578726,1643351577515,4,1643351577515,40,4,10,0,0,0,ELT003#
DEVICE,1643351578758,1643351577547,4,1643351577547,39,3,10,0,0,0,ELT003#
DEVICE,1643351578790,1643351577579,4,1643351577579,40,4,10,0,0,0,ELT003#
DEVICE,1643351578822,1643351577611,4,1643351577611,40,4,10,0,0,0,ELT003#
DEVICE,1643351578854,1643351577643,4,1643351577643,40,4,10,0,0,0,ELT003#
DEVICE,1643351578886,1643351577675,4,1643351577675,39,3,10,0,0,0,ELT003#
DEVICE,1643351578918,1643351577707,4,1643351577707,39,3,10,0,0,0,ELT003#
DEVICE,1643351578950,1643351577739,4,1643351577739,39,3,10,0,0,0,ELT003#
DEVICE,1643351578982,1643351577771,4,1643351577771,40,4,10,0,0,0,ELT003#
DEVICE,1643351582643,1643351581432,4,1643351581432,39,3,10,0,0,0,ELT003#
DEVICE,1643351582675,1643351581464,4,1643351581464,38,3,10,0,0,0,ELT003#
DEVICE,1643351582707,1643351581496,4,1643351581496,39,3,10,0,0,0,ELT003#
DEVICE,1643351582739,1643351581528,4,1643351581528,37,3,10,0,0,0,ELT003#
DEVICE,1643351582771,1643351581560,4,1643351581560,40,4,10,0,0,0,ELT003#
DEVICE,1643351582803,1643351581592,4,1643351581592,38,3,10,0,0,0,ELT003#
DEVICE,1643351582835,1643351581624,4,1643351581624,35,3,10,0,0,0,ELT003#
DEVICE,1643351582867,1643351581656,4,1643351581656,37,3,10,0,0,0,ELT003#
DEVICE,1643351582899,1643351581688,4,1643351581688,37,3,10,0,0,0,ELT003#
DEVICE,1643351582931,1643351581720,4,1643351581720,40,4,10,0,0,0,ELT003#
DEVICE,1643351582963,1643351581752,4,1643351581752,40,4,10,0,0,0,ELT003#
DEVICE,1643351582979,1643351581768,4,1643351581768,38,3,10,0,0,0,ELT003#
DEVICE,1643351583011,1643351581800,4,1643351581800,38,3,10,0,0,0,ELT003#
DEVICE,1643351586673,1643351585462,4,1643351585462,39,3,10,0,0,0,ELT003#
DEVICE,1643351586705,1643351585494,4,1643351585494,39,3,10,0,0,0,ELT003#
DEVICE,1643351586736,1643351585525,4,1643351585525,38,3,10,0,0,0,ELT003#
DEVICE,1643351586768,1643351585557,4,1643351585557,39,3,10,0,0,0,ELT003#
DEVICE,1643351586801,1643351585590,4,1643351585590,37,3,10,0,0,0,ELT003#
DEVICE,1643351586832,1643351585621,4,1643351585621,39,3,10,0,0,0,ELT003#
DEVICE,1643351586865,1643351585654,4,1643351585654,38,3,10,0,0,0,ELT003#
DEVICE,1643351586896,1643351585685,4,1643351585685,39,3,10,0,0,0,ELT003#
DEVICE,1643351586929,1643351585718,4,1643351585718,39,3,10,0,0,0,ELT003#
DEVICE,1643351586961,1643351585750,4,1643351585750,39,3,10,0,0,0,ELT003#
DEVICE,1643351586993,1643351585782,4,1643351585782,39,3,10,0,0,0,ELT003#
DEVICE,1643351587025,1643351585814,4,1643351585814,37,3,10,0,0,0,ELT003#
DEVICE,1643351587056,1643351585845,4,1643351585845,37,3,10,0,0,0,ELT003#
DEVICE,1643351588033,1643351586822,4,1643351586822,39,3,10,0,0,0,ELT003#
DEVICE,1643351588065,1643351586854,4,1643351586854,36,3,10,0,0,0,ELT003#
DEVICE,1643351588097,1643351586886,4,1643351586886,37,3,10,0,0,0,ELT003#
DEVICE,1643351588129,1643351586918,4,1643351586918,39,3,10,0,0,0,ELT003#
DEVICE,1643351588161,1643351586950,4,1643351586950,39,3,10,0,0,0,ELT003#
DEVICE,1643351588193,1643351586982,4,1643351586982,37,3,10,0,0,0,ELT003#
DEVICE,1643351588225,1643351587014,4,1643351587014,38,3,10,0,0,0,ELT003#
DEVICE,1643351588257,1643351587046,4,1643351587046,38,3,10,0,0,0,ELT003#
DEVICE,1643351588289,1643351587078,4,1643351587078,40,4,10,0,0,0,ELT003#
DEVICE,1643351588321,1643351587110,4,1643351587110,39,3,10,0,0,0,ELT003#
DEVICE,1643351588353,1643351587142,4,1643351587142,39,3,10,0,0,0,ELT003#
DEVICE,1643351588385,1643351587174,4,1643351587174,38,3,10,0,0,0,ELT003#
DEVICE,1643351588417,1643351587206,4,1643351587206,38,3,10,0,0,0,ELT003#
DEVICE,1643351588449,1643351587238,4,1643351587238,37,3,10,0,0,0,ELT003#
DEVICE,1643351588481,1643351587270,4,1643351587270,40,4,10,0,0,0,ELT003#
DEVICE,1643351588513,1643351587302,4,1643351587302,41,4,10,0,0,0,ELT003#
DEVICE,1643351588545,1643351587334,4,1643351587334,40,4,10,0,0,0,ELT003#
DEVICE,1643351588577,1643351587366,4,1643351587366,40,4,10,0,0,0,ELT003#
DEVICE,1643351588609,1643351587398,4,1643351587398,37,3,10,0,0,0,ELT003#
DEVICE,1643351588640,1643351587429,4,1643351587429,41,4,10,0,0,0,ELT003#
DEVICE,1643351588673,1643351587462,4,1643351587462,39,3,10,0,0,0,ELT003#
DEVICE,1643351588705,1643351587494,4,1643351587494,39,3,10,0,0,0,ELT003#
DEVICE,1643351588737,1643351587526,4,1643351587526,37,3,10,0,0,0,ELT003#
DEVICE,1643351588769,1643351587558,4,1643351587558,40,4,10,0,0,0,ELT003#
DEVICE,1643351588801,1643351587590,4,1643351587590,37,3,10,0,0,0,ELT003#
DEVICE,1643351588833,1643351587622,4,1643351587622,39,3,10,0,0,0,ELT003#
DEVICE,1643351588865,1643351587654,4,1643351587654,38,3,10,0,0,0,ELT003#
DEVICE,1643351588897,1643351587686,4,1643351587686,38,3,10,0,0,0,ELT003#
DEVICE,1643351588929,1643351587718,4,1643351587718,37,3,10,0,0,0,ELT003#
DEVICE,1643351588961,1643351587750,4,1643351587750,37,3,10,0,0,0,ELT003#
