Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644469316940,1644469312466,4,1644469312430,-0.328,0.194,-0.234,0.071,0.020,0.028,110
WATCH,1644469316940,1644469312466,4,1644469312439,-0.351,0.205,-0.202,0.058,0.021,0.029,110
WATCH,1644469316940,1644469312466,4,1644469312449,-0.352,0.213,-0.178,0.043,0.022,0.023,110
WATCH,1644469316940,1644469312466,4,1644469312459,-0.311,0.219,-0.145,0.036,0.018,0.015,110
WATCH,1644469317002,1644469312528,4,1644469312469,-0.238,0.229,-0.119,0.029,0.019,-0.004,110
WATCH,1644469317002,1644469312528,4,1644469312479,-0.198,0.244,-0.101,0.018,0.020,-0.014,110
WATCH,1644469317002,1644469312528,4,1644469312489,-0.224,0.258,-0.090,0.010,0.016,-0.002,110
WATCH,1644469317002,1644469312528,4,1644469312499,-0.246,0.264,-0.076,0.001,0.004,0.003,110
WATCH,1644469317002,1644469312528,4,1644469312509,-0.234,0.250,-0.067,-0.003,0.005,-0.012,110
WATCH,1644469317059,1644469312585,4,1644469312519,-0.215,0.232,-0.056,-0.009,0.005,-0.041,110
WATCH,1644469317059,1644469312585,4,1644469312529,-0.165,0.216,-0.052,-0.018,-0.008,-0.067,110
WATCH,1644469317059,1644469312585,4,1644469312539,-0.081,0.201,-0.046,-0.028,-0.016,-0.077,110
WATCH,1644469317059,1644469312585,4,1644469312549,-0.041,0.198,-0.041,-0.037,-0.002,-0.067,110
WATCH,1644469317059,1644469312585,4,1644469312559,-0.059,0.204,-0.058,-0.056,0.014,-0.037,110
WATCH,1644469317123,1644469312649,4,1644469312568,-0.073,0.202,-0.054,-0.062,-0.013,-0.044,110
WATCH,1644469317123,1644469312649,4,1644469312578,-0.102,0.196,-0.056,-0.056,-0.015,-0.051,110
WATCH,1644469317123,1644469312649,4,1644469312588,-0.129,0.195,-0.078,-0.058,-0.011,-0.029,110
WATCH,1644469317123,1644469312649,4,1644469312598,-0.140,0.196,-0.087,-0.064,0.011,-0.004,110
WATCH,1644469317123,1644469312649,4,1644469312608,-0.123,0.204,-0.094,-0.069,0.027,0.010,110
WATCH,1644469317179,1644469312705,4,1644469312618,-0.104,0.207,-0.105,-0.071,0.033,0.016,110
WATCH,1644469317180,1644469312706,4,1644469312628,-0.083,0.218,-0.117,-0.072,0.033,0.019,110
WATCH,1644469317180,1644469312706,4,1644469312638,-0.073,0.227,-0.128,-0.070,0.030,0.019,110
WATCH,1644469317180,1644469312706,4,1644469312648,-0.075,0.234,-0.133,-0.062,0.022,0.015,110
WATCH,1644469317180,1644469312706,4,1644469312658,-0.075,0.232,-0.128,-0.054,0.006,0.005,110
WATCH,1644469317239,1644469312765,4,1644469312668,-0.072,0.239,-0.125,-0.049,0.002,-0.010,110
WATCH,1644469317240,1644469312766,4,1644469312678,-0.053,0.240,-0.120,-0.048,-0.003,-0.027,110
WATCH,1644469317240,1644469312766,4,1644469312688,-0.051,0.241,-0.125,-0.046,0.005,-0.029,110
WATCH,1644469317240,1644469312766,4,1644469312698,-0.046,0.234,-0.128,-0.050,0.023,-0.020,110
