DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1642756543793,1642756541902,4,1642756541902,802,80,0,0,0,0,DKU006#
DEVICE,1642756543825,1642756541934,4,1642756541934,796,79,0,0,0,0,DKU006#
DEVICE,1642756543857,1642756541966,4,1642756541966,815,81,0,0,0,0,DKU006#
DEVICE,1642756543889,1642756541998,4,1642756541998,805,80,0,0,0,0,DKU006#
DEVICE,1642756543921,1642756542030,4,1642756542030,797,79,0,0,0,0,DKU006#
DEVICE,1642756543953,1642756542062,4,1642756542062,815,81,0,0,0,0,DKU006#
DEVICE,1642756543985,1642756542094,4,1642756542094,809,80,0,0,0,0,DKU006#
DEVICE,1642756544017,1642756542126,4,1642756542126,787,78,0,0,0,0,DKU006#
DEVICE,1642756544049,1642756542158,4,1642756542158,792,79,0,0,0,0,DKU006#
DEVICE,1642756544081,1642756542190,4,1642756542190,798,79,0,0,0,0,DKU006#
DEVICE,1642756544113,1642756542222,4,1642756542222,794,79,0,0,0,0,DKU006#
DEVICE,1642756544145,1642756542254,4,1642756542254,812,81,0,0,0,0,DKU006#
DEVICE,1642756544177,1642756542286,4,1642756542286,807,80,0,0,0,0,DKU006#
DEVICE,1642756544209,1642756542318,4,1642756542318,792,79,0,0,0,0,DKU006#
DEVICE,1642756544241,1642756542350,4,1642756542350,802,80,0,0,0,0,DKU006#
DEVICE,1642756544273,1642756542382,4,1642756542382,806,80,0,0,0,0,DKU006#
DEVICE,1642756544305,1642756542414,4,1642756542414,806,80,0,0,0,0,DKU006#
DEVICE,1642756544336,1642756542445,4,1642756542445,824,82,0,0,0,0,DKU006#
DEVICE,1642756544368,1642756542477,4,1642756542477,803,80,0,0,0,0,DKU006#
DEVICE,1642756544401,1642756542510,4,1642756542510,808,80,0,0,0,0,DKU006#
DEVICE,1642756544433,1642756542542,4,1642756542542,813,81,0,0,0,0,DKU006#
DEVICE,1642756544465,1642756542574,4,1642756542574,818,81,0,0,0,0,DKU006#
DEVICE,1642756544496,1642756542605,4,1642756542605,793,79,0,0,0,0,DKU006#
DEVICE,1642756544528,1642756542637,4,1642756542637,803,80,0,0,0,0,DKU006#
DEVICE,1642756544560,1642756542669,4,1642756542669,801,80,0,0,0,0,DKU006#
DEVICE,1642756544592,1642756542701,4,1642756542701,816,81,0,0,0,0,DKU006#
DEVICE,1642756544624,1642756542733,4,1642756542733,808,80,0,0,0,0,DKU006#
DEVICE,1642756544656,1642756542765,4,1642756542765,816,81,0,0,0,0,DKU006#
DEVICE,1642756544688,1642756542797,4,1642756542797,803,80,0,0,0,0,DKU006#
DEVICE,1642756544720,1642756542829,4,1642756542829,792,79,0,0,0,0,DKU006#
DEVICE,1642756544752,1642756542861,4,1642756542861,801,80,0,0,0,0,DKU006#
DEVICE,1642756544784,1642756542893,4,1642756542893,794,79,0,0,31400,0,DKU006#
DEVICE,1642756544816,1642756542925,4,1642756542925,805,80,0,0,31400,0,DKU006#
DEVICE,1642756544848,1642756542957,4,1642756542957,796,79,0,0,31400,0,DKU006#
DEVICE,1642756544864,1642756542973,4,1642756542973,809,80,0,0,31400,0,DKU006#
DEVICE,1642756544896,1642756543005,4,1642756543005,808,80,0,0,31400,0,DKU006#
DEVICE,1642756544944,1642756543053,4,1642756543053,808,80,0,0,31400,0,DKU006#
DEVICE,1642756544960,1642756543069,4,1642756543069,800,80,0,0,31400,0,DKU006#
DEVICE,1642756544992,1642756543101,4,1642756543101,801,80,0,0,31400,0,DKU006#
DEVICE,1642756545024,1642756543133,4,1642756543133,809,80,0,0,31400,0,DKU006#
DEVICE,1642756545056,1642756543165,4,1642756543165,799,79,0,0,31400,0,DKU006#
DEVICE,1642756545088,1642756543197,4,1642756543197,808,80,0,0,31400,0,DKU006#
DEVICE,1642756545120,1642756543229,4,1642756543229,799,79,0,0,31400,0,DKU006#
DEVICE,1642756545152,1642756543261,4,1642756543261,802,80,0,0,31400,0,DKU006#
DEVICE,1642756545184,1642756543293,4,1642756543293,799,79,0,0,31400,0,DKU006#
DEVICE,1642756545216,1642756543325,4,1642756543325,799,79,0,0,31400,0,DKU006#
DEVICE,1642756545248,1642756543357,4,1642756543357,816,81,0,0,31400,0,DKU006#
DEVICE,1642756545280,1642756543389,4,1642756543389,806,80,0,0,31400,0,DKU006#
DEVICE,1642756545312,1642756543421,4,1642756543421,802,80,0,0,31400,0,DKU006#
DEVICE,1642756545344,1642756543453,4,1642756543453,811,81,0,0,31400,0,DKU006#
DEVICE,1642756545376,1642756543485,4,1642756543485,819,81,0,0,31400,0,DKU006#
DEVICE,1642756545408,1642756543517,4,1642756543517,815,81,0,0,31400,0,DKU006#
DEVICE,1642756545440,1642756543549,4,1642756543549,790,79,0,0,31400,0,DKU006#
DEVICE,1642756545472,1642756543581,4,1642756543581,813,81,0,0,31400,0,DKU006#
DEVICE,1642756545504,1642756543613,4,1642756543613,816,81,0,0,31400,0,DKU006#
DEVICE,1642756545536,1642756543645,4,1642756543645,814,81,0,0,31400,0,DKU006#
DEVICE,1642756545568,1642756543677,4,1642756543677,798,79,0,0,31400,0,DKU006#
DEVICE,1642756545601,1642756543710,4,1642756543710,800,80,0,0,31400,0,DKU006#
DEVICE,1642756545632,1642756543741,4,1642756543741,798,79,0,0,31400,0,DKU006#
DEVICE,1642756545664,1642756543773,4,1642756543773,818,81,0,0,31400,0,DKU006#
DEVICE,1642756545696,1642756543805,4,1642756543805,794,79,0,0,31400,0,DKU006#
DEVICE,1642756545728,1642756543837,4,1642756543837,798,79,0,0,31400,0,DKU006#
DEVICE,1642756545776,1642756543885,4,1642756543885,814,81,0,0,31393,0,DKU006#
DEVICE,1642756545793,1642756543902,4,1642756543902,806,80,0,0,31393,0,DKU006#
DEVICE,1642756545824,1642756543933,4,1642756543933,799,79,0,0,31393,0,DKU006#
DEVICE,1642756545856,1642756543965,4,1642756543965,798,79,0,0,31393,0,DKU006#
DEVICE,1642756545888,1642756543997,4,1642756543997,806,80,0,0,31393,0,DKU006#
DEVICE,1642756545920,1642756544029,4,1642756544029,780,78,0,0,31393,0,DKU006#
DEVICE,1642756545952,1642756544061,4,1642756544061,800,80,0,0,31393,0,DKU006#
DEVICE,1642756545984,1642756544093,4,1642756544093,817,81,0,0,31393,0,DKU006#
DEVICE,1642756546016,1642756544125,4,1642756544125,816,81,0,0,31393,0,DKU006#
DEVICE,1642756546048,1642756544157,4,1642756544157,794,79,0,0,31393,0,DKU006#
DEVICE,1642756546080,1642756544189,4,1642756544189,810,81,0,0,31393,0,DKU006#
DEVICE,1642756546112,1642756544221,4,1642756544221,794,79,0,0,31393,0,DKU006#
DEVICE,1642756546144,1642756544253,4,1642756544253,796,79,0,0,31393,0,DKU006#
DEVICE,1642756546176,1642756544285,4,1642756544285,796,79,0,0,31393,0,DKU006#
DEVICE,1642756546208,1642756544317,4,1642756544317,808,80,0,0,31393,0,DKU006#
DEVICE,1642756546240,1642756544349,4,1642756544349,800,80,0,0,31393,0,DKU006#
DEVICE,1642756546272,1642756544381,4,1642756544381,811,81,0,0,31393,0,DKU006#
DEVICE,1642756546304,1642756544413,4,1642756544413,806,80,0,0,31393,0,DKU006#
DEVICE,1642756546336,1642756544445,4,1642756544445,811,81,0,0,31393,0,DKU006#
DEVICE,1642756546368,1642756544477,4,1642756544477,828,82,0,0,31393,0,DKU006#
DEVICE,1642756546400,1642756544509,4,1642756544509,806,80,0,0,31393,0,DKU006#
DEVICE,1642756546432,1642756544541,4,1642756544541,816,81,0,0,31393,0,DKU006#
DEVICE,1642756546464,1642756544573,4,1642756544573,794,79,0,0,31393,0,DKU006#
DEVICE,1642756546496,1642756544605,4,1642756544605,793,79,0,0,31393,0,DKU006#
DEVICE,1642756546528,1642756544637,4,1642756544637,794,79,0,0,31393,0,DKU006#
DEVICE,1642756546559,1642756544668,4,1642756544668,812,81,0,0,31393,0,DKU006#
DEVICE,1642756546591,1642756544700,4,1642756544700,823,82,0,0,31393,0,DKU006#
DEVICE,1642756546623,1642756544732,4,1642756544732,826,82,0,0,31393,0,DKU006#
DEVICE,1642756546655,1642756544764,4,1642756544764,806,80,0,0,31393,0,DKU006#
DEVICE,1642756546687,1642756544796,4,1642756544796,794,79,0,0,31393,0,DKU006#
DEVICE,1642756546719,1642756544828,4,1642756544828,798,79,0,0,31393,0,DKU006#
DEVICE,1642756546751,1642756544860,4,1642756544860,800,80,0,0,31393,0,DKU006#
DEVICE,1642756546799,1642756544908,4,1642756544908,803,80,0,0,31381,0,DKU006#
DEVICE,1642756546816,1642756544925,4,1642756544925,813,81,0,0,31381,0,DKU006#
DEVICE,1642756546848,1642756544957,4,1642756544957,788,78,0,0,31381,0,DKU006#
DEVICE,1642756546879,1642756544988,4,1642756544988,806,80,0,0,31381,0,DKU006#
DEVICE,1642756546911,1642756545020,4,1642756545020,803,80,0,0,31381,0,DKU006#
DEVICE,1642756546943,1642756545052,4,1642756545052,799,79,0,0,31381,0,DKU006#
DEVICE,1642756546975,1642756545084,4,1642756545084,799,79,0,0,31381,0,DKU006#
DEVICE,1642756547007,1642756545116,4,1642756545116,808,80,0,0,31381,0,DKU006#
DEVICE,1642756547039,1642756545148,4,1642756545148,821,82,0,0,31381,0,DKU006#
DEVICE,1642756547071,1642756545180,4,1642756545180,807,80,0,0,31381,0,DKU006#
DEVICE,1642756547103,1642756545212,4,1642756545212,808,80,0,0,31381,0,DKU006#
DEVICE,1642756547135,1642756545244,4,1642756545244,801,80,0,0,31381,0,DKU006#
DEVICE,1642756547167,1642756545276,4,1642756545276,806,80,0,0,31381,0,DKU006#
DEVICE,1642756547199,1642756545308,4,1642756545308,795,79,0,0,31381,0,DKU006#
DEVICE,1642756547231,1642756545340,4,1642756545340,798,79,0,0,31381,0,DKU006#
DEVICE,1642756547263,1642756545372,4,1642756545372,811,81,0,0,31381,0,DKU006#
DEVICE,1642756547295,1642756545404,4,1642756545404,812,81,0,0,31381,0,DKU006#
DEVICE,1642756547327,1642756545436,4,1642756545436,789,78,0,0,31381,0,DKU006#
DEVICE,1642756547359,1642756545468,4,1642756545468,789,78,0,0,31381,0,DKU006#
DEVICE,1642756547391,1642756545500,4,1642756545500,802,80,0,0,31381,0,DKU006#
DEVICE,1642756547423,1642756545532,4,1642756545532,806,80,0,0,31381,0,DKU006#
DEVICE,1642756547455,1642756545564,4,1642756545564,808,80,0,0,31381,0,DKU006#
DEVICE,1642756547487,1642756545596,4,1642756545596,809,80,0,0,31381,0,DKU006#
DEVICE,1642756547519,1642756545628,4,1642756545628,799,79,0,0,31381,0,DKU006#
DEVICE,1642756547551,1642756545660,4,1642756545660,802,80,0,0,31381,0,DKU006#
DEVICE,1642756547583,1642756545692,4,1642756545692,821,82,0,0,31381,0,DKU006#
DEVICE,1642756547615,1642756545724,4,1642756545724,817,81,0,0,31381,0,DKU006#
DEVICE,1642756547647,1642756545756,4,1642756545756,805,80,0,0,31381,0,DKU006#
DEVICE,1642756547679,1642756545788,4,1642756545788,795,79,0,0,31381,0,DKU006#
DEVICE,1642756547711,1642756545820,4,1642756545820,793,79,0,0,31381,0,DKU006#
DEVICE,1642756547743,1642756545852,4,1642756545852,804,80,0,0,31381,0,DKU006#
DEVICE,1642756547775,1642756545884,4,1642756545884,795,79,0,0,31350,0,DKU006#
DEVICE,1642756547807,1642756545916,4,1642756545916,806,80,0,0,31350,0,DKU006#
DEVICE,1642756547839,1642756545948,4,1642756545948,810,81,0,0,31350,0,DKU006#
DEVICE,1642756547871,1642756545980,4,1642756545980,793,79,0,0,31350,0,DKU006#
DEVICE,1642756547903,1642756546012,4,1642756546012,796,79,0,0,31350,0,DKU006#
DEVICE,1642756547934,1642756546043,4,1642756546043,811,81,0,0,31350,0,DKU006#
DEVICE,1642756547967,1642756546076,4,1642756546076,790,79,0,0,31350,0,DKU006#
DEVICE,1642756547999,1642756546108,4,1642756546108,794,79,0,0,31350,0,DKU006#
DEVICE,1642756548031,1642756546140,4,1642756546140,796,79,0,0,31350,0,DKU006#
DEVICE,1642756548063,1642756546172,4,1642756546172,794,79,0,0,31350,0,DKU006#
DEVICE,1642756548095,1642756546204,4,1642756546204,801,80,0,0,31350,0,DKU006#
DEVICE,1642756548127,1642756546236,4,1642756546236,814,81,0,0,31350,0,DKU006#
DEVICE,1642756548158,1642756546267,4,1642756546267,807,80,0,0,31350,0,DKU006#
DEVICE,1642756548191,1642756546300,4,1642756546300,806,80,0,0,31350,0,DKU006#
DEVICE,1642756548223,1642756546332,4,1642756546332,806,80,0,0,31350,0,DKU006#
DEVICE,1642756548255,1642756546364,4,1642756546364,807,80,0,0,31350,0,DKU006#
DEVICE,1642756548287,1642756546396,4,1642756546396,796,79,0,0,31350,0,DKU006#
DEVICE,1642756548319,1642756546428,4,1642756546428,809,80,0,0,31350,0,DKU006#
DEVICE,1642756548351,1642756546460,4,1642756546460,806,80,0,0,31350,0,DKU006#
DEVICE,1642756548383,1642756546492,4,1642756546492,805,80,0,0,31350,0,DKU006#
DEVICE,1642756548415,1642756546524,4,1642756546524,819,81,0,0,31350,0,DKU006#
DEVICE,1642756548447,1642756546556,4,1642756546556,803,80,0,0,31350,0,DKU006#
DEVICE,1642756548479,1642756546588,4,1642756546588,805,80,0,0,31350,0,DKU006#
DEVICE,1642756548511,1642756546620,4,1642756546620,795,79,0,0,31350,0,DKU006#
DEVICE,1642756548543,1642756546652,4,1642756546652,811,81,0,0,31350,0,DKU006#
DEVICE,1642756548575,1642756546684,4,1642756546684,798,79,0,0,31350,0,DKU006#
DEVICE,1642756548606,1642756546715,4,1642756546715,792,79,0,0,31350,0,DKU006#
DEVICE,1642756548638,1642756546747,4,1642756546747,819,81,0,0,31350,0,DKU006#
DEVICE,1642756548670,1642756546779,4,1642756546779,811,81,0,0,31350,0,DKU006#
DEVICE,1642756548702,1642756546811,4,1642756546811,807,80,0,0,31350,0,DKU006#
DEVICE,1642756548734,1642756546843,4,1642756546843,803,80,0,0,31350,0,DKU006#
DEVICE,1642756548767,1642756546876,4,1642756546876,804,80,0,0,31381,0,DKU006#
DEVICE,1642756548799,1642756546908,4,1642756546908,796,79,0,0,31381,0,DKU006#
DEVICE,1642756548831,1642756546940,4,1642756546940,804,80,0,0,31381,0,DKU006#
DEVICE,1642756548863,1642756546972,4,1642756546972,813,81,0,0,31381,0,DKU006#
DEVICE,1642756548894,1642756547003,4,1642756547003,799,79,0,0,31381,0,DKU006#
DEVICE,1642756548926,1642756547035,4,1642756547035,805,80,0,0,31381,0,DKU006#
DEVICE,1642756548958,1642756547067,4,1642756547067,809,80,0,0,31381,0,DKU006#
DEVICE,1642756548990,1642756547099,4,1642756547099,796,79,0,0,31381,0,DKU006#
DEVICE,1642756549022,1642756547131,4,1642756547131,806,80,0,0,31381,0,DKU006#
DEVICE,1642756549054,1642756547163,4,1642756547163,822,82,0,0,31381,0,DKU006#
DEVICE,1642756549086,1642756547195,4,1642756547195,803,80,0,0,31381,0,DKU006#
DEVICE,1642756549119,1642756547228,4,1642756547228,805,80,0,0,31381,0,DKU006#
DEVICE,1642756549150,1642756547259,4,1642756547259,803,80,0,0,31381,0,DKU006#
DEVICE,1642756549183,1642756547292,4,1642756547292,804,80,0,0,31381,0,DKU006#
DEVICE,1642756549214,1642756547323,4,1642756547323,810,81,0,0,31381,0,DKU006#
DEVICE,1642756549246,1642756547355,4,1642756547355,808,80,0,0,31381,0,DKU006#
DEVICE,1642756549278,1642756547387,4,1642756547387,795,79,0,0,31381,0,DKU006#
DEVICE,1642756549310,1642756547419,4,1642756547419,793,79,0,0,31381,0,DKU006#
DEVICE,1642756549342,1642756547451,4,1642756547451,814,81,0,0,31381,0,DKU006#
DEVICE,1642756549374,1642756547483,4,1642756547483,804,80,0,0,31381,0,DKU006#
DEVICE,1642756549406,1642756547515,4,1642756547515,819,81,0,0,31381,0,DKU006#
DEVICE,1642756549438,1642756547547,4,1642756547547,813,81,0,0,31381,0,DKU006#
DEVICE,1642756549470,1642756547579,4,1642756547579,812,81,0,0,31381,0,DKU006#
DEVICE,1642756549486,1642756547595,4,1642756547595,817,81,0,0,31381,0,DKU006#
DEVICE,1642756549518,1642756547627,4,1642756547627,815,81,0,0,31381,0,DKU006#
DEVICE,1642756549551,1642756547660,4,1642756547660,813,81,0,0,31381,0,DKU006#
DEVICE,1642756549582,1642756547691,4,1642756547691,804,80,0,0,31381,0,DKU006#
DEVICE,1642756549614,1642756547723,4,1642756547723,813,81,0,0,31381,0,DKU006#
DEVICE,1642756549646,1642756547755,4,1642756547755,811,81,0,0,31381,0,DKU006#
DEVICE,1642756549678,1642756547787,4,1642756547787,809,80,0,0,31381,0,DKU006#
DEVICE,1642756549710,1642756547819,4,1642756547819,809,80,0,0,31381,0,DKU006#
DEVICE,1642756549742,1642756547851,4,1642756547851,804,80,0,0,31381,0,DKU006#
DEVICE,1642756549790,1642756547899,4,1642756547899,816,81,0,0,31393,0,DKU006#
DEVICE,1642756549806,1642756547915,4,1642756547915,808,80,0,0,31393,0,DKU006#
DEVICE,1642756549838,1642756547947,4,1642756547947,796,79,0,0,31393,0,DKU006#
DEVICE,1642756549870,1642756547979,4,1642756547979,812,81,0,0,31393,0,DKU006#
DEVICE,1642756549902,1642756548011,4,1642756548011,805,80,0,0,31393,0,DKU006#
DEVICE,1642756549934,1642756548043,4,1642756548043,793,79,0,0,31393,0,DKU006#
DEVICE,1642756549967,1642756548076,4,1642756548076,802,80,0,0,31393,0,DKU006#
