Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1642756537675,1642756536292,4,1642756536171,-0.004,-0.032,0.009,-0.010,0.014,0.002,84
WATCH,1642756537675,1642756536292,4,1642756536181,0.003,-0.032,0.003,-0.008,0.014,-0.001,84
WATCH,1642756537675,1642756536292,4,1642756536191,0.005,-0.030,-0.007,-0.009,0.015,0.001,84
WATCH,1642756537675,1642756536292,4,1642756536201,0.002,-0.022,-0.014,-0.006,0.014,0.003,84
WATCH,1642756537734,1642756536351,4,1642756536211,0.010,-0.018,-0.019,-0.002,0.010,0.003,84
WATCH,1642756537734,1642756536351,4,1642756536221,0.002,-0.012,-0.019,-0.003,0.004,0.005,84
WATCH,1642756537734,1642756536351,4,1642756536231,-0.004,-0.009,-0.023,-0.003,0.003,0.003,84
WATCH,1642756537734,1642756536351,4,1642756536241,-0.011,-0.005,-0.026,-0.006,0.007,0.000,84
WATCH,1642756537734,1642756536351,4,1642756536251,-0.007,0.001,-0.028,-0.007,0.008,-0.006,84
WATCH,1642756537828,1642756536445,4,1642756536261,0.003,-0.011,-0.033,-0.008,0.011,-0.006,84
WATCH,1642756537828,1642756536445,4,1642756536271,0.005,-0.005,-0.042,-0.007,0.011,-0.005,84
WATCH,1642756537828,1642756536445,4,1642756536281,0.006,-0.002,-0.042,-0.007,0.007,-0.004,84
WATCH,1642756537828,1642756536445,4,1642756536291,0.011,-0.006,-0.046,-0.011,0.004,0.000,84
WATCH,1642756537828,1642756536445,4,1642756536301,0.008,-0.009,-0.050,-0.010,-0.001,0.002,84
WATCH,1642756537847,1642756536464,4,1642756536311,0.012,-0.010,-0.053,-0.010,-0.001,0.004,84
WATCH,1642756537848,1642756536465,4,1642756536321,0.009,-0.014,-0.051,-0.010,0.001,0.007,84
WATCH,1642756537848,1642756536465,4,1642756536330,0.008,-0.006,-0.056,-0.010,0.004,0.007,84
WATCH,1642756537848,1642756536465,4,1642756536341,0.006,-0.010,-0.055,-0.010,0.005,0.007,84
WATCH,1642756537848,1642756536465,4,1642756536350,0.007,-0.003,-0.055,-0.009,0.009,0.002,84
WATCH,1642756537880,1642756536497,4,1642756536360,-0.001,-0.001,-0.055,-0.004,0.011,0.002,84
WATCH,1642756537880,1642756536497,4,1642756536370,0.007,0.001,-0.058,-0.004,0.017,-0.002,84
WATCH,1642756537880,1642756536497,4,1642756536380,0.009,-0.000,-0.065,-0.002,0.020,-0.002,84
WATCH,1642756537880,1642756536497,4,1642756536390,0.013,0.002,-0.068,-0.001,0.019,-0.002,84
WATCH,1642756537880,1642756536497,4,1642756536400,0.014,0.009,-0.073,-0.000,0.019,-0.001,84
WATCH,1642756537912,1642756536529,4,1642756536410,0.014,0.009,-0.074,-0.000,0.017,-0.005,84
WATCH,1642756537912,1642756536529,4,1642756536420,0.021,0.014,-0.082,-0.000,0.015,-0.007,84
WATCH,1642756537913,1642756536530,4,1642756536430,0.020,0.012,-0.088,0.002,0.017,-0.002,84
WATCH,1642756537913,1642756536530,4,1642756536440,0.025,0.009,-0.095,0.006,0.012,-0.002,84
WATCH,1642756537913,1642756536530,4,1642756536450,0.029,0.011,-0.089,0.006,0.005,-0.000,84
WATCH,1642756537972,1642756536589,4,1642756536460,0.034,0.010,-0.089,0.005,-0.000,0.005,84
WATCH,1642756537972,1642756536589,4,1642756536470,0.027,0.012,-0.086,0.008,-0.003,0.006,84
WATCH,1642756537972,1642756536589,4,1642756536480,0.029,0.020,-0.081,0.006,-0.006,0.003,84
WATCH,1642756537972,1642756536589,4,1642756536490,0.024,0.016,-0.076,0.007,-0.008,0.005,84
WATCH,1642756537972,1642756536589,4,1642756536499,0.023,0.015,-0.070,0.007,-0.006,0.006,84
WATCH,1642756538033,1642756536650,4,1642756536509,0.027,0.011,-0.068,0.009,-0.003,0.002,84
WATCH,1642756538034,1642756536651,4,1642756536519,0.024,0.013,-0.062,0.010,-0.002,0.002,84
WATCH,1642756538034,1642756536651,4,1642756536529,0.027,0.011,-0.055,0.013,-0.002,0.004,84
WATCH,1642756538034,1642756536651,4,1642756536539,0.022,0.008,-0.048,0.015,-0.001,0.005,84
WATCH,1642756538034,1642756536651,4,1642756536550,0.012,0.002,-0.046,0.011,0.002,0.004,84
WATCH,1642756538101,1642756536718,4,1642756536559,0.009,0.008,-0.042,0.011,0.005,-0.001,84
WATCH,1642756538101,1642756536718,4,1642756536569,0.012,0.008,-0.040,0.008,0.008,-0.001,84
WATCH,1642756538101,1642756536718,4,1642756536579,0.010,0.004,-0.041,0.009,0.010,0.002,84
WATCH,1642756538101,1642756536718,4,1642756536589,0.007,0.009,-0.038,0.009,0.013,0.002,84
WATCH,1642756538101,1642756536718,4,1642756536599,0.013,0.017,-0.041,0.010,0.013,0.001,84
WATCH,1642756538101,1642756536718,4,1642756536609,0.013,0.017,-0.042,0.010,0.010,-0.001,84
WATCH,1642756538101,1642756536718,4,1642756536619,0.017,0.015,-0.044,0.009,0.007,-0.001,84
