Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644547553098,1644547552733,4,1644547552614,-0.009,-0.033,0.004,0.008,0.001,-0.000,82
WATCH,1644547553099,1644547552734,4,1644547552624,-0.011,-0.035,0.004,0.005,0.004,-0.001,82
WATCH,1644547553099,1644547552734,4,1644547552634,-0.010,-0.035,0.008,0.004,0.008,0.002,82
WATCH,1644547553100,1644547552735,4,1644547552644,-0.013,-0.036,0.014,0.001,0.005,0.007,82
WATCH,1644547553161,1644547552796,4,1644547552653,-0.020,-0.041,0.020,0.000,-0.002,0.005,82
WATCH,1644547553162,1644547552797,4,1644547552663,-0.032,-0.044,0.026,-0.005,-0.002,0.004,82
WATCH,1644547553162,1644547552797,4,1644547552673,-0.038,-0.043,0.033,-0.003,0.004,0.007,82
WATCH,1644547553162,1644547552797,4,1644547552683,-0.047,-0.038,0.031,-0.005,0.005,0.011,82
WATCH,1644547553162,1644547552797,4,1644547552693,-0.049,-0.025,0.035,-0.012,0.001,0.006,82
WATCH,1644547553220,1644547552855,4,1644547552703,-0.052,-0.016,0.036,-0.009,-0.002,-0.004,82
WATCH,1644547553226,1644547552861,4,1644547552713,-0.042,-0.010,0.032,-0.002,-0.005,-0.010,82
WATCH,1644547553226,1644547552861,4,1644547552723,-0.021,-0.007,0.022,0.000,-0.001,-0.024,82
WATCH,1644547553226,1644547552861,4,1644547552733,0.002,0.001,0.016,0.005,0.002,-0.028,82
WATCH,1644547553226,1644547552861,4,1644547552743,0.020,0.010,0.009,0.003,0.001,-0.024,82
WATCH,1644547553227,1644547552862,4,1644547552753,0.033,0.019,0.005,0.001,-0.003,-0.017,82
WATCH,1644547553227,1644547552862,4,1644547552763,0.027,0.029,0.003,-0.003,-0.001,-0.009,82
WATCH,1644547553227,1644547552862,4,1644547552773,0.027,0.034,-0.005,-0.002,-0.002,-0.007,82
WATCH,1644547553227,1644547552862,4,1644547552783,0.028,0.037,-0.006,-0.003,-0.002,-0.009,82
WATCH,1644547553227,1644547552862,4,1644547552792,0.030,0.037,-0.010,0.001,-0.003,-0.010,82
WATCH,1644547553369,1644547553004,4,1644547552802,0.031,0.037,-0.012,0.005,-0.001,-0.008,82
WATCH,1644547553369,1644547553004,4,1644547552812,0.031,0.035,-0.016,0.005,0.001,-0.004,82
WATCH,1644547553369,1644547553004,4,1644547552823,0.029,0.037,-0.013,0.000,0.003,0.004,82
WATCH,1644547553369,1644547553004,4,1644547552832,0.022,0.026,-0.011,0.000,0.000,0.004,82
WATCH,1644547553369,1644547553004,4,1644547552842,0.015,0.023,-0.009,-0.002,0.001,0.009,82
WATCH,1644547553432,1644547553067,4,1644547552852,0.007,0.020,-0.007,-0.006,-0.001,0.011,82
WATCH,1644547553432,1644547553067,4,1644547552862,0.001,0.006,-0.003,-0.002,0.001,0.008,82
WATCH,1644547553432,1644547553067,4,1644547552872,0.005,-0.005,-0.005,0.005,0.004,0.006,82
WATCH,1644547553432,1644547553067,4,1644547552882,0.007,-0.009,-0.005,0.005,0.004,0.009,82
WATCH,1644547553432,1644547553067,4,1644547552892,-0.005,-0.014,0.002,0.001,0.003,0.013,82
WATCH,1644547553433,1644547553068,4,1644547552902,-0.016,-0.024,0.002,0.002,0.004,0.014,82
WATCH,1644547553433,1644547553068,4,1644547552912,-0.025,-0.032,0.004,0.005,0.004,0.016,82
WATCH,1644547553433,1644547553068,4,1644547552922,-0.035,-0.041,0.007,0.002,0.003,0.013,82
WATCH,1644547553433,1644547553068,4,1644547552932,-0.053,-0.051,0.012,0.004,0.002,0.010,82
WATCH,1644547553433,1644547553068,4,1644547552941,-0.064,-0.062,0.016,0.003,0.003,0.010,82
WATCH,1644547553433,1644547553068,4,1644547552951,-0.064,-0.067,0.018,0.001,0.003,0.011,82
WATCH,1644547553434,1644547553069,4,1644547552961,-0.060,-0.070,0.022,-0.001,0.004,0.007,82
WATCH,1644547553434,1644547553069,4,1644547552971,-0.056,-0.071,0.030,-0.003,0.004,0.005,82
WATCH,1644547553434,1644547553069,4,1644547552981,-0.060,-0.071,0.029,-0.002,0.006,0.005,82
WATCH,1644547553434,1644547553069,4,1644547552991,-0.060,-0.070,0.029,0.002,0.002,-0.000,82
WATCH,1644547553490,1644547553125,4,1644547553001,-0.059,-0.064,0.028,0.001,0.001,-0.002,82
WATCH,1644547553490,1644547553125,4,1644547553011,-0.045,-0.062,0.028,-0.000,0.000,-0.010,82
WATCH,1644547553490,1644547553125,4,1644547553021,-0.034,-0.056,0.029,-0.000,0.001,-0.016,82
WATCH,1644547553490,1644547553125,4,1644547553031,-0.029,-0.050,0.028,0.001,0.004,-0.015,82
WATCH,1644547553490,1644547553125,4,1644547553041,-0.021,-0.044,0.021,0.002,0.003,-0.016,82
WATCH,1644547553548,1644547553183,4,1644547553051,-0.009,-0.035,0.021,-0.003,0.003,-0.014,82
WATCH,1644547553548,1644547553183,4,1644547553061,-0.000,-0.020,0.019,-0.003,0.001,-0.015,82
WATCH,1644547553548,1644547553183,4,1644547553070,0.002,-0.006,0.019,-0.001,-0.003,-0.015,82
