DeviceName,PTPTime,UnixTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1642572346621,1642572346458,799,79,0,0,0,0,DKU006#
DEVICE,1642572346653,1642572346490,812,81,0,0,0,0,DKU006#
DEVICE,1642572346685,1642572346522,811,81,0,0,0,0,DKU006#
DEVICE,1642572346717,1642572346554,796,79,0,0,0,0,DKU006#
DEVICE,1642572346748,1642572346585,800,80,0,0,0,0,DKU006#
DEVICE,1642572346781,1642572346618,795,79,0,0,0,0,DKU006#
DEVICE,1642572346812,1642572346649,844,84,0,0,0,0,DKU006#
DEVICE,1642572346844,1642572346681,787,78,0,0,0,0,DKU006#
DEVICE,1642572346876,1642572346713,793,79,0,0,0,0,DKU006#
DEVICE,1642572346908,1642572346745,807,80,0,0,0,0,DKU006#
DEVICE,1642572346940,1642572346777,796,79,0,0,0,0,DKU006#
DEVICE,1642572346972,1642572346809,790,79,0,0,0,0,DKU006#
DEVICE,1642572347004,1642572346841,796,79,0,0,0,0,DKU006#
DEVICE,1642572347036,1642572346873,788,78,0,0,0,0,DKU006#
DEVICE,1642572347068,1642572346905,799,79,0,0,0,0,DKU006#
DEVICE,1642572347100,1642572346937,790,79,0,0,0,0,DKU006#
DEVICE,1642572347132,1642572346969,790,79,0,0,0,0,DKU006#
DEVICE,1642572347164,1642572347001,821,82,0,0,0,0,DKU006#
DEVICE,1642572347180,1642572347017,799,79,0,0,0,0,DKU006#
DEVICE,1642572347228,1642572347065,801,80,0,0,0,0,DKU006#
DEVICE,1642572347244,1642572347081,821,82,0,0,0,0,DKU006#
DEVICE,1642572347292,1642572347129,791,79,0,0,0,0,DKU006#
DEVICE,1642572347308,1642572347145,794,79,0,0,0,0,DKU006#
DEVICE,1642572347340,1642572347177,816,81,0,0,0,0,DKU006#
DEVICE,1642572347372,1642572347209,780,78,0,0,0,0,DKU006#
DEVICE,1642572347404,1642572347241,792,79,0,0,0,0,DKU006#
DEVICE,1642572347437,1642572347274,801,80,0,0,0,0,DKU006#
DEVICE,1642572347468,1642572347305,820,82,0,0,0,0,DKU006#
DEVICE,1642572347500,1642572347337,790,79,0,0,0,0,DKU006#
DEVICE,1642572347532,1642572347369,799,79,0,0,0,0,DKU006#
DEVICE,1642572347564,1642572347401,804,80,0,0,0,0,DKU006#
DEVICE,1642572347613,1642572347450,820,82,0,0,36000,0,DKU006#
DEVICE,1642572347628,1642572347465,806,80,0,0,36000,0,DKU006#
DEVICE,1642572347660,1642572347497,796,79,0,0,36000,0,DKU006#
DEVICE,1642572347692,1642572347529,797,79,0,0,36000,0,DKU006#
DEVICE,1642572347724,1642572347561,807,80,0,0,36000,0,DKU006#
DEVICE,1642572347756,1642572347593,778,77,0,0,36000,0,DKU006#
DEVICE,1642572347788,1642572347625,798,79,0,0,36000,0,DKU006#
DEVICE,1642572347820,1642572347657,805,80,0,0,36000,0,DKU006#
DEVICE,1642572347852,1642572347689,816,81,0,0,36000,0,DKU006#
DEVICE,1642572347884,1642572347721,791,79,0,0,36000,0,DKU006#
DEVICE,1642572347915,1642572347752,785,78,0,0,36000,0,DKU006#
DEVICE,1642572347947,1642572347784,795,79,0,0,36000,0,DKU006#
DEVICE,1642572347980,1642572347817,808,80,0,0,36000,0,DKU006#
DEVICE,1642572348012,1642572347849,798,79,0,0,36000,0,DKU006#
DEVICE,1642572348044,1642572347881,796,79,0,0,36000,0,DKU006#
DEVICE,1642572348075,1642572347912,793,79,0,0,36000,0,DKU006#
DEVICE,1642572348108,1642572347945,789,78,0,0,36000,0,DKU006#
DEVICE,1642572348139,1642572347976,806,80,0,0,36000,0,DKU006#
DEVICE,1642572348171,1642572348008,794,79,0,0,36000,0,DKU006#
DEVICE,1642572348203,1642572348040,800,80,0,0,36000,0,DKU006#
DEVICE,1642572348235,1642572348072,800,80,0,0,36000,0,DKU006#
DEVICE,1642572348267,1642572348104,798,79,0,0,36000,0,DKU006#
DEVICE,1642572348299,1642572348136,805,80,0,0,36000,0,DKU006#
DEVICE,1642572348331,1642572348168,797,79,0,0,36000,0,DKU006#
DEVICE,1642572348363,1642572348200,781,78,0,0,36000,0,DKU006#
DEVICE,1642572348395,1642572348232,779,77,0,0,36000,0,DKU006#
DEVICE,1642572348427,1642572348264,793,79,0,0,36000,0,DKU006#
DEVICE,1642572348459,1642572348296,799,79,0,0,36000,0,DKU006#
DEVICE,1642572348491,1642572348328,809,80,0,0,36000,0,DKU006#
DEVICE,1642572348523,1642572348360,785,78,0,0,36000,0,DKU006#
DEVICE,1642572348555,1642572348392,800,80,0,0,36000,0,DKU006#
DEVICE,1642572348604,1642572348441,810,81,0,0,35987,0,DKU006#
DEVICE,1642572348619,1642572348456,792,79,0,0,35987,0,DKU006#
DEVICE,1642572348651,1642572348488,805,80,0,0,35987,0,DKU006#
DEVICE,1642572348683,1642572348520,802,80,0,0,35987,0,DKU006#
DEVICE,1642572348715,1642572348552,804,80,0,0,35987,0,DKU006#
DEVICE,1642572348747,1642572348584,794,79,0,0,35987,0,DKU006#
DEVICE,1642572348779,1642572348616,825,82,0,0,35987,0,DKU006#
DEVICE,1642572348811,1642572348648,805,80,0,0,35987,0,DKU006#
DEVICE,1642572348843,1642572348680,810,81,0,0,35987,0,DKU006#
DEVICE,1642572348875,1642572348712,818,81,0,0,35987,0,DKU006#
DEVICE,1642572348907,1642572348744,792,79,0,0,35987,0,DKU006#
DEVICE,1642572348939,1642572348776,787,78,0,0,35987,0,DKU006#
DEVICE,1642572348971,1642572348808,806,80,0,0,35987,0,DKU006#
DEVICE,1642572349003,1642572348840,810,81,0,0,35987,0,DKU006#
DEVICE,1642572349034,1642572348871,798,79,0,0,35987,0,DKU006#
DEVICE,1642572349066,1642572348903,805,80,0,0,35987,0,DKU006#
DEVICE,1642572349098,1642572348935,799,79,0,0,35987,0,DKU006#
DEVICE,1642572349131,1642572348968,791,79,0,0,35987,0,DKU006#
DEVICE,1642572349163,1642572349000,780,78,0,0,35987,0,DKU006#
DEVICE,1642572349195,1642572349032,785,78,0,0,35987,0,DKU006#
DEVICE,1642572349226,1642572349063,796,79,0,0,35987,0,DKU006#
DEVICE,1642572349258,1642572349095,803,80,0,0,35987,0,DKU006#
DEVICE,1642572349290,1642572349127,796,79,0,0,35987,0,DKU006#
DEVICE,1642572349322,1642572349159,796,79,0,0,35987,0,DKU006#
DEVICE,1642572349354,1642572349191,821,82,0,0,35987,0,DKU006#
DEVICE,1642572349386,1642572349223,791,79,0,0,35987,0,DKU006#
DEVICE,1642572349418,1642572349255,800,80,0,0,35987,0,DKU006#
DEVICE,1642572349450,1642572349287,803,80,0,0,35987,0,DKU006#
DEVICE,1642572349482,1642572349319,804,80,0,0,35987,0,DKU006#
DEVICE,1642572349514,1642572349351,809,80,0,0,35987,0,DKU006#
DEVICE,1642572349546,1642572349383,799,79,0,0,35987,0,DKU006#
DEVICE,1642572349578,1642572349415,800,80,0,0,35987,0,DKU006#
DEVICE,1642572349626,1642572349463,802,80,0,0,35987,0,DKU006#
DEVICE,1642572349642,1642572349479,819,81,0,0,35987,0,DKU006#
DEVICE,1642572349674,1642572349511,792,79,0,0,35987,0,DKU006#
DEVICE,1642572349706,1642572349543,813,81,0,0,35987,0,DKU006#
DEVICE,1642572349738,1642572349575,800,80,0,0,35987,0,DKU006#
DEVICE,1642572349770,1642572349607,792,79,0,0,35987,0,DKU006#
DEVICE,1642572349802,1642572349639,800,80,0,0,35987,0,DKU006#
DEVICE,1642572349834,1642572349671,809,80,0,0,35987,0,DKU006#
DEVICE,1642572349866,1642572349703,809,80,0,0,35987,0,DKU006#
DEVICE,1642572349898,1642572349735,802,80,0,0,35987,0,DKU006#
DEVICE,1642572349930,1642572349767,802,80,0,0,35987,0,DKU006#
DEVICE,1642572349962,1642572349799,769,76,0,0,35987,0,DKU006#
DEVICE,1642572349994,1642572349831,761,76,0,0,35987,0,DKU006#
DEVICE,1642572350026,1642572349863,771,77,0,0,35987,0,DKU006#
DEVICE,1642572350058,1642572349895,751,75,0,0,35987,0,DKU006#
DEVICE,1642572350090,1642572349927,750,75,0,0,35987,0,DKU006#
DEVICE,1642572350121,1642572349958,722,72,0,0,35987,0,DKU006#
DEVICE,1642572350153,1642572349990,718,71,5,0,35987,0,DKU006#
DEVICE,1642572350185,1642572350022,726,72,5,0,35987,0,DKU006#
DEVICE,1642572350217,1642572350054,704,70,5,0,35987,0,DKU006#
DEVICE,1642572350249,1642572350086,679,67,5,0,35987,0,DKU006#
DEVICE,1642572350281,1642572350118,661,66,5,0,35987,0,DKU006#
DEVICE,1642572350314,1642572350151,653,65,5,0,35987,0,DKU006#
DEVICE,1642572350346,1642572350183,632,63,5,0,35987,0,DKU006#
DEVICE,1642572350377,1642572350214,628,62,5,0,35987,0,DKU006#
DEVICE,1642572350409,1642572350246,643,64,5,0,35987,0,DKU006#
DEVICE,1642572350441,1642572350278,618,61,5,0,35987,0,DKU006#
DEVICE,1642572350473,1642572350310,649,64,5,0,35987,0,DKU006#
DEVICE,1642572350505,1642572350342,647,64,5,0,35987,0,DKU006#
DEVICE,1642572350537,1642572350374,633,63,5,0,35987,0,DKU006#
DEVICE,1642572350569,1642572350406,641,64,5,0,35987,0,DKU006#
DEVICE,1642572350601,1642572350438,664,66,5,0,35987,0,DKU006#
DEVICE,1642572350634,1642572350471,653,65,5,0,35987,0,DKU006#
