Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,HeartRate
WATCH,1642572334024,1642572334023,4,1642572334023,0.249,-0.050,0.160,0.070,-0.089,-0.081,0
WATCH,1642572334034,1642572334033,4,1642572334033,0.357,0.006,0.194,0.051,-0.119,-0.141,0
WATCH,1642572334044,1642572334043,4,1642572334043,0.402,0.044,0.144,0.039,-0.080,-0.058,0
WATCH,1642572334054,1642572334053,4,1642572334053,0.324,0.142,0.149,0.045,-0.081,-0.042,0
WATCH,1642572334064,1642572334063,4,1642572334063,0.137,0.158,0.146,0.058,-0.126,0.003,0
WATCH,1642572334074,1642572334073,4,1642572334073,-0.018,0.110,0.140,0.068,-0.134,0.021,0
WATCH,1642572334084,1642572334083,4,1642572334083,-0.035,0.098,0.158,0.073,-0.111,0.017,0
WATCH,1642572334094,1642572334093,4,1642572334093,-0.047,0.105,0.147,0.063,-0.100,0.034,0
WATCH,1642572334104,1642572334103,4,1642572334103,-0.036,0.085,0.143,0.064,-0.104,0.067,0
WATCH,1642572334114,1642572334113,4,1642572334113,-0.022,0.022,0.130,0.073,-0.093,0.068,0
WATCH,1642572334124,1642572334123,4,1642572334123,0.007,-0.018,0.120,0.066,-0.086,0.040,0
WATCH,1642572334134,1642572334133,4,1642572334133,0.069,-0.026,0.107,0.051,-0.073,0.034,0
WATCH,1642572334144,1642572334143,4,1642572334143,0.091,-0.039,0.099,0.048,-0.035,0.049,0
WATCH,1642572334154,1642572334153,4,1642572334153,0.090,-0.042,0.101,0.058,-0.032,0.034,0
WATCH,1642572334164,1642572334163,4,1642572334163,0.106,-0.046,0.116,0.067,-0.033,0.013,0
WATCH,1642572334174,1642572334173,4,1642572334173,0.168,-0.032,0.113,0.073,-0.030,-0.001,0
WATCH,1642572334184,1642572334183,4,1642572334183,0.233,-0.001,0.088,0.077,-0.034,-0.000,0
WATCH,1642572334193,1642572334192,4,1642572334192,0.265,0.040,0.079,0.084,-0.050,0.011,0
WATCH,1642572334203,1642572334202,4,1642572334202,0.243,0.060,0.079,0.095,-0.069,0.020,0
WATCH,1642572334214,1642572334213,4,1642572334213,0.189,0.064,0.086,0.100,-0.075,0.033,0
WATCH,1642572334223,1642572334222,4,1642572334222,0.148,0.054,0.082,0.095,-0.078,0.041,0
WATCH,1642572334233,1642572334232,4,1642572334232,0.140,0.042,0.066,0.074,-0.074,0.042,0
WATCH,1642572334244,1642572334243,4,1642572334243,0.103,0.047,0.058,0.063,-0.066,0.030,0
WATCH,1642572334253,1642572334252,4,1642572334252,0.072,0.069,0.031,0.052,-0.068,0.006,0
WATCH,1642572334263,1642572334262,4,1642572334262,0.038,0.096,0.020,0.050,-0.062,-0.016,0
WATCH,1642572334273,1642572334272,4,1642572334272,0.016,0.133,0.002,0.055,-0.036,-0.037,0
WATCH,1642572334283,1642572334282,4,1642572334282,0.041,0.172,-0.027,0.062,-0.023,-0.032,0
WATCH,1642572334293,1642572334292,4,1642572334292,0.056,0.191,-0.071,0.066,-0.011,-0.016,0
WATCH,1642572334303,1642572334302,4,1642572334302,0.071,0.171,-0.114,0.062,-0.010,0.009,0
WATCH,1642572334313,1642572334312,4,1642572334312,0.049,0.140,-0.170,0.040,-0.009,0.035,0
WATCH,1642572334323,1642572334322,4,1642572334322,0.013,0.126,-0.226,0.014,-0.012,0.043,0
WATCH,1642572334333,1642572334332,4,1642572334332,-0.027,0.086,-0.281,-0.009,-0.015,0.029,0
WATCH,1642572334343,1642572334342,4,1642572334342,-0.040,0.047,-0.306,-0.017,-0.013,0.002,0
WATCH,1642572334353,1642572334352,4,1642572334352,-0.053,0.032,-0.344,-0.017,-0.031,-0.045,0
WATCH,1642572334363,1642572334362,4,1642572334362,-0.031,0.017,-0.387,-0.011,-0.050,-0.074,0
WATCH,1642572334372,1642572334371,4,1642572334371,0.007,-0.011,-0.419,0.005,-0.040,-0.089,0
WATCH,1642572334382,1642572334381,4,1642572334381,0.085,-0.031,-0.450,0.017,-0.019,-0.090,0
