DeviceName,PTPTime,UnixTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1642573502084,1642573501914,811,81,0,0,0,0,DKU006#
DEVICE,1642573502116,1642573501946,803,80,0,0,0,0,DKU006#
DEVICE,1642573502148,1642573501978,810,81,0,0,0,0,DKU006#
DEVICE,1642573502180,1642573502010,793,79,0,0,0,0,DKU006#
DEVICE,1642573502212,1642573502042,804,80,0,0,0,0,DKU006#
DEVICE,1642573502244,1642573502074,815,81,0,0,0,0,DKU006#
DEVICE,1642573502276,1642573502106,813,81,0,0,0,0,DKU006#
DEVICE,1642573502308,1642573502138,801,80,0,0,0,0,DKU006#
DEVICE,1642573502339,1642573502169,812,81,0,0,0,0,DKU006#
DEVICE,1642573502372,1642573502202,804,80,0,0,0,0,DKU006#
DEVICE,1642573502404,1642573502234,806,80,0,0,0,0,DKU006#
DEVICE,1642573502436,1642573502266,803,80,0,0,0,0,DKU006#
DEVICE,1642573502468,1642573502298,802,80,0,0,0,0,DKU006#
DEVICE,1642573502500,1642573502330,802,80,0,0,0,0,DKU006#
DEVICE,1642573502532,1642573502362,821,82,0,0,0,0,DKU006#
DEVICE,1642573502548,1642573502378,799,79,0,0,0,0,DKU006#
DEVICE,1642573502596,1642573502426,801,80,0,0,0,0,DKU006#
DEVICE,1642573502611,1642573502441,801,80,0,0,0,0,DKU006#
DEVICE,1642573502660,1642573502490,807,80,0,0,0,0,DKU006#
DEVICE,1642573502676,1642573502506,810,81,0,0,0,0,DKU006#
DEVICE,1642573502724,1642573502554,791,79,0,0,0,0,DKU006#
DEVICE,1642573502740,1642573502570,813,81,0,0,0,0,DKU006#
DEVICE,1642573502788,1642573502618,804,80,0,0,0,0,DKU006#
DEVICE,1642573502804,1642573502634,799,79,0,0,0,0,DKU006#
DEVICE,1642573502851,1642573502681,804,80,0,0,0,0,DKU006#
DEVICE,1642573502868,1642573502698,796,79,0,0,0,0,DKU006#
DEVICE,1642573502916,1642573502746,807,80,0,0,0,0,DKU006#
DEVICE,1642573502931,1642573502761,805,80,0,0,0,0,DKU006#
DEVICE,1642573502963,1642573502793,801,80,0,0,0,0,DKU006#
DEVICE,1642573502995,1642573502825,808,80,0,0,0,0,DKU006#
DEVICE,1642573503027,1642573502857,812,81,0,0,0,0,DKU006#
DEVICE,1642573503076,1642573502906,818,81,0,0,36206,0,DKU006#
DEVICE,1642573503107,1642573502937,809,80,0,0,36206,0,DKU006#
DEVICE,1642573503123,1642573502953,814,81,0,0,36206,0,DKU006#
DEVICE,1642573503171,1642573503001,802,80,0,0,36206,0,DKU006#
DEVICE,1642573503203,1642573503033,809,80,0,0,36206,0,DKU006#
DEVICE,1642573503219,1642573503049,789,78,0,0,36206,0,DKU006#
DEVICE,1642573503267,1642573503097,788,78,0,0,36206,0,DKU006#
DEVICE,1642573503283,1642573503113,779,77,0,0,36206,0,DKU006#
DEVICE,1642573503315,1642573503145,806,80,0,0,36206,0,DKU006#
DEVICE,1642573503363,1642573503193,812,81,0,0,36206,0,DKU006#
DEVICE,1642573503379,1642573503209,807,80,0,0,36206,0,DKU006#
DEVICE,1642573503411,1642573503241,807,80,0,0,36206,0,DKU006#
DEVICE,1642573503443,1642573503273,791,79,0,0,36206,0,DKU006#
DEVICE,1642573503475,1642573503305,811,81,0,0,36206,0,DKU006#
DEVICE,1642573503507,1642573503337,816,81,0,0,36206,0,DKU006#
DEVICE,1642573503539,1642573503369,785,78,0,0,36206,0,DKU006#
DEVICE,1642573503571,1642573503401,807,80,0,0,36206,0,DKU006#
DEVICE,1642573503603,1642573503433,814,81,0,0,36206,0,DKU006#
DEVICE,1642573503635,1642573503465,793,79,0,0,36206,0,DKU006#
DEVICE,1642573503667,1642573503497,792,79,0,0,36206,0,DKU006#
DEVICE,1642573503699,1642573503529,802,80,0,0,36206,0,DKU006#
DEVICE,1642573503731,1642573503561,797,79,0,0,36206,0,DKU006#
DEVICE,1642573503763,1642573503593,803,80,0,0,36206,0,DKU006#
DEVICE,1642573503795,1642573503625,804,80,0,0,36206,0,DKU006#
DEVICE,1642573503826,1642573503656,814,81,0,0,36206,0,DKU006#
DEVICE,1642573503859,1642573503689,801,80,0,0,36206,0,DKU006#
DEVICE,1642573503891,1642573503721,803,80,0,0,36206,0,DKU006#
DEVICE,1642573503923,1642573503753,794,79,0,0,36206,0,DKU006#
DEVICE,1642573503954,1642573503784,813,81,0,0,36206,0,DKU006#
DEVICE,1642573503987,1642573503817,806,80,0,0,36206,0,DKU006#
DEVICE,1642573504018,1642573503848,795,79,0,0,36206,0,DKU006#
DEVICE,1642573504067,1642573503897,794,79,0,0,36218,0,DKU006#
DEVICE,1642573504082,1642573503912,804,80,0,0,36218,0,DKU006#
DEVICE,1642573504114,1642573503944,790,79,0,0,36218,0,DKU006#
DEVICE,1642573504146,1642573503976,804,80,0,0,36218,0,DKU006#
DEVICE,1642573504178,1642573504008,807,80,0,0,36218,0,DKU006#
DEVICE,1642573504210,1642573504040,813,81,0,0,36218,0,DKU006#
DEVICE,1642573504243,1642573504073,806,80,0,0,36218,0,DKU006#
DEVICE,1642573504274,1642573504104,806,80,0,0,36218,0,DKU006#
DEVICE,1642573504306,1642573504136,805,80,0,0,36218,0,DKU006#
DEVICE,1642573504338,1642573504168,811,81,0,0,36218,0,DKU006#
