DeviceName,PTPTime,UnixTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1642571546833,1642571546671,798,79,0,0,0,0,DKU006#
DEVICE,1642571546864,1642571546702,801,80,0,0,0,0,DKU006#
DEVICE,1642571546896,1642571546734,790,79,0,0,0,0,DKU006#
DEVICE,1642571546928,1642571546766,797,79,0,0,0,0,DKU006#
DEVICE,1642571546960,1642571546798,795,79,0,0,0,0,DKU006#
DEVICE,1642571546992,1642571546830,801,80,0,0,0,0,DKU006#
DEVICE,1642571547024,1642571546862,802,80,0,0,0,0,DKU006#
DEVICE,1642571547056,1642571546894,813,81,0,0,0,0,DKU006#
DEVICE,1642571547088,1642571546926,793,79,0,0,0,0,DKU006#
DEVICE,1642571547120,1642571546958,812,81,0,0,0,0,DKU006#
DEVICE,1642571547152,1642571546990,815,81,0,0,0,0,DKU006#
DEVICE,1642571547184,1642571547022,802,80,0,0,0,0,DKU006#
DEVICE,1642571547216,1642571547054,796,79,0,0,0,0,DKU006#
DEVICE,1642571547248,1642571547086,800,80,0,0,0,0,DKU006#
DEVICE,1642571547280,1642571547118,795,79,0,0,0,0,DKU006#
DEVICE,1642571547312,1642571547150,800,80,0,0,0,0,DKU006#
DEVICE,1642571547344,1642571547182,814,81,0,0,0,0,DKU006#
DEVICE,1642571547376,1642571547214,802,80,0,0,0,0,DKU006#
DEVICE,1642571547408,1642571547246,802,80,0,0,0,0,DKU006#
DEVICE,1642571547440,1642571547278,793,79,0,0,0,0,DKU006#
DEVICE,1642571547472,1642571547310,810,81,0,0,0,0,DKU006#
DEVICE,1642571547504,1642571547342,795,79,0,0,0,0,DKU006#
DEVICE,1642571547536,1642571547374,800,80,0,0,0,0,DKU006#
DEVICE,1642571547568,1642571547406,807,80,0,0,0,0,DKU006#
DEVICE,1642571547600,1642571547438,797,79,0,0,0,0,DKU006#
DEVICE,1642571547632,1642571547470,790,79,0,0,0,0,DKU006#
DEVICE,1642571547664,1642571547502,807,80,0,0,0,0,DKU006#
DEVICE,1642571547696,1642571547534,798,79,0,0,0,0,DKU006#
DEVICE,1642571547728,1642571547566,817,81,0,0,0,0,DKU006#
DEVICE,1642571547759,1642571547597,813,81,0,0,0,0,DKU006#
DEVICE,1642571547791,1642571547629,802,80,0,0,0,0,DKU006#
DEVICE,1642571547839,1642571547677,807,80,0,0,36212,0,DKU006#
DEVICE,1642571547856,1642571547694,802,80,0,0,36212,0,DKU006#
DEVICE,1642571547888,1642571547726,811,81,0,0,36212,0,DKU006#
DEVICE,1642571547919,1642571547757,789,78,0,0,36212,0,DKU006#
DEVICE,1642571547952,1642571547790,799,79,0,0,36212,0,DKU006#
DEVICE,1642571547983,1642571547821,794,79,0,0,36212,0,DKU006#
DEVICE,1642571548015,1642571547853,795,79,0,0,36212,0,DKU006#
DEVICE,1642571548047,1642571547885,796,79,0,0,36212,0,DKU006#
DEVICE,1642571548079,1642571547917,807,80,0,0,36212,0,DKU006#
DEVICE,1642571548111,1642571547949,797,79,0,0,36212,0,DKU006#
DEVICE,1642571548143,1642571547981,795,79,0,0,36212,0,DKU006#
DEVICE,1642571548175,1642571548013,813,81,0,0,36212,0,DKU006#
DEVICE,1642571548208,1642571548046,796,79,0,0,36212,0,DKU006#
DEVICE,1642571548240,1642571548078,814,81,0,0,36212,0,DKU006#
DEVICE,1642571548272,1642571548110,801,80,0,0,36212,0,DKU006#
DEVICE,1642571548304,1642571548142,792,79,0,0,36212,0,DKU006#
DEVICE,1642571548335,1642571548173,806,80,0,0,36212,0,DKU006#
DEVICE,1642571548367,1642571548205,788,78,0,0,36212,0,DKU006#
DEVICE,1642571548399,1642571548237,811,81,0,0,36212,0,DKU006#
DEVICE,1642571548431,1642571548269,780,78,0,0,36212,0,DKU006#
DEVICE,1642571548463,1642571548301,795,79,0,0,36212,0,DKU006#
DEVICE,1642571548495,1642571548333,804,80,0,0,36212,0,DKU006#
DEVICE,1642571548527,1642571548365,813,81,0,0,36212,0,DKU006#
DEVICE,1642571548559,1642571548397,791,79,0,0,36212,0,DKU006#
DEVICE,1642571548591,1642571548429,799,79,0,0,36212,0,DKU006#
DEVICE,1642571548623,1642571548461,809,80,0,0,36212,0,DKU006#
DEVICE,1642571548655,1642571548493,806,80,0,0,36212,0,DKU006#
DEVICE,1642571548688,1642571548526,808,80,0,0,36212,0,DKU006#
DEVICE,1642571548719,1642571548557,795,79,0,0,36212,0,DKU006#
DEVICE,1642571548751,1642571548589,799,79,0,0,36212,0,DKU006#
DEVICE,1642571548783,1642571548621,814,81,0,0,36212,0,DKU006#
DEVICE,1642571548832,1642571548670,800,80,0,0,36162,0,DKU006#
DEVICE,1642571548847,1642571548685,800,80,0,0,36162,0,DKU006#
DEVICE,1642571548879,1642571548717,799,79,0,0,36162,0,DKU006#
DEVICE,1642571548911,1642571548749,809,80,0,0,36162,0,DKU006#
DEVICE,1642571548943,1642571548781,794,79,0,0,36162,0,DKU006#
DEVICE,1642571548975,1642571548813,799,79,0,0,36162,0,DKU006#
DEVICE,1642571549007,1642571548845,800,80,0,0,36162,0,DKU006#
DEVICE,1642571549040,1642571548878,803,80,0,0,36162,0,DKU006#
DEVICE,1642571549071,1642571548909,786,78,0,0,36162,0,DKU006#
DEVICE,1642571549103,1642571548941,796,79,0,0,36162,0,DKU006#
DEVICE,1642571549135,1642571548973,804,80,0,0,36162,0,DKU006#
DEVICE,1642571549167,1642571549005,803,80,0,0,36162,0,DKU006#
DEVICE,1642571549199,1642571549037,801,80,0,0,36162,0,DKU006#
DEVICE,1642571549231,1642571549069,795,79,0,0,36162,0,DKU006#
DEVICE,1642571549263,1642571549101,784,78,0,0,36162,0,DKU006#
DEVICE,1642571549295,1642571549133,798,79,0,0,36162,0,DKU006#
DEVICE,1642571549327,1642571549165,798,79,0,0,36162,0,DKU006#
DEVICE,1642571549359,1642571549197,790,79,0,0,36162,0,DKU006#
DEVICE,1642571549391,1642571549229,796,79,0,0,36162,0,DKU006#
DEVICE,1642571549424,1642571549262,796,79,0,0,36162,0,DKU006#
DEVICE,1642571549455,1642571549293,795,79,0,0,36162,0,DKU006#
DEVICE,1642571549487,1642571549325,801,80,0,0,36162,0,DKU006#
DEVICE,1642571549519,1642571549357,801,80,0,0,36162,0,DKU006#
DEVICE,1642571549551,1642571549389,787,78,0,0,36162,0,DKU006#
DEVICE,1642571549583,1642571549421,806,80,0,0,36162,0,DKU006#
DEVICE,1642571549615,1642571549453,798,79,0,0,36162,0,DKU006#
DEVICE,1642571549647,1642571549485,792,79,0,0,36162,0,DKU006#
DEVICE,1642571549679,1642571549517,803,80,0,0,36162,0,DKU006#
DEVICE,1642571549711,1642571549549,798,79,0,0,36162,0,DKU006#
DEVICE,1642571549743,1642571549581,796,79,0,0,36162,0,DKU006#
DEVICE,1642571549774,1642571549612,804,80,0,0,36162,0,DKU006#
DEVICE,1642571549823,1642571549661,809,80,0,0,36181,0,DKU006#
DEVICE,1642571549839,1642571549677,801,80,0,0,36181,0,DKU006#
DEVICE,1642571549871,1642571549709,813,81,0,0,36181,0,DKU006#
DEVICE,1642571549903,1642571549741,803,80,0,0,36181,0,DKU006#
DEVICE,1642571549934,1642571549772,793,79,0,0,36181,0,DKU006#
DEVICE,1642571549967,1642571549805,791,79,0,0,36181,0,DKU006#
DEVICE,1642571549998,1642571549836,805,80,0,0,36181,0,DKU006#
DEVICE,1642571550030,1642571549868,796,79,0,0,36181,0,DKU006#
DEVICE,1642571550062,1642571549900,792,79,0,0,36181,0,DKU006#
DEVICE,1642571550094,1642571549932,800,80,0,0,36181,0,DKU006#
DEVICE,1642571550126,1642571549964,813,81,0,0,36181,0,DKU006#
DEVICE,1642571550158,1642571549996,793,79,0,0,36181,0,DKU006#
DEVICE,1642571550190,1642571550028,799,79,0,0,36181,0,DKU006#
DEVICE,1642571550223,1642571550061,809,80,0,0,36181,0,DKU006#
DEVICE,1642571550255,1642571550093,798,79,0,0,36181,0,DKU006#
DEVICE,1642571550287,1642571550125,810,81,0,0,36181,0,DKU006#
DEVICE,1642571550318,1642571550156,804,80,0,0,36181,0,DKU006#
DEVICE,1642571550351,1642571550189,807,80,0,0,36181,0,DKU006#
DEVICE,1642571550382,1642571550220,817,81,0,0,36181,0,DKU006#
DEVICE,1642571550414,1642571550252,789,78,0,0,36181,0,DKU006#
DEVICE,1642571550446,1642571550284,809,80,0,0,36181,0,DKU006#
DEVICE,1642571550478,1642571550316,798,79,0,0,36181,0,DKU006#
DEVICE,1642571550510,1642571550348,799,79,0,0,36181,0,DKU006#
DEVICE,1642571550542,1642571550380,793,79,0,0,36181,0,DKU006#
DEVICE,1642571550574,1642571550412,787,78,0,0,36181,0,DKU006#
DEVICE,1642571550606,1642571550444,800,80,0,0,36181,0,DKU006#
DEVICE,1642571550638,1642571550476,817,81,0,0,36181,0,DKU006#
DEVICE,1642571550670,1642571550508,811,81,0,0,36181,0,DKU006#
DEVICE,1642571550702,1642571550540,798,79,0,0,36181,0,DKU006#
DEVICE,1642571550734,1642571550572,801,80,0,0,36181,0,DKU006#
DEVICE,1642571550766,1642571550604,807,80,0,0,36181,0,DKU006#
DEVICE,1642571550798,1642571550636,792,79,0,0,36181,0,DKU006#
DEVICE,1642571550849,1642571550687,805,80,0,0,36168,0,DKU006#
DEVICE,1642571550862,1642571550700,817,81,0,0,36168,0,DKU006#
DEVICE,1642571550894,1642571550732,816,81,0,0,36168,0,DKU006#
DEVICE,1642571550926,1642571550764,808,80,0,0,36168,0,DKU006#
DEVICE,1642571550958,1642571550796,812,81,0,0,36168,0,DKU006#
DEVICE,1642571550990,1642571550828,794,79,0,0,36168,0,DKU006#
DEVICE,1642571551023,1642571550861,796,79,0,0,36168,0,DKU006#
DEVICE,1642571551054,1642571550892,808,80,0,0,36168,0,DKU006#
DEVICE,1642571551086,1642571550924,797,79,0,0,36168,0,DKU006#
DEVICE,1642571551118,1642571550956,797,79,0,0,36168,0,DKU006#
DEVICE,1642571551150,1642571550988,796,79,0,0,36168,0,DKU006#
DEVICE,1642571551182,1642571551020,799,79,0,0,36168,0,DKU006#
DEVICE,1642571551214,1642571551052,796,79,0,0,36168,0,DKU006#
DEVICE,1642571551246,1642571551084,791,79,0,0,36168,0,DKU006#
DEVICE,1642571551278,1642571551116,788,78,0,0,36168,0,DKU006#
DEVICE,1642571551309,1642571551147,801,80,0,0,36168,0,DKU006#
DEVICE,1642571551342,1642571551180,812,81,0,0,36168,0,DKU006#
DEVICE,1642571551374,1642571551212,802,80,0,0,36168,0,DKU006#
DEVICE,1642571551406,1642571551244,808,80,0,0,36168,0,DKU006#
DEVICE,1642571551438,1642571551276,802,80,0,0,36168,0,DKU006#
DEVICE,1642571551470,1642571551308,803,80,0,0,36168,0,DKU006#
DEVICE,1642571551502,1642571551340,798,79,0,0,36168,0,DKU006#
DEVICE,1642571551534,1642571551372,802,80,0,0,36168,0,DKU006#
DEVICE,1642571551566,1642571551404,813,81,0,0,36168,0,DKU006#
DEVICE,1642571551598,1642571551436,801,80,0,0,36168,0,DKU006#
DEVICE,1642571551630,1642571551468,792,79,0,0,36168,0,DKU006#
DEVICE,1642571551662,1642571551500,792,79,0,0,36168,0,DKU006#
